sksthg**|모델언니들은 라인이 있다해야하나? 그런데 통자에요 가격대비 괜춘긴해요 옆라인 조금 줄이고 입기에는 짱짱 등발좀 있으면 조금 피하시는게... 여리여리하게 생긴사람이 입으면 정말이쁠듯해요~~ 저는 등발이좀잇어서 어깨 쑐더 빵빵ㅋㅋㅋ
sb9610**|편하고좋아요!!!그렇게많이얇지도않고완전기본티로입기좋은거같아요배송은다른게안와가지고쫌늦긴했는데재입고되는데로그다음날바로배송와서진짜빠르고좋았어요ㅎㅎㅎ나중에다른색도더사려고생각중입니다ㅎㅎㅎㅎ
choidai**|흰색이랑 네이비 구입했습니당 생각보다 길이감이 조금 있네요ㅠㅠ그치만 전체적인 핏은 정말 이뻐요 배송도 만족하구요!!!
oo07**|고고싱에서 처음으로 주문시킨 옷 인데 진짜 기대이하 입니다..사람들이 추천하고 좋다고 그래서 주문 시켰는데 바느질 상태 진짜 안좋아요;; 사진에 찍힌것 처럼 옷 열자마자 바느질이 덜렁덜렁 거리게 왔고 안과 겉 둘다 바느질 상태가 안좋고 실이 다 삐져 나와 있어서 제가 쪽가위로 하나하나 다 정리했네요;;;사진에는 실 삐져나온게 하나도 없이 이쁘게 나와 있는데 어휴; 여튼 다음번에는 확인 잘 하시고 옷 보내주세요.
soo36**|약간 스키니에서 아주 조금 헐렁한 정도 지만 이뻐요
soo36**|키가 큰편이라서 짧을줄 알았는데 길이도 적당하고 이뻐요
xoxojj**|핏진짜이뿜 날씬해보여여...면도 얇구
phs01**|사이즈는 S로 구입했구요~마른체형이라 완전 딱달라 붙는거 원했는데딱 찾았네요 ^^여름에 잘 입고 다닐꺼같아요~근데 길이가 생각한거보다 좀 더 짧아서 놀랬지만..ㅋㅋ그래도 이뻐요~ 작아서 낑기는거 없구요입을때 좀 끼는거 빼고는 입고 돌아다닐때 어디가불편하거나 아픈데는 없습니다~배송도 완전 빨라서 만족!!역시 믿고 사는 고고싱!
vidkid0**|연청바지 색깔은 이쁜데..... 좀 두꺼워요... 두꺼워서 봄에 입기엔 조금 덥다는 생각이 들었어요.. ㅠㅠㅠㅠ
qkrtjf**|허리밴딩이 엄청 짱짱해요! 배에 힘주고 있어야해서 약간 부담스러운 것도 있는데 역시 예상했던대로 정말 예뻤어요 ㅎㅎㅎ 발표수업 때 입을 단정하면서도 귀엽고 여성스러운 옷이 필요했는데 정말 딱좋았어용!! 치마길이는 제 키가 작은데도 좀 아슬아슬 했고라인이 드러나는게 맘에드네용ㅎㅎ
vidkid0**|이옷 리뷰가 별로 없어서 걱정했는데 옷 이쁩니다. 약간 마소재 같은데 시원하고 이뻐요~~~!!!
vidkid0**|바지가 가격대비 정말 괜찮아요~ 더 사려구 들어왔습니다~ ^^
kms44**|봄에 맞게 레드컬러로 주문했어용 ㅎㅎ가격대비 도톰한 가디건이네용 한여름에는 입기 어려울것같구 여름빼고는 봄가을겨울로 이쁘게 입을수있을것같아용 ㅋㅋㅋ 그냥흰티에만 입어도 뽀인트가 될것같은 컬러네용~고고싱 감사용
tntntn93**|작년에비슷한거삿던거같은데 깜박하고주문해서 반품하려다가 편하고 여러가지옷에신을수잇을거같아서 그냥신어요!ㅎㅎ
tntntn93**|사진이랑거의비슷하구 아이보리삿다가 베이지하나더구매햇어요>_< 가격에비해 질도갠춘한듯
tntntn93**|무난하고기본티로이뻐요!베이지랑아이보리두개구매햇는데 박시하면서여리여리해보이고좋아요^_^
kj12**|여러차례 입고 되었다고 해서 배송비 절약할 겸 필요 하기도 했고 그래서한 번 구매해봤는데 쫀쫀하기도 하고 이너로 입기에 사이즈도 좋고 더 구매하려고요. 재 구매 할 가치 있네요~재질도 정말 정말 정말 좋고 가격도 딱이네요. 감사합니다~~ 많이들파세요.다음에 또 구매할게요~~~^^^^^
kj12**|다른데서보다 가격도 저렴하고 예뻐요.
kj12**|옷 보고 마음에 들어서 두가지 색상으로 주문해봤는데 예쁘네요~원피스에도 잘 어울리고 바지랑도 잘 어울려요. 보풀이 조금씩 일어나기도 하는 것 같지만 지저분하진 않네요. 사진에서 보이는 거랑 똑같아요. 사이즈도 넉넉하고 색깔도 사진이랑 똑같습니다. 많이 파세요~~집업이라서 정말 편하네요~~
sksthg**|짱좋아요 모아주고 올려주고 볼륨업업 좋아요. 우선 스포츠므라만해도 볼륨업이 되서 이쁘지만 매직압박 나시?랑 같이 입으면 더 이뻐요~~ 볼륨업업을해줘서요. A컵들이여 일어나라 우와왕 짱좋아요~ 그리고 날씬해서 잴좋아여ㅎㅎ 물론 조금 마르신분은 티가 안나요~
sksthg**|윗배(명치쪽)가 나오신분은 조금 힘드실듯해요 소화가 안되는 느낌이 없지않아 있지만 그거빼고는 좋아요 볼륨업에 홀쭉해보이는 효과까지 있어요. 강추강추 처음에는 많이 쪼이지만 조금입으면 딱맞아요~사시면 후회 없이 입을실거예요
crazyhot**|회색 구매했었는데어디에다 매치시켜도 따로놀지않고 자연스럽게 어울려지는 아이~ 디자인도 이쁘고 맘에들어요
crazyhot**|신축성짱짱발목까지 딱 잡아주고 핏이 그냥 짱
sksthg**|편하고 무슨옷이든 코디 가능 완츄들때 위에 조금 까져서 실밥처리된데가 보이긴한데 괜추나요
dingo11**|160/46 인데 하의 평소에 S입긴하는데.. 치마짧을까봐 M시켰거든요!!! 딱맞아요!!! 완전이쁘고!!! 너무너무 잘산거같아요!!!^^ 얼른더워져서 뷔스티에랑 같이입으면 이쁠거같아용!! 담에또주문할거에염
crazyhot**|정말 가볍고 정말 이쁘고베이지색 샀는데 청바지나 슬랙스, 면바지 어디에다가맞춰입어도 예쁘고 내츄럴해서 맘에들어요
crazyhot**|진짜 진심 짱 편해요핏도 진~짜 이쁘고 슬랙스 부담스러워 하시는 분들이거는 정말 걱정안하고 입으셔도 될듯!
crazyhot**|어디에다 매치시켜도 잘 어울리는 남방이라 자주 입고 다니게 되요
crazyhot**|양 조절만 잘해서 바르면 자연스럽게 하얘지는 크림이라부담스럽지도 않고 피부에 뭐 일어나거나 그런것도 없어서좋았어요~
jiwoo8**|색깔이 하얀색이 아니라 누런색?이에요좀 누런것 제외하고는 만족스러워요
lemon3**|괜찮은거 같아요/
yksn**|일단 디자인자체가 넘 취향이라 샀어요무난하게 데일리로 입을 수 있으면서도포인트가 있는걸 좋아하거든요입어보니까 옷이 넘 귀엽고ㅋㅋㅋㅋㅋ기장이 짧아서 빼서 입어도 좋고넣어입어도 괜찮은거같아요완전 만족! 디자인의 승리!
jiwoo8**|맘에들어요~블라우스 소재같아요
alstjs61**|스판끼도좋고 제질도 좋앗습니다 ㅎㅎ
cg35**|이번 축제때 클럽부스를 해서 친구들이랑 붙이고 다니려고 샀어요옛날에 문구점에서 샀던 타투스티커보단 역시 내구성이 뛰어나네요한번 붙이면 씻을때 주의만하면 3일은 가네요 그렇다고 너무 안지워지는 것도 아니라서 자기맘대로 사용 가능할것같아요 ㅎ 헤나나 타투하기전에 위치선정할때도 좋을거같아요 ㅋㅋ
cg35**|뒤에 실리콘이 있어서 흘러내리지 않고 딱 좋네요 !제가 발사이즈가 큰편이라 다른 곳에서 사는 덧신들은 몇 번 신고나면 구멍이 뚫리기 마련인데 이건 두께가 있어서 그런지  꽤 많이 신고 다녔는데도 멀쩡해요 ^^ 베이지색 샀는데 색상이 너무 진한건 흠이긴 하구요..아 그리고 여름에 신기에는 조금 두꺼워서 땀이차지않을까.. 라고 생각됩니당
