hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
ihb01**|평소에 입는 바지사이즈는 M인데 딱맞게 나온다고 해서 L로 시켜봣어요 허리는 너무 편하구 밥을 진짜 믾이 먹엇을때도 티가 안나는 느낌?ㅋㅋ정도?? 힌티에 입으니가 더 잘어울려요 멜빵 끈길이도 마음대로 조정할수있으니까 죠아요~ 멜빵을 X자로도 할수있구 일자로 할수도 있어서 코디할때두 죠아용!! 진짜 휘회없고 잘산것갗아요!길이가 쫌 길어서 접어서 입으니가 더 핏이 사는듯!!이번 슬랙스 구매는 성공입니닷!!
ehdtjsd**|일단 처음에 입어봤을때 핏이 엄청 이뻐서 놀랐어요!그런데 너무얆아가지고 하이웨스트 바지랑 입지않으면 안됄것같아요...ㅋㅋㅋ배꼽라인?이 비춰가지고 너무민망해요..저만 이런건지는 모르겠지만..ㅎㅎ여튼 겁나얇아요! 그리고 부들부들 거려서 잘 늘어나게 생겼어요 조심해서 입어야할것같아욤 !음 또 제가 시킨게 다 배송지연이라 오래걸려서 받을줄 알앗는데 하나하나 개별배송에 손편지까지..♡너무 감동받았어요 ㅎㅎ아 그리고 제 사이즈랑 몸무게를 정확히몰라서 막 체크했어요ㅠㅠㅠㅋㅋ집에 체중계가없어가지구욬ㅌㅌㅌ
yearim**|m사이즈가 생각보다 너무 커서 교환하려구요..ㅠㅠ사이즈 교환하면 이쁠 거 같아요~~
yearim**|ㅎㅎ착용감이 너무 좋아요 밑에가 좀더 깔끔했으면 더 예뻣을거 같지만 그래도 너무 맘에듭니다~~
yearim**|약간 지저분하네요 브이라인 쪽이ㅠㅠ..좀 아쉬워요ㅠㅠ
yaeeun**|바지 완전 편해요ㅋㅋ!! 저는 스키니 27사이즈 입는편이구 사이즈 M주문했는데 허리딱맞네요ㅎㅎ 허벅지가 있는편이라 허벅지는좀.. 여유가 없구여ㅠㅠ 살빼면 더 예쁠텐데.. 빼야져..! 라인도 이쁘게 떨어져서 흰색도 살까 고민중이에욬ㅋㅋ
yearim**|구김이 많이 있지만 다림질을 하면되니까 괜찮구요!!착용감은 좋은거 같아요~~ㅎㅎ
yaeeun**|완전 예뻐요~~ 면이 완전 고급스럽다고 해야하나? 보들보들하고!! 저는 베이지색 샀는데 고급스러운 베이지색이에요 그리고 5부기장에 팔통?이 좀 크다고 해야하나 그래서 팔이 가늘어보여요!! 기장은 긴편이고 옷이 좀 두께감이 있는편이에요~ 마음에 쏙 듭니다ㅎㅎ
wlyee0**|배송문제가 제일 컸지만...제질이라던가 디자인은 만족이에요지금은 입기엔 시기를 놓친것 같구가을에 잘 입을게용ㅎㅎ많이 파세요 ㅎㅎ
sunwoo41**|163에 53, 라지 시켰었어용연청반바지 사고싶었는데 혹시 촌스러울까봐 왔을때 색깔걱정도 많이 했었는데 화면이랑 비슷한것 같아요화면보다 약간 진한..? 감도 있는것같아요연한중청정도? 암튼 이쁩니다!!배송도 나름 빠르게 왔고용다른 매장에서 사려고 입어보기도 하고 그랬는데 잘 산것같네용품질에 비하면 가격도 비싼건 아닌것같아요1잘산것같네요~예쁘게 잘입을게용
wlyee0**|우선 정말 편해요바지가 편해서 요근래 3번은 입은듯..ㅎㅎ얇아서 여름에도 충분히 입을 수 있구요다음번에도 또 구입할게용번창하세용
wlyee0**|아직 입어부진 않았지만 고고싱 상품은 믿고 구매하고 잇습니당다음에도 또 구입할 예정이구여두께가 얇아서 여름에도 무난하게 입을 수 있을거 같아요길이도 딱맞아요잘산것같습니당 ㅎㅎ
dmsgp62**|티가 좀 얇은거 같지만 이뻐영 !!!진짜 이뻐요!!ㅠㅠㅠㅠㅠㅠㅠㅠ이옷 완전 잘산거 같아요 어디든지 받혀 입을수 있으니까 디게디게 편하구 무난한 치마 만이ㅜ입는데 저한테 완전 조은거 같아요 완전 강추
dmsgp62**|티 완전 쫀쫀해서 편해용 무지티라소 이무대나 입을수도 있구 조은거 같아용 !!ㅎㅎㅎㅎ 진짜 진짜 편하구요오!!난중에 늘어나면 집에서 잠엇으러 입아도 될거 같구 결론ㅇㅡㄴ 진짜 편하가는거라는거!! 편해서 사명 ㅜ회 안하실꺼에여!
wjdals23**|저한테슬랙스의신세계를 알려주심 ㅋㅋㅋ이거진짜좋아요! 다만 허리가 진짜심하게커서.. 남자바진줄 .. 허리만줄엿더니 너무이뻐오ㅜㅜㅜ 진짜아무데나코디하기좋고 잘얼려용ㅎㅎ
wjdals23**|실망한적이없네요ㅠㅠ 저번에슬랙스산것도 완전 잘입고잇구. 진짜좋아요 ㅎㅎ헤헤 저한테딱맞았구. 허리가좀얇은편이라그런지 딱맞드라구요.. 보통 거의다큰데ㅜ 허리좀 작게나온거같구 기장은 딱좋네요
dmsgp62**|구피 반팔티 완전 귀여워용!!저는 귀엽지 않지많ㅎㅎㅎ 무난하게 입을수 있을거 같아서 좋을거 같아용 검은거나 흰거에 입어도 괜찮을거 같궇ㅎㅎ무엇보다 디게 편해서 저는 좋은거 같아용!!!!!!포토후기는 아직ㅎㅎㅎㅎ멋올리겠구여 사시먄 후회 안하실꺼에영!!
gkfla91**|흰색인데좀하늘색빛도돌고오묘한색인듯.. 암튼예쁩니다ㅎ 키가커서그런지 가오리핏이좀덩치있어보이는거같기도한데..H라인치마에입으면괜찮더라구요 배송도바로이틀만에와서좋았습니당!! 고민하시는분들꼭사세요!!!!!!!!!!
erer10**|되게 핏이 딱 달라붙는 것이 아닌 오버핏이라완전 마음에 들고, 싼 가격에 구매해서 더 마음에 드네요!!
qoekdms**|테니스 스커트 너무 사고 싶던 와중에 좀 더 특이하고 가격도 저렴한 테디체크 주름스커트 발견해서 샀습니다!제가 키가 꽤 있는편이라 짧을까봐 굉장히 걱정했는데 짧긴하지만 심하게 짧지도 않고 입었을 때 굉장히 예쁩니다..♥ 베이지색도 있었다면 전 분명 샀을거에요!!!교복치마 같지만 예쁘고 검정이라긴 보다 네이비 바탕입니다 참고하세요!
qoekdms**|처음으로 후기 남겨보네요!처음 이 슬랙스 봤을 때 너무 예쁘다 생각해서 후기들을 봤는데 웬걸... 아빠 정장 같은 무늬인거에요..그래서 사실 안 사려고 했는데 계속 생각나...서 사버렸습니다 마침 세일도 하고 있었고♥택배와서 잘 입고 다니고 있는데 이게 좀 너무 딱 맞아요 제가 바지 28~29입는데 좀 불편하게 딱 맞습니다그런데 예쁘니까 잘 입어 보려구요...!
tkdduq**|슬랙스 잘입어보지도 않고 어울릴까 걱정하면서 삿는데 우와..진짜이뻐요 핏대박!!!!!!!!!!!! 처음엔 허리가많아커서 자꾸흘러내려서 불편햇는대 허리줄이고입으니까 너무편하고 이뻐요♡♡♡♡ 될수잇으면 색깔병ㄹ로 다사고싶내요♡♡♡
dw9207**|입고지연으로 오래 기다렸다 받은 보람이 있네요^^블랙이어서 그런지 날씬해 보여요~ 길이감은 약간 짧아서 아쉬웠어요
dw9207**|약간 타이트한 감이 있네요.; 화이트색상이어서 그런지 속옷라인이 좀 도드라져요.. 어두운 색상이면 잘 안보였을지도...ㅋㅋ 옷 이뻐요! 핏도 괜찮고! 단추, 지퍼 이상없이 왔어요~
khj7788**|백바지 기존에 있던 바지가 많이 늘어나고 색도 바래져서 하나 새로 살라고 사이즈표보고 바로 주문했습니다.제일 작은 사이즈로 25사이즈 주문했는데욥생각보다 그리 작진 않아요ㅠㅠㅠ허리랑 허벅지 길이 다 줄여야될것같네요...ㅠㅠ이거 살떄 쿠폰이랑 적립금 다써버려서 반품하긴 아까워서 줄여서 입을라구요 할튼 줄여서 이쁘게 입어볼게요전체적으로 좀만 더 작게 나왔으면..ㅠㅠ하는 아쉬움이있네요
wlbo47**|택배도 빠르구요~~ 이런 스타일 원피스 가지고 싶었는데 딱 보고 너무 이뻐서 샀어용~♥후회 절대안하실거에욧! 사이즈는 L샀는데 F샀어도 길이는 짧지만 괜찮았을 것 같아요 평소에 짧은거를 좋아해서 ㅎㅎ...L길이도 편하고 좋아요 ㅎㅎ이거 입고 여행다녀왓는데 퍼지는 것도 너무이쁘고 사진도 이쁘게 나와서 너무 좋았어요\♥♥소재도 면이 아니라서 구김도 잘 안져서 좋아요!!이뿌게 입을게용~
shb880**|제가 이번에 옷 두개를 샀는데 이게 더 싼데 이게 더 맘에 드는 것 같아요!! 이거는 잘 비치지도 않고 옷 질도 되게 좋고 진짜 맘에 들어요!!! 지금 그레이 색상도 살까 고민 중이에요 꼭 사세요!!!!!!!!!!!!!!!!!!!!!!!!!!
boke**|이거 진짜짱임ㅠㅠㅠ은은하게 비치면서 가볍게 입을 흰티 입고 싶어서 샀는데 진짜 딱이네여 어차피 넣어입으니까 트임은 상관없구..말그래도 살짝 비치긴 하는디 이게 매력이죠ㅠㅠㅠㅠ진짜 짱 이쁘고 왠만한 고고싱 베이직라인만큼은 믿고 사서도 될듯...가격도 저렴하거 질도 좋네요 잘 입을게요우웡 참고로 제 후기는 사시는 분들께 도움이 되기위해 장단점을 잘 적어 놓으니 도움이 되시길 바랍니다♡칭찬만 있는거면 그 옷은 걍 리얼 단점이 없는거ㅎㅎㅎ
shb880**|옷이 너무 필요해서 사진으로 봤을 때 별로 안 이뻣는데도 샀는데 막상 와서 보니까 너무 이쁘네요!! 조금 비치는 것만 빼면 너무 좋아요! 특히 가격에 비해 옷 질도 좋아서 맘에 들어요~~ 흰티라서 검정 바지든 청바지든 잘 어울려서 좋아요!!!
qortjddms**|받자말자 입어봤는데 생각보다 너물 커서 놀랬어요 그리고 옷이 생각보다 두꺼웠으요 그래도 재질이 부들부들하면서 너무 좋아요  바지 안에 넣어서 입으면 아무 바지에나 무난하게 잘 입을수 있을꺼 같아서 편하게 자주 입을꺼 같아요 잘 입고 다닐께요~~
boke**|^^이거 왜 상품이 사라진거죠? 아무리 하비라지만 L가 안맞는건 최고로 충격.. 같이 산 슬랟스랑 비교하니까 이거 L랑 같이산 슬랙스F 사이즈가 엄청 차이나네여..후기를 그전에 보긴 했는데 L니까 괜찮겠지 했는데ㅜㅜㅜ노답스ㅜㅜㅜㅜㅜ슬랙스가 아니라 스키니ㅠㅠㅠㅠ후ㅜㅠㅠㅠㅠ유ㅠㅠㅠㅠㅠㅠ저렴하게 샀으니 여기서 그만 찡찡댈게요..흡..장점은 이므지만 제 다리와 정상적이지 않은 L사이즈....담부턴 잘뷰규 사야죠ㅠㅠㅠㅠㅠ다이어트 해서 꼭 슬랙스로 입겠습니다..흐뷰흡ㅍ
jiin1**|이뻐요
chocoiate1**|이런 차이나 카라의 블라우스를 찾다가 이번에 세일할 때 완전 싼 가격에 사게 됐어요 완전 만족만족 대만족ㅋㅋㅋㅋㅋ면도 시원한 소재라서 좋고 이뻐요치마에 입어도 이쁘고 핫팬츠나 스키니 아무거나 같이 입어도 깔끔하게 이뻐요 키 작은 편인데도 그렇게 크지 않고 잘 맞아요~다음에 또 구매할게용
boke**|소심한브이...고고싱에서 이번에 베이직라인을 3개정도 핬는데 무슨색을 살지 심히 고민하던 거에요ㅠㅠ일단 장점은 질도 최고고 별로 비치지도 않고 걍 최고임...굳 베이직라인들 다 만족스럽네요 근디 좀 다른색살걸 그랐어요ㅠㅠ베이직라인에서흰티만두개..☆결론은 다른색도 사야겠다는 결심ㅎㅎㅎ늘어날것같은재질도아니고 통도 진짜 제가 딱 원하는 박시핏ㅜㅜ단점은 없우영 잘 입을게요♡
qortjddms**|검정색 샀는데 사진이랑 실물이랑 정말 비슷하고 생각했던거 보다는 잘 비치고 팔이 쫌 짧은편인거 같은데 그래도 화면이랑 비슷하게 생겼어요 평소에도 무난하게 입을수 있고 깔끔하고 예쁜거같아요 그리고 재질이 부들부들하고 너무 좋아요 잘입고다닐께요~
jiin1**|이뻐요
choi9405**|남방예쁩니다~~ 날씨가 이랬다저랬다해서 요즘 입기좋아요!!!패턴이예뻐서 허리에 묶어도 진짜 예뻐요!!!!!~~전체기장은 적당학 핏도 예뻐요 ㅎㅎ 그렇게 크게 나온것같진안고 딱적당합니다!!!!!!!!ㅎㅎ 감사합니답~
boke**|위아래로 검정입으니 저승사자 같네요 호호 일단 이건 대박임.. 같이 산 스트라이프티는 이게 목이 올라오는ㄹ건가 싶얼는데 이건 평점 10주고 싶을 정도로 이쁘고 소자랑 질도 최고고 늘어날 것 같지도 않고 걍 최고에여ㅜ지금 고고싱에서 기본티만3개샀는데 이거 흰색또살거임...이런 질로 많이 만들어주세요♡
jiin1**|이뻐요
choi9405**|니트예뻐요 근데 약간 옆으로 크긴해요 ㅎㅎㅎ그래도 분홍색 색상너무 예쁘네요!!!!!!!ㅎㅎㅎ흰색반바지랑입어도 예뻐요 ㅎㅎㅎ음음.. 또... 아 기장은 약간짧아요!! 넣어서 입어야 예쁜것 같습니다!! 그래도 가격대비 좋아요 ㅎㅎ
jiin1**|이뻐요
my925**|포카슬랙스 후기용- 키, 몸무게 167,53-착용사이즈 M-착용후느낌은?(좋은점/나쁜점)5월초에 주문하고 20일정도만에 받았어요ㅠㅠ주문폭주 상품이라서 오래걸렸네요..포카 와인은 당일출고되서 금방 받아서 입었는데원래 입던 사이즈대로 샀더니 잘 맞아서같은 포카니깐 블루도 잘 맞겠지했는데허리가 크네요ㅜㅜ 흘러내려서 못입을정도는 아니지만자꾸 내려가니깐 신경쓰여가지고 허리를 좀 줄이려구요허리빼고 핏은 맘에 들어요!바지길이도 적당해서 접어입어도 괜찮고 그냥 입어도 괜찮아용!ㅎㅎ 두께도 얇고 재질자체도 시원해서 여름에도 입고다닐수 있을거같아요^^ 가격대비 만족해용~♡블랙,블루,와인까지 다 포카로 샀어용ㅎㅎ잘입고다닐게여~~
kpp16**|진짜이뻐요 ㅜㅜㅜㅜ 완전내스찰 아무나입어도 다잘어울릴 티에요ㅎㅎ
choi9405**|옷예뻐요 분홍색 니트랑 같이 샀는데 잘어울려요 지금은쫌 더워져서 봄이랑 가을에 입으면 좋을것같네요이것만 입어도 여성스럽고 니트랑 같이 입으면 기여어용허리부분은 많이 크진안으데 그래도 약간 넉넉하긴해요ㅎㅎㅎ레이어드하기 좋습니답
boke**|일단 이거는....이런거 갖고 싶어서 엄청 기대하고 산건데 생각보다는 별로였어요ㅠ옷 자체는 이쁜데 목티인데 목이 다 늘어져서 온..★사진에서는 옷을 뒤로해서 티가 안나는데 원래대로 입우면 짱 늘어짐... 별로 목티같지는 않지만 그래도 디자인 자체는 이쁘고 뒤로해서 입우면 되니까 ㄱㅊ은거 같아여!그래도 다음부턴 목 짱쩡하게 만들면 좋을거같은 아쉬움ㅜㅜ
jiin1**|이뻐요
jiin1**|이뻐요
boke**|일단 완전 편하고 하비인데 다리도 안달라붙어서 좋아여ㅠㅠㅠ요즘 입기 딱좋은 두께같고 이 가격이면 개이득 핵이득 맨투맨이 좀 얇긴한데ㄱㅊㄱㅊ봄가을에 좋겠네요 검정 있으면 또 사고싶어요ㅠㅠ물론 또 세일을 한다면..ㅎ특히 바지가 핏도 이쁘고 짱짱
boke**|이거 걍 최고에여ㅠㅠ왠만하면 극찬 안하는데 허리도 고무줄인데 밖에서보면 전혀 안그러고 음식먹고 배나와도 라주 편합니당ㅎㅎㅎ하비인데도 완전 잘맞고 편하네여ㅜㅠㅠ소재도 완전 시원하고 후기보고 F(25~27)샀는데 완전 굿 초이스 사심 담아 뒷모습도^^!근데 굳이 단점을 뽑자면 아예 바지가 접혀나와서 그룬지 기장이 좀 짧아오ㅠㅠ그래도 이쁘니 패스
jiin1**|이뻐요
boke**|일단 봄옷세일?할때 샀었는데 입고지연되는거랑 같이 시켜서 주말제외 4~5일정도 걸렸어요!차이나카라 중에서도 이런 줄무늬 사고 싶었는데 저려미하게 잘상것같숨당!일단 장점은 가격도 착하고 빳빳해서 좋은데 몸통에 비해 팔통은 여유있는 느낌이고 목카라가 단추가 하나인줄 알았는데 두개네요..이건 저의 실수지만 아쉬웠숨당ㅜㅜ그래도 개성있어보여요 굿굿 이 가격에 이정도 질이면 괜찮은 것 같아여 제 후기가 도움되셨으면 좋겠습니덩!!
wlgup09**|입으면 입을수록 귀여워요ㅋㅋ
wlgup09**|바지가 딱 달라붙는줄 알았는데 그건 아니더라구요ㅠㅠ그래도 뭐 아쉬운대로 무난하게 잘입을수잇어요
wlgup09**|저한텐 길이가 좀길지만..ㅠㅠ그래도 아쉬운대로 입어도 이쁜것 같아요 연청 구매했는데 잘구매한것같아요
wlgup09**|너무 귀여워요ㅋㅋ입으면 입을수록ㅋㅋ특히 소매끝부분이 이쁜것같아용
jhi41**|고고싱에서 슬랙스랑 같이 구입했는데 같이입으면 진짜 여리여리하고 좋아요 더위 많이 안타시면 여름에 입어도 될거 같아요~~~!!! 싸고 질도 좋아서 자주 입게될거같아요~~ 좋아요 이런옷 싸게 사게 되어서 좋고 감사합니당ㅋㅋㅋㅋㅋ
qkrdbfl03**|화이트S시켰어요! 원래 짧은걸 별로 안좋아하는데 받아보니 생각보다 짧네요ㅠㅠ 그래도 가격대비 좋고 두고두고 잘 입을것 같아요 다른 색상도 구매 생각중입니당
jhi41**|좋아요 좋아요 꼭꼭꼭 필요한 기본 아이템이에요 기본인 흰색이랑 검은색 2장 샀는데 많으면 많을수록 좋을거 같은 이너입니당 ㅎㅎㅎ곧 여름이라서 비치는 옷들이 많은데 그럴때마다 항상 입지 않을까 싶구 암튼 기본템이라서 좋아요!!!!!
min**|정말좋아요 박시한 티셔츠 원했는데 원햇던 사이즈와 색상이에요 색상도 화면이랑 별반 차이없구요 ! 여름에도 거뜬히 입을수 있을거 같아요~ 그리고 무슨 바지랑도 잘어울릴거같아요! 잘입을게요~ 잘산거같은데 배송이 조금느렸어요 ㅠ2주걸렸어요 그거 말곤 괜찮아요!!
jamjam62**|그렇게 큰 기대 안하고 기본 흰색 티 한장 사려고 생각해서 샀는데 진짜 괜ㅊㅏ나요 ㅋㅋㅋㅋㅋㅋ 제가 옷살때 고고싱이용ㅇ을 자주하는데 진짜 고고싱 옷들은 다 괜찮은 것 같아요! 다른 티들은 얼마 못입고 버리는데 진짜 이 재질이면 오래입을수있을거같은느낌??
jamjam62**|가격이 저렴해서 그렇게 큰 기대를 안하고 받았느데 진짜 질도 괜찮고 핏도 괜찮고 너무 맘에들어여>!!!!!!!!!!!!!!!!!!  저는 검정으로 샀어요~~~ 그렇게 크지도 않고 딱 핏이 적당하네요!! 적당히 예뻐요~~~~~~~~~~~
jamjam62**|진ㄴ짜 이뻐여!!!!!!!!!! 완전 쫀쫀해요~~ 제가 원래  상의를 크게 입는 스타일은 아니어서.... 고고싱에는 66,77사이즈 티가 많더라구여 그래서 찾던도중에 이거 발견해서 바로 고민없이 샀는데 후회없어염!!!!!!!!!!!
jamjam62**|ㅏ바지 흰색 찾다가 세일 기간이라 고민 없이 질렀어요!!!!! 생각보다 많이 얇네요....뭐 원래 흰색 바지가 좀 비치기는 하지만... 이건 생각보다 많이 비치네여ㅠㅠㅠㅠㅠ 그 주머니쪽이 다 보이고..... 그리고 길이가 조금 짧은것같네요 허리는맞는데... 발목이 좀 더 타이트했으면 좋앗을텐데
jamjam62**|이 바지가 제일 맘에드네요 ㅇㅇㅇㅇㅇㅇ 제가 허리 26입는데 S샀어요!!!!!!!!!1 저한테 딱 맞는거 같아요 ㅎㅎㅎㅎㅎ 제가 붕 뜨는 핫팬츠말고 이렇게 딱 붙는 핫팬츠 사고싶었는데 진짜 사길 잘햇어여ㅠㅠㅠ후회없어용!!!!
jamjam62**|이 니트 보자마자 예뻐서 샀는데 지금 날씨가 너무 더워서 못입고 있어여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ얼른 빨리 입고싶네여....ㅎㅎㅎㅎㅎㅎㅎㅎ아직 안입어봐서 잘 모르겠지만 재질 괜찮아요1!! 맘에 드네욤! 번창하세요^^
jamjam62**|재질도 좋고 싸구려 티 안나서 좋은거 같아염ㅋㅋㅋㅋ저는 흰색 구매했고여..... 다른 색도 탐날 정도로 티가 괜찮네요. 그냥 기본티느낌????? 편ㅇ하게 입을 수 있을 것 같네여....ㅎ 핫팬츠에 넣어입어도 이쁘고 긴바지에 그냥 빼입어도 이쁘네욤
jamjam62**|검정색 많이 안짧고 편해보이는 짧은 바지 찾다가 이 바지를 많이 사셨길래 저도 샀어여 ㅎㅎ...  바지 사이즈 조금 넉넉하게 입으면 헐렁할까봐 일부러 딱 맞게 샀는데  밑위부분이 조금 짧아서 앉을때 힘든거같아여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
hs**|목ㅇ쫀쫀해서늘어날걱덩은안해도될거같애요 좀 덩치있어보이기는하디마누지금부터운동을....해야되는대너무졸린거같애요ㅜ다이어트는내일부터..!!!헿 모두들이쁜옷사시고 고고싱번창하세요파이팅파이팅파이팅오예
xxkkong**|다리핏은 진짜이뻐용ㅋㅋ근데 허리가 너무커요ㅜㅠ평소 스키니 26입는데....티 꺼내 입을땐 항상 한번 접어입고티 넣어 입을땐 수시로 바지를 올려줘야해요ㅋㅋ골반부분 허리부분 너무 큰거만 아니면 딱좋아요재질도 좋고 부들부들ㅋㅋ하체비만이라 슬랙스 핏 걱정됐는데더 날씬해보이고 좋아용ㅋㅋㅋㅋㅋ이 가격엔 개이득ㅋㅋ득템했네용
jamjam62**|제가 원래 심플한 스타일을 좋아해서 티 찾다가 이거 발견해서 바로 질렀는데 괜찮은 것 같아요 ㅋㅋㅋㅋ 소재도 얇은데 비침도 없고여... 근데 좀 티가 흐물흐물해서 생각했던 재질이 아니네여...그거빼고는 핏도 괜찮고 다 괜찮아용ㅁㅋㅋ
jamjam62**|예전에 분홍색으로 샀는데 ㄴ너무 이쁜거 같아서 흰색이랑 검정ㅇ 하나씩 더 샀어여 ㅎㅎㅎㅎㅎ 후회없네요.. 네이비로 하나 더 살걸 그랫나바여.. ㅠ_ㅠ 암튼 질도 굉장히 좋구여... 전 허리 평소에 26 입는데 S입으니깐 딱 맞아요!!!
ysubi**|재질도 괜찮고 빼입기도 좋고 넣어입기도 좋은 기장이에요!! 아이보리색 구매해서 어떤 옷이라도 잘 어울리는 것 같아요 :)
song0013**|편하게 입기 너무 좋아요!! 너무 이뻐서 정말 마음에 들어요
song0013**|한 사이즈 크게 사는게 좋을 것 같아요! 너무 짧지도 않고 딱 입기 좋아요
song0013**|처음에 물이 빠지는게 조금 심해서 바로 세탁했어요! 저는 원래 28을 입는데 작아서 교환했습니다 ㅠㅠ 한 사이즈 크게 사시는게 좋을 것 같아요
dabin22**|친구랑 트윈룩을 맞추려고 A러인 청치마를 찾고있다가 고고싱에서 맘에드는 치마를 발견해서 구매했어요서실 가격이 너무 착해서 큰 기대안하고있었는데 받자마자 놀랬어요! 안에 흰셔츠랑입으면 진짜 청순..♥멜빵떼고입으면 깔끔하고 청순한 느낌이들고 멜빵부착해서입으면 귀여워보여요! 가운데에있는 단추세개도 귀요미 쉽게 코디해서 예쁘게 입으려면 꼭 이치마사세요!!
song0013**|빳빳한 느낌이라 좀 걱정됬는데 지금 날씨에도 오히려 입기 좋더라구요! 단추가 하나밖에 없어서 몸을 숙이면 속옷이 살짝 보이는 이런것만 조심하면 되요! 편한데 셔츠느낌이라서 차려입고 싶을때 입음 되서 너무 편해요
rlaehdk11**|제리반티도 마찬가지로 바지랑매치해서 입을려고산건데 와이즈반티와가치 어떤바지에나 잘어울리기도하고 특히저기 제리문양이 너무귀여워서 자주애용하는티에여
tmfrl21**|일단은 배송이 빨라서좋았구요!!!위에 길이도 딱적당했습니다!!근데 치마길이가조금 ㅈ짧고 너무쫀쫀해서 입는데 조금 불편했습니다ㅠ 그치만 입으면 이쁘다는점!!!치마가 너무쫄려서 조금 불편했지만 그래도 핏은 이쁨!!
rlaehdk11**|기존트레이닝바지와달리 안착감이조코 아무때나 나갈때입기좋은 트레이닝인거같애요 적극추천합니당
rlaehdk11**|와이즈반티는 제가반하이숏팬츠살때 가치입을려고 삿는건데 지금은어떤바지와도 매치가잘되서 자주애용하는티에요~
tmfrl21**|제가 허리를 28정도입어서 L을샀는데 딱적당해요!!!길이도 딱적당!!그리고 그것보다 핏이 너무예뻐서 짱!!!강력추천 딱맞아용 진짜고민하시는분들 꼭사세여
rlaehdk11**|처음에살땐 사이즈걱정때문에 마니고민을햇엇는데 지금은 맨날입는바지에요 ㅋㅋㅋ 이 바지정말적극추천합니다
rlaehdk11**|히어로즈양말은 역시기대와같이 진짜기여워요 학교갈때마다 자주애용하는 양말인거같애요~
rlaehdk11**|아무 신발이랑 매치해도 좋은아이템인거같애용~^^
rlaehdk11**|티자체가 색감이좋아서 아무바지나 치마나 다 잘어울리는거같애요 특히 에이라인치마와같이입으면 여성스러움을 한뜻 업그레이드 해줄 수 잇는옷인거같애요~^^
qkrdhsdb**|편하게 입을수있어서 좋앙ㅅ
qkrdhsdb**|딱입었을때진짜 이뻐요.근데 허리가 너무커서..ㅠ실수로 L샀는데 M으로 바꾸고 싶은마음..이 하지만 이쁨니당
zoselqpdj1**|사이즈도 넉넉하니 좋고 질감도 너무 좋아요~~
gsm070**|옷은마음에들어요!!근데배송이ㅠㅠ놀러가는날에입을려고샀는데배송이지연되서놀러갔다온다음날에도착이했어요ㅠㅜ그래도옷이이뻐요!너무이뻐서2가지색깔을샀는데하나만도착했어요!ㅜㅜ결론은옷은이쁘네요ㅎㅎㅎ
qkrdhsdb**|편한티 입구싶어서 찾아보다가 샀는데 이뻐요@
esther**|색감이 생각보다 어두워서 좀 그랬는데 입으니까 이쁘요 ㅎ..전 m시켰는데 괜츈한듯!
duehgus1**|핑크랑 소라 색상 시켰어요. 핑크는 예쁘고 소라는 색상이 좀 진하네요. 옷은 마음에 들긴 한데...주문한지 2주가 지나서야 받았던 옷이에요. 다른 옷들 먼저 개별배송 해주신 이후로 아무런 연락도 없이 배송도 안 오길래 화나서 항의글을 올리니까 그제서야 보내주시더라구요. 배송 때문에 별 깎아요.
muz10**|심플한 무늬의 체크남방이라서 그런지 어떤 코디에도 잘맞는 남방인것 같아요^0^
duehgus1**|청남방 진짜 예쁘고 퀼리티 좋아요 첨에는 시킬까 말까 고민 많이 했는데 배달온거 입어보니까 되게 편하고 좋아요 색상도 시원한 느낌의 파란색이라 진짜 예뻐요!!
yrlee08**|진짜 2주기다려서 받은거라 화나있었는데옷 자체는 진짜 예뻐요!! 색감도예쁘고검은색이랑 흰색도 살까봐요ㅎㅎ
duehgus1**|가디건 귀엽고 좋아요 짧은 가디건 하나 사고 싶어서 주문했는데 딱 제가 원했던 엉덩이 안 덮는 가디건이라 마음에 쏙 드네요 그레이 주문했는데 다른 색상도 주문 해봐야겠어요ㅎㅎ
leemy06**|핑크색이 참 여리여리 해보여요..팔소매 길이도 적당하고 품도 적당하구요. 아까 미니슬랙스 바지에 입은걸로 피팅 된 사진을 보고 둘다 샀는데 둘이 입으니까 진짜 잘 어울리더라구요,핑크는 너무연한핑크는 아니고 약간 탁한?핑크인데 그래도 편하게 이쁘게입기 참 좋은듯요
duehgus1**|블랙 색상도 살까말까하다가 화이트만 샀는데 이거 되게 예뻐요 끝에 처리도 예쁘고 고급스럽고 소녀풍이라 특별한 날에 입기 좋을거같아요~하얀색 치마는 비칠게 걱정되서 한번도 안 사입었었는데 안 비치고 좋네요!!
leemy06**|이바지ㅜㅜㅜㅜ진짜잘샀어요. 하나 다른색으로 더 구매하고싶을 만큼이요! 이게 길이도 적당하고 엄청 시원해요. 속에 속바지형식으로 되있어서 비침 걱정도 없구요. 어떻게 활용해도 참 좋은 아이템인것 같아요. 샌들신고 나가면 정말 딱인 제품!
duehgus1**|오렌지랑 블랙 색상으로 샀는데 깔끔하니 예뻐요! 그냥 심플하게 받쳐입기 딱 좋은 아이템이에요 재질도 보들보들 쫀득하니 좋구요~
