hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
duawngm**|제가 몸이 뚱뚱한 편인데도 이옷을 입으면 좀여리여리해 보여요!! 그리고 이가격에 재질이 좋은것 같아서 좋았고너무 파인것도 아니여서 좋았어요
dmsodmso03**|하이반폴라 반티 아이보리색 주문해서 어제 물건 받았습니다. 지금 날씨에 입기 정말 좋습니다. 두껍지 않고 얇아서 좋습니다.다양하게 어느 하의에도 받쳐입기 좋습니다. 다들 티셔츠가 예쁘다고 하네요.가격대비 매우 좋습니다! 굿굿굿굿
gkdms25**|날 여자로 만들어 주는 티샤쓰..☆ 좀 널널할줄 알았는데 은근 타이트하더라구요 소재가 진짜 좋고 또 예쁜핏으로 달라붙어서 몸매가 좋아보여요!! 기본템사러 자주자주 오겠습니다!! 감사합니다
dbsk85**|평소에 28입는데 M시켰는데, 허리가 너무 작은 느낌이었어요!!ㅜㅜㅜㅜㅜㅜ L로 시킬걸 후회하고 있어요! 좀 많이 비치는 느낌이 들어서 안에 속바지 하나 더입고 입고 있어요 ㅜㅜ 허리 부분이 답답해서 아쉬워요 ㅜㅜㅜ 사이즈 잘 선택하세요!! ㅜ ㅜㅜ
dbsk85**|말그대로 여성스러운 느낌이에요~ 줄이 분리되어있어서 줄을 잃어버릴까봐 조마조마하긴 하지만 입었을때 핏은 정말 예뻤어요~ 데이트 할때 입고나가면 좋을거 같아요~~ 소재도 시원시원하고 좋아요! 가격도 이정도면 적당한거 같네요~~
duawngm**|천이 조금 두껍지만 그래도박음질 잘되있고 쫀쫀해서 좋은것 같아요 ㅎㅎ기장이 마음에 들면서 특히 어디에 맞춰입기 쉽고 무난해서 저는 개인적으로 좋아요
dbsk85**|옆에 팔이 너무 여성스러운 느낌이 들긴하네요~ 그리고 고무줄로 되어있어서 팔에 자국도 살짝 남구요 ㅜㅜ! 근데 가디건이랑 같이 입으니까 꽃무늬만 보이고 예뻤어요~~ 여성스러운 느낌이 많이 나서 좋은거같긴해요! 길이가 생각보다짧아서 안에 반바지 입고 입었어요!
eills8**|보통 m사이즈 입는데, 후기보니까 작게나온감이 있대서 급하게 L사이즈로 바꿔서 주문했어요. 입고때문에 많이 밀려서ㅠ 늦게받았지만 계속 문자로 알림와서 좋았어요 ㅎ 사이즈는 정사이즈 추천드려요; 전 L샀더니 커서 줄줄줄 흘러내리는..ㅠㅠ 밑위도 깉 제품이라서 진짜 한없이 바지가 내려가네요ㅠㅠ 허벅지나 다른건 핏이 예쁜데 허리가 너무커서ㅠㅠ;; 수선해서 입어야 할거같아요.
gkdms25**|자꾸 사진이 돌아가네요ㅠㅠㅠㅠ흑흑 옷 밖으로 빼서 입은거랑 안으로 넣어서 입은거예요ㅎㅎㅎ 기본템으로 진짜 짱입니다!! 은근 여리여리해 보이고 좋네요..♡ 여름에는 고고싱에서 산 옷들로만 입고 다닐듯해요 짱짱!!!! 자주 애용할게요
dbsk85**|원피스랑 같이 코디해서 입으려고 샀어요~ 색깔 아이보리로샀는데 여성스러운 색깔이에요~ 가격도 저렴하고 그냥 바지랑 같이 입어도 잘어울리는 거 같아서 좋네요! 옷이 좀 구깃구깃하게 왔는데 잘 다려서 입으면 괜찮을 거 같네요~~ 감사합니당!
