150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
gwonju43**|일단 색이 너무 이쁘구요 박시한 가디건인데도 원래 가디건이 너무 부해보여서 잘 안입는데 이건 막 부해보이지도 않고 적당히 딱 이쁘게 박시해서 좋아요 잘 입고 다니고 있어요 구매추천합니다
gwonju43**|옷이 되게 이쁘구 색상도 아이보리색 그자체로 이쁘구 핏도 모델분처럼은 아니지만 좋아요 길이도 짧지도 않고 길지도 않고 적당하구요 밴딩위치도 모델분 보고 너무 위는 아닌거 같아서 구매했는데 나름 괜찮긴 햇어요 패턴도 보기 그대로구요
lalara**|무난하게 입으려고 화이트 주문했어요! 굉장히 박시하고 데일리하게 입기 너무 좋습니다ㅎㅎ 요즘 티 하나입고 남방 걸치면 딱이에요
lalara**|머스타드랑 고민하다가 무난하게 그린으로 주문했는데, 색상이나 질감은 괜찮아요! 근데 생각보다 약간 얇은 느낌이 들었어요
gkdl09**|빨아도 목이 안늘어나고 좋았어요!!흰 바지에 입으면 진짜 잘어울려용ㅎㅎㅎ남색 티가 없어서 샀는데 색상도 이쁘구용ㅎㅎㅎㅎ품도 적당해서 완전 마음에 들었습니당!!!다른 색도 사고싶어요오오오!!!
lalara**|길이도 괜찮고 무난하게 이옷저옷에 다 어울리는데, 입고 벗을때 골반에서 쫌 걸려서 힘등어요, 입고나면 허리는 남고ㅠㅠ
gkdl09**|진짜아 이뻐요오!!!제주도 갈 때 입으려고 샀어용ㅋㅋㅋㅋㅋㅋ제주도랑 분위기가 잘 어울려서 더 좋았던거 같아요!!!!!좀 크기는 한데 그래도 옷이 안달라붙고 시원했어요!!너무너무 마음에 듭니당!!’
lalara**|밀크티랑 고민하다가 얼그레이 샀는데 색상 너무 이뻐요!요즘같이 약간 바람불어서 선선할때 걸치면 딱이에요ㅎㅎ
ha52**|같이 산 치마랑 코디해서 입어봤는데 정말 예뻐요~! 데일리로 입기 좋고 여성스러운 느낌도 드네용ㅎㅎ 남친이 예쁘다고 해줬어요 잘 입을게용
ha52**|편하게 직장다닐 때 입으려고 산건데 괜찮네요ㅎㅎ 옆구리쪽이 살짝 붕 뜨는 감은 있는데 데일리로 입기 좋은 것 같아요~
81894771**|색깔이 너무 예뻐요!!!! 길이감도 적당하고 재질도 부드러워서 자주 입을것같아요ㅎㅎ 어디든 잘어울려서 입기 편할듯합니당
ha52**|역시 통통인 저에겐 모델핏은 나지 않았지만 옷은 정말정말 예뻐요! 속치마가 조금 짧아서 아쉽긴 한데 나름 짧은 것도 예쁜 것 같아요ㅎㅎ
usskim**|쓸데없이 너무 큰 사이즈를 샀아요 제가 30 정도입는디 엑스라지면 될줄알랐는데 너무커서ㅜㅜ 반품하기도스렇고 대충 바짓단이랑 허리 살짝 꼬매서입었어요 색감은 장난아닙니다
