150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
jin02**|색깔도 연하게 색이 빠진 연청색이고 이뻐요!! 핏도 일자로 날씬해 보여요!!!!적당히 좋은것 같아요ㅎㅎ
le94**|너무 이뻐요~~ 가격대비 잘 산거 같습니다ㅎㅎ팔부분이 나팔형식이라 기본티보다는 좀더 여성스러운 느낌이에요 !
le94**|멀리서보면 이쁜데 가까이서 보믄 약간 요란한 느낌이에요ㅋㅋ허리가 좀 더 딱 쪼이면 이쁠거같은데 살작ㅍ남아서 핏이 완벽하진않아요..
le94**|너 무 이 뻐 요 !! 저 이거 맘에들어서 검은색사고 소라색도 산건데 ㅎㅎㅎ만족합니다. 소라색 함부러 도전못하는데 짙은 소라색이라 잘 어울립니다 ㅎㅎ
le94**|아..ㅠ전형적인 웜톤인데요..핑크샀는데 쿨톤핑크네요...ㅠㅠ베이지색 사면 딱 좋앗겟다라는 생각드네요~~시원하고 디자인이나 길이감 이쁜데 색이 안어을랴서ㅠ아쉽네요
hyunji95**|전에 다른 쇼핑몰에서 이런 자켓샀다가 너무 커서 반품했는데 이건 잘 맞아요 저는 루즈핏 좋아하긴하는데 루즈핏까지는 아니고 딱 맞지는 않는다 정도? 다들 자켓입을때 생각하시는 그 크기에요 예뻐요 자주 입어요
hyunji95**|저는 몸집 자체가 좀 작아서 무슨 옷을 입던지 커서 옷이 큰 느낌이 별로 나쁘지는 않았어요 그래도 적당히 정장처럼입고 힐신으면 예뻐요
hyunji95**|예뻐요 이런 체크셔츠는 처음 사보는데 또 사고싶어질 정도로 예뻐요 전혀 공대생아니구 여대생같아요ㅋㅋㅋ
qkrtjda**|이뻐요이뻐용!!!
qkrtjda**|배송빠르구 화면이랑 똑가테용 잘입을게용
qkrtjda**|넘넘ㅇ뽀용!!!
tladkfka1**|몸에 잘 맞고 쫀쫀하고  여리여리해보여요 ㅎㅎ 진짜 예뻐요 !!아이보리색 샀는데 청바지나 청치마랑 입는게 제일 이쁜거같아요 ㅎㅎ
tladkfka1**|바지나 치마에 다 잘 어울려요 ㅠㅠ 너무 예뻐요 ㅠㅠ크기도 딱 적당해요 !! 블루도 이뻐서 또 주문할거예요 ㅠㅠㅠㅠ
rnalswn32**|진짜 제가 심각한 하비인데 투피스를 입으니까 엄청 다리가 얇아보여요!!이거 고민하시는 분들 바로 지르세요!!제가 허리가 클까봐 s를 입었는데 생각보다 괜찮아서 좋았어요><너무 마를 필요없어요!!진짜!!
tladkfka1**|스판끼가 많아 잘 늘어나고 몸에도 쫀쫀하게 잘 맞구 엄청 편해요 !!  ㅈㅓ번에 샀는데 몇일전에 또 재주문해서 어제 배송 받았어요 ㅎㅎ 진짜진짜 좋아요 ~!
com92**|원피스 자체가 여리여리하고 여성스러워서 마음에 들어요~ 롱원피스이다 보니 키 작은 저한테는 조금 긴 감이 없지않아 있는데 그래도 이쁜거같아요~ 베이지로 샀는데 봄이나 가을에 다 잘 어울리는 색감으로 나온 것 같아요ㅎ
gy5**|키가 156cm인데 딱맞다고해서 기대했는데 크롭팬츠라 그런지 생각보다 짧더라구요 길이 잘 보고 사셔야할것같습니다 그 외에 색깔이랑 핏은 넘 맘에 듭니다. 신축성은 없어요 그리고 M샀더니 허리가 좀 컸어요
com92**|셔츠남방은 소라색으로 샀는데 시원해보이고 후들후들하니 한여름에 입어도 안 더울 것 같아요~! 모델분처럼 흰바지랑 입어봤는데 깔끔하구 바다 갈 때 입으면 딱 일거 같아요~ㅋㅋ 잘 입겠습니당~
gy5**|프린팅이 일단 귀여워서 마음에 들었구 재질도 나쁘진않아요 사이즈도 넉넉해서 루즈핏으로 잘 입을 수 있을것같아요 색깔도 그렇고 마음에듭니다
gy5**|품이 낙낙해서 좋습니다. 냄새가 너무 나서 일단 빨아야할것같아서 밖에서 입진않았어요. 옷 이쁘네요
bjy01**|옷색깔은 붉은 와인색이고,(고추장색) 실물진짜 진짜 예쁜데 팔부분제외하고 좀 두꺼워서 여름에 입긴 힘들것 같아요ㅠㅠ그리고 제가 통통해서 그럴수도 있는데 밴딩이 딴딴해서 입고 벗기 너무 힘들어서 벗을때 친구가 도와줘서 겨우 벗을 수 있었어요ㅠ갈비뼈가 너무 찡겨요ㅠ 그래도 너무너무예쁘고 많이 파이지도 않아서 밴딩빼고 만족해요!!배송도 빠르고~
93944070**|역시 모델이 입어서 이뿐데 제가 입으면 안이쁜거같고 그래여 허벅지는 진짜 딱 맞고 종아리는 좀 커요 스판끼 없어요
gnltp**|예뻐용!! 어두운자켓이랑 치마 밖에없어서 밝은 세트 필요했는데 딱이에요 ㅎㅎ 이제 너무 더워져서 가을에나 입어야할것 같지만 싼 가격에 잘 산 것 같아서 넘 좋네용~~
gnltp**|기대를 너무 많이해서 그런가 약간 아쉽지만 ㅠㅠ 그래두 예뻐요 색깔이 블랙이라기엔 좀 밝아요 그리고 구깃구깃하게 와서 다려서 입어야 할것 같아요 그래두 좋아요!!
yamp**|촤르르 소매 옷 이쁘네요요즘 후기쓰는게 넘나 귀차나여 옷이 올만에이쁘게 떨어져서 사진찍다 오늘 후기올려야지 햇아요 ㅎㅎ 잘입을게요
gnltp**|예뻐요 세일할때 잘 산것 같아요!! 무난한 핑크핑크 생각했던 핑크보단 약간 더 밝은 느낌이지만 그래두 좋아요 ㅎㅎ
gnltp**|너무 예뻐요 기대했던것보다 훨씬 ㅋㅋㅋ 색깔에 반해서 산건데 색깔 진짜 짱 예뻐요ㅠㅠ 친구들도 예쁘다고 물어보네요 ㅎㅎ 재질이 되게 시원해서 여름까지 입기 좋을것 같아요!!
gnltp**|기대해서 그런가 약간 실망했어요 ㅠㅠ 뭔가 재질이 좀 싼느낌이 나요 그래두 롱슬랙스가 없어서 필요했는데 가격대비 괜찮은 것 같아용! 막 입기 좋은느낌이애요 ㅎㅎ
gnltp**|생각했던것보다 더 예쁘네요 ㅋㅋㅋ 뭔가 배부분 고무줄 부분이 딱 잡아줘서 날씬해보이는것 같아요 길이는 생각보다 안길어요 엄청 롱할줄 알았는데 그래도 예뻐요!!
cyh12**|저는 아이보리로 주문했습니다블라우스 치고 조금 많이는 얇지는 않는 거 같아요 그래서 어떻게 보면 나름대로 괜찮죠  또 하나 입어 봤는데 손목에서 조금 올라오는 편입니다사람마다 신체 조건이 다르니까요 아 그리고 가격 대비 나름 괜찮아요
gnltp**|예뻐용 세일할때 사서 더 예쁜듯 ㅎㅎ 무난하게 입을 가디건 없어서 산건데 부해보이지도 않고 입고다니기 편할것 같아용 자주 걸칠것 같아요 좋아요~~
gnltp**|예뻐용 디자인보단 색감보고 산거라서 일단 색은 너무 맘에 듭니당! 딱 화면에서 보이는 블루에용 ㅎㅎ
lee50**|가격대비 나쁘지 않아요 면도 부들부들해서 여름에 입기도 좋을거 같아요!!!!!!!!!!!!!!
lee50**|배송 진짜진짜 느려요 이거하나 받는데 2주는 걸렸네요.......................
lee50**|배송 진짜진짜 느려요 이거 하나 받는데 2주는 걸렸네요...................
buyl07**|약간 큰데 색도 예쁘고 진청색처럼 여러 옷에 코디 할수 있을 것 같아요. 주로 애용할게요!!
buyl07**|중청이랑 색이 비슷한데 그래도 약간을 틀려서 여러 옷에 코디할 수 있을 것 같아요. 약간 커도 예뻐요!
buyl07**|이런 색상 원했는데 색상도 예쁘고 참 좋아요!! 이제 많이 더워지면 자주 입고 다니려구요!1
buyl07**|처음에는 좀 커보였는데 옷에 너입으니 핏도 좋고 유치해보일까도 했는데 은근히 괜찮은 것같아요!
tlqjf90**|무난하게 블랙으로 구매했어요생각보다 얇네요  그래도 막상 입으면하늘하늘해요. 앞에 가슴부분이 훌렁훌렁거려서잘 고정이 안돼요. 꿰메든지해서 고정을 시켜야지안그러면 은근 파여있는 편이라서 안에가 보일 것 같아요. 잘 고정시키고나서 입으면좋을 것 같아요. 검정이라서 비침는 거의 없는 편이구요바람불면 조금 잘 날릴 것 같아서 걱정되긴 해요.그래도 이가격에 기분전환용으로 잘 입을 것 같아요.
buyl07**|색도 예쁘고 독특해서 엄마께서도 같이 입으세요. 이것 또한 애용하는 상품이에요. ㅎㅎ 앞으로 많이 입고 다닐게요!
buyl07**|아빠께서는 저한테 이 색이 안어울린다고 그러셔요.ㅠㅠ 그런데 제가 봤을때는 같이 산 가디건이랑 입으니까 색도 예쁘고 괜찮은 것 같아요!
buyl07**|처음엔 뒤에 글씨 있는데 좀 안예뻐보였는데 입고 돌아다녀 보니 엄마께서도 예쁘다 하시고 맘에 드는 상품입니다.ㅎ
buyl07**|사이즈도 잘 맞구 디자인도 심플해서 많이 입고다니고 편하게 입고 다닙니다. 감사합니다. ㅎㅎ
buyl07**|색깔이 예뻐서 어디에는 다 잘어울려서 애용하는 상품입니다. 다음엔 올리브색사볼까 생각중입니다.ㅎㅎ
buyl07**|핏도 좋고 색깔도 예쁘고 어디에든 잘 어울려서 아주 잘 입고 있어요~~다음에는 핑크색이나 회색도 사볼까 생각중이에요 좋은 상품 만들어주셔서 감사해요~~
gee11**|이뻐요~~~봄에 흰티에 체크남방 위에 걸쳐입으면 무난해서  구마랬는데괜찮아요 근데 길이가 조금 길었으면 하는 아쉬움 ㅜ
gee11**|이거 진짜 이쁘고 좋아요재질도 톡톡하고 막 얇디얇은 블라우스가아니여서 계절타지않고무난하게 입을 수 있을것같고 목부분이 리본으로 뚤려있어서 블랙이여도 너무 더워보이지 않는거같아요
gee11**|이거 색상 사진이랑 비슷해요여름에 시원해보일것같아서 구매했는데 잘입고다니고있어요!! 옷이뻐용
gee11**|그냥 무난하게 입을수 있어서 좋아요재질도 괜찮고 길이는 많이 길지않아요전체적으로 박시하지 않아서 딱맞게 입을수읶을거같아요
21923522**|이 가격에 이런 디자인너무 만족스럽습니다 ㅎㅎ여리여해보이고오늘 날씨 엄청 더운데딱 입기 좋네여
ary78**|세일해서 싸게 사는맛에 샀는데 너무 예뻐요 ㅠㅠㅠ 진짜 나풀나풀하고 와인색은 안어울려서 검정색샀는데 너무 예뻐오 진짜 ㅠㅠ 예쁘게 입을게요!!
zlfkfk6**|굿걸배드걸티셔츠 너무 이뻐요 대신 목이 좀 늘어날거같긴하지만청바지랑같이입어도이쁘겟고 검정바지랑 입어도이쁠거 같아요! 배송약간느리긴햇는데 티 보고 너무이뻐서 괜찮앗어요암튼 티가이뻐요
zlfkfk6**|와 이거 바지 진짜 짱 이뻐요M을살까S를살까 고민하다가 S삿는데 허리는딱맞고 끝에 접지는 못할거같아요 길이도딱 맞아서 아무튼 이바지 넘이뻐욜ㄹㄹ
zlfkfk6**|바지 진짜 이뻐요ㅠㅠ제 인생바지라 해도 손색이 없을정도예요근데 제가 바지 를 키에맞추다보니 M에 삿는데 허리가 너무커요ㅜ S를 살껄 그랫어요그래도! 바지가 너무이뻐서 수선맞기면 괜찮을거같아요꼭 사세요 짱 이뻐요
aaiy**|할인해서 구매했는데 생각보다 괜찮아요!!! 사진보다 컬러는 밝은데 더 밝아서 이쁜 것 같아요 근데 생각보다 구김이 많아서 아쉬워요ㅠㅜㅠ 옷자체가 구김가는 것 같은데 그거빼고는 다 좋아요
zlfkfk6**|가방이 좀 큰데 키큰 제가 입어도 커요모든옷에 잘어울리는 가방같아서 많이메고다닐거같아요~좋아요좋아요좋아요좋아요
savag**|치마가 너무 이뻐요>< 길이감이 짧지않아서 너무 좋고 어디든지 다 잘 어울려요!! 맨날 청치마가 구매할때마다 너무 기장이 짧아서 한철입고 버리는데 이번 치마는 꽤 입을수있을꺼같아요 그리고 살짝 허리가 크네요ㅠㅠㅠ
smfgk57**|조금 큰 편은 없지않아있는데 딱 맞는거 보단 핏이 훨씬 예쁜거같아용!! 제가 생각했던거보다 색깔이 너무 예쁘구ㅠㅠ 앞으로도 니트는 고고싱에서 사겠습니다ㅎㅎ
smfgk57**|저번에 한번 검은색 구매한적있는데 얇지도 않고 딱 요즘같은 날씨에 입기 좋아서 이번엔 다른색으로 구매할려고 했는데 마침 소라색이 매진이여서 좌절하고 있었는데 문의하니까 다행이도 소량의 재고가 남아있어서 얼른 겟 했습니다!! 인생니트 찾은거같아용^*^
smfgk57**|바지길이가 길줄알았는데 생각했던거보다 제 다리랑 딱 맞아서 좋아요!!고민하고 계신분들은 매진되기전에 얼른 사시는게 나을듯!!!상품평들보고 작을까봐 걱정했는데 딱 맞고 좋아용 항상 인터넷에서 검은색바지 사면 사이즈를 잘못골라서 2개나 실패한적있었는데 앞으로 바지는 고고싱에서 구매할려구요 불편하지도 않고 딱 맞아서 마음에 듭니다!^)^
wyj06**|예쁘고 아주 좋아요~~~봄가을용으로 딱이예요!!그레이 말고 다른 색상들도 구입하고 싶어요!!
nate87**|청치마 사고 싶어서 이곳저곳 다봤는데 맘에 드는게 없더라구요 핏이 맘에 들면 색깔이 맘에 안들고 그랬었는데 고고싱 청치마가 딱 제가 원하는 핏에 색깔이였어요 !! 연청 치고 좀 짙은 감이 있지만 그래도 예뻐요 ㅎㅎ
wldms89**|산책이나 운동할 때 입을 용도로 주문했어요 아직 입어보진 않았지만 무난해서 좋아보이네요~
wldms89**|틔기는 하지만 그만큼 예뻐서 주문했어요! 실제로 봐도 예뻐요 특히 싼 가격에 만족합니다!
wldms89**|옆트임을 포인트로 하는게 마음에 들어서 주문했어요~ 입어보니 편하고 좋아요 만족합니다!
wldms89**|색상보고 주문했어요! 프린트도 틜 정도는 아니라서 만족해요 실제 색상은 사진보단 살짝 진한거같네요
wldms89**|사진 색상만큼 청량함?은 아니지만 만족해요 그보다는 살짝 어두운 민트색이예요 근데 제게는 아빠잠옷같아보일정도로 크긴해요..
wldms89**|스판이 잘되있어서 움직이고 편하고 쫙쫙 늘어나서 좋았어요 다리가 길어보이는 것 같고 좋아요!
wldms89**|입어보니 움직이기도 편하고 색도 사진과 비슷해서 좋았어요 무엇보다도 s샀는데 잘 맞아서 만족해요!
697958651**|실물이랑 다른 옷들이 많은데 같아서 좋았어요 실물도 예뻐요~아쉬운 점이 있다면 속이 비쳐서 속치마 구입했어요ㅎㅎ
eday**|스판이 좋아서 편하게 입기 좋은 스키니임~~무난무난하게 입기 좋을것 같고 생각한것보다 밝긴하지만 정말 무난하게 데일리로 입기 좋아요~스키니 핏도 좋음!
697958651**|다른 속바지와는 다르게 딱 잡아주는 느낌이 있어서 좋았어요 !원피스 속에 입으려고 구입했는데 만족해요ㅎㅎ
755380529**|이뻐요
755380529**|이뻐여
755380529**|조아여
467501075**|제가 보라색을 엄청 좋아하는게 딱 제가 원하는 진보라색입니닿ㅎ 역시나 짧은건 마찬가지... 그래도 색이 이뿌니깐 입을거에요 너무 엉덩이 크지 않으면 웬만하면 맞긴 맞읅듯여
72306080**|보자마자 꽂혀서 샀는데 너무 예뻐요!!!진짜 하나도 안 저렴해보이고 은근 고급져보이기도하고 하여튼 진짜 이뻐요! 어깨는 거의 홀터넥이라 생각하심 될 것 같은데 그것마저 저는 너무 취향저격이라 좋았어용
467501075**|제가 생각한 핏이 딱 나와서 너무 좋았어요!! 팔 길이도 너무 길지도 짧지도 않은 길이고 상체 길이도 그래요!! 옷이 너무 이뻐서 편하게 잘 입을 수 있을것같아요~ 디자인도 이쁩니당ㅎㅎ
dekuu12**|친구랑 같이 구매를 했는데 친구도 너무 이쁘다고 맘에 든다고 하고 고고싱에서 구매 하길 잘했다고 해요! 항상 감사합니다.
dekuu12**|친구랑 같이 구매하는 티예요! 너무 이쁘고 디자인도 너무 맘에 들어요! 올 여름도 고고싱 믿고 삽니다
467501075**|일단 엄청 짧다는 거 아셔야됩니다 엄청 짧아요 이건 거의 뭐 속바지로 입어야될 정도에욬ㅋㅋㅋㅋㅋ제가 운동을 해서 엉덩이가 많이 올라가있는데 이 바지 입으니깐 딱 엉덩이만 가려져요.. 허벅지로 내려오는 천이 거의 없어..암튼 무난하게 좋아요
dekuu12**|소라색은 왠만해서는 안사는데 디자인이 맘에 들어서 구매를 했는데 역시 구매 하기를 잘했어요!
dekuu12**|사진 보다 실물이 더 이뻐요 무난하게 입을수 있는 오프숄더라서 좋고 리본이 포인트! 너무 이뻐요
dekuu12**|반바지 진짜 계속 애용하고 있어요! 너무 맘에 들고 편하고 올 여름에 계속 찾을 반바지예요 반바지도 역시 믿고 사는 고고싱
467501075**|운동할 때 편하게 입으려고 저렴하길래 샀는데 괜찮아요!! 레깅스에 반바지 입으면 이쁠것같아요!! 이 가격에 이정도 레깅스면 살만 합니당ㅎㅎ 걸을때도 편하두 좋아요~
dekuu12**|진짜 실물 갑! 베이비돌은 잘 안사는덴 이뻐서 구매를 했는데 구매 하길 잘한거 같아요! 고고싱 항상 감사합니다.
dekuu12**|진짜 실물 갑! 너무 이쁘고 맘에 들어요! 제가 원하는 스타일의 뷔스티에 투피스를 찾아서 너무 좋아요 역시 믿고 사는 고고싱
467501075**|배송은 되게 늦게 와서 속상했어요.. 상품을 딱 봤을때 구김이 상당히 심해서 좀 놀랬어요 다림질을 해야되나 싶었는데 엄마가 린넨 소재는 원래 그런 느낌으로 입는거래서 그냥 입을려구용 실제로 입어보니깐 자켓느낌보다는 그냥 어깨쪽이 각진 남방느낌..? 솔직히 이 가격이 이 옷을 사는건.. 좀...? 사진같은 옷의 느낌은 안난다고 보시면 되용
aofurw**|오래입을 수 있는 티는 아니에요. 몇번빨면 늘어날 것 같아요. 그냥 가격만큼 입을 수 있는???그리고 냄새 완전심해서 빨아서 입어야해용.. 다른건 안그러던데 이 티만 유독 냄새가 심하더라구요.
aofurw**|ㅅ색도 너무 이쁘고, 핏도 원하던 느낌이라 너무 좋아요. 확실히 레드계열이라 많이 싼티나지도 않고  슬랙스에 입어도 캐주얼핏으로 딱
aofurw**|저의 개인적인생각으로는... 바스트가 없으신 분들에게는 권장드리지 않습니다....ㅜㅜ 완전 마르핏이고 아담하시면 다르겠지만..바스트가 눌려보인다랄까요? 큰사람도 부해보이지않고 좀 눌려보이는 느낌이에요... 표현하기 그렇지만.. 그래서 바스트사이즈가 좀 있는 친구에게 줘버렸습니다...ㅜㅜ슬프네요. 옷은 화면과 같고 여름에 입기 시원한 그런 느낌이에요.
cglov**|예쁘고 말라보야요 블랙샀는데 예뻐요여름에 예쁠듯 ㅠㅠ 소매도 짱짱해요다른색도 사고싶어요~~~~ 시원한 재질이에요
tmfrl07**|너무짤벵여 ㅋㅋㅋㅋㅋㅋㅋㅋ이쁘긴한긋 ㅎㅎㅎㅎ 엠치곤좀작게나온거같아요 ㅋㅋㅋ이뻐요 ㅋㅋㅋㅋㅋㅋㅋ
tmfrl07**|하냔색필요해서삿습미다 ㅋㅋㅋㅋ이쁩니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ구겨졋네요좀ㅋㅋ이뻐요
tmfrl07**|ㅋㅋㅋㅋㅋㅋㅋ레깅스필요해서삿느네너무조아욮ㅋㅋㅋㅋㅋㅋㅋ길이도딱이에요좋습니닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
tmfrl07**|E기본단가라ㅝㄹ여해서삿는데 조아요 ㅋㅋㅋ근데너무얇네요 여름에입기보아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
56976080**|가슴 쪽이 좀 끼고 확실히 팔 움직이기 불편하긴 하더라구요 길이도 딱맞고 다 좋은데 확실히 상체가 불편해요. 조심해서 입어야겠고 생각보다 많이 파였어요. 후크 걸어도 벌어지는것도 있고 진짜 마른사람이 입으면 좀 편하게 입지 않을까 싶어요.
56976080**|초여름까지 ㅇ입을 수 있는 두께이긴 한데 색감은 가을가을해요 그래도 이 가격에 나름 무난하게 입을 수 있는 옷이라 괜찮은것같아요. 막 예쁘다거나 그렇진 않고 그냥 사진대론데 사진으로 볼때보다 좀 더 흐물거리는 느낌이 있었어요
56976080**|허리선이 조금 높이있고 리본은 타이트하게 꽉묶는게 예뻐요! 사진으로 보면 쨍하게 예쁜 빨간색같은데 아니고 진짜 그냥 와인색이구요 빨때 주의하실점은 반드시 단독세탁 해주세요! 흰옷이랑 같이 빨았더니 물빠짐 너무 심해서 다 물들었어요,,
kna12**|니트라고해서 보풀 일어날까 걱정했는데 생각보다 탄탄한 느낌입니당 비침이 생각보다 적어서 좋고 요즘 날씨에 입기 딱 좋을 것 같습니다ㅎ 이 옷 때문에 배송이 좀 늦어졌는데 예뻐서 너무 만족합니다
kna12**|처음에 뒤에 지퍼있는줄 모르고 바보같이 낑낑대면서 입었네용ㅋㅋ 색도 마음에 들고 하늘하늘해서 예쁜데 허리가 뭔가 부해보여요 마른 분들이 입으면 정말 예쁠 것 같습니다ㅎ 원피스 평소에 잘 안입어서 살까말까 했는데 사길 잘한 것 같아요!
linda0**|제가 키가 작아서 길이 적당한 원피스 찾기가 쉽지 않은데 이건 딱 적당하고 좋아요!! 그리고 사이즈도 편하게 잘 맞아서 아주 잘 입고 다닐 것 같아요♥ 한 가지 아쉬운 점은, 제가 뱃살이 많은데 허리끈이 가슴 바로 밑에 있어서 그런지 뱃살이 더 돋보이는 것 같아요....ㅠㅠㅠ허리끈이 조금만 더 아래쪽에 있었으면 좋았을텐데ㅠㅠㅠ 그래두 고고싱에서 같이 산 가디건이랑 입으니까 뱃살도 가려주고 맘에 들어요♥
kna12**|올드해보일까 걱정하면서 살까말까 고민했는데 기대 이상으로 예쁩니다 이번에 옷 많이 샀는데 제일 마음에 들어요! 하늘하늘해서 여름에 시원하게 입을 것 같네용 도트가 꽃무늬같으면서 은근 귀여워용
kna12**|앞에 조그만 프린트도 귀엽고 뒤에도 귀엽습니당  어깨부분이 신경쓰인다는 후기를 봤는데 뭔가 뾰족하다고 해야되나 그런 느낌이긴한데 옷이 너무 커서 뒤로 밀려가서 그럼 것 같네용 그래도 너무 마음에 들고 프린팅 안 없어지게 등 기댈 때 조심해야할 것 같습니다~
jsua09**|가격에비해 완전 예뻐요
jsua09**|맘에들어욤
jsua09**|색감이 좀 별로였자만 괜찮았어여
candy0305**|사진그대로 똑같이 생겼어용 평범한티에 입어도 멜빵으로 포인트를 줄수있어서 너무좋은거같아요 귀여워보이고활기발랄해보인답니당:)
jsua09**|예뻐용
ppp51**|밑단이 설명할 수 없게 좀 뭐랄까 .. 덜 헤졌다고 해야할까 .. 그래도 색이 이뻐서 잘 입을 것 같아요 ㅎㅎ♡
candy0305**|진짜 이 원피스 여성스러워보이고 귀여워보여요 시원해보이고 중간에 허리끈으로리본맬수있어서 허리도슬림해보이게입을수있어요얼굴도 화사래보이고 팔부분이 여리여리해서 팔뚝살도얇아보여용특별한날놀러갈때입기좋은것같습니당
haaaa**|딱 보자마자 색도 예쁘고 해서 샀는데 실물이 더 예뻐요 레터링도 과하지 않아서 잘 입고 다일듯 합니다
haaaa**|그냥 예뻐요 편해 보기이기도 하고 너무 심플하지도 않아서 딱 좋아요 잘 입고 돌아다닐듯 해요
linda0**|아이보리 계열 가디건이 갖고 싶었는데 마침 고고싱에서 세일하길래 저렴하게 장만했어요♥색상,핏,길이 다 진짜 완전 마음에 들어요!!! 색상이 너무 하얀색이면 뭐 묻을까봐 부담스러워서 잘 못입고 다니는데 이건 아이보리와 베이지 사이랄까 그래서 밝지만 입고 다니기에 부담스럽지 않은 색이라서 좋았어요! 단추 풀고 입어도 예쁘고 잠그고 입어도 예뻐요~~ 꽈배기 패턴이라서 심심해 보이지도 않고 특히 원피스에 걸쳐 입으면 어디든 무난하게 다 잘 어울릴 것 같아요!
haaaa**|존예 보스 다행히 입고가 빨리 되어서 빨리 받았는데 걍 세상 예쁨 다른색 있었으면 샀을거예여
haaaa**|세상편한거 인정이예요 진짜 여름에 어디 잠깐 외출할땨 완전 편하게 입을 수 있는 바지에요 주름은 좀 가지만
haaaa**|저한테는 좀 컸어요~~ 그래더 색도 예쁘고 보라색이라서 잘 산것 같아요 흔하지 않은 느낌입나다
smile**|길이가 길까봐 많이 걱정했는데 딱 이쁜길이고 150대부터 160대까지 이쁘게 입을 수 있을거 같습니다! 색깔도 이쁘고 지금 날씨에 입기 딱 좋아요ㅎㅎ 찢어져서 교환요청했었는데 빠르게해결해주셔서 감사합니다~ 앞으로도 자주애용하겠습니다ㅎㅎ
ppindo**|조금 짧은감이 있긴 하지만 좋아요~ 시원한재질이라서 좋네요레드랑 베이지 고민했는데 하나 더살까 고민중입니다
dms58**|옷 너무너무 이쁩니다~~ 기장은 약간 짧을 수 있는데 알고 산거라서 괜찮아요ㅎㅎ 처음 시켰을 때 실밥이 풀려있어수 교환 요청했는데 정말 빠르고 친절하게 교환해주셨습니다 완전 만족해용!!
rainnyb**|좋아좋아좋아요 이뼈요 가격에 비해 찐자 좋아요 ㅎㅎㅎㅎ 디자인도 만족합니다 ^^  다음에도 고고싱  이용하겠습니다
heo05**|브라운 색상이 품절되가지고 아이보리 색 샀는데 너무 이뻐요~지금 날씨에 입기 딱 좋아요~~~
heo05**|허리 사이즈가 약간 크기는 한데 기장이랑 폭이랑 딱 원하던 핏이여서 좋아오~~얇아서 지금 입기 좋아요!
heo05**|색깔이 사진에서 나온 것처럼 예뻐용~~~약간 사이즈가 크기는 한데 널널하게 입기 좋아요!!!!
23625788**|이뻐요!! 상체가 66이아 어깨선이 아래인 셔츠 잘못 입으면 더 부해보일수도 있는데 이건 어깨선도 적당하고 이뻐요^^
23625788**|완전 싸게 잘 산거 같아요^^  초여름까지 입을수있을거 같아요^^ 가격비해 품질이 정말 좋은거 같아요.  사이즈가 66인데 넉넉하게 입을수 있어요.
23625788**|완전 이뻐요ㅠㅠ 언발이라 더이쁜거 같아요^^ 여름만 되면 뷔스테에 원피스가 생각나서 자주 입게 될거 같아요
25219115**|진짜 정말 예뻐요 길이도 예쁜 롱기장이고  상채쪽이 조금 터이트래서 라인잡아줘서 예뻐요
fkdk06**|왔을때는 너무 작아보여서 안맞을것같았는데 입어보니까 이게 왠걸 너무 이뻐요!! 딱 적당히 무릎 아래까지 내려오는데 비치는 재질이라 너무 길어보이지도 않고 팔부분하고 아래쪽만 시스루라 피마에 신경안쓸정도에요! 강추!!
rudal55**|M사이즈만 구매해서 맞겠거니하고 배송시켰더니 아주 딱맞습니다. 엉덩이가 부담스러울 정도로 딱맞네요 그래도 살 주름은 안집니다. 이쁘게 딱맞아요 입고 다니다보니 그렇게 편할 수 없어요 그냥 사서 입어보세요 후회안합니다
kimhy11**|가방이 가벼워서 ㅈ들고 다니기 편했어요
minglee**|핏도 적당하고 길이도 적당해서 여름에 입고 다니기 좋을것 같아요! 점점 날도 더워지고있는데 자주 입고 다닐것 같아요. 이뻐요!
rudal55**|바지가 공기청정기마냥 먼지를 빨아들이는것 같습니다. 사이즈도 스판도 핏도 다 맘에 드는데 먼지가 많이 붙는 재질인거같은데 제 기분탓일수도 있습니다. 그 외엔 좋습니다. 잘 입고 있어요~
rudal55**|저는 솔직히 별로입니다...허리 밴드에서부터 차르륵 자연스럽게 떨어지는 치마를 원했는데 제가 입으니 부해보이더군요.. 그렇다고 코디를 이상하게 한것도 아닌데 상의를 몇번이나 바꿔입었는데도 모델핏은 커녕 구린핏입니다ㅜ 사놓고 안입고 있어요 이 제품말고 다른 롱스커트 많습니다. 다른예쁜제품 구매하세요
rudal55**|다른옷 구매한김에 중목양말도 샀는데 발목을 감싸는 느낌이 좋습니다. 너무 타이트하지도 않고 그렇다고 쉽게 늘어나는 것도 아닙니다. 중목양말 필요하시면 여기서 한번에 사세요
tsuki04**|지금 입기 딱 좋아요~!~!~!~!~! 라임색도 사진이랑 똑같구화사해서 봄 그 자체예요! 역시 니트는 고고씽!!!!!!! 만족합니다
