hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
whitemin**|무난해용ㅎㅎ- 키, 몸무게 159 43-착용사이즈모델착용-착용후느낌은?(좋은점/나쁜점)면소재가 진짜 짱좋아요 ㅎㅎㅎ얇지도않고 ㅎㅎㅎ 코트안에 입기 굿 ! !편하게입기좋아요
ipi**|네이비 후기- 키, 몸무게165-착용사이즈-착용후느낌은?(좋은점/나쁜점)옷 촉감이 좋아요!색상도 너무 이쁘구요!앞에 기여운 무늬가 포인트에요!
ipi**|여름용 슬랙스- 키, 몸무게165,52-착용사이즈S-착용후느낌은?(좋은점/나쁜점)길이가 딱 좋아요!스판이 엄청나요!!!진짜 잘 산거같아요.다만 얇아서 여름/가을 정도에 입을수 있어요!
angie**|예뻐요!!!- 키, 몸무게155/51-착용사이즈와인색-착용후느낌은?(좋은점/나쁜점)색깔 너무 예뻐요약간 큰 느낌이 있지만 이정도면 잘샀어요!!!
rkdm**|브라운- 키, 몸무게 162 / 52-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)배송이 빨라서 너무 좋았구요 옷이 딱봐도 두꺼워보이진않잖아요 얇아요.그거 생각하시구사시구 또 근데 이 가격에 이정도면 정말괜찮아요이뻐요 ! 브라운 저는 보카시랑 브라운 고민하다가 싸서 둘다 사버렸는데둘다 이뻐요 기본템으로 무난하고요그리고 절대 안늘어날것같다고 하셨는데 그말이 무슨말인지 입어보고 바로알았어요 ㅋㅋㅋ정말 후기에 머리크신분입으시면 안되실듯 이라고 써있는데 그말이 무슨말인지 딱알겠더라구요.
tnalszn**|화이트후기- 키, 몸무게 163 53-착용사이즈-착용후느낌은?(좋은점/나쁜점)다른옷때문에 배송은 늦게왔지만 너무만족하는옷이에요 처음엔 많이 기대를 안하고 기본흰색니트가 필요해서 가격도 저렴한것같아서 시켰는데 생각보다 너무 예쁘네요ㅠㅜㅜ 핏도 늬무 크지도않고 딱맞지도않게 딱 좋은것같고 두께가살짝 얇은데 화이트색상이라 여기저기입기좋아요ㅠㅜㅜ안에 나시를 꼭 입어야할것같네요 다른색깔도 다사고싶네요 잘입고다닐게요~
tnalszn**|연그레이 M사이즈- 키, 몸무게 163 53-착용사이즈 M-착용후느낌은?(좋은점/나쁜)후기가 조금늦었네요 배송은 자켓이 입고지연되는바람에 따로배송해서 좀 늦게왔지만 입어보고나서 정말 배송늦게온건신경도안쓰이게 예뻤어요ㅠㅠㅜ화면이랑 거의 비슷했구요 일단 디자인이 흔한디자인이아니라서 예뻐요 반바지라 짧아도 편하고 앞이 랩스커트처럼되있어서 여성스러워보이기도하는것같아요 재질도 은근히 도톰해서 한겨울에도 기모스타킹과신으면 따뜻할것같네요 색이밝은그레이라 원색인니트랑 잘어울리는것같아요 잘입고다닐게요~
asdf45**|카키샀어요167/55쫀쫀해서 쫙달라붙고가슴이좀있는편인데 더커보이네요- -;회사사람들이 몸매가 너무이뻐보인다고티 잘샀다고하더라구요카키로 샀어용 색상 이뻐용
asdf45**|빨강체크샀어요167/55와웅스판끼는 아주조금있구요제가골반이큰편이라 살짝낑겨들어가네용a 달라붙어서~ 몸매 이쁘게 드러나게 잡아주니걸어댕길때 뒤에서 보일까봐신경안써도되고딱붙어있어서 편해요 ㅎㅎ잘입을게요
psu85**|화이트 포토후기요^^- 174, 몸무게-착용사이즈 250-착용후느낌은?(좋은점/나쁜점)배송은 3~4일정도 걸린것 같고, 우선 슬립온 구매가 처음인데 맘에 들어요.사이즈는 겨울에 신으실거면 정사이즈보다 한치수큰게 좋을거 같아요. 전사이즈가 없어서 250샀지만..ㅠㅠ가죽재질 비슷한데 생각보다 두꺼워서 겨울내내 신어도될 거같기도 하구요.통굽이라 걱정했는데 다리도 길어보이고 이뻐요. 어느옷에든 잘어울리는 거 같아요.첫구매했는데 정말 만족합니다~ 재구매 의사 100%! 다른 이쁜상품 많이 올라왔으면 좋겠어요~
dpwls28**|2주만에!!!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)검정색 목 빠지게 기더렸네요이제 날씨가 추워져서 못입을듯해요ㅠ재질은 가격에 비해 좋아요
dpwls28**|검정색- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)겨울에 입긴엔 얇고 비치네요ㅠ그래도 편히 입기좋을거같아여
dpwls28**|데일리백- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)냄새가 좀 나지만 데일리백으로 좋아요~~
dpwls28**|이뻐영- 키, 몸무게 158/42-착용사이즈-착용후느낌은?(좋은점/나쁜점)화면 그대로에요~질감이 따갑지만 이너로 겨울에도 입을 수있을고같아요
gsb23**|보풀잘일어나요- 키, 몸무게 159 51-착용사이즈-착용후느낌은?(좋은점/나쁜점)할머니같은느낌도있지만 귀여워요그리고 좀 박시한편이에요 2만4천원치고 재질이별로에요ㅠㅠ보풀도잘일어나고 패딩찍찍이조금만닿아도 바로 실늘어나고...그래도 디자인이 좋으니까 그냥 만족할께요~이번에 고고싱에서 배송도 좀늦게받고 그래서 아쉽긴하지만 다음번엔 더좋은상품 더빨리받을수있길 기대할게요~
dkd88**|라이더자켓 네이비 후기- 키, 몸무게 158/46-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)일단 겨울용으로 적합할정도로 따뜻해서 겨울용 생각하시는 분들에게 추천드려요!알단 제일 좋았던건 다양하개 코디할수있어서좋았어요. 지퍼를 어디까지 올리는지 소매를접는지 안접는지에 따라 스타일이 달라져서 너무너무좋았구요색감은 약간 검은색에 가까운거같아요 ㅠㅠ 네이비를 원했는데 아쉽네요그리고 생각보다 엄청크더라구요 ... 사이즈가 크다는거 참고하시면 좋을거같네용~
seo11**|굳굳- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)옷올라오자마자 살려고 했는데 돈없어서 몇일뒤에 사려고보니까 주문폭주됐더라구요..옷오래기다렸어요 근데 기다린보람이있네요 ㅎㅎ코트여서 두꼐감이 어느정도있을줄 알았는데 그렇게 많이 두껍진않구요지금같은날씨에는 못입고다닐거같아요그래도 옷이 너무이뻐요 두고오래입을꺼에Г빱빱
aldal**|후기- 키 162 몸무게 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)예뻐요!!근데 좀 빳빳?하네용안에 긴팔티꼭입고입어야겟어요!!회색정말이쁨니당코트랑잘어울려요
seo11**|와우- 키, 몸무게164-착용사이즈240mm-착용후느낌은?(좋은점/나쁜점)다른사이트에 남자사이즈랑 똑같은신발있길래 남친이랑 커플로 喪渦楮처음에 발이너무아파서 발 물집나고 터지고 난리났었는데신발이 너무좋아서 참았어요 ㅎㅎ두고두고 오래신을거같아요가격도 너무싸고 진짜 괜찮아요추천합니다~
dusthg**|아이보리!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)색깔도 흰색은 아니고 진짜 아이보리 색이에요!나름 따뜻하고 이너로 입기 좋은거 같아요!!!
seo11**|진심추천- 키, 몸무게164-착용사이즈아이보리-착용후느낌은?(좋은점/나쁜점)나진짜 오래기다리고 받았어요기다린보람이 있네요 ㅎㅎ저가격에 이런원단이랑 핏이랑 하..대박이에요다른색도 사고싶을정도에요 진짜추천해요후회는 절대안하실거에요 이런옷많이올려주세요 ㅎㅎ
aldal**|후기- 키 162 몸무게 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)좀 많이파엿어요ㅎㅎ..ㅎ.이쁘긴진짜이쁨니당!!!
seo11**|음...- 키, 몸무게164-착용사이즈그레이-착용후느낌은?(좋은점/나쁜점)많이짧아요 크롭티인줄 알았어요그래도 무난해서 잘입고다녀요근데진짜짧아서당황했어요다른사람들한테는 모르겠는데 저한테는 배꼽위로 올라와요ㅠㅠ그래도 가격이랑 원단이랑 핏이랑은 다만족합니다~~
seo11**|강추- 키, 몸무게164-착용사이즈화이트-착용후느낌은?(좋은점/나쁜점)스판끼가 대박이에요 너무편해요진짜다른색으로 더사고싶어요진짜ㅠㅠ겨울에입고다녀도될만큼 진짜좋아요왜 주문폭주하는지 알겠네요 ㅎㅎ가격도싼데 옷원단도좋아서 또구매하고싶어요
seo11**|대박- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)옷처음에받았을때 컴퓨터에서는 좀밝았는데 직접받으니까 좀 어두웠어요그래도 만족해요 스판이 잇나? 되게 편해요가격이 되게괜찮고 매일입고다녀요 ㅎㅎ무엇보다더 핏이 진짜좋아서 매일입는거에요 ㅋㅋ겨울에도 입어도될만큼 두께감도 괜찮은거같아요
aldal**|카키후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)카키색샀습니다!!!!예뻐요!근데잘못쓰면 도둑같아요 ㅎㅎ...
seo11**|진짜좋아요- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)이거사고나서 거의매일 이것만 입고다녀요 ㅎㅎ저거입고 패딩입으니까 되게따뜻해서 땀날지경이에요><진짜 저옷 산사람만알거에요 옷되게 만족해요가격도 좋고 옷두께감도 좋고 색감도좋고다른색으로 더하나살꺼에요 저는 강추입니다
seo11**|만족해요- 키, 몸무게164-착용사이즈네이비색-착용후느낌은?(좋은점/나쁜점)원단두께랑 색감은 아주좋아요근데 길이가 좀 짧아서 어떻게 입고다닐지 연구좀해야겠어요그래도 옷이 핏이랑 괜찮아서 자주입고다녀요^^후회하지는 않아요 가격이랑도 괜찮아서 와인색으로 하나더 살까 고민되네요 ㅎㅎ흰색바지에도 잘어울리고 검정색바지에도 잘어울려요
hello42**|진그레이후기요!!ㅎㅎㅎ- 키, 몸무게152. 46-착용사이즈free요-착용후느낌은?(좋은점/나쁜점)처음에 다른분들 후기보고 제가키가작아서 품이랑 어깨가너무클까봐 걱정했었는데요 너무예쁘구 핏도 귀여워요ㅠㅠ모자는 좀 달랑거려서 고정하긴해야겟지만 옷은 너무마음에들어요 고고싱짱이에여♥
seo11**|굳굳- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)처음받았을때 느낌은 많이얇았어요 면이부드럽지는 않았어요그래도 무난하게 잘 입고다닐거같아요많이얇아서 겨울에 못입고다닐거같다고생각했는데겉에 두꺼운 코트입으면은 따뜻하게 잘 입고다닐거 같아요핏도 괜찮고 가격에비해 많이만족해요 ㅎㅎ잘입을께요 항상 좋은옷 올려주셔서 감사합니다~
nol12**|블렉- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)맘에들고요ㅎ편해여
nol12**|이뻐여- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)이쁩니돠ㅎ
nol12**|굳ㅎ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)따뜻해여ㅎ만족합니다
katis**|따뜻하고 신선한 핏- 키, 몸무게163 56-착용사이즈f-착용후느낌은?(좋은점/나쁜점)스모선수핏 느껴본적없는 핏을 느끼기에 좋다기모는 따뜻 목도 따뜻건강해지는 느낌 밤길을 잘다닐 수 있을 느낌
a9612**|아이보리 솔직 후기- 키 150-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)좋은 점 > 손목 시보리가 정말 짱짱해요색감도 딱 아이보리라 이쁨ㅎㅎ딱 기대했던 정도의 퀄리티나쁜 점 > 전 상관 없는데 키 크신 분들은 좀 짧을 듯...팔도 살짝 짧은 감이 있어요총평 ★★★★☆
ss52**|좋아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)검은색으로 주문햇는데 생각했던것보단 아니지만 괜찮은거 같아요길이도 적당하고 많이 얇지도 않네요아쉬운건 촘촘하지않고 약간 구멍이 등쪽에 큰것도 있고그래서 아쉬운거 같아요 그래도 잘입겠습니다.배송은 주문한지 이틀만에 왔어요 완전 빨라서 좋았던거 같습니다.다음에도 주문하도록 할게요
wldud71**|블랙 후기요!!- 키, 몸무게160-착용사이즈S-착용후느낌은?(좋은점/나쁜점)겨울이 다가오고 있긴 하지만 테니스치마를 찾고 있던 도중에 고고싱에서 폴폴플리츠 스커트를 발견하고 바로 구매했어요 ㅋㅋㅋ흰색과 검은색 중 뭘 살까 고민하다가 많이 입을 것 같은 블랙을 선택!!어제 집에 와서 입어보니 완전 만족스러워요 ㅠㅠ고고싱 항상 만족스러워서 자주 이용할려고요!!ㅎㅎㅎㅎ정말 맘에듭니다~
a9612**|S 사이즈 솔직 후기- 키 150-착용사이즈 S-착용후느낌은?(좋은점/나쁜점)좋은 점 > 핏 적당해요 S도 그렇게 작거나 하지 않습니다스판끼 매우 좋아요카라도 각이 날카로워서 이쁨나쁜 점 > 얇아서 비침이 심하네요...니트 안에 이너로 밖에 못 입을 듯ㅜㅜ총평 ★★★★
wldud71**|그레이 후기요!!- 키, 몸무게160cm-착용사이즈FREE-착용후느낌은?(좋은점/나쁜점)항상 고고싱에서 샀을 때 마다 너무 만족스러웠기때문에 이번에도 믿고 시켰더니 또 한번 만족하고 갑니다 ㅎㅎㅎ그레이 색상이 입고싶어서 시켰는데 완전 맘에 들어요 ㅎㅎㅎ얇긴 얇지만 안에 뭐있고 입으시면 딱 될 것 같아요!! 앞으로도 자주 이용할게요~~
soyi02**|키작녀 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)153 허리27-28사이즈L고고싱슬랙스 믿고 입지요키작녀들은 수선집 가야지요잘라입고 한번 접어도 이쁘지요색깔별로 구매중감사합니다~~^^*
a9612**|블랙 솔직 후기- 키 150-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)좋은 점 > 너무 슬림핏도 아니고 너무 박시핏도 아니여서 좋았어요색감 이쁩니다 체크 선명하고요아주 두꺼운 모직까- 키 150-착용사이즈 26-착용후느낌은?(좋은점/나쁜점)좋은 점 > 스판끼가 정말 좋아요단추도 이뻐서 넣어 입을 때 포인트 주기 좋고요나쁜 점 > 쫀쫀한 느낌이 덜 해요발목까지 잡아 주질 못 하네요 여기서 실망이 커요먼지가 잘 붙긴 하는데 면스키니 특성 살 그건 뭐...두깨는 두껍진 않은데 기모 스키니 싫어해서 나쁘진 않았습니다총평 ★★★☆진 아닌데 지금 이너 셔츠로 입기에 딱이에요50퍼 할인 받아서 7000원에 산거 치곤 매우 만족스러운 퀄리티나쁜 점 > 실밥처리가 아쉽네요공장하자라고 생각할 수도 있지만 좀 많아요특히 단추에... 자꾸 여닫을 때 걸리네요ㅜㅜ
a9612**|블랙 솔직 후기- 키 150-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)좋은 점 > 너무 슬림핏도 아니고 너무 박시푓도 아니여서 좋았어요색감 이쁩니다 체크 선명하고요아주 두꺼운 모직까진 아닌데 지금 이너 셔츠로 입기에 딱이에요50퍼 할인 받아서 7000원에 산거 치곤 매우 만족스러운 퀄리티나쁜 점 > 실밥처리가 아쉽네요공장하자라고 생각할 수도 있지만 좀 많아요특히 단추에... 자꾸 여닫을 때 걸리네요ㅜㅜ
tnfla51**|후기- 키, 몸무게156 58-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)이쁨 따뜻해요좋아요 근데 그 털이 너무 옷에 많이 묻어요근데 싸게샀으니까 괜찮아요
min57**|초록색- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)구멍이 송송~ 생각했던 것보다 옷이 약간 약한거 같고밑단처리가 조금은 아쉽지만 그래도 싼가격이라서 갠춘!편하게 입기 좋이요. 색깔이 이뻐서 어느 옷에 입어도 잘 어울려요.부담없이 입으시려면 이 옷을 강추합니당!다른색도 살까 생각중이에여 감사합니다
a9612**|블랙 26 솔직 후기- 키 150-착용사이즈 26-착용후느낌은?(좋은점/나쁜점)좋은 점 > 스판끼가 정말 좋아요단추도 이뻐서 넣어 입을 때 포인트 주기 좋고요나쁜 점 > 쫀쫀한 느낌이 덜 해요발목까지 잡아 주질 못 하네요 여기서 실망이 커요먼지가 잘 붙긴 하는데 면스키니 특성 살 그건 뭐...두깨는 두껍진 않은데 기모 스키니 싫어해서 나쁘진 않았습니다총평 ★★★☆
