hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
zoqxj5**|아이보리 후기 !- 키, 몸무게 155 / x-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)아이보리를 시켰는데모니터에서 보는거에 비해 목폴라 길이가 조금 짧은거 빼고는생각보다 비침도 적구 두깨감도 적당해서 겉옷안에데일리로 자주입을수 있을꺼같에요가격도 착한편이라서 고민하신다면 사시는걸 추천해용
qkswl**|이뻐요- 키, 몸무게 161 45-착용사이즈 free 오트밀-착용후느낌은?(좋은점/나쁜점) 급하게입어봐서 흰티안에입고입어서 목에다보이고 크롭이라 흰티가 밑으로도다보이고 츄리닝입고잇어서 폼은안나더라구요ㅋㅋ 근데 재질얇을줄알았는데 생각보다두껍고 좋아요 옷제대로차려입고입으면 정말이쁠거같아요ㅎㅎ고고싱에서 한번도 물건살때 후회한적없구 이번에도 그런거같아요ㅠㅠ좋은제품많이올려주셔서 너무감사하고 앞으로도많이올려쥬세요♥아무튼 옷 잘입을게용!
lyj23**|숄더드롭 자켓코트 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송이 늦게 왔지만 그래도 옷이 예뻐서 기다린 보람이 있네용 근데 지금 입기엔 조금 추울 거 같네요ㅠ 처음 딱 펼쳤을 때 클 거 같다는 생각이 들었는데 막상 입으니 무릎 위까지 오고 예뻐요ㅠ 예쁘게 잘 입을게요 감사합니당
kimrari10**|괜춘- 키, 몸무게156-착용사이즈27-착용후느낌은?(좋은점/나쁜점)같이 배송온 다른 바지에 비해서 기모가 많지 않아요 그런데 입었을 때 따듯한 느낌은 있어요제가 상체비만이에요ㅋㅋ요새 살찌긴 했는데 혹시나해서 27로 샀어요 근데 배가 엄청 낑낌ㅋㅋㅋㅋㅋㅋㅋ역시 살이 찐듯 ㅋㅋㅋ아무튼 아랫배까지 올라와서 좋아요 살 조금 뺴서 입어야지 ㅋㅋㅋㅋ그리고 색깔 그냥 검은색 어떤 거랑 입어도 다 괜찮을것 같아요
kho10**|좋아요~- 키, 몸무게160 44-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각했던거랑 똑같아요.보들보들하고 색깔도 예쁘고,조금 얇긴한데 할랑한 편이라 안에 더 껴입으면되니깐 괜찮은 것 같고,배송도 빨리 와서 좋았어요~
alsdldi**|진청 색깔 아주 이뻐요- 키, 몸무게 165, 54-착용사이즈-착용후느낌은?(좋은점/나쁜점)우선 팔길이도 딱 맞구 핏도 루즈하게 이쁘게떨어집니다. 무엇보다도 생각했던 색깔과 똑같아서매우 만족했습니다. 다만 물건받는데 11일 넘게 걸렸다는거... 얼마못입어보고 옷장으로 들어갔네요...청 특유의 냄새가 안나 구입후 별도의 세탁없이 바로 입을 수 있어서 좋았습니다
fbwldus12**|좋아요~~- 키, 몸무게166/ 51-착용사이즈s-착용후느낌은?(좋은점/나쁜점)면이 부들부들하고 늘어나는 건 잘 모르겠는데 좋은 것 같아요 어디에나 잘 어울리는 옷이예요~잘산 것 같네요!
kimrari10**|좋아요- 키, 몸무게156-착용사이즈28-착용후느낌은?(좋은점/나쁜점)원래 27입었는데 요즘 살이 쪄서 28로 시켰어요..근데 딱 맞고 진짜 편해요... 제 사이즈가28인가봐요..입었을때 따듯하고 진짜 편해요 색상도 사진에서 보이는 딱 저색상입니다.
lyj23**|톰꽈배기 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송이 3주정도 지나서 왔는데 기다리는 과정에서 날씨가 급작스럽게 추워지는 바람에 취소할까 말까 어짜나 고민을 했는지 몰라요 근데 이번에 못 입으면 내년 봄에 입자는 마음으로 기다렸는데 너무 예뻐요ㅠㅠ 취소했으면 후회할 뻔 했네요 검은색 샀는데 어느 옷에도 무난하게 잘 어울리고 마음에 들어요 짱
kimrari10**|오트밀- 키, 몸무게156-착용사이즈-착용후느낌은?(좋은점/나쁜점)다른 분들 후기처럼 입었을 때 까끌까끌합니다.둔한편인데 움직일때 팔이 까끌거려요그것만 빼면 괜찮아요 상체가 뚱뚱한 편인데도 입었을 때부해보이거나 하지 않아요 옷이 그렇게 얇은 편이 아닌데도요무튼 잘 받았습니다!
kimrari10**|차콜- 키, 몸무게156-착용사이즈-착용후느낌은?(좋은점/나쁜점)얇습니다. 얇은거 찾고 있어서 좋아요 이너로 막 입기 좋은거 찾고 있었는데딱인거 같아요 배송도 빨랐어요!
kimrari10**|카키- 키, 몸무게156-착용사이즈-착용후느낌은?(좋은점/나쁜점)저 카키색 좋아하는데 진짜 카키색 예뻐요편하고 얇아서 이너로 좋은듯상체비만이라서 가슴이 좀 도드라져 보이는 것 같기도 한데 마른 분들이 입으면 정말 예쁠것같아요쨌든 돈아깝진 않아요
aaa01**|초코색 화이트색 구입- 키, 몸무게 160 4~-착용사이즈-착용후느낌은?(좋은점/나쁜점)가격대에 비해서 정말 괜찮은 제품이네요 ㅋㅋ 재질도 좋고초코색은 화면보다 좀 더 어두운 색상이구요너무 딱 붙지도 않고 그렇다고 많이 루즈하지도 않아서아무대나 레이어드 하기 좋아요. 안에 셔츠를 넣어입으면 좀부해 보일 수도 있을 것같아요.
kimrari10**|보카시블랙- 키, 몸무게156-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 상체비만인것만 빼고 상품에는 단점이 딱히 없는것 같아요가격대비 좋아요배송이 두개가와서 잘못 온줄 알았는데 제가 두개 시킨거더라고요...ㅋㅋㅋ어떻게 할지 지금 고민중.. 친구 줄 수도 없고 똑같은거라..근데 막 아깝지는 않아요 가격도 가격이고 질도 괜찮아서
thfql45**|디테일 진짜 이뻐요- 키, 몸무게 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)디테일이 너무 이뻐요~흔한 디자인도 아니구 입으면 프릴도 이쁘게 잡히구 소매랑 길이감 천재질도 다 맘에들어요~~
kimrari10**|포그닝 네이비 후기여러개 한꺼번에 시켰는데 배송이 빨라서 좋았어요가격대비 좋아요 얇아서 이너로 괜찮은듯 네이비 색상 딱 네이비에요!!!
dudtnr**|포토후기 2등이에요!- 키, 몸무게155 , ㅎㅎ-착용사이즈free-착용후느낌은?(좋은점/나쁜점)완전 좋아요 이거!!!ㅎㅎ원래 옷 살때 엄청 고민하고 사는 편인데제가 이 옷 살때 후기가 하나도 없어서 고민하다가결국 샀죠!! 근데 제가 예상했던 느낌 그대로에요ㅎㅎ얇은 기모맨투맨이 아니라 두툼해서 한겨울에도 입을 수있는 맨투맨이에요. 두꺼운 기모맨투맨 원하시는 분들사면 좋을 거 같아요! 추천합니다!!!그리구.. 후기가 2등이긴 한데.. 포토후기로는 1등인데...혹시 적립금 1등 포토후기 적립금으로 적립은 안되겠죠..?ㅎㅎ안되면 2등 포토후기만으로도 만족합니다ㅎㅎ
kimsuj**|똑같아요- 키, 몸무게168 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진이랑 똑갘아요
thfql45**|기다린 보람이 있네요배송이 늦어져서 속상했는데 옷받아보니까 너무 이쁘네요 ㅎㅎ딱원하는 길이감에 색깔도 넘 이뻐여~~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)
kingdkswls**|포토후기- 키, 몸무게160,50-착용사이즈-착용후느낌은?(좋은점/나쁜점)쫀쫀하고 젛아요 다리도 길어보이고 엄청 편해요짱
kimsuj**|예뻐요- 키, 몸무게168 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)예뻐요!같아요
a0106**|화이트후기- 키, 몸무게164/47-착용사이즈-착용후느낌은?(좋은점/나쁜점)배송지연때문에 일주일 넘게 기다렸고새옷 냄새가 심해요화이트색상이라 다른 색상에비해서 비치는감이 쫌있구요사진에 비해서 많이 촘촘 하지는않아요!하지만 가격에 비해서는 대체로 만족합니다기장은 164기준으로 엉덩이 중간까지 오고겨울에 아우터 안에 두꺼운 이너 입으면 불편한데이정도 두께감은 겨울에 아우터 안에 입기 좋은 두께감입니다
bomulb**|좋아요!!!!- 키, 몸무게157/45-착용사이즈26입는데 기모라서 27로 한치수 크게 샀어요-착용후느낌은?(좋은점/나쁜점)27입었는데 딱맞고 진짜 예뻐요!색도 예쁘고 무엇보다 기모가 얇지않고 적당해서 좋은 것 같아요ㅎㅎ잘샀다는 생각 들정도로 핏도 예쁘고 재질도 좋아요!
bomulb**|블랙 27 후기- 키, 몸무게157/45-착용사이즈 원래 26입는데 기모라서 27로 구매했어요-착용후느낌은?(좋은점/나쁜점) 가격이 싸서 그런지 기모가 기대했던 것 만큼 도톰하진 않아요그냥 일반 스키니보다 살짝 두꺼운 정도? 별로 큰 차이는 못느꼈어요
bomulb**|레드 후기- 키, 몸무게157/45-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각했던 것 보다 괜찮아요! 레드라서 걱정했는데 너무 튀지 않고 적당히 예뻐요
bomulb**|생각한 것 보단 좀 얇아요- 키, 몸무게157/46-착용사이즈아이보리-착용후느낌은?(좋은점/나쁜점)조금 두툼할 줄 알았는데 안에 얇은티 한장 입고 입었더니 안에 입은 티가 살짝 비쳐요안감은 보들보들해서 좋아요
audwn09**|후기- 키, 몸무게157-착용사이즈-착용후느낌은?(좋은점/나쁜점)아너무이쁜것같아요.. 팔 쫄린다고 해서 걱정햇는데 하나도 안쫄리고 여유로와요!!!색깔도 너무 이쁘고! 근데 모자털은 별로없더라고요.. 사진에는 많던데..ㅜㅜ여튼그래도 너무이뻐요 잘샀어용!
bomulb**|예뻐요- 키, 몸무게157/45-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 두툼하고 따뜻해서 좋아요! 핏도 나름 괜찮고 예쁜 것 같아요
justice5**|생각보다 어두워요- 키, 몸무게157 47-착용사이즈프리-착용후느낌은?(좋은점/나쁜점)생각보다 어두워서 반품치려다가 그냥 입었어요체크의 어두운 부분이 부각되는 느낌..면은 톡톡한데 엄청 보드라운 느낌은 아니에요그냥 보통 빳빳한 면 정도..?도톰해서 따뜻할 것 같기는 해요핏도 괜찮도 길이도 적당하고 다좋은데 색감이 조금 아쉬웠어요아 그리고 단추구멍 하나가 막힌채로 오긴 했는데이 역시 귀찮아서 그냥 째서 쓰려구요여러모로 아쉬운 점이 많아서별점으로 치자면 ★★★ 세개정도가 적당하다고 생각합니당어쨌든 샀으니 잘 입을게요
dlgywn4**|짱조아여- 키, 몸무게165/50초-착용사이즈free-착용후느낌은?(좋은점/나쁜점)키가 165인데 엉덩이 덮어요 진짜 조아요 색깔도 화면은 더 하얗게 나오긴 했지만 이쁨아이보리 샀는데 어디에다 입어도 이쁨ㅎㅎㅎㅎ특히 청바지에 입으면 짱♡다른색도 구매할까 생각중이에요ㅎㅎ
qb98**|괜찮아요.- 152-225- 신발 신는 사이즈 보다 약간은 작은 거 같아요. 작다고 해야하나 딱 맞아요.
juyeon17**|화이트후기- 키, 몸무게160-착용사이즈-착용후느낌은?(좋은점/나쁜점)좀얇은느낌이긴하지만 니트안에 이너로 입으려구산거라만족합니다 ㅎㅎㅎ
as5250**|솔직하게- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)키155 몸무게는 비밀wㅎㅎㅎ저는일단 와인색상으로 구매를했어요 근데 두께감이 보통이라고나와있고 사진으로 보면 얇지만은않은 두께감있는것처럼보이는데..(제눈에만그럴수도...ㅎㅎ) 근데 직접보니깐 그렇게 생각하시는것만큼 두껍진않아용!! 그리구 통크기라구 하죠? 통이 타이트하게 붙는스타일이아니구 쫌 여유가 많이 있는편??이에요 그리구 와인색상이 그냥와인색상인줄알았는데 전체가 완전 단색처럼와인색이아니라 검정인가?갈색인가?? 그런 색상이 쫌 검정색상처럼 디자인이 되어있어용~
wg86**|후기11월11일에 주문했는데 14일에와서 배송은 그럭저럭이구요.품은 가오리핏이라서그런지 통통하신분은 더 통통해보이는 효과가있으니까 주의하시구요!그래도 이가격대치곤 싼티보이지않아서 그럭저럭만족합니다
tlstnwls19**|블랙28후기- 키, 160 몸무게47-착용사이즈 28-착용후느낌은?(좋은점/나쁜점)원래27입는데 한치수 크게사세요 안맞을꺼같아서 한치수크게샀는데 맞네요ㅎㅎ 기모라서 따뜻해서 좋아효^^추추
kissmile**|베이지 s- 키, 몸무게 167 54-착용사이즈 s-착용후느낌은?(좋은점/나쁜점)화면보다 더 색이 진함, 그렇다고 안예쁜건 아님.박음질도 단단하고 핏도 괜찮음다만 물량부족으로 너무 오래 기다림. 구입시 전화로 예상기간 알아보길 권장. 상품엔 만족.
tlstnwls19**|카키후기- 키160, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)조금얇긴한데 안에 껴입으면 되요 배송도빠르고완전 만족^^ 잘산거같아요! 잘입을게요~
idc071**|포그닝 꽈배기니트- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)8800원이라는 가격치고는 정말 최고에요 얇지않아서가을 겨울에 코디하기정말좋지만 입고가 늦게되서 열흘만에받네요 ^^;그레이시켰는데 정말이쁘구요 치마나 스키니진에 대충입어도잘어울려요~그리고 출고해주시자마자 배송2틀안에와서 다행이였구요 ㅠㅠ근데 정말 가격에비해 옷질도그렇고 정말괜찮은거같아요!다른색깔도사보고싶어요~
alswjd35**|핏이 이뻐용- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)키 158 몸무게 42ㅡ완전 쫀쫀하고 이뻐용
jkhu35**|좀 타이트함- 키, 몸무게160 45-착용사이즈s-착용후느낌은?(좋은점/나쁜점)생각보다 좀 작네요 ㅋㅋㅋㅋㅋs가 딱맞음 안에 옷은 넣어 입기 힘들꺼 같네요 ㅠㅠ
jkhu35**|생각보다 훨씬이쁨- 키, 몸무게160 45-착용사이즈-착용후느낌은?(좋은점/나쁜점)기대보다도 더 이쁨 진심 네이비로 하나더 구매하고싶어지네에
nail19**|레더스커트 후기- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)생각보다 좀 기네요~짧음 더 이쁠거같은데..뭐 수선가게서 줄이죠 뭨ㅋㅋ
nail19**|클러치&크로스 백- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)다 좋은데 인조가죽 냄새가 너무심해서베란다에 2~3일 걸어뒀더니 많이 옅어졌네요~잘 매고 다닐게요~^^
nail19**|삼각클러치 아이보리 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)특이하고 좋네여.
nail19**|225- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)이런신발 진짜 편하넼ㅋㅋㅋ안전감있어요~근데 오래 걸으니까 발이 좀 아파염그래도 디자인이 심플하고 굽도 높은편이고 좋네여
nail19**|아이보리,네이비 후기- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)귀여워용~~얇아서 전 좋아요~얇아서 그런지 좀 약할거같애여올이 벌써...나갔어 ㅠㅠ
ans39**|후깅- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)검정으로샀구여 많이도톰할줄알았는데생각보단 덜하네요 색깔이쁘구요단추를열면 핏이안예쁘고다닫아야예쁘네요잘입을게요~~
thdud43**|핑크- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다엄청이뻐요 냄새가심하긴하지만 빨고입으면되고 니트가 쫀쫀하면서 이뻐요
ans39**|후깅- 키, 몸무게 163-착용사이즈-착용후느낌은?(좋은점/나쁜점)뱃살이있어서 하이라 한치수크게시켰는데 여유있게맞네요생각보다 신축성좋아서넘좋구여길이도 길까봐걱정했는데 저한테딱이네염색깔이생각보다아쉽긴한데 예뻐여~
thdud43**|이뻐요- 키, 몸무게164-착용사이즈-착용후느낌은?(좋은점/나쁜점)완전크고요 옷안에 재질이 좀 꺼끌하네요 그래도 이뻐요 잘입을게욤
nail19**|카키후기- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)진짜 기가막혀서..!!이딴 옷을 어떻게 입으라고 판매하면정말 감사합니다~원단도 좋고 따숩고 후드도 썻을때 이쁘고아 좋아 고고싱~
serah11**|포그닝 꽈배기니트 화이트,브라운안녕하세요. 169cm,60kg 이고요 화이트와 브라운을 주문 했습니다. 사이즈를 고를 수 없어 걱정을 했지만 크기가 적당하고 딱 붙지도 않고 입기 좋았습니다. 날씨가 쌀쌀해지니 추우니깐 코디 하실 때에는 많이 껴입으시는 것을 추천해드리고요 저는 이 상품에 만족합니다.^^
hjghlw**|굿굿- 키, 몸무게 160,49-착용사이즈-착용후느낌은?(좋은점/나쁜점)진짜 편해용 먼지 떨어진다는 분이 많든데 저는 아직 잘 모르겠어요ㅠ 계속 입으면 그럴려나 가격대비는 나쁘지 않은 것 같에용사이즈도 딱 좋고 길지도 짧지도 않아여 제 키에는 맘에 듬니당
thdud43**|이뻐요- 키, 몸무게164.-착용사이즈-착용후느낌은?(좋은점/나쁜점)이뻐요 천도제가 좋아하는천이고 색감도이쁘고 팔길이가 좀 짧아서 아쉽지만 많이 입고다닐것같아요
nail19**|귀여워요- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)완전 귀여워요~ㅋㅋ
ujdk**|좋아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)어일단몽글몽글하니깜찍하고 저의뱃살을감추어줘서 아주안성맞춤이에요 잘입을께요
serah11**|폴폴플리츠 스커트 와인안녕하세요. 일단 전 169cm,60kg 입니다. 사이즈는 m 으로 주문하였고요. 키가 큰편이라 다리도 따라 다른 여자들 보단 길어 치마를 입기가 좀 불편하여 잘 입지 않습니다. 하지만 치마에 바지도 같이 달려있다하니 안심하고 주문 해봤습니다. 착용감은 좋았고요. 길이도 짧지 않아 좋고 허리사이즈도 적당히 괜찮았습니다. 저는 이 상품에 만족합니다.^^
nail19**|베이지 후기- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)가볍고 색상도 화면 그대로네여~그런데 밑단처리가 너무 아쉬워요그냥 가위로 뚝 자른티가 너무나서 수선가게 가서 오바로크처리하려구요..그거 외엔 다 마음에 들었습니다~
nail19**|검정양말- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)검정양말 가장 무난하죸ㅋㅋㅋ구매후기 뭐라고 해야대ㅠㅠ검정양말 좋아요!
dhwogml**|론다브이니트_후기이뻐용ㅎㅎ
nail19**|완전 편하네요~^^- 키, 몸무게 158/43-착용사이즈 44반~55-착용후느낌은?(좋은점/나쁜점)레더스키니 좋아하는데 진짜 편하네여~하이웨스트라다리길어보이는 효과도 있고..이번에 또 사려구여~다른 레더레깅스 봐뒀네여^^
ggb041**|베이지S- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)163S삿는데 부들부들하니 느낌이좋아요 ㅎㅎ근데 베이지보단 뭔가 황토색이랄까 색깔이 너무진해서ㅠㅠ다른분들 후기보니까 안그러던데...그래도 예쁘게잘입을게요~
ravender**|이쁨- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)얇긴한데 진짜이뿐듯 ㅜㅜ놀러갈때맨날이것만이버요
qb98**|괜찮아요.- 152/50- free-생각보다 얇은데 가벼워서 그냥 셔츠랑 입어도 될거 같아요.
pp**|포토후기 1등포토후기 1등진짜 아깝지 않는 가격!푹신푹신하고 보들보들거려요~슬리퍼 캐릭터도 너무 귀엽고~겨울에 집에서 신기 좋아요가족들이 다 귀엽다고햇어요 ㅋㅋㅋ
pp**|포토후기 1등포토후기 1등짱 기여워요~~~푹신푹신하고 발도 따뜻해요맨발로 신으면 발바닥이 미끌거리기도해요왜냐하면 부드럽기 때문에 ㅋ발 편하고 좋아요!! 짱짱
sunyoung19**|중청 M 포토후기♥- 키, 몸무게 169/54-착용사이즈m-착용후느낌은?(좋은점/나쁜점)신축성너무좋고 색도이뻐요♥/나쁜점 딱히못찾겠네요ㅎ배송3일만에빨리와서좋았어요b m살까l살까고민많이했는데 신축성이좋아서 m도잘맞고 제스펙이랑비슷한분들 l사는것도편할것같아요 어쨋든너무이쁘고 가성비짱!!!♥후회절대안해요ㅎㅎ
gus79**|괜찮아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점) 배송도 빠르고 가격대비 좋네요^^
ghwjd17**|너무이뻐요~~- 키, 몸무게 163/51-착용사이즈-착용후느낌은?(좋은점/나쁜점) 따뜻하고 편해요~~~
pon020**|흰색구매햇는데조아용ㅎ- 키, 몸무게 170 52-착용사이즈 F-착용후느낌은?(좋은점/나쁜점)흰색이여서그런지쪼금비추긴하지만니트니까안에나시입고입으면딱좋을거같아요ㅎ지금날씨에는두꺼운자켓안에이너로하면이뻐요ㅎㅎ
ahfks0**|화이트 샀어요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)다예쁘고좋은데어깨넓은분은어깨가안맞을수도있어요ㅠㅠ저도어깨부분이좀작네요ㅠㅠ
bnm1004**|후기- 키, 몸무게 165 67-착용사이즈 프리-착용후느낌은?(좋은점/나쁜점)좋은점일단 배송이 엄청빨리왔어요! 입금한지 하루만에 바로왔고코트가 접혀서 오니까 많이 주름져있고 그럴줄 알았는데 아니였고너무 얇지도않고 딱 적당한거같아요!나쁜점없어용!
aksu**|굿재질이 부들부들해서 좋았어요주름이 잘 질거 같지만 니트 안에 입을거라 지금은 상관없을거 같네요 가격대비 잘산거 같아 기분이 좋네요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)
aksu**|브라운 색 예뻐요♡브라운 색 너무 예뻐요♡모델 분과 같은 핏은 안나서 슬펐지만ㅠ 이쁘게 잘입을게요단지 좀 흠이었던게 셔츠위에 입었는데 벗고나니 셔츠에 니트 털이 묻어나오더라고요ㅠ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)
ihoo**|사용후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 착용 느낌은 좁은 도넛 방석에 끼어 앉는 느낌...ㅋㅋㅋ광고처럼 앉는 것 만으로 자세가 교정된다는 건 솔직히 잘 모르겠지만바른 자세라는게 신경써서 앉을래도 유지하기 힘들자나요?제가 의식해서 바르게 앉으려고 할 때 좀 편하게 도와주는 것 같아요전 만족스럽습니다^^
ihoo**|파랑 너무 예쁩니다친구한테 선물하려고 구입했는데요 이제 겨울이라다른 색은 추워보일까봐 분홍색으로 살까 고민했지만파랑색이 워낙 눈에 확들어와서 결국 파랑색으로 샀어요!ㅋㅋ너무 예쁘고 받은 친구도 좋아하네요^^
rlatofha**|검정!- 키, 몸무게155 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)회색하려다가 검정으루했는데 마음에들구여!생각보다 따뜻해요 ㅎㅎ엉덩이반정도오구 귀여워요냄새가 너무 심한거빼곤.....좋아요!
rlatofha**|브라운 죠아요♥- 키, 몸무게155 50-착용사이즈-착용후느낌은?(좋은점/나쁜점)제가 딱 원한 핏이에요~ 색깔이 고동색?이긴한대 이뿌고 좋아여 ㅎㅎ
tbwlsl**|포그닝니트후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)착샷은 큰거울이없어서 안찍었구요브라운색인데 색감이별로다라는 후기가많더라구요..사진이뜨는지는모르겠는데 사진과달리훨씬어두운브라운색이에요.!완전 진갈색이에요!제가보기에는 그렇게 이상하진않고 입을만한것같아서 그냥입으려구요 ㅎㅎ 심각할정도는아닌듯..ㅎ색깔말고 전체적으로는 니트크기가 넉넉해서 좋구요 팔이랑목부분 시보리가 잘안늘어날것같아서 좋네요ㅎㅎ근데펼쳐서 들어보면 살짝비추더라구요 안에뭐입고 입으면 괜찮을것같구 무엇보다 가격대비 짱^^!!
dbswjd9**|후기♥- 키, 몸무게 161 52-착용사이즈-착용후느낌은?(좋은점/나쁜점)맘에들구따듯합니당♥
angelo**|이뻐요- 키, 몸무게 158/42-착용사이즈 26-착용후느낌은?(좋은점/나쁜점)이쁜데 작아요..27로 교환하려구요 이쁩니다!교복니트는 무시해주세요ㅎ
ihoo**|원하던 가방 나와서 좋아요 ^^빨간 가방 가지고 싶었는데, 다행히 나왔더라고요.나머지 하나도 기대는 안했는데도, 깔끔한 스타일 가방이 나와줘서 마음에 쏙 들었어요.친구한테 5천원에 이렇게 가방 두개 득템했다고 하니까 자기도 사보고 싶다고 하더라고요^^
lwpd**|브라운 후기- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)브라운 완전 이쁘네염ㅎㅎㅎ길이 색 다 맘에들어염속에는 티를 받쳐 입어야겠어요구멍이 이쁜데 니트하나만 입기는 좀 그렇네요;ㅎ
msy02**|네이비- 키, 몸무게164/ 53-착용사이즈-착용후느낌은?(좋은점/나쁜점)쫀쫀하고 정말좋아요 길이도적당하고 싼가격에 예쁘게입을게용
lwpd**|베이지 후기- 키, 몸무게 160-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)뜯자마자 두꺼워서 놀랬네요 ㅎㅎㅎㅎ색도 이쁘고 길이도 엉덩이 중간까지 와서 적당해요치마나 바지 둘다 잘 어울릴 것 같아요사은품으로 주신 머리끈도 잘 쓸게욤ㅎㅎㅎㅎ
msy02**|m 사이즈후기- 키, 몸무게164/ 53-착용사이즈M-착용후느낌은?(좋은점/나쁜점)길이가 조금짧지만 싼가격에 적당히 좋게 산것같네요! 정말 말그대로 발목까지 쫙 붙어서 좋아요!♥♥색깔도예뻐요
watson**|후기두툼하고 약간 부직포로 만든 느낌이긴 하지만 따뜻하고 좋았어요약간 부해 보일 수도 있지만 그렇게 많이 그런 느낌을 받진 않았어요
lwpd**|초록색후기- 키, 몸무게 160-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)처음 보자마자 얇아서 당황했는데 입어보니깐 따뜻하네염ㅎㅎ색도 제가원하는 진한초록색이에요길이는 엉덩이를 다 덮는데 생각보다 기네요치마랑 입으면 이쁠것 같아욤
lwpd**|프릴하이넥 남방 후기- 키, 몸무게 161,-착용사이즈 M-착용후느낌은?(좋은점/나쁜점) 다른 흰 남방들에 비해 좀 얇네요 ㅎㅎㅎㅎ속에 나시를 꼭 입어야 겠어요부들부들한 천은 아니고 아빠셔츠처럼 빳빳한 느낌도 있네염 목부분은 단추가 두개인게 맘에들어요 이쁘네염ㅎㅎㅎ
dbfla25**|후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)너무 길지도 않고 짧지도 않고 길이가 딱좋은거같아요제가원하는 색이엿구요 ㅎㅎ근데 너무 구김이 많네여ㅜㅜ 입을때마다 다림징해야겟어요..그래도이뻐요 감사합니다~
dbfla25**|후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)화면으론 되게 차분하게 예뻐보였는데 입으니까 좀 짧고 너무 퍼진느낌이드네요ㅜㅜ 치마치곤 좀 비싼고같기도하고.. 그래도 잘입을께요 배송빨라서 좋았어요~
dmsrud55**|완전 편해요 ㅎ- 키, 몸무게162 45-착용사이즈230-착용후느낌은?(좋은점/나쁜점)좋은점은 가격에 비해서 튼튼하고 따뜻해요 !!굽 적당하구요 저는 원래 구드는 225 신는데 워커는 230으로 주문했는데 딱 맞구요 . 운동화는 230 신어요 !!나쁜점은 딱 사서 왔는데 .....택이 붙어잇는데... 마데인...차이나....라고 너무 크게 붙어 있어서 ..당황했어요택 잘라 내고 신으시면 이쁘실꺼같아요 !!
