pjh04**|일자롤업팬츠가 다른 쇼핑몰에서는 롤업조절이 불가능해서 마음에 드는 핏이 별로 없었는데 조절이 가능해서 너무 좋았어요. 비록 사이즈선택에 미스가 있어서 교환했지만 전체적으로 너무 마음에 들었어요ㅠㅠ 색상도 너무 이쁘고 진청이라 그런지 날씬해보이는감도 있는거같아요!
heo11**|가을에 입기 딱 좋은거같지만 길이도 그렇고 진짜진짜 이뻐요ㅠㅠㅠ완전 마음에 듭니당!!!!!!
naa55**|고고싱에서 코트는 처음 사보는데 기대한만큼 너무이쁘고 재질도 좋네용ㅎㅎ 약간아이보리색이라 여리여리해보입니당 요즘날씨에 입기엔 추울거같지만 몇겹 껴입으면 괜찮을거같아요!
mj2**|도톰해서 너무 좋았어요 길이가 조금만 더 길었으면 좋았을텐데 다른색상은 품절이라 카키색을 샀었는데 너무 맘에 들었어요 모자가 너무커서 조금 힘들었지만 전반적으로 이뻐서 잘입고 다니고있습니다
lh46**|키가 작아서 바지가 긴거빼고는 만족해요~!
41956833**|기모 효과 별로 없을 줄 알았는데 생각보다 도톰하고 부드럽고 따뜻해요. 사이즈는 고민 많이 했는데 기모 없는 것보단 좀 타이트 하긴 하지만 일부러 더 큰 사이즈로 사실 필요는 없을 것 같습니다! 생지청이라 뻣뻣하긴 해도 스판끼 어느 정도 있고 입다보면 허리가 흐르는 경향이 있어서(기모 없는 것도 그럼) 그냥 원래 입던 사이즈대로 사시면 될 거 같아요
cne050**|처음 왔을 때 불량품이 와서 많이 당황스러웠는데 하루만에 새제품 제대로 교환해주셨네요. 직원분들 친절하시고 빠른 대처 감사드립니다~~~ 제품은 가격대비 좋아욤 감사합니다 잘입겠습니다.
cne050**|길이가 조금 많이 짧아요.. 허리랑은 좋은데.. 근데 스키니는 아니네요.. 여튼 만족합니다!!!
41956833**|예뻐여 스니커즈나 로퍼나 아무데나 잘 어울림 스키니 위로 신는 게 젤 잘 어울리는 거 같아요 근데 생각보다 따뜻하진 않음!
rimche**|러블링한 리본이 있어서 되게 여리여리하게 보여요~~저런 옷 한번 입어보고 싶었는데 마침 가격도 적당해서 질렀는데 후회안합니당^^ 너무 맘에 들어요 배송도 빠르고 너무 좋네요 고고싱 많이 사용해야 되겠네요:-)
ahreum01**|정말 좋아요 !! 겨울이라 추워서 안에 입으려고 샀는데 정말 편하고 좋네요 ㅎㅎ 봄 가을에 입어도 딱일것같아요!!
gkxm199**|옷 완전 이뻐요!!!!!!여리여리 해보여요!!!!!! 배송도 빠르고 좋아요!!!!!!!!!!
gkxm199**|너무 너무 부스럭 거려요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ디자인은 이쁜데...배송은 빨라서 좋았어요!!
ahreum01**|정말 따뜻해요 !! 사진보다 실제가 더 예뻐요 ㅠㅠ 출근길에 신고다니는데 발시렵지도 않고 너무 좋네요!!
thal70**|정전기가 너무 잘나는 원단이긴 하지만..그래도 디자인은 이쁜거같아요 그리고 다 펼쳤을떄 생각보다 너무 커서 놀랬어욬ㅋㅋ담요인줄...머플러라서 큰가봐요 그쵸..?그래도 사진처럼 다른 옷이랑 같이 코디하면 이쁠듯합니다
thal70**|다른 옷이랑 코디하기도 좋고 옷 재질도 제가 생각했던 그 재질이라 좋습니다 목까지 올라와서 겨울에 이너로 입기좋은 거 같아요
ahreum01**|블랙도 예뻤는데 아이보리도 너무 예쁘네요 !! 너무 밝지도 않고 어둡지도 않은 흰색이에요 !! 너무 마음에 듭니다! 감사합니다!!
thal70**|사진이랑 색도 똑같아요 동생이랑 같이 입으려도 샀는데 이쁩니다 다른 옷이랑 코디하기도 좋은 거 같아요!
1738554126453135**|롱코트라 아주따뜻하고 디자인도굳굳 너무이뻐요>< 입었을때 핏도짱이쁘고 매일같이입게되네요 감사합니당
jsm898**|별로 생각안하고 샀는데 오늘 니트랑 함께 입었는데 너무 귀여워요ㅎㅎ 너무 편하고 이뻐요!오늘 그래서 한개 더 사려구요! 짱짱!!
jsm898**|아직 안 입어봤는데 후기도 너무 좋고 많아서 구매했어요!다음에 꼭 원피스 안에 입으려구요!기대하고 있어요!
sysy00**|핑크색 가디건을 사고 싶어서 고민없이 카트에 넣었어요 엄청 커서 접어입어야하고 허벅지도 다 덮지만 예쁜 것 같아요 !! 봄여름가을에 편하게 입고다닐 수 있을 것 같습니다
jsm898**|추운 오늘 입었는데 너무 투툼하니 좋더라구요!오늘 좀 추웠는데 패딩안에 입으니까 너무 좋았어요!따뜻하고 두꺼워서 추운지 몰랐어요!처음에 배달되었을때 좀 찢어져서 온게 좀 흠이였지만옷 상태는 너무 깨끗하고 좋아서 그냥 입었어요!
sysy00**|전 졸업을 하지만 교복에 입는다면 정말 예쁘게 어울릴 것 같습니다! 고민하다가 샀는데 어떤 분 후기대로 유니클로 후리스보다 따듯한 것 같아요!엄청 따뜻합니다! 아이보리 샀는데 다른 아우터랑 매치하기가 좋아요 ! 옷이 크고 복실복실해서 입으면 몸이 어쩔 수 없이 커보이긴 해요 그래도 옷은 귀여운 느낌입니다
jsm898**|아직 안 입어봤는데 너무 좋아요!두툼하니 겨울에 입기 너무 좋을 것 같아요처음에 갈색 시키려고 했는데모르고 잘못 주문해서 차콜이 왔는데차콜도 괜찮은 것 같아서 교환 안했어요!
sm70**|좋아요 저번에도 구매 했었는데 다시 재구매했어요 재구매라서 아직 입어보진 않았는데 이번에도 역시 좋겠죠?
sykw**|가격대비 따뜻하고 좋아요!
sm70**|이뻐요 싸보이지도 않고 좋아요 제가 태슬을 요즘 좋아하게 돼서 구매했는데 좋아요 크기가 막 크지도 않고 적당한 듯 해요~~
sm70**|이거 이뻐요 기장도 저한테 괜찮고 근데 저희 엄마께서 얇아보이지는 않는데 만져보시고는 얇다고 놀라셨어요 근데 이뻐서 맘에 들어요 그리고 이거 입고나간 날 이거 똑같은 치마 입고 지나가는 사람 만나서 좀 뻘쭘하긴 했어욬ㅋㅋㅋ
sm70**|이뻐요 치마랑 같이 입고 나갔는데 이뻣어요 근데 그 약간 부풀? 잘 일어날꺼 같아요 그래도 부드럽고 색깔도 이쁘고 좋아요~~
sm70**|음 접혀져서 와서 앞에 주름이 붕 떠있길래 깔고앉아서 주름 붕뜨는거 눌렀어요 음 근데 생각보다 기장이 짧았어요 저한텐...그래도 이뻐요 잘 입을께요~~
sm70**|고고싱에서 코트 구매를 찾아보다가 할인을 하고있길래 엄청 싸서 구매를 했는데 착용해보니 코트 뒷부분이 붕 떠요.. 그리고 소매도 짧은 것 같구요  아 그리고 코트 윗부분? 이 조금 이상해요 어깨선이 없어서 어깨깡패처럼보여요.. 환불할까했는데 싸서 그냥 입으려구요 기장은 괜찮고요 따뜻한거 같아요
46175040**|터틀넥이 아닌 니트가 많아서 이너로 입으려고 샀는데 소재도 부들부들하고 따뜻해서 자주 입고 있습니다ㅎㅎ
46175040**|소라색상으로 구매했는데 평소 입고 다니던 그레이 코트랑 색상이 잘 맞아서 만족하고 있습니다ㅎㅎ 소재가 부드럽고 두툼해서 따뜻하고 좋은거 같아요~
669249303**|사진이랑 색차이가 없음 봣던대로라서 맘에듬 싸서 별롤거같았는데 생각보다 두껍고 지금날씨에 입기도 좋을듯 앞에 트여있는 부분이 평범하지 않아서 좋음
669249303**|다른후기들 처럼 회색보단 소라색?비슷함 굉장히 얇지만 봄가을엔 입기 좋을듯 디자인도 사진이랑 크게 다르지 않음
46175040**|차콜색상 구매했는데 디자인이랑 색상 덕분에 발랄하면서도 여성스러운 느낌이 들어서 좋아요ㅎㅎ 앉거나 할 때 좀 짧은 느낌이 들긴 하지만 코트에 가려서 활동하기에 큰 불편함을 없는 거 같아요~
669249303**|비침이 약간 있어서 안에 나시같은거 하나 입고 입어야할듯함.가격에비하면 괜찮음 딱 무난한 디자인 생각했던 그대로임
46175040**|색상도 마음에 들고 기모안감이라서 따뜻해서 좋아요~ 그리고 요즘같이 바람 많이 부는 날에는 안에 폴라티에 이중으로 입으면 좋은거 같아요ㅎㅎ
riooeis**|아무옷이나 안에 입어도 괜찮고 캐주얼하게 입을 수 있어요 !길이도 적당하고 코트 핏도 이쁘고 이가격에 살 수 있다는게 정말 신기합니당 이뻐요 후회안합니당 ❤️
shsj73**|저렴한 가격에 원단도 괜찮고 디자인도 너무 예뻐요!! 무난하게 블랙으로 샀는데 다른 컬러도 예쁠거 같아요~~
riooeis**|길어서 키도 커보이고 팔 소매쪽도 따뜻하고 그렇게 얇진 않았어요! 안에다가 하나더 껴입으면 따뜻하고 괜찮았어요 !!이쁩니다 ❤️
shsj73**|바지가 조금 얇긴 하지만 핏도 좋고 무엇보다 편하게 입을수 있어서 좋았아오!!
riooeis**|진짜진짜 최고에요  가격에 비해 너무 만족합니다! 후회하지 않아요 ㅠㅠㅠ 코트안에 아무거나 입어도 이쁘고 길이도 짧지도 그렇다고 너무 길지도않고 적당해요!! 만족합니당 ❤️
namji**|옷은 무거운데 품도넉넉하고 두꺼워서좋아요 다른색깔도.사고싶네요 목도 반목이라 휑하지않아서좋아오
riooeis**|색이 아무 코트나 입을 수 있어서 코디할 때 좋구요 ! 완전 따뜻해요!! 하나 아쉬운점이 있다면 길이가 좀 짧아요 ㅠㅠ 그래도 이뻐요 만족합니당 ㅎㅎ
dkgus32**|가디건이 봄에 있는것들만 있어서 무늬도 독특해서 샀는데 도톰하거 다른사이트에비해서 가격도 좋고 잘 입었어요 ㅎㅎㅎ
mys01**|소매랑 몸이랑 옷색이 달라서 친구가 도데체 검정색인지 흰색인지 뭐냐고 물어봐서 한참을 웃었네요!ㅋㅋㅋㅋㅋㅋㅋ그래도 특이해서 맘에 들어요! 잘입을게요~
mys01**|기모 맨투맨은 언제 입어도 편해요~ 기모도 짱짱해서 따듯합니다!동생도 같이 입어요!! 너무 좋아여~~~~
mys01**|이거 사고 엄마가 재질이 좋다며 같이 입어요~근데 돌돌이가 자꾸 말려서 자꾸 펴줘야 하지만 !소재가 너무 좋네요!
mys01**|요새 너무 추워서 기모짱짱한 맨투맨 찾고있었는데 집에 기본이 너무 많아서 라인들어간거 샀는데너무 맘에 들어요! 기모도 난리나요~ 따듯해요!
seryun**|얇을줄 알았는데 생각보다 따뜻해요!! 지금은 추워서 못 입을꺼 같고 2월 정도에 입고 다닐 수 있을꺼 같아요~~블랙 샀는데 다른 색 세일기간중에 하나 더 사려고요~!!
rlagus28**|아주 좋아요
saena**|너무따듯하고핏도좋고다좋습니당~!고고싱옷은항상가성대비최고에여!ㅎㅎ배송도무난했구올겨울잘입을거같아여!
saena**|너무따듯하고핏도좋고다좋습니당~!고고싱옷은항상가성대비최고에여!ㅎㅎ배송도무난했구올겨울잘입을거같아여!
saena**|너무따듯하고핏도좋고다좋습니당~!고고싱옷은항상가성대비최고에여!ㅎㅎ배송도무난했구올겨울잘입을거같아여!
