wlguswlgus**|역시 천국바지!! 바지는 항상 여기서 사는 고 같아요 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ~~~~~~~~~~~~~<<<<<<<<
wlguswlgus**|좋아요 ~~~~~~두번째 구매!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~
ghk18**|생각한것보다 크기가 컷어요 노트북들고다닐려구산건데 넉넉하니좋네요 하지만 끈이 생각보다 튼튼하지않앗여요 그래도 디자인은 너무 마음에 드네요
chloe0**|원래는 26사이즈 입는데 최근에 살이 찌는 바람에ㅠㅠ 고민하다가 27사이즈로 샀는데 스판끼가 좋아서 26사이즈를 골랐어도 괜찮았을꺼 같아요!!27사이즈는 살짝 허리가 남는 정도..?ㅠ 근데 진짜 짱짱 편해요!!!!색감도 진짜 너무 이쁘고 제 바지 중에 제일 애정하는 바지가 되었답니다ㅎㅅㅎ연청색인데 뭔가 흔하지않은 색깔..?!이여서 오묘한 색감이 매력적이에요! 고민하시는 분들은 무조건 꼭 사세용~!
chloe0**|이건 진짜 꼭 사세요 다들!!! 두께감도 생각보다 살짝 있어서 단독으로 입어도 요즘날씨에 딱 적당하고제 키가 작은 편이 아닌데 길이감도 적당해요! 절대 짧지 않고 딱 반바지 입었을 때 저만큼 와요!^0^그리너리 색상은 후기가 많이 없어서 조금 걱정했었는데 진짜 걱정할 필요 없었어요..색감 진짜 이쁘고 코디하기 막 엄청 어렵지는 않은 것 같아요!!전 돈을 모아서 다른 색도 꼭 사려고 합니당ㅎㅅㅎ디자인 엄청 이뻐요!! 매우추천입니다!
74772346**|오늘 배송이 왔는데 진짜 너무 예뻐요 빨리 겨울이 와서 입고 싶고 진짜 만족스럽습니다 포장도 잘 돼 있고 고고싱 배송 굉장히 빨라서 매우 만족하고요. 키가 작아서 좀 클 것 같지만은 그래도 넘 예쁘니까 됐습니다 !!  산 거 너무 만족해요
tndudtnud**|예뻐요!!! ㅎㅎ처음에는 안어울릴까봐 걱정햇는데 입어보니까 확실히 달라요 말라보이고 ㅎㅎ사길 잘햇어용 ㅎㅎㅎㅎ
ran15**|옷 재질도 맘에 들고 완전 강추입니다 ᆢ색깔별로 와인 베이지 네이비 세개 구매요청 ᆢ울애들이랑 같이 입네요 ㅎ 너무 이쁨니다
gksmf46**|길이도 딱이구 디자인도 너무 맘에들어요!!!! 배송도빠르게와서 입구 부산여행갔는데 만족했습니당!! 감사합니당!!
rkgud2**|인기가 많아서 그런가 배송이 지연됐지만 잘 받을 수 있엇어용!! 옷은 예뻐요길에서 저랑 똑같은 옷입은 사람 발견할 만큼 많이 사나봐용ㅎㅎㅎ
rms01**|옷 너무 좋아여ㅋㅋㅋㅋ 재질도 좋고 핏도 이쁘고ㅋㅋㅋㅋㅋ멜빵끈을 조절할 수 있어서 너무 편하더라구요ㅋㅋㅋㅋㅋ옷입어보고 초딩이 된 것 같아서 너무 웃기더라구요ㅋㅋㅋㅋㅋㅋㅋㅋ옷 진짜 너무 이뻐요ㅋㅋㅋㅋ 진심 핏 대박!!!!!!! 옷 짱 이쁨!!!!!!!
hongsuji**|재입고까지 된다는 문구는 있었는데 후기가 하나도 없어서 걱정을 많이 했었어요ㅠ 근데 이게 왠일인가요퓨ㅠ 너무 이뻐요 치마!! 핏도 딱 떨어지고 정말 엄청 이뻐요!! 강츄입니다!!!!
chloe0**|예전부터 항공점퍼 갖고싶어서 찜해두고 있다가 이제서야 사게 된 항공점퍼ㅠㅠ!!!검은색 반바지랑 니트입고서 그 위에 입어봤는데 길이감이 딱 적당해서 너무 좋았어요:-)긴바지랑 입어도 이쁠것 같고 이것도 핏이 워후..☆★ 완전 맘에 들어요! 검은색이 진짜 무난하게 이쁜것 같아욧
circle20**|너무 이뻐요ㅠㅠㅠ 길이도 적당하고 배송도 빠른편이였어요!! 다른색도 구매할까 생각중이에요~ 고고싱옷은 항상 좋은듯
