snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
ekthf5**|아그냥알려드리는건데 씨컵 못입어염!!!!!!!!!!덕분에 돈날림 좀 설명좀해주지 ㅎ
ekthf5**|이건 좀 괜차나염 근ㄷㅔ 제가 스판끼 없다는 사실을 모르고사서 좀 불편하지만 뭐 제품은 괜찮습니다다른건 다 별로였지만
ekthf5**|어차피 여기 더이상 안쓸거라 별 상관없지만질이 굉장히 별로라는걸 알려드리고 싶습니다!!ㅋㅋㅋㅋㅋㅋㅋ 돈아까워 죽겠네진짜
ekthf5**|ㅋㅋㅋ다시는 여기서 안사리라고 다짐하게 됐어염감사해여 ㅋㅋ 6만원 어치정도 여기서 시켰는데 질 다 구림ㅋㅋ 이렇게 안좋은 질 파는데 첨봄
hayoon03**|일단 길이감에 한번 반하고 신축성에 한번더 반했어요 하이숏팬츠라 다리가 길어보이고 배위까지 올라오니까 뱃살도 커버가 되서 너무 좋아요 그리고 신축성이 너무 좋아서 불편함없이 입을수 있어서 너무 좋아요ㅠㅠ 재구매하고 싶을정도로 너무 좋습니다ㅠㅠ 거의 숏팬츠는 골반까지와서 입기 부담스러웠는데 하이웨스트 형식이라 부담없이 입을수있어서 너무 좋습니다ㅠㅠㅠㅠㅠ 정말 저의 데일리 인생템이라 할정도로 너무 좋아요ㅠㅠ 저처럼 신축성 좋은걸 찾는분들에게 추천하고싶습니다! 진짜 그정도로 너무 좋아요ㅠㅠㅠㅠ 뱃살이 있는데 짧은 숏팬츠를 입고 싶다하시는 분들에게도 추천합니다 뱃살을 가려주고 다리를 길어보이게 하는 효과를 주기때문에 허리가 되게 얇아보여서 좋아요ㅠㅠ 짱이에요 진짜 재구매 의사 100000%입니다
dlekdmsy**|여름에 입기엔 좀 더울 꺼 같고 봄 가을에 입으면 정말 좋을 꺼 같아요!! 스판끼도 낭낭하고 길이도 적당하고 잘 산거 같아요!
dlekdmsy**|가슴 큰 사람들은 가슴 부분 단추 잠글때 쨍긴다는 점 유의 했으면 좋겠어요ㅠㅠㅠㅠ 정말 그것만 빼면 길이도 그렇고 너무 예쁜 거 같아요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
dlekdmsy**|제가 통통한 편인데 이건 꽉 끼는 거 없이 넉넉하니 예쁜거 같아요!! 주름이 잘 지긴 하지만 그것만 빼면 정말 예쁜 거 같아요!!
minilovely**|완전 만족이에요!!  진짜 넘넘 예뻐요 끈으로 길이 조절할수있어서 좋고 슬림해보이고 편해요!  제가 키가 작은데도 예쁘게 입을수있답니당
minilovely**|일단 배송이 빨라서 넘넘 좋았어요~!! 그리고 소재도 가볍고 시원해요!! 가격대비 너무 좋네요^.^  착한상품입니닷
diddmsdud58**|바지는 너무 예쁘게 생겼고 얇아서 입기도 편하고 좋지만속옷 보여요ㅜㅜㅜㅜㅜㅜㅠㅠㅜㅠㅜ생각보다 길이도 너무 짧아요제가 엉살이 많은 게 조금 스트레스인데 엉살이 보입니다 ㅎㅎ,,,, 그 정두로 짧아요..길이가 좀만 길다면 잘 입고 다녔을 것 같아요
diddmsdud58**|163/48에 S 사이즈로 구매했어요고고싱에서 첫 구매여서 사이즈를 S,M 중 고민을 되게 많이 하고, 후기도 찾아 보고 해서 S로 구매했어요입고 나서 보면 딱 맞아 보여요근데 앉으면 살이 튀어나올 것 같아요 ㅋㅋㅋㅋㅋ2KG만 찌면 살 삐쭉 나올 것 같아요입을 때만 불편해요,..하지만 한 번 빨면 조금 덜 불편합니당그리고 바지 끝에가 A라인이여서 맘에 들어요 !!다리가 더 날씬해 보이고나중에 돈이 생기면 다른 컬러 M으로 구매할 예정이에요 ㅎㅎ
irma**|너무너무 만족스러워요! 소재도 약간 한복속치마 같은 느낌인데 까끌거리진않구요 기존에 가지고 있었던 치마랑 입어봤는데 잘어울리는 것 같아서 좋습니다! 예쁘게 잘 입을게용
qhsk98**|첨 받았을 때 너무 딱 붙고 생각외로 기장이 짧아서 놀랬는데 계속 입다보니까 이뻐요! 시크해 보이기도 하고~  맘에 들어요~^^
hjhjjhoo07**|베이지 긴치마 갖고싶었는데 무난하게 이뻐요 근데 제가 키가작아서 딱 발목까지오는데 사진으론 길어보이겡나왔네열 밴딩이라 편해용
2156926147866940**|뷔스티에 처음사서입는데 다들이옷잘삿다고 어디꺼냐고가격물어봄 ㅎㅎㅎ 가격말하니깐싸다고하심 진짜이쁨!!! 사진보다실물이더이쁨 옷은보는것보다입어보는게최고 ㅎㅎ 안입어보신준들 한번도안입어봐서어색할까봐걱정되는분들한번사서입어보는거추천 ㅎㅎ!!!!
2156926147866940**|사진이랑똑같음 ㅎㅎ 하지만팔뚝에살많은사람들은조금고려하면서사는게좋음 ㅜ!!! 그래도 가격에비해옷이 스판이라서좋음ㅎㅎㅎ
2156926147866940**|색상도이쁘고 가격대비!!!쩜니당!! 일반기본반팔티에다가이거입으면짱짱이쁘고간단하게입을수잇다는점!!
2156926147866940**|집앞에나갈때옷고를필요도없고 편하게입고나갈수잇음!!좀두께가잇어서한여름까민못입고지금날씨에입기딱조음!! 디자인은진짜이쁘고 산거절대후회안할겁니다!!
qhsk98**|바지가 밑단수술이여서 그란지 다리가 얇아보여요! 위에다가 골지티 입으니 이쁘네요~ 위에 그냥 흰색티 입어도 이뻐요~~^^
2156926147866940**|심플하고이쁨!!!!!!!!!!!!!!!!!!!!!얇아서어름에입기조을듯 근데목부분에약간불편함은잇음ㅜㅜ!!
ky88**|옷은 이쁜데 입고 반품하는 사람들이 많은건 알겠는데 뒤에 자크 내리는 부분에 실밥으로 꼬매놓는거는 좀 아니지 않나요..그 실밥뜯다가 옷 뒤에 약간 흠났는데..아 이건좀 아닌거 같아요....
qhsk98**|검정색으로 샀는데 이뻐요~ 사진은 따로 못 찍었지만..ㅎ평상시에 입고다니기 무난무난해요~~똑딱이 단추가이써서 그런지 일반 무지 검정색보단 심심하진 않아요!!
mydbcjs**|버프박스슬라브반티 아이보리 색상샀는데 면도 부들부들 하고 촉감도 괜찮은 편이에요~ 가격대비 만족하고 배송도 빨라서 좋았어여
mydbcjs**|메이플라운드반티 화이트색상 샀는데 가격 대비 괜찮은거 같아요~~비치는건 알고 샀기 때문에 이정돈 예상했구여~~배송도 완전 빨랐어요
svoo3**|블랙 치마 사고 싶어서 샀어요~~~화이트도 예전에 샀었는데 똑같은 사이즈로 이번엔 블랙도 샀네요 좋아요 ㅎㅎㅎㅎㅎㅎ
svoo3**|짱예뻐요ㅠㅠㅠㅠㅠ제가 승모근이 발달..?해서 어깨파인옷 오프숄더 같은거를 입기 꺼려하는데 이거는 살짝만 보이는거라 넘 예쁘게 잘나왔어요ㅠ
svoo3**|이거너무예뻐요ㅠㅠㅠㅠㅠ딱 보자마자 사야겠다 싶어서 산건데 정말 이쁘드라구요ㅠㅠㅠㅠ검정색을 좋아해서 검은색으로 샀어용
djsfhs**|생각했던거 보다 에뻐서 깜짝놀래써여ㅛ!!!! 실망을 시키지 않았구요!!!다음에도 또 재구매 의사있습니다!!!
llllslll**|이뻐오이뻐요 너무 딱 접혀있었어서 그런지 접힌 모양이 잘 안풀리긴하는데 이쁘긴 짱이쁨!!!!!자주 입을거같아요 감사해용~~
llllslll**|이거 엄청 달라붙을꺼같아서 s살라다가 m샀는데 m사길 잘한거같아요 !!진짜 잘산듯 이번에 산거중에 제일 잘샀어요ㅠㅠㅠ핏도이쁘고 딱 잘 잡아줘요 몸을 ㅎㅎ
gksdkdus**|아무데나 받쳐입기좋아요 오늘은 슬랙스에다가 입었는데 청치마에 입어도 잘어울리고 예뽀요!가성비도 짱이에요 앞으로도 고고싱자주이용할게요
llllslll**|생각했던것 보다는 좀 별로였긴한데 그래도 이뻐요이쁘긴!!통이 좀만 더 좁았으먄 좋았을껄 이라는 생각이 드네요ㅠㅠ그래두 이뻐요 잘입고다닐게용~~
llllslll**|이뻐요~~~길이도 엄청 길고 통도 엄청 크긴한데 바지에 넣어입으니까 이쁘네요 시원시원하고 !!프린팅도 맘에들어요 사진이랑 똑같은듯
llllslll**|이 가격으로 이정도면 만족해요!!! 오프숄더는 좀 부담스러워서 이런 옷 입고싶었는데 사진이랑 똑같아요 재질도 괜찮고 하늘하늘한게 ㅎㅎ 자주 입을거같아요~~
llllslll**|일단 좋아요!!!!! 진짜 이거 오고나서 엄청 많이 입었어요 재질도 시원시원한 재질이고 몸통도 잘 잡아주고 좋네요ㅎㅎ 많이 입을게요~~ 나시라 사진은 못찍었어요ㅠㅠ
brownho**|세일할 때 샀는데 카라가 막 접히고 올이 좀 나가있더라구요그리구 어깨가 무쟈게 커서 입으면 왠만한 남자 지지 않아요 ㅎㅎㅎㅎ 근데 운동할때나 그럴때 입기엔 간편해요
brownho**|흰색 샀는데 조금 두꺼운 편이에요박스핏은 아니고 몸에 딱 맞게 떨어지는 귀여운 핏이라같이 산 바지하고 입으면 귀여워요 ~~~
brownho**|허리는 좀 크게나왔지만 핏이 너무 이뻐요 얇은 편이라 여름에 막 입기 좋을거 같아요 ㅎㅎ길이도 적당하고 재질도 가볍고 저렴하게 산거 같아 기분좋아요
hanu**|ㅠㅠ... 뷔스티에입을때 입으려고 샀는데..... 하늘하늘하긴 한데 ㅠㅠ무슨 히트텍 같네여....ㅠㅠㅠ 절대 이거 하나만 못입을것 같아여....ㅎㅎ 처음으로 고고싱에서 실패한듯..... ㅠㅠ 아 뷔스티에랑 입어도.... ㅠㅠ무슨 난닝구에 입은..듯.....크헉
iria03**|밑에 잠그는 부분이 부셔진 불량으로 오고 또 저한테는 사이즈가 아예 안 맞아서 엄마가 한번 입어보시고 편하고 좋다면서 스스로 수선해서 입으신다고 하셨어요 엄마가 너무 마음에 든다고 하시고 핏도 너무 예쁘게 보여서 엄마가 s 사이즈로 너도 하나 사라고 하실 정도였어요 엄마는 엄청 만족하신 상태고 저도 다음 달에 S 사이즈로 시킬 생각입니다 환불이나 교환은 번거롭기도 하고 지불해야 하는 왕복 배달비가 있어서 안 하는거지만 앞으로 배송하실 때 잘 확인하고 보내주세요
ysy57**|화면과 같아요! 밝은색이 잘 어울려서 밝은색 위주로 입다가 처음으로 카키 도전해 봣는데 역시나 밝은게 잘 어울린데요ㅠㅠㅠㅠ 칙칙해보인다고.... 카키가 약간 화면과는 다른 좀 어두운? 칙칙한 카키긴 합니다ㅎㅎㅎㅎ
ysy57**|잠옷을 입고 위에 티를 입어서 코디는 별로지만 옷은 이뻐요!! 팔이 좀 애매하게 길어서 아쉽긴 하지만 색도 이쁘고 다른 곳보다 고고싱이 훨씬 싸요!!!!!근데 리본 묶는게 어렵네요.. 대충 묶긴햇는데 배워야 할듯..
iria03**|길이감이 진짜 예쁜 길이감이에요 ㅠㅠ 핑크색이 제가 생각한 밝고 맑은 색이 아니라 살짝 가을가을한 느낌이 나요 정말 살짝.. 근데 오히려 그래서 더 예쁜 것 같아요! 여름이라고 무조건 하늘하늘한 색만 입으라는 법은 없으니까욤 ^ㅡ^ 옷장을 요리조리 뒤지다가 툭 하고 나온 멜빵을 입어봤는데 너무 잘 어울리는 것 같아요 이거다 하는 생각이 들었답니다! 꼭 저 스타일로 놀이공원을 가고 말겠다. . . 이 티는 전색상 전부 다 사고싶다 라는 생각이 들었어요 ㅠㅠ 가격도 너무 저렴하고 핏도 너무 예쁘고 아아가각 이렇게 예쁜 티가 세상에 또 있을까요? 여러분 꼭 사세요 진짜 무조건 구매하세욤!!!
ysy57**|밑에 옷은 아침에 입고 갓던 옷이라 그냥 입어보느라 코디가 이상하네요ㅎㅎㅎ 이 옷은 산것중에 제일 실망이에요ㅠㅠㅠㅠ 모델분처럼 달라붙는 핏인줄 알앗는데 되게 헐렁하네요.. 제가 마른것도 아닌데... 베이지 색상도 별로 이쁜샥이 아니에요.. 친구가 할머니 내복 훔쳐입었냐고 해요ㅠㅠㅠㅠㅠㅠ 색이 그런가봐요..ㅎㅎㅎ 그래도 싸서 만족해요!!
iria03**|집에 노란색 티가 하나도 없어서 사봤는데 정말 너무 예쁜 색이에요 너무 밝지도 않고 어둡지도 않고 애기똥풀 같은 색이에요 ㅋㅋㅋㅋ 무슨 말인지 알아들으셨죠..? 물 빠진 것처럼 연하지도 않고 그렇다고 너무 진한 겨자색도 아닌 정말 딱 예쁜 봄이나 여름에 딱 맞는 노란색! 나한테 노란색이 잘 어울릴까 걱정하면서 샀는데 완전 만족합니당 이 티는 전색상 다 구매하고 싶어요 ㅠㅠ 잘 입고 다닐게요 색 제발 많이 많이 만들어주세용!!!!
ysy57**|아침에 멜빵입고 갓다가 옷을 입어보게 되서 코티가 안맞아서 좀 가렷어요ㅎㅎㅎ 보자마자 너무 이뻤고 친구들도 너무 이쁘다고 하네요!! 약간 얇은 감이 있어요 나시로 입으려 햇는데 그러면 속옷이 보여요... 그렇다고 안보이게 올려입으면 뭔가 이상합니다ㅎㅎㅎ 그냥 흰색 달라붙는 티에 뷔스티에 처럼 입는게 제일 이쁜거 같아요!! 나름 섹시하다고 하네요ㅋㅋㅋㅋㅋㅋ
12208618**|컨버스화 사야되는데 사야되는데 하면서 못사고 있다가 이번에 구매했는데, 마음에 드네요 :)  출근길에 사진을 찍은거라 조금 부족해보이네여 :D 제대로 찍었어야 했는데 :) 싼티 나지도 않고 진짜 이뻐요 !
iria03**|파스텔 톤의 연보라색인데 엄청 예뻐요! 길이는 엄청 깁니다! 제 키가 160 쯤인데 제 기준으로 허리? 허리 좀 넘어서? 그 정도까지 와요 짧은 반바지로 유행 지난 하의실종을 표현해도 되는 정도랍니당 바지에 입어도 예쁘고 치마에 입어도 예뻐서 무슨 옷에 입어보지라고 생각하다가 철 지난 골지 원피스가 떠올라서 함께 입어봤는데 정말 예뻐요 ㅠㅠ 어떻게 코디해도 괜찮을 것 같지만 개인적으로 전 긴 상의를 좋아하지 않기 때문에 좋아하는 보라색 티를 얻은것으로 만족하려구 해요 옷은 개인 취향이니 알아서 요리조리 잘 사셔서 입으시는 걸 추천해욤
ysy57**|디자인은 너무 이쁘고 화면과 똑같아요ㅎㅎㅎ 팔이 좀 끼네요.... 겨드랑이 쪽..? 뱃살도... 힘주고 다녀야 할듯 하핳....제가 요새 살이 쪄서 그런가봐요ㅠㅠㅠㅠ 그래도 옷은 만족해요!! 흰색 골지티라 받쳐입기도 쉬워요
79925507**|이런스타일 볼캡 사고싶엇는데 진심 잘산거가타요링 두개달린거 요즘 마니보이는데 이거는 링뿐만아니라 앞에 다른피어싱이 더달려잇어어 더 특이한듯
leeyh**|살짝파인옷이에요!요런색입어보고싶었는데실물로보니더이쁘네용ㅎㅎ근데생각보단면이좋은면은아닌거같아요..그래도잘입겠습니다
79925507**|작년에 이런디자인옷 샀엇는데 실수로 옷이 망가져서ㅠㅠ 여기서 똑같은디자인있길래 샀는데 너무이뻐요 아이보리라 청순해보이는듯ㅋㅋ
leeyh**|배송이진짜빨랐어요하루만에왔음ㅋㅋ하긴티셔츠두장만사서그런걸수도있지만..일단색상선택을잘한거같아요세련된느낌?글구사진보다실물이훨씬예뻐요~~잘입겠습니다!
117424865**|짧은 바지를 입으면 허벅지가 부각되고 핏이 안예뻐서 여름에는 거의 반바지는 포기하고 살았는데 이 옷은 품이 낭낭해서 허벅지를 잘 커버해줘서 좋았어요*^* 생각보다 길이가 조금 짧아서 놀랐는데 원하는 길이라서 만족입니다>♡<
117424865**|검정색, 남색 고민하다 검정색으로 구매했는데 평소에 딱 달라붙는 옷을 별로 좋아하지 않아서 넉넉하게 남아서 좋았어요! 평소에 입을 수 있게 데일리룩 코디를 편하게 할 수 있어서 즐겨입을 것 같아요
iria03**|제가 보라색을 너무너무 좋아해서 두 개나 사버렸는데 실제로 보면 연보라색이 아니라 물빠진 남색같은 느낌이었어요 연보라라고 하기엔 빨래 잘 못한 애매한 색 ㅠㅠ 그래도 색감 자체는 너무 예쁩니당 뭔가 보라색은 아니지만 파스텔이니 만족하겠다 이런 느낌? 텍스트로 얼마나 느낌이 전달될 지는 모르지만 최대한 표현했습니당! 그리고 사이즈는 제가 발이 좀 작은 편이라 그런지 발 뒤꿈치가 맞지 않았어요 ㅠㅠ 옆에 있는 235라고 체크된 발은 저희 엄마 발이랍니다! 발이 너무 작으신 분들은 이 양말 보다는 요고걸 양말이 더 잘 어울리실 것 같아요! 하지만 골지는 항상 절 실망시키지 않습니다.. 발목 조금 위까지 올라가는 핏이 너무 예뻐요 ㅠㅅㅠ 천원이면 양말 중에 최저가 아닌가요?? 옷 사다가 한 두켤래씩 사셔도 될 저렴한 가격이니 꼭 한 번씩 사보세용
vncy10**|좋아요~ 배송 늦었다고 적립금도즈시고 서비스괜찮네요~
iria03**|개인적으로 요고걸 양말과 골지 양말의 차이점이 정말 궁금해서 각각 사봤는데 색은 똑같고 무늬 차이만 있더라고요 색은 정말 정말 예뻐요 ㅠㅠ 이렇게 예쁜 파스텔 핑크색이 있다니 감동.. 발이 작은 분께는 요고걸 양말을 백번 천번 추천해드립니다! 사진을 좀 잘리게 찍어서 크기 차이가 눈에 잘 보이지는 않지만 실제로 보면 크기 차이가 꽤 난답니다! 하지만 둘 다 하나씩 가지고 계셔도 정말 정말 정말 정말 좋을 것 같은 아이템.. 파스텔 덕후는 심쿵하고 갑니다! 그런 김에 고고싱 분들 양말 컬러 좀 더 많이 만들어주세요 ㅠㅠ
alsrud21**|완전 이쁜 옷 발견했어요바로 이 옷 이에요!!진짜 입고나서  너무 이뻐가지고 사진 엄청 찍은거같아요앞부분이 좀 짧은거 말고는진짜 완벽한 옷이에요빨리 배송해주셔서 감사합니다
alsrud21**|원래도 그린 색깔을 좋아하는데요여기서 산 그린색깔도 너무 마음에 들어요옷 사이즈도  딱이뻐요가격까지 저렴하다니 진짜 짱이에요빨리 배송해주셔서 감사합니다
alsrud21**|이 옷입고가니깐 다들 이쁘다고하네요색깔도 진짜 이뻐요핏도 좋구요딱 여름색깔 프린팅도 진짜이뻐요잘입을게요 빨리 배송해주셔서 감사합니다
alsrud21**|진짜 편하고 박시해요이쁘기도 이뻐요모든 걸 갖춘 옷이네요!!근데 이 색은 잘 못 보면 반티같아보이긴한데잘 코디하면 이뻐요빨리 배송해주셔서 감사합니다
alsrud21**|착용샷이 없어서 아쉬운데요ㅠㅠ진짜 이 옷 왜 인기 있는지 알거같은 옷이에요사이즈도 딱 맞고 활동하기도 진짜좋아요완전 좋아요빨리 배송해주셔서 감사해요
alsrud21**|바지가 크게 나왔다해서S를샀는데ㅠㅠ M시킬껄 그랬나봐요ㅠㅠㅠ골반주위가 좀 작게 나온거같아서활동하기가 조금 불편해요그래도 핏은 진짜 이뻐요빨리 배송해주셔서 감사합니다
alsrud21**|실물 깡패인 옷이에요박시한 옷입고 싶은 분에게 추천하지않지만몸매 이쁘게 보이게 하는 옷같아요핑크랑 같이 샀는데 후회하지 않아요빨리 배송 해주셔서 감사합니다
alsrud21**|이 옷 진짜이뻐요ㅠㅠ 검은색 살려고 봤는데진짜 같이 사길 잘한거 같아요고고싱 센스 짱이에요자주 애용하고싶어요빨리 배송 해주셔서 정말 감사합니다
khj6223**|제 인생 남방입니다ㅎㅎ 진짜 체크무늬도 이쁘구 네이비색이랑 잘어울리고 어느옷이나 잘어울립니다~~ 꼭 사세요 별말필요없고 사세요♡♡♡
dlwldus**|오자마자 입고나왔는데 데일리룩으로 편하게 입을수있어서 늠나 좋은것바지나 치마에도 다 잘어울림ㅎㅎㅎㅎ 고고싱은 실망시키지 않음~배송도 적절했고 키가작아서 길이는 힙중간정도 옵니다 ㅎㅎㅎ
khj6223**|사진과 달라서 받았을때 당황했는데ㅋㅋㅋ 초록색일줄은몰랐는데 앞부분 길이가좀짧아서 전 아쉬운거 같지만 이뻐서 잘입고있어요
khj6223**|저 이옷 제 인생옷된듯요ㅎ 하얀색이지만 비치지도 않고 교복하복에 입어도 이뻐요ㅎㅎ 심플하고 좋아요ㅎㅎ 흰색옷좋아하시는분은 꼭사시길
alsrud21**|실물보고 오 이쁘다했어요 착용하고나니깐ㅠㅠ 바지가 너무길어서 수선했어요바지도 한치수 작게사는게 좋을꺼 같아요그래도 이쁘니깐 이쁘게 입을게요빨리 배송해주셔 정말 감사합니다
khj6223**|옷이 약간 얇아서 여름에 시원하고 좋습니다ㅎ학교체육시간에 입는데 진짜 좋아요ㅎ옷 자수도 이쁘고 좋습니다ㅎㅎ 사세요ㅎ
khj6223**|항상 체육할때 입는데 진짜 시원하고 좋네요ㅎ검정이여서 비치지도 않고 정말 좋습니다ㅎ반바지에도 이쁘고요 자수가 이뻐용
khj6223**|체육복에다 매치에도 이쁘고 자켓에다 매치해도 이쁜옷입니다~~♡♡ 짱 이쁘고요ㅎ 진짜 어느분이나잘어울릴만한 줄무늬옷입니다
tpdls29**|키가 작아서 롱스커트를 안입다가 처음으로 시도해 보는거라 걱정 했는데 길이도 제가 딱 원하는 길이에 뒤에 밴딩까지 있어서 편하고 치마도 가벼워서 맘에 들어요
khj6223**|옷이 박스티여서 괜찮구 집어넣어 입어도 이쁘고 앞에만 집어넣어서 입어도 이쁘네요~~♡♡목 카라부분도 이쁘고ㅎㅎ짱♡
wjdals5**|배송이 오고 너무 늦게 후기를 쓰네요 ...ㅠ 일단 너무 마음에 들었습니다!  위 반팔을 보고 딱 꽂혀서 바로 구매 했는데 잘 산거 같아요! 어제도 입고 나갔답니다. 여기서 계속 쇼핑 하길 잘한거 같아요~ :D 앞으로도 좋은 옷 많이 파시구요 저도 구매 열심히 하겠습니다 감사합니다 ㅎㅎ
khj6223**|진짜 이쁘고 핏이 좋고 짱이에요ㅎ검정옷은 어느옷에서나 매치가 잘되고ㅎㅎ 이쁘네요ㅎ 제 인생템입니다~~^^♡♡♡♡♡
khj6223**|신발이 안정감도 있고 좋네요ㅎㅎㅎㅎ굽이 두껍고 스펀지같은 소재라서 괜찬구 심플해서 이뻐요ㅎㅎ 진짜짱짱 사세요ㅎ
wjdals5**|배송이 오고 너무 늦게 후기를 쓰네요 ...ㅠ 일단 너무 마음에 들었습니다! 여름에 입을 옷이 마땅치 않았는데 가격도 적당하고, 여름에 입기에 딱 좋았습니당 여기서 계속 쇼핑 하길 잘한거 같아요~ :D 앞으로도 좋은 옷 많이 파시구요 저도 구매 열심히 하겠습니다 감사합니다 ㅎㅎ
khj6223**|핏도 좋고 이뻐요ㅎㅎ 길이는 넉넉하게 엉덩이까지오고 진짜 짱이고요 통통한사람도 입을수있으니깐 진짜 사세요~~~~~♡
wldus86**|지금부터 입기 딱 좋은 것 같아요!!!! 색깔도 딱 좋고 이쁘네요~~~~~ 어디에나 코디하기 딱 좋은 것 같아요!!! 잘입을게용
wldus86**|면 소재가 얇고 좋아요ㅃㅃ 그래서 시원한 것 같아요!!!!!! 어느 옷에나 받쳐 입기도 편한 것 같아요!!!!!!!!!!!1
wldus86**|면도 쫀쫀하고 색깔도 괜찮아요!!!!!!!!!!데일리로 입기 딱 좋은 것 같아요ㅃㅃ길이감도 딱 좋고요!!!!!!
13213579**|면 좋고 목도 탄탄하네용 근데 팔이랑 전체길이가 길어요 품도 크고근데 색이 이쁜 소라색이라 좋고 편하게 자주 손갈거 같아요빠른 배송감사요~~
wldus86**|색깔도 생각보다  이쁘고 핏도 좋아요\\\목 라인도 딱 알맞게 파져서 이쁜 것 같아요!! 색깔 별로 하나 더 구입하고 싶어요@@ 가격 대비 짱!!! 처음에 왔을때 옷이 구겨져 있어서 자국이 심해 걱정했지만..... 그래도 입으니깐 별로 티가 안나더라고욯ㅎㅎㅎ 잘입을게용
iria03**|개인적으로 이런 파스텔 톤의 색상을 좋아해서 너무 만족이었어요! 제가 나이에 비해 발이 되게 작은 편이라 가끔 양말의 뒤꿈치가 저의 발목에 와있는 최악의 경우가 있는데 이건 아니에요 ㅠㅠ 정말 색도 너무 예쁘고 그냥 예쁘다는 말밖에 못할 것 같습니당 ♡♡ 전 색상 다 사고싶지만 솔직히 제 취향의 색은 더이상 없음.. 많이 만들어주세요!!
13213579**|다른 쇼핌몰 무지반팔보다 면이 좀 더 두껍고 목부분이 탄탄하네요근데 품이 생각보다 크고 팔이랑 전체길이가 좀 기네용근데 딱 화이트가 정말 깨끗한 화이트라 맘에 들어욤배송도 빨라여~
juj17**|전평소에 s아니면 m입는데 후기보니까 대부분의 사람들이 작게나왔다해서 L시켰더니 걍 흘러내리네요ㅠㅠㅠㅜ전혀 작게 나오지않았어요....오히려 크게나온거같은데..치마자체는 이뻐서 사이즈교환하고 입을려고 합니다!
13213579**|다른 분들이 짧다고하셔서 뭐 린넨옷딴거랑 비슷하겠지 했는데 리얼 다른 남방보다 짧네염 손 올리면 옆구리보이는 정도..? ㅎ근데 색은 개나리처럼 이쁘고 단추도 이뻐서 좋아용 핏도 괜춘~~빠른 배송 감사합니댕
13213579**|어깨선이 팔뚝에 있어서 살짝 어깡스멜이 나는데 걍 박시한 느낌나서괜찮아용 그리고 천이 얇아서 시원하고 비침도 ㅂㄹ없는거 같아서나시안입고 입어도 될듯요ㅎㅎ  길이는 좀 길어서 앞뒤 싹다 넣어서살짝 빼입는게 젤 이쁜듯~ 빠른배송 감사합니당
wntjsdud**|짱조아요
taeyang10**|친구랑 커플로 샀는데 애들이 싼가격에 너무 이쁘다고 부럽다 하더라구요ㅜㅜ 안에 내용물도 많이들어가고 진짜 후회안되고 너무 깔끔하고 예쁘네요!!!! 꼭 사세요!!!!
taeyang10**|얇은 재질이라서 좋긴한데 기장이 되게 길어요ㅋㅋㅋㅋㅋㅋㅋㅋ 배바지 해서 괜찮긴하지만...근데 시원해서 좋아요!!!!
luj48**|보자마자 반해버린 원피스입니다진짜 세상예쁘고 길이도 딱 적당해욤
taeyang10**|사이즈 때문에 걱정했었는데 다행이 맞다라고요..ㅎ m을 주로 입었는데 이번에 s를 사보자 해서...ㅎ 정말 이뻐요!!!!뚝 떨어지는 핏에 ㅠㅠㅠㅠ 친구들도 예쁘다 하더라구용! 다른 분들도 사보셔도 좋을것같아요!!!!!!
5984978**|생각했던 나시는 아니였어요! 속에 입으려고 구매한건데스판기가없고 약간 면티소재같은 나시 느낌이었어요!흰색이라 그렇지 색깔있는 검은색이나 회색 구매하시면단독으로 입고 위에 남방같은거 걸쳐도될거같아요
qkdskawl1**|배송 오자마자 뜯어보고 너무 이뻐서 그 다음날 바로 입고 외출했어요~ 색상도 너무 이쁘고요! 특히 옷이 전~~혀 얇지가 않아요! 적당한 두께여서 바람에 날리거나 뭐 그런 걱정은 할 필요가 없더라구요 ㅎㅎ 그리고 치마 라인이 정말정말 이쁩니다! 최고 ㅎ
5984978**|같이 시킨 허시티같이 시원한 소재라 한여름에도 시원하게 입을수있을거같아요! 아랫부분에 트임있는데왜 있는지 잘.... 앞에만 넣어입으면 뒤에 길이가 많이남아서사진처럼 앞뒤 다 넣어서 입는게 나을거같아요!시원하고 팔길이도 긴편이라 편하데 입고다닐것같아요!
qkdskawl1**|여름에 치마 입을 때 검정색보단 흰색 입는게 나을 것 같아서 주문했어요 ! 가격이 저렴해서 재질이 별로일까봐 걱정했는데 ,,,,,,오 ! 진짜 짱짱하고 좋아요! 치마 짧은 거 입을 때, 속바지 보일까봐 걱정할 필요없을 정도의 길이여서 더 좋아요~
qkdskawl1**|너무 얇은 건 함정 ,,,,,, ! 그래도 어떤 덧신 양말은 신다보면 뒷꿈치 아프고 눌려서 싫었는데 이건 그런 불편함은 전~~혀 없어서 좋았어요 !! ㅎㅎ 싼 맛에 신기에는 좋은 것 같아요 ! 어처피 여름 양말은 자주 갈아야되니깐 추천해요! ㅎㅎ
miin52**|얼마나 이뻤으면 애들이랑 선생님들이 이쁘다고 하셨을까요 ㅜㅜ 저 야영에서 입고 더ㅓ더 두배로 좋은 추억남겼어요 너무 사랑합니다 고고싱 !
