snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
치킨먹고**|고고싱 치킨먹고싶다언니 후기166cm / 58kg짧은거 안좋아하는 저에게는 너무 짧게 느껴졌지만, 옷 자체는 이뻐서 괜찮았습니다. 165cm이상인 분들은 이 원피스안에 속바지보다는 짧은 반바지 입는게 좋을것 같다는 제 개인적인 의견입니다. (다리가 짧고 상체만 길어서 그런거일수도) 무튼, 귀여워보이고싶은 날에는 이 옷을 꺼내입어야겠습니다. 한가지 아쉬운점은 제가 팔이 길어서 소매가 좀 짧다는점...............ㅎ아아 비침은 거의 없어서 좋아요. 이정도면 없다고 봐도 될듯... 비침 없는거 매우 만족
cym42**|리뷰없을때구매했던거라 리뷰가늦었지만 예쁘게잘입구있습니다 언발이라서 더여성스럽고예쁜거같아요색깔은 찡한 빨간색은 아니구 어두운빨간색? 톤다운된빨간색인데 처음에는 원하는색이아닌거같았지만 볼수록예쁘네요 줄길이조절할수잇어서 더좋은거같아요ㅎㅎ 예쁘게잘입겠습니다.
임포스**|고고싱 임포스언니 후기158cm / 60kg제가 바스트가 있어서 그런지 키가 작은데도 좀 짧게 느껴지네욤ㅠㅠ(치마를 자주 입는 편이 아니라 어색해서 그럴수도 있구...)길이는 그래도 엉덩이 다 덮고도 남긴합니당!!팔통도 그렇고 옷 자체가 낙낙하다보니까 66사이즈인 저도 쉽게 입었어요~나한테도 이렇게 낙낙하다니!! 라는 느낌이었달까..아아 그리고 숙여도 궁둥이 보일 염려는 없어서 매우 안정적이에요!!모델한테만 저렇게 커보이는거겠지 라고 고민되신다면 그 고민 넣어두세용ㅋㅋ암튼 66인 저한테도 쨍기지않고 원단이 바람도 잘통해서 여름에 잘 입을수 있을거 같아요!
bha11**|그레이로 구매했습니다. 옷 진짜 괜찮아요~! 옷재질자체가 얇은편이 아니어서 옷 변형 별로 없을거같아요^^다른색상도 구매예정입니다.
eyalg**|이뿝네당 굿굿 더이상할말없음걍 아주 잘 입꼬있숨당아주 핏된다는점 숙지하시길!글두 흰바지 산거중엔 가장 괜춘(총2개샀지만...ㅋㅋㅋ)
eyalg**|기장 짧고 좀 작아요 바꾸기 구차나서 걍 엄청 핏되게 입습니다흰바지 산건 딱 적당히 이뿐디 이건 좀 타이트하게 나온듯염 m사기엔 애매하고.,, 특히 기장이 짧음
alswo04**|일단 입어보면 너무 편하고 이뻐요!살이 좀 있는 분들은 찢어진 곳으로 약간 살이 나올 순 있어요..그리고 재질이 잘늘어나서 그런지 하루정도 입고 돌아다녔더니 바지가 헐렁헐렁해지네요그래도 빨아서 입으면되니 추천입니다
gina05**|원단이 바꼈다고 연락와서 엄청 고민 많이 했는데 원단 바뀌어도 너무 이뻣어요!! 키가 작아서 약간 길이가 길게 느껴져서 좀 위로 해서 입구 잇어용~
gina05**|길이도 딱 적당하고 너무 이뻐요!! 입고 갔더니 다 친구들이 이쁘다고 했어요~ 바지도 잘 어울리고 치마도 잘 어울리는 옷인거 같아요! 적극 추천이여~
gina05**|색깔하고 무늬는 너무 이뻐요!! 근데 약간 길이가 짧아서 크롭티 같아요.. 그리고 빨아도 너무 쭈글 쭈글해용ㅜㅜ 다른색도 사고싶어요~
