hmin8**|저는 연청에 m사이즈삿는데요! 진짜 핏도이쁘고 색도이뻐요❤ 역시 믿고사는 고고싱!! 근데 저랑 체형 비슷하신분들은 s로 사셔도 될듯해여 모델사진이랑 다르게 좀 많이 크고 길이도 길더라고요) 근데 진짜 가격에 비해 너무 이뻐요!! 진짜 추천합니다!!ㅎ
elf9lo**|키가 작은 편이라 롱스커트 웬만해선 안입으려고 하는데 이건 진짜 이뻐요! 여행 갈 때 입었는데 애들이 다 이쁘다구 칭찬해줬어요ㅎㅎ 허리부분도 잘 맞고 바람 불 때 살랑거리는 게 이뻐용ㅎㅎ 안에 안비치고 여리여리해 보이고 아주 좋습니다! 그런데 뛰거나 보폭을 크게 해서 걷는 건 힘들어요ㅠ 불편한 정도는 아니니깐 괜찮아용! 사길 정말 잘한것 같아요!!
soyeon32**|배송도 빠르게 와서 정말 좋았습니다.그리고 무엇보다 가격도 저렴하고 편하게 신을 수 있을 것 같아서 마음에 들고, 면이 조금 안좋은 것 같은 부분 빼고는 마음에 듭니다!!
kha23**|재질이 생각했던 재질은 아니었는데 그래도 박시한 핏이 예뻐요.디자인도 심플해서 간단히 입기도 편하고 좋은거 겉아요.딱 가격정도 퀄리티 인거 같아요
kha23**|사이즈를 잘못 시켜서 새로 하나 주문했어요 디자인도 예쁘고 좋은데 당일배송인데도 배송이 느리네요88 배송이 조금 더 빨랐으면 좋겠어요
nc0897**|쿠켜어오어우우우우ㅜ우우우우우우우어어어어어더너더너어어어어어어어어ㅓ어어어ㅓ더더더더더어더ㅓ너어더더어엉
nc0897**|긋굿이굿그스아뭊ㅇ누버래대ㅏ저노여규어우아ㅏ가가르루루럭다ㅓ어루러너넘자자ㅏ으우루구거사라ㅏ러루루러거거거라랄
znfnznfn00**|하나에 5천 300원하는 꼴인데 싼 이유를 너무나도 알겠네요...하나는 너무 얇고 하나는 질이 이상하고.. 하나는 못이 늘어났네요기본적으로 다 얇고 목이 늘어나 있어요 한번이상 빨면 주름지고 목 부분이 쭈글쭈글 해져요... 솔직히 이럴줄 알았으면 안샀어요..
znfnznfn00**|하나에 5천 300원하는 꼴인데 싼 이유를 너무나도 알겠네요...하나는 너무 얇고 하나는 질이 이상하고.. 하나는 못이 늘어났네요기본적으로 다 얇고 목이 늘어나 있어요 한번이상 빨면 주름지고 목 부분이 쭈글쭈글 해져요... 솔직히 이럴줄 알았으면 안샀어요..
whsim**|인기가 많아 주문이 밀리고 중간에 문제가 생겨 한 3주만에 받아봤습니다. 쉬폰처럼 보이지만 쉬폰이 아닌 재질같고 상의가 비치긴하는데 어두운색상으로 입으면 될 것 같아요.키가 작은 편인데 길이는 무릎위까지 올라와서 좋고 디자인은 예쁘네요. 끝에 마감 찍힌것도 살짝 있긴하던데 좀 더 신경써주시면 좋을 것 같습니다.
znfnznfn00**|속옷은 안보여요 옆에서 봤을땐 배 속이 좀 보여요!싸서 그런지 한번 입었다고 목 부분이 좀 늘여져맀네요그 부분이 아쉽디만 싸니깐 어쩔수 없네요.....이번 고고싱에서 산 옷은 다 실패해서 마음이 좀 그렇네요..다음 부턴 이쁜옷 내주세요~
gptn21**|처음 이런 스타일에 옷을 사보는거라 걱정을 많이했는데 딱오고 나서 너무 이쁘고 맘에들어서 기분이좋았습니다. 재질도 너무 좋고 나름 잘어울리는거 같아서 다행이다 생각했습니다. 살짝마른편이라 핏이 꽝일꺼라고 생각하고 있었는데 나~름~ 괜찮은거 같아서 만족스러웠습니다. 고고싱 아주 칭.찬.해~ 앞으로도 많이 애용하겠습니다
106378055**|디자인이 특이하기도 하고 예뻐서 입을 때마다 자신감 뿜뿜이에요다만 아쉬운 점이 있다면 옷 소재가 좋은 편은 아니라 늘어나 오랜 기간 입지는 못할거 같아여
106378055**|위에 막혀 잇는게 잇어서 좀 불편하긴 해요그래도 크러스러도 메고 한쪽으로도 멜수 잇어 좋은거 같아요은근 크기도 커서 담을 수 잇는 게 많아요
106378055**|너무 이뻐요....요새 살이 쫌 쪄서 스트레스 받앗는데 이거 입으면 다 살빠졋냐고 물어봐요진짜 강추입니다 위에는 나시 입고 단추 풀어도 이뻐요
good17**|지금은더워서못입지만검정색이무난하니깐날씨풀리면아무옷이랑같이입으명이뿔거같아요!크롭티여도많이짧지는않은거같아요!인기많아질거같은옷이에요!한개더장만하고싶어요!
good17**|후기보고혹시몰라서넉넉히샀는데한사이즈작은걸살걸그랬나봐여..허리가커서주르륵흘러내리더라구요..저에겐길어서두번접고다니고통도넓어요!접어도팟아상하지않고이뻐여!
good17**|세일이라는말에혹해서샀어요!검정색사고싶었지만품절이여서레드색상이라도구매했어요!검정티에입울려구요!8부인데제가키가작아서거의발목가까이와요..뒤에허리도밴딩형식이라편허게입을수잇고통도넓고편하도덥지도않고좋어요
good17**|제가박시한옷들을되게좋아하는데무난하고박시하고편하고좋어요!여름엔덥잖아요얇어요!얇고편해서좋아요!아무옷에다가하나만입어도좋고레이어드해서입어도이뿌고좋어요!거격도착하고기장도저에겐골반꺼지와요!
rkgus17**|뷔스티에 안에 입었는데! 진짜 다른 흰색 반팔같은건 안에 입는게 다 껴서 마른 사람들만 입을 수 있는 그런 틴데 이건 전혀ㅋㅋㅋ진짜 티 하나만 입어도 예쁘고 안에 받쳐입을 수 있고 좋아요!!! 얇아서 시원하고 대신 살~~짝 비추는건 감안 해야할거 같아요! 추천추천! 사진 두번 올려도 되는지 모르지만 뷔스티에 안에 입었을때입니당
rkgus17**|음,,,ㅋㅋㅋㅋ제가 바지를 m을 입는데 하체비만이 있는 편이기도 하지만 사이즈가 작다해서 L을 시켰더니 딱 맞긴하는데 끼는 느낌은 아니고 그냥 좀 핏이 애매해요ㅎㅎㅎㅠㅠ 근데 진짜 스판이 짱짱해서 엄~~~청 편한건 인정! 살빼서 핏 예뻐지게 입으려구요ㅎㅎㅠ 안에 집어넣어서 입는거보다 박스티 한장 걸치고 이바지 입으면 무난하게 입을거 같아요! 진짜 편해요!
rkgus17**|진짜 기본템으로 무난해요! 가격도 저렴하고 반바지랑 치마랑 긴바지 다 어울려서 좋아요ㅋㅋㅋ 재질도 얇아사 시원하고! 대신 손빨래나 세탁망 안에 넣고 세탁기 돌려야할 것 같지만 ㅠ 그래도 전 좋아요!
rkgus17**|이거 가을에는 안에 긴팔 이랑 검정 긴바지 해서 입어도 예쁠거 같아요! 진짜ㅋㅋㅋ옷이 예뻐서 그런지,,길에서 이 옷 입은사람 보고 흠칫했지만 다행스럽게도 그날은 다른 옷 입고 있어서,,,ㅎㅎㅎ진짜 괜찮아요!
rkgus17**|이거 진짜  편해요!!! 진짜 물놀이 갔을때 래쉬가드 안에 이너로 입었는데 와이어가 없어서 망가질 걱정 없이 그냥 짜곸ㅋㅋㅋㅋ진짜 흰티안에 비치게 입어도 예쁜거 같아요!
rkgus17**|ㅋㅋㅋㅋ양말 진짜 귀여워요ㅠㅠ 원피스 같은거에 스니커즈 해서 신으니까 진짜 귀요미,,, 기본 양말이지만 그래도 발목부분에 포인트가 있어서 그런지 화려하지도 않고 딱 무난한데 예쁜 양말!!진짜로ㅋㅋㅋ 귀여워용 양말!
