qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
sou023**|면이얇은데 여름이니까시원하게입을수있어요약간 슬라브느낌?흰거샀는데 비침잇어도 예뻐서잘입을거같아요~
sou023**|그렇게짧지도않고 적당한길이에요속치마?같이잇어서 얇아도 좋네요하늘하늘하게 시원하게잘입을거같아요가격대비에 완전추천합니다잘입을게요~
tjswjddh**|선물할꺼용 하나랑 제꺼샀는데 너무신기하고 좋아요 자주이용할것같아요 안에 구성에 미니 파우치도 같이 들어있어서 가지고 다니기도 편리해요 기스나거나 뭐묻으면 사진에 나오니까 그것만 주의해서 쓰면 가격대비 정말 괜찮은것같아요!!!
ksv53**|저는 바지 26~27입고 연청 S 주문했어요! 짧은 반바지는 허벅지 통이 남지 않고 핏 되는 것을 좋아하는데 핏이 딱이에요! 밑위 길이는 많이 길지 않아 골반에서 살짝 올라오는 정도입니다. 저렴한 가격에 잘 산 것 같아요ㅎㅎㅎ 시원한 느낌으로 입을 수 있을 것 같습니다.
ksv53**|처음으로 사는 롱스커트예요! 모델컷보고 반해서 샀습니다. 먼저 색감이 여리여리하고 정말 예뻐요. 웜톤 핑크 느낌이예요.흰색 블라우스와 베이지색 샌들과 함께 코디했는데 청순한 느낌도 있고 여성스러워요. 처음 입었을 때는 한복 치마처럼 너무 많이 퍼지는 느낌이 있어서 '응..?' 했는데 입고 나가니 친구들도 예쁘다고 하더군요. 저에게 길이는 무릎을 덮는 정도이고 약간 굽이 있는 신발과 신었을 때 더 예뻤어요. 마음에 듭니다ㅎㅎ
ksv53**|기본으로 입던 검정 반바지가 오래돼서 후줄근해져 새로운 기본 바지를 찾고 있었어요. 가격이 저렴한데 후기가 많아서 믿고 주문했습니다! 평소 바지 26~27입는데 엠 시켰더니 살짝 타이트한 듯 예쁘게 맞습니다. 신축성 있구요 길이감은 제가 좋아하는 짧은 듯한 길이감이에요. 기본으로 입기 좋아요ㅎㅎ
ksv53**|저는 상체가 살짝 통통하고 하체가 마른 편이에요! 바지는 26~27 입구요. 처음으로 사는 슬랙스여서 사이즈 고민이 많았어요. 저랑 비슷한 사이즈이신 분들 후기를 보니 스몰이 종아리가 작다는 분, 엠이 허리가 크다는 분ㅠㅠ 너무 다양해서 사이즈를 고르기가 힘들었어요. 결국 엠을 주문했는데! 큽니다ㅎㅎㅎㅠㅠ 동생의 표현을 빌리자면 발목부터 바람을 넣는 것 같다는..ㅎㅎ 탈춤 출 것같아요. 키161에 몸무게52, 바지는 28입으시는 저희 엄마에게 아주 예쁘게 잘 맞았습니다. 바지 재질은 얇고 시원하구요 신축성도 약간 있어서 좋습니다!
dpqls29**|분또 v 5부티 네이비~~엄청엄청 크네요 그래도 편하고 브이넥이라서 이뻐요~~
dbswl95**|드디어 와서입어봤는데 진짜품도넓어서 엄청시원할것같고 회샏으로샀는데 여름에입기에 시원해보이고 정말좋은것같아요 길이가조금길긴하지만.. 그리고 치수도 좀작게나온것같아요 좀넉넉하게입고싶은분들은 한치수크게사도 좋을것같아요 ~~ 이거진짜추천해용
inseo00**|배송은 아마 이틀 정도 걸린 것 같아요ㅎ되게 빨리 와서 좋았습니당ㅎㅎㅎ입어보니깐 살짝 타이트하더라구요박시한 핏을 바란 것도 없지 않았는데..그래도 이쁘더라구요ㅠㅠ 학원 갈 때 입고 갔었는데애들이 이쁘다구 칭찬해줫어용! 트임티는 필수라서 하나씩 간직해두시면 좋을 것 같아용
dpqls29**|에프터 에잇 반티 화이트~편하고 짱짱하고 좋네요자주 입을거 같아요 배송도 빠르고 좋아요~!!
dbswl95**|흰색이랑 검은색두개시켰는데 둘다진짜이쁘고 어디옷에든 잘어울리고 길이도 적당해서좋구요 트임도딱적당히 트여있어서 부담스럽지도않고 재질도 부들부들하고 전혀 싼티도안나고 진짜좋은것 같아요 품도널널하고 팔길이도길어서 가려줘서좋네요 ~~
