qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
sungeun34**|딴거 사면서 기본나시도 필요해서 2개 샀는대 완전 만족이요!!1 다음번 주문할때도 이거 또 주문할거같내용ㅋㅋ늘어날꺼같지도 않고 바느질도 꼼꼼하고 핏도 딱맞구!!정말 괜찮아용ㅋㅋ이가격으로 이정도면 진짜 개굳이에욬ㅋ추천이요!!ㅎㅎㅎㅎ
sungeun34**|흠..저 미듐사이즈로 샀는대 허리는커요..허리는 큰대..골반이 넓어서 그런지 골반이랑 엉덩이가 너무 작아요ㅜㅜ저 원래 치마s사이즈 입는대 이건 미듐사이즈도 꽉끼다니...좀 슬퍼요,...글구 옷이 너무 불편해요 스판끼 없다고는 들엇는대 이정도로 불편할줄은 몰랐어요ㅜㅜ이건 골반이랑 엉덩이 큰사람들은 라지사이즈 사서 허리만 많이 줄여야지 딱 맞을꺼같내요
sungeun34**|ㅎㅎ다른제품 사면서 이제품도 함께 껴서 산건대..너무만족해요!!!!솔직히 트레이닝팬츠는 몇개 갖고있지만 핏이 너무 후즐근한게 많아서 집에서만 입는대 이건 밖에 나갈때도 입을 수 있을 만큼..갠춘하내요!!다만 보풀만 안나면 딱조을텐대...어쨋든 만족합니당ㅎㅎㅎㅎ
bd04**|조아요
as58**|이뻐요~~~~~~~~~~~~~~~~~~~~~~~~~~~~
pli28**|생각보다얇아요
pli28**|S를시켰는대바지가커요
gksthfdl1**|아이보리로 샀는데 이뻐요!
gksthfdl1**|잘 입구 다녀요! 주름이 잘 잡히는 것만 빼면 모양도 핏도 맘에 듭니닷
gksthfdl1**|쫀쫀하고 맘에 듭니닷
wltn1**|딱 원하는 길이라서 좋네요. 원래 가지고 있던 검정색 바지가 너무 짧아서 조금 더 긴걸 사고싶었는데 딱인것 같아요. 사이즈도 딱 맞고 재질도 괜찮은 것 같고 잘 산것 같아요. 하체가 약간 큰데 평소 스몰입어서 이것도 스몰 입으니까 잘 맞았어요.
sho34**|짱짱맨 지금같이 아침에 좀 쌀쌀할때 입으면 딱인듯
gksthfdl1**|진짜 얇아요.. 옷 벗다가 찢을 뻔..
sho34**|재질이 시원해서 좋아요
gksthfdl1**|속이 비치지도 않고 뭣보다 옷 질이 제일 맘에 드네여
gksthfdl1**|흰색, 검정 둘 다 샀는데 맘에 들어여
gksthfdl1**|예쁜데 생각보다 얇아서 안에 나시 필수네여
gksthfdl1**|검은색 품절돼서 못 샀는데 흰색도 만족해여
cutie2**|일단 배송 빨라서 너무 너무 좋았어요~~소재도 얇아서 여름에 입기 너무 시원할거 같아요그리고 무엇 보다 옷 디자인 자체가 너무 이뻐용올.여름 정말 많이 입을거.같아요~~
gksthfdl1**|예뻐요
dbsekgo**|그냥 천이네욬ㅋㅋㅋㅋㅋㅋ 그래도 가벼워서 다행이ㅔ요 검은색도 사고싶어요ㅗ 생활오염때문에 검은색도 사고싶게되네요! 흠 잘 쓰갰습니당 아ㅏ
dbsekgo**|제가 키가작고 전신통통족이라 바지가 좀 안어울린가바요 그래도 살빼고 입으려고오 제가 s사이즈로도 입을수 있게 크게 만들어주셔서 감사합니당 ㅎㅎ 수고하세욘 !
wltn1**|화면보다 연청이 조금 진한것 같아요 생각했던 연청색이 아니에요 그래도 길이도 괜찮고 좋아요. 여기서 산 다른 바지들보다 사이즈가 조금 더 꽉 맞는 것 같아요 다 스몰로 샀는데 이 바지가 제일 딱 맞아요 너무 짧지 않은 바지를 찾고 있어서 잘 산것 같아요.
dbsekgo**|다른건 다 마음에 다 드는데 소매부분이 너무 벌어져요 단추 하나 더 달아야할 느낌 ㅎㅎ 그리고 손목 부분이 너무 좁아서 활동을 할 때 접을 수가 없었어요 ㅠ 흑흑 그래도 다른 부분은 다 마음에 들어요 !! 감사합니다 수고하세욚ㅎ
dbsekgo**|리뷰를 보고 샀는데 저는 제 다리에 너무 많이 붙어서 반품하려다가 그냥 입고있어요 처음삿을때부터 왜이런지 ㅠㅠ 조금 그랫어요 그래도 잘 입겠습니다 고고싱ㅎㅎ
wltn1**|1등이요!! 하체가 좀 있는데도 스몰사이즈 하니까 맞네요. 보세 긴청바지는 27정도 입고 반바지들은 항상 스몰 입었었는데 이번에도 스몰로 하니까 잘 맞아요.딱 붙지 않아서 편하고 좋아요. 색깔도 괜찮고 맘에 드네요. 배송도 빠르고 좋습니다.
hyoni2**|이뻐요 근데 안에 속바지가 안비치는 재질일주 알았더니엉덩이부분은 비침 ㅠㅠㅠ....속바지입고 입어야겠음...그리고 주름은 확실히 한번 더 다리던가 해야될듯...걍 싸게싸게 입기에 좋습니다.
hyoni2**|흰색살까 검정살까 고민하다가머리가 밝아서 검정샀어용~~~~완전 이쁨ㅎㅎㅎ 다만 고무줄이니까...오래오래 썻음 좋겠음이쁘요~!!!!
wltn1**|깔끔하고 좋아요! 가격도 싸고 다른색깔도 사고싶네요. 배송도 빨리오고 첫구매인데 마음에 들었어요. 종종 이용할 것 같네요. 여기서 산 옷들이랑 같이 여기저기 입을 수 있어서 잘 산것 같아요. 찾던 옷 싸게 살 수 있어서 좋습니다......
ksj71**|포토 후기 2등입니다 ㅋㅋ이뻐요 핏이쁘고 질좋고 여름에도 입을수잇을거같네요ㅠ저녁엔 ㅎㅎㅎㅎㅎ잘입늘께요흰색 분홍색삿는데색깔은 이쁘여~~목부분이 잘늘어날것같지만싸니까 조아요 ㅋㅋㅋ고민하지말고ㅠ사세용엉ㅇㅇㅇㄹㅇ
tkatjd04**|너무 짧지도 않고 재질도 좋음!
tkatjd04**|ㅎㅎㅎㅎ재질도 그렇고 너무 마음에 들어용
rurisna**|색이쁘네요^^좀 크긴한데 루즈하게 입어야겠어요~~
rurisna**|몸에 딱 붙지도 않고 적당히 루즈해서 좋아요^^가디건이랑 같이 이너용으로 입으면 좋아요길이도 딱 적당하네요..
gksqhaks**|이쁜데 생각보다 많이 쪼이네요s 입는 사람들도 m 입는게 좋을것같아요
wltn1**|배송 빠르고 좋네요 처음 구매했는데 빨리 와서 좋아요 근데 입고 벗을 때 너무 힘들어요 담걸릴거같아요ㅋㅋㅋㅋ 그래도 괜찮은 것 같아요 조금 잠옷같은 느낌도 있긴한데 나쁘지않은 것 같고 그런데 실밥이 여기저기 너무 많이 나와서 지저분하네요 그리고 어깨 끈이 꼬여있어요 그리 많이 거슬리는건 아니라서 그냥 입을게요
sho34**|얇아서 시원해요 길이도 적당해서 좋아요ㅎ
ogau**|박스티 찾고있었는데 마침 고고싱에 이런 이쁜 성조기반티가 뙇 ㅠㅠ 다른곳보다 가격도 저렴하고 비침도 별로 없어서 대만족ㅎㅎ 모델분처럼 반바지 위에 흰티 입어도 꾸민듯 안꾸민느낌들었어용 회색으로 바꾸려고 햇는데 결제한지 하루도안돼서 배송을 ㅠㅠ 칼배송 짱짱맨 또 사러올게용!!
thakd59**|처음으로 고고싱에서 옷사봐요! 근데 넘넘 조아용ㅎㅎ 가격두 착하구요..처음 헨리넥티보고 한순간에 사랑에빠뎠어용♥이제 고고싱에서만 옷살꺼같아요^.^
wldbs08**|진짜 이뻐요!!! 흰색이랑 블랙 두개다 주문했는데 이쁘고 발도 편한거같아요 ㅎㅎㅎㅎ 지주자주실고다녀요!!!ㅎ
kwill26**|흰바지가필요했는데 디자인너무이뻐서 바로결정!!배송도빠르고 진짜기대하며봉투를 쥐어뜯으며기대햇는데바지에생각보다 실밥이 너무많이튀어나와서그거하나하나자른다고 진짜힘들엇음..진짜바지안에누에고치들어잇는줄..그치만입어보고 스판끼가잇어서엄청편하고무엇보다 빤쮸같은바지가아니라 길이도진짜이쁘게길어서 부담스럽지도않고 딱 내스타일♥살짝에이라인이라서 아쉽긴하지만재구매의사잇어요ㅎㅎ
sjdhssl**|키가 작아서 슬랙스 입어도 되나 싶었는데 그래도 한번 사서 입어보자 했어요 제가 하비인데 허리부터 허벅지 까지 좀 꽉껴요ㅠㅠ 위길이가 짧은 스타일의 슬랙스를 샀는데 그래서 더 꽉끼더라구요 살빼고 입어야겠요ㅋㅋㅋ옷은 정말 이쁜데 다리가 짧아서 옷태가 잘 안나네요ㅋㅋ그리고 재질은 정말 좋아요 부드럽고 여름에 입기에도 괜찮을거 같아요
ksj71**|포토후기1등입니다이거진짜이쁜데 단점은 한번신고나갓다오면ㅋㅋㅋㅋㅋ완전 더러워짐 ㅋㅋㅋ깨끗히 신는편인데도 ㅜㅜ 어떻게빨아야할지  ㅠㅠㅠㅠㅠㅠㅠ깔창이 껴서 와잇는데 조아요 ㅋㅋㅋㅋ가격대비 굿굿더러워지는걱만 빼면 ㅠㅠ
skgos1**|진짜 이뻐요!!!
leemin8**|좋아요 키에 안맞을 것 같아서 걱정이었는데 너무 짧지도 않고 딱 적당한 길이인것 같아요안에 그냥 기본티만 입어도 되구 귀여워요가격이 저렵해서 걱정 많이했는데 ㅋㅋㅋㅋㅋ 진짜 17000원짜리 같지 않고 좋아용 잘 입을께요 짱짱추천해요!!!
ljs9210**|진짜좋아요 다른곳에비해 근데 주머니안쪽에 구멍이나있어요 오른쪽주머니...ㅠㅠ 그래도 만족합니다~
namanb**|이거 너무 맘에 들어여 보자마자 이뻐서 질럿는데 스판도 짱짱 장난아니네요허리는 감싸주고 다리쪽엔 너무 편하네여티에도 맞춰도 너무 이쁘고 암튼 요고 잘삿네여 ~급한거라 빠른배송기대했는데주문하자 마자 신속배달해주셧네요감사합니다~
dmsdud73**|여행하면서 트윈룩을 해보고 싶어서 구매했습니다.언니는 m사이즈 저는 s사이즈를 입었구요길이도 좋고 안에 바지가 있어서 활동하기 정말 좋은 치마였습니다일단 사이즈는 조금 작게 나온감이 있구요~길이는 정말 너무 짧지도 않고 좋은 거 같았습니다~정말완전강추하는상품이에요~~!!!배송은 좀 느렸지만요
dmsdud73**|언니와 트윈룩으로 입으려고 구입하게 되었는데 저희는 여행하면서 오토바이도 타고 사진도 이쁘게 찍고싶어서 치마를 보다가 이 치마가 바지도 있고해서 고르게 되었는데 정말 길이도 적당하고 안에 바지가 있어서 활동하는데도 정말 아무 신경 안쓰고 잘 놀았네요~사이즈는 보통치마보다는 작게 나온 거 같은데 전 그래서 좋았구요 정말 강추하는 상품입니다
h1i2**|이거 안사고 오브이 단작티로 변경했는데 이거도 살걸 흐회되네요....오브이 단작티 짱
h1i2**|배송이 진짜 늦었네요ㅠㅠ 근데 받고 맘에들더라고요이건 최소2개는 사야되요!!!!굳굳
jiyeon13**|모델분처럼 뒤에기장은 앞보다 조금길게입엇더니 그렇게 이쁠수가없어욯ㅎㅎㅎ색도이쁘고 앞에 목부분 센스잇게 파인것도 이쁘고 요즘이런무늬의 디자인많던데 이원피스가 제일 돋보이고 이쁜거같아요 데이트룩으로 너무너무좋아욯ㅎㅎ잘입겠습니당!
jiyeon13**|아 이거진짜 너무예뻐요근데 프리사이즈라서 자꾸입으면 늘어나는느낌 ㅜㅜ딱 사이즈가 정해져있으면 좋겟어요 그거빼고는 검정색티라던가 어느곳에든 다 잘어울려서 데일리룩으로 추천할 수 있을거같아욯ㅎㅎ잘입겠습니당ㅎㅎ고고싱 정말 짱이에요
jiyeon13**|기장도 좋고 무엇보다 부들부들해서 피부에 닿는 느낌도 좋구요제가 배가 쫌잇는데 스판기짱이라서 불편한거 하나도없네욯ㅎ치마자주입어서 하나 샀는데 몇개 더 주문하려구요 ㅎㅎㅎ감사합니다 잘입겠습니다>_< 여기서는 옷살때마다 성공하는거같아염ㅎㅎㅎ!!
lmj33**|ㅋㅋㅋㅋㅋ거기부분 핏이 이상해욬ㅋㅋㅋㅋㅋ
lmj33**|손으로한번빠니까 목부분이 늘어낫네요하하하
jeh10**|일단 배송이 늦어져서 쫌 그랬는데받자마자 뜯어보니 냄새가 좀나더라구요...암튼 티는 예뿌네요 마음에듭니다
ksj71**|포토후기2등입니다 포토후기2등분 없어서..우선 진짜 이뻐요가격대비 싼티도 안나고 ㅋㅋ따로따로 다른옷이랑 입어도 이쁠굣같아요사이즈도 딱맞고근데 뒤에 카라가 자꾸 목위로 올라가는것같아서땡겨입어야되여 계속이뿝니당 마니파세여
jinur**|블랙m사이즈 구입했는데 제가 하비라그런지 허벅지랑 엉덩이있는데가 완전 딱 맞아요ㅠㅠㅠㅠㅠㅠ 허리는 남는데ㅠㅠ완전 하비의 비애... 하체에 살좀 있으신 분들은 사이즈 조금 넉넉하게 입을생각하시고 조금 여유있게 구입하시는게 조을꺼가타여!!!
ksj71**|포토후기 3등입니다 ㅎㅎㅎㅎ세라플라워 구매했는데 싼티나요 구겨져서 다려서 입어야할듯 ㅋㅋ구래도 편하게 몇번입을용으로이쁜것갘네요크기는 알맞게 맞구요시원해 보여서 좋아요 ㅋㅋㅋㅋㅋ꼭구매하세요싸고좋네요 ㅋㅋㅋ마니파세요
kagam**|받았는데 너무쫀쫀해서 걷기가 힘들어요...그래서 교환하려고요ㅜ 골반이좀 있는편이라 그런가봐요 입다보면 늘어나긴하겠지만 일단 불편해서요ㅜㅜ 길이도괜찮고 예쁘긴해요 엉덩이라인 잡아줘요ㅋㅋㅋ빨리 교환해서 입고다녔으면 좋겠어요!@
boooo**|생각했던것보다 짧지도않고 헤짐도 적당하구요. 길이감도, 특히 색상도 마음에 들어요 하이웨스트라 다리가 짧아보이지도 않고 아무 티에나 다 매치하기 쉬워 기본템으로도 가지고 있을만 해요 첫구매가 굉장히 만족스럽구요 같이주문한 슬렉스도 얼른 받아봤음 좋겠네요. 아 그리고 너무 타이트하게 입고싶지않아 M으로 시켰는데 허리는 약간커요 대충 수선해서 입으려구요. 제가 하뚱이라 사이즈를 26~27입는데 사이즈는 적당하구요 S는 약간 타이트할것같네요 ㅎ싼티도안나고 이뻐서 좋아요 아 뒷주머니 헤짐은 약간별론데 괜찮아여 나머진다 별다섯개
so40**|예뻐요! 밴딩이라편하고ㅎㅎ
so40**|한번빨앗는데 엄청늘어남..
sack24**|포토후기1등!!!맞나요?아니이거예전에제목쓰는게잇엇짆았나요...같이산스윗초코티랑매치해봣어요!!!티도편하고좋은데가방도편하고좋네용 근데가방이하얀색이아니라 쫌누런베이지색이네용...그래도이뻐용 이가격에이가방못ㅇ사요ㅜㅜㅜ고민하시는분들 사시기바랍니다!!!
sack24**|포토후기1등!!!맞나요?제목쓰는데가없네용...뭐죠?몇일전에입금햇는데어제바로왓네요!!!요번엔 배송도빠르고조아요ㅋㅋㅋ옷도검은색인줄알앗는데차콜색이라서더이쁜거같아용면이땀도잘흡수될거같고 이뻐요!!!싸게잘산거같아용ㅜㅜㅜ아무리이뻐도옷이불편하게안입게되더라구요...나머지옷도같이 리뷰올리겟습니당 이뻐요고민하는사람들얼른사세용!!!
tkfk7**|옷은 괜찮은것같은데 55인 저도 좀 딱맞네요... 사이즈 구분을 했던것같은데 ...s는 얼마나 작을지 모르겠네요... ㅋㅋㅋㅋ저렴하게 세일기간에 사기 좋은 옷인것같아요 아직 입어보진않았지만 치마부분이 좀 두터워서 선선한 봄이나 가을에 입어봐야겠어요!
tkfk7**|쫀쫀하게 몸 라인을 살려줘서 이쁜것같아요 그리고 색감도 너무 맘에 들어요 아직 한번도 입어보진 못했지만 얼른 입고 나가고 싶네요 1장 주문했는데 2장이 왔는데 이게 맞는건지... 아무튼 잘입을게요!  44-55가 입기 가장 좋을것같아요.
boa1716**|굳굳
boa1716**|완전 좋으ㅡㅁ!!!!!!
tkfk7**|옷 자체는 이쁘긴한데 너무 얇아요 ㅜㅜ 진짜... 다 비쳐요...흰색은 그래서 평상시에는 좀 입기 그럴것같아요... 물놀이 할때나 좀 시스루처럼 입고 싶을때 입기 좋을것같아요 너무 얇은게 아쉬워요 그리고 44-55반이 입어야 이쁠것같아요 딱맞아서 ㅜㅜ
tkfk7**|무난하게 입기 좋고 허리라인이 밴딩식이라 더 편한것같아요! 그리고 세일 중이여서 싸게 사서 좋았어요 ㅋㅋㅋㅋㅋ근데 요즘 더운 날씨에 입기는 좀 갑갑한면이 없지않아 있어요 가을이나 선선한 봄에 입기 딱 좋은것같아요! 이뻤어요!!!!!!
tmflt**|청반바지가 필요했는데 고고싱에 저렴한가격에 나왔길래 고민없이 구매했구요! 저렴한티 안나고 정말정말 편해요!색도 딱 제가 생각했던 색이였어요~~저렴한 가격에 살 수 있다는게 신기할 정도로 마음에 들어요ㅎㅎ 구매하실분들 고민없이 사셔두 될 것 같아용!
tmflt**|저는 핑크색으로 구매했구요~~티가 많이많이 박시해요! 색은 제가 생각했던 것 보다 어둡구여ㅠㅠ 그래도 입으면 편해서 좋았어요~~기본티로는 정말 좋은 것 같아요^^티셔츠 재질이 면인거는 정말 마음에 들었어요~!!많이파세용!
tmflt**|제가 하비여서 일자핏 바지말구 살짝 에이라인핏인 반바지 찾구있었는데 고고싱에 있길래 샀어용!가격도 딴 쇼핑몰보다 저렴해서 좋았어요~~싸다구 질 나쁜거 절대 아니구요정말정말 편하고 좋아요^^다른색으로도 하나 더 사려구여!!
hem95**|진짜 이쁘네요 그런데 너무 헤짐이 많이 되어있어서 옷걸이로 걸떄도 조심스럽고 찢어질까봐 좀 불안하긴는해요 그거빼고는 이쁜데 시간이 조금만 지나면 다 떨어질까봐겁나네요ㅠㅠ그리고 색깔은 저거보다 더 청색인거 같은데 옷이 좀 무거운것도 있어요 그래도 이쁘니까 패스!
hem95**|진짜 이뻐요 ㅎㅎㅎㅎ그냥 사진이랑 실물이랑 똑같구요불편한것도 없고 이쁘네요 혹시 걱정인건때가 타면어쩌나 이정도?그거말고는 다 이뻐요!!이런거 처음 사봐서 반신반의했었는데 전혀 그런걱정없었구요 되게 여자처럼 보이게해주는거같아요 ㅋㅋ
sjh026**|옷이 전체적으로 너무 큽니다. 통통한 제가 입어도 큰데 마른 분들은 못입으실것 같기도해요..사진에서 같은 핏으로 못입어요.옷 보자마자 환불했습니다.
sjh026**|계속 사고 싶어하다가 샀습니다.이쁩니다. 멜빵 탈부착되서 귀엽게 입을수도 있어요.
sjh026**|봄가을용 재질입니다.슬랙스 자체는 이뻐요. 가격도 저렴하고
sjh026**|옷 자체는 여름에 입기 좋은 재질입니다.그런데 허벅지가 좀 작아서 환불했어요....제가 살이 갑자기 많이 찌다보니 생각했던 핏이 덜나와서 그냥 바꿨어요. 다른 분들은 이쁘게 입으실수 있겠네요
qwop**|이제품 작년에도 샀다가 저렴한 가격에 다시 구매 했네요 진짜 오래오래 쟁겨두고 싶은 옷이에요 스판기도 넉넉하고 블랙이 아예안나온다해서 아쉬워요ㅠㅠ가격이 저렴해서그런지 지퍼부분이 허술하고 세탁한번 잘못했다가 지퍼가 망가져서 아쉽기도 했습니다
skrud**|꼬깔콘스커트랑 이거 둘다 샀는데요 둘이 재질도 그렇고 모양도 그렇고 거의 비슷해요 가격차이는 두배인데 그럴바에는 꼬깔콘스커트를 사는게 이득인듯 싶네요 거의 똑같은 제품이 왔길래 문의줬더니 다른 업체에서 나온 상품이라 비슷할수도 있다는데 그러면 돈이 훨씬 싼 꼬깔콘스커트를 추천합니당
chdus0**|이쁘게잘입을게요~
lks1**|완전완전 편하구요. 가격대비 괜찮습니다.안입은것처럼 편해요!
lks1**|편하니 넉넉하고 활동성이 가장 좋네요!
zlzlduwk**|진심 이거 내인생템 됫어요~~!!원다도 고급스러워서 아무렇게나 입어도 진짜다 잘어울려요!! 다른색으로도 몇장사놔야겠어요!!
peh05122**|생각보다 많이 길어요 통도 넓구요 ㅎㅎ 귀요미 스타일이네용
peh05122**|이쁜데 심하게 루즈해서 어깨가 흘러 내려요;; 그래두 아무 옷이나 잘 어울려서 잘 입고 있어요^^
peh05122**|달라 붙을 줄 알았는데 핏이 이뻐여 ㅎㅎ
peh05122**|옷은 편하고 이쁜데 몸매가 날씬 안해선지 ㅠㅠㅠ뚱뚱해 보이네용 그래도 잘 입고 있어요
tjwlsdud7**|깔끔한 브이넥 찾던 중에 고고싱 상품이 제일 이뻐서주문했어요~기대했던거 만큼 이쁘고, 배송도 하루만에 와서 좋았어요!  기장이 너무 길어서 줄여 입어야하지만 옷 재질도 부들부들해서 좋고 디자인도 사진 그대로 이뻐요!! 가격도 싸서 검정,흰색 두 개 다 샀어요^^!고민하지말고 사세요~.~
kimzb**|기장이 긴 브이넥티를 찾고 있었는데 딱 좋네용!!!!!!!!!!!!!!!!!!!!!!!!!색도 맘에들도 핏도 이쁜것 같습니다ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ무엇보다 배송이 빨라서  너무 좋았습니다!!!! 기본티로 추천!!!!
kimzb**|가격에 비해 좋은 것 같습니다!깔끔하고 스판끼도 좀 있습니다. 슬림핏 입니당!!!!!
ysi02**|여름에 코디하기 편한 티 찾다가마침 세일해서 저렴하게 팔아서 구매했어요배송은 하루만에 엄청 빨리왔구요같이 산 바지랑 입으니 편하고 좋아요저렴하게 잘 사서 만족합니다싼 가격에 빠른배송 덕에 항상 애용하게 되네요스트레이온 반티 기본티로 강추합니다
ysi02**|배송은 하루만에 엄청 빨리왔구요편하게 입을 바지 사려고 했는데마침 보여서 중청 연척 고민하다 샀는데편하고 시원해서 연청도 사려구요저렴하고 좋아요 여름에도 입기 좋은거같아요밋밋하지 않아서 그냥 아무 티에나 입어도 예쁘네요저렴한가격에 예쁜옷 사서 좋습니다
hohee**|배송은 하루 이틀 정도 기다린 거 빼곤 만족~옷도 사진이랑 다를것도 없고 색상도 그대로고!어떤 옷에든지 다 맞춰서 입을 수 있는 베이직한 티라 좋아요!!비슷한 디자인도 꽤 많은데 이거를 좀 더 입게 되드라구요~색상별로 하나씩 다 쟁여놓고 입고싶어요..옷 진짜 만족해요~!!
hohee**|헤짐도 넘 이쁘고 색상도 완전 만족스러워요!밑단 접어입어도 이쁘고 그냥 입어도 짱짱이쁨~헤짐 되있는 옷 진짜 좋아하는데 저번에 고고싱에서 산 다른거랑 헤짐도 달라서 번갈아서 입어도 완전 만족~~색상도 제가 딱 좋아하는 거라 진짜 두고두고 잘입고 있습니다!!
hohee**|옷 실물이랑 모니터에서 보던 그대로에요~요새 살이쪄서 입을때 치마가 좀 낑끼는 느낌나는데살빼고 꼭 세트로 해서 잘 입고 다니려구요!티만 따로 입거나 치마만 따로 입어도 이쁜거같아요~둘이 세트로 입으면 다리는 날씬해보이는데 위에가 조금 부해보이는 감이 없지않아 있는거같아요..쫌 박시해서 그런거 같은데 박시한거 좋아해서~크게 문제될건 없어서 넘 좋네요!
hohee**|옷 진짜 맘에 들어요~색상은 챠콜로 주문했는데 모니터에서 보던 그대로에요!요새 오후에는 진짜 더운데 저녁되면 아직 쌀쌀한 기운 있어서.. 들고 다니거나 챙겨들고 갔다가 저녁에 입으면 딱이에요!다른 색상살까 챠콜살까 하다가 챠콜 주문한건데넘 이뻐서 하나 더 장만해서 쟁여두고 입고싶어요!진짜 고고싱은 늘 매번 만족감을 줘서 넘 좋네요!!
na06**|s살까 m 살까 고민 했는데 s 산거 잘한것 같아요!!!M 샀으면 허리가 컸을 것 같아요!!!!!!!!!!배송왔는데 바지에 실밥이 조금 많아서 아쉬워요 ㅠㅠㅠ가격에 비해 정말 괜츄나요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
edward**|이거 이쁜데..뭔가가이상해여..뭔가가..그리고 앉을때 무릎부분 더찢어질거같고 땡겨서 불편해여 ㅜㅜㅜ그치만이쁘긴해..이상한바지임ㅋㅋㅋ
edward**|이거 너무 짧아서..진짜 ㅠㅠ팬티수준이에요 사이즈가 작게나온것도있는듯하고...ㅠㅠㅠ너무짧아서 못입겠어요 ㅠㅠ
edward**|이것도 데일리용으로 딱좋아요 ㅎㅎ 반바지에 넣어입으면 귀여워요~ 적립금주세여~
edward**|이거살짝 부해보여요 ㅠㅠ그치만 귀찮아서 그냥 입는거로..ㅎㅎ 나름이뻐요 질도괜찮구요 적립금주세용~
edward**|진짜 겁나 쫁쫀해여ㅋㅋㅋㅋㅋ하뚱이라서 m사이즈 시켯는데 딱맞앗어요 근데 너무타이트해서 걸을때마다 위로올라감...ㅎ틈틈히내려주면서 다녔는데 이뻣어요 ㅎㅎ
edward**|이뻐요 ㅎㅎ헐렁헐렁 바지에 넣어입으면 이쁩니다~적립금부탁해여~
edward**|이거 짱시원하구요 ㅎㅎ그렇게 많이 비치지도않고 딱좋습니다!오프라인으로 봤었는데 더비싸더라구요 고고싱 가격도싸고 너무좋아여!적립금넣어주세요~~ㅎㅎ
edward**|이거 되게 베이직하고 이쁨 ㅇㅇ 몸도 얇아보이고...슬렉스랑입으면 ㅠㅠ되게 심플하니이뻐요 ㅎㅎ맘에듭니당 적립금쏴주세여~
edward**|가격대비 질도 좋고 ㅠㅠ짱맘에들어요!!! 강추!!베이지색 너무이뻐요 많이파세요~후기적립금주세요
sinhoa**|워후 이 옷 정말 이뻐여! 기본 티 이다 보니까 매칭해서 입기 참 편하네요 어느 바지 치마 어디에나 다 입기 좋아용근데 옷 색때문에 겨땀생기면 젖을 가능성 99.9퍼ㅋ데오드란트 필수임당ㅎㅎㅎㅎ 가격이 레알 깡패네여 ㅎ진짜 이름대로 넘넘 가벼워서 안입은줄 아라떠여+_+!!!얼른 사세여ㅎㅎ
sinhoa**|하....이옷..이렇게 크고 두꺼운 옷이였나요?옷이 안이쁜건 아니에요 옷은 참이쁜데..이태원에서나 살법한.. 저 살집잇는편인데 티가 너무커요바지에 넣어입기에도 크네요 어디에 코디해야 할지 아직도 고민중이에요ㅠㅠ 색깔은 이뻐요 ㅎㅎ 가격도싸고..단지크다는거... 그리고 생각보다 두꺼워요 겨땀이 좀 생길법한 옷인듯여..암튼 고민해서 잘입을게요..
sinhoa**|이ㅃㅓ유 이쁜뎅 제 키에는 쬐~끔 짧은듯 해요평소에 입고 다니기엔 좀 불편할정도로 짧아요약간..나이트갈때 입기 좋달까...아..ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ암튼 그렇고여.. 문제는 제가 팔이 짧아서 그런지 지퍼 잠그는게왜케 힘들져? 저만그런가여ㅠㅠ 아직 몇번 시도햇지만 잠구지 못햇어요 ㅠㅠ 몇번더 시도해야할듯하네여암트 옷은 이뻐요 가격도 싸고 ㅎㅎㅎㅎ얼른사세유
sinhoa**|짱이에요 이신발 ㅠㅠㅠ아진쨔 가격도 쩔고 발도 안아프고 이쁘기는 또 왜케 이쁨... 어떤 그어떤 옷에도 다 이뻐요슬립온이라서 신고 벗기도 편하고^_^ 저는 베이지 색상으로 구매했습니다 가볍고 너무이뻐요고민하시는분들 얼른 고민말고 buy it!!!!
sinhoa**|옷 처음에 왔을 때 많이 구겨져가지구 읭 이게뭐지 했는데입어 보고 나니까 여자여자하네요 ㅎㅎㅎㅎ 러블리해짐ㅎㅎ그리구 생각보다 옷이 투텁네요 여름에 입긴 힘들겟어요..특히 저같은ㅇ 겨터파크류는..ㅎ허허허...  그래두 가격대비 옷이너무 괜찮아요! 질도 좋고 옷이 부들부들해용속치마있어서 비치지도 않고 넘 조음!!다들얼른겟또하세영
sinhoa**|렌즈를 카메라에 끼면 화면에 동그란게 보인다는 말이 진짜엿네요ㅠㅠ 예상은 햇지만 진짜일줄이야ㅠㅠ 사진은그래도잘나와용ㅎㅎㅎㅎ잘쓸게요ㅕㅇ
sinhoa**|터치미 5부티는 혁명임니당...영원히 재입고 해주세요..ㅎ고고싱에서 산 티중에 갑인듯!!!!!!!!!!사실 생각했던 것보다 옷이 좀 박시해서 당황하긴했지만그래도 어느 하의에나 받쳐 입을 수 있어서 넘 좋은것 같아용 가격도 깡패ㅠㅠ 고민하지 ㅇ마시고 얼른 겟또하세여ㅠㅠ 품절되기저네!!!잘입을게융!!
