zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
tjd22**|진짜 딱 한달만에 받아서 너무 오래 기다린 상품이었어요ㅜㅜ 오래기다린거에 비해 실망하긴했지만 그래도 참 예쁘고 길이도 맘에들고 예쁜것 같아요 단단한 재질인줄 알고 샀는데 흐무거려서ㅜ 주름도 잘지고 그래도 가성비 갑인것 같아요!!
qufsla3**|입고가 늦어져서 상품을 늦게 받아보게되었는데 기다린 보람이 있더라구요ㅠㅠ 진짜 예쁩니당 근데 목부분 둘레가 쪼금 좁은편이에요! 그래도 전반적으로 정말 만족하고있어요~~
46524681**|이뻐요!!  근데 상체가 길어서그런가요.. 배꼽위에까지오네욬ㅋㅋㅋ 얘만 따로 입을순없고 배바지나 치마랑 입어야겠어요ㅎㅎ뷔스티에 안에입으면 굿 천이 탄탄하고 안흐물거려서 좋네요 몸에 딱 달라붙어요
dltnals2**|화이트도 구매하고 블랙도 구매했는데 아주맘에들어요 모두 고민하지마시고 주문하세용 무난하게 자주 입을수있고 더 날씬해보여요
46524681**|화면보다는 좀 베이지색상!!! 근데 이게 또 완전 하얀색보다 요론 아이보리색상이 더 고급지고 이뻐보이네요ㅜㅠ 만족합니다허리가 아주조금 크네요!!
46524681**|인기있는 이유를 딱 알겠네요ㅠㅠ다른 색상도 사고싶은 욕구가 파바박하고 일어납니당ㅜㅠ치마랑 입어도 존예 바지랑 입어도존예 입니다많이 얇고 스판끼 하나도 없어서 입을때 조심해야겠어요
dltnals2**|색은 예쁜데 팔 부분과 어깨쪽이 되게 떡대있어보이게 하네요 ㅠㅠ 그래도 이런거 감안할정도로 색이 쨍하고 예뻐서 자주손이가여
dltnals2**|예뻐요 신축성이없어 입고 벗을때 힘들지만 장점은 살을 잡아주니까 라인이 예뻐보이네요 연청 구매했는데 요번여름 잘 입고다닐거같아욤 저는 허리가 좀 컸어용 ;)
dltnals2**|몸에 예쁘게 맞아서 만족해요 요즘 다 박시한 반팔티 밖에없어서 이런느낌 반팔티를 찾고있었는데 보자마자 바로 구매했어요 만족해욤:>
dltnals2**|받아보니 예쁘긴해요 근데 배송이 너무 늦어져서 벌써 더워졌네요 배송만빼면 다 예뻐서 만족입니다 155에도 예쁜길이로 잘 맞아요
rocjs**|예뻐요*다른 고객분들이 구매하실 때 참고할 수 있게 아래사항 기재 부탁드려요! ^^- 키, 몸무게158/54-착용사이즈-착용 후 느낌은?(좋은점/나쁜점)프리사이즈라 착용하고 나서 편했어요~ 디자인도 무난하고 예뻐요^^리본을 잘 못 묶어서 대충 묶었는데도 나쁘지 않네요!깔끔하게 입기 좋은 옷이에요~ 사진이랑 똑같이 생겼어요~여리여리 핏을 뿜어낼 수 있어 좋아용!
724572787**|내가 허벅지가 좀 있는 편이라 좀 끼인다고 생각들었는데 막상 입고 돌아다니다 보니 개편함발차기 겁나함 그리고 일단 색깔 개이쁨밑단 이쁨걍 이쁨 인생바지 인정허벅지살 빼러갑니다
724572787**|진심 개꿀 나 직장인인데 그날따라 이쁘다는 소리 많이 들음개이뻐 청바지에도 잘어울리고 그냥 나팔 슬렉스같은거에도 잘어울리고 걍 이뻐요 덥지도 않고 춥지도 않고 걍 좋아욘
leek56**|벨트 사고싶어서 샀는데 잘산거같슺니당!! 여기저기 매치하기 좋구 포인트로도 좋구요!! 고민하신다면 사셔도 좋을거같아요!! 좋으니까요
kkim33**|완전마음에들어요ㅎㅎㅎㅎㅎ 통통한편인데 티도별로안나고 허리 쫙쪼여줘서 좋았던거같아요!!!!! 롱원피스인데 다리 길어보인다는 얘기도 많이들었어요 안에 안감도있어서 비침 전혀없습니다
leek56**|이셔츠 진짜 제 최애탬ㅜㅜㅠㅠ 진짜 너무좋고 너무 사랑해요 이거는 꼭 사세요 여러분 진짜 좋습니다 흰색샀는데 노런샥도 사고싶어요ㅠㅠ! 핏도이쁘고 지금같은날씨에는 팔 걷어서 입는게 이쁘더라구요!!
leek56**|치마바지 예뻐요!! 그런데 사이즈 선택 잘하셔야할거같아요~ 후기에서 좀 작다길래 l사이즈 선택했는데ㅠㅠ넘너무 크더라구요ㅠㅠ 벨트로 졸라줬슺니당!! 그런데 진짜 편하고 이뻐요!! M사이즈로 다시 사고싶어요~
kkim33**|완전 쫀쫀하고 핏도 예뻐요ㅎㅎㅎㅎㅎㅎ 검정스커트는 많은데 언발스커트들이 너무 짧아서 찾고있던중 가장마음에드는 제품인거같아용
453968866**|보자마자 와플이 생각나는 예쁜 블라우스입니다. 청바지에 코디해서 입으면 정말 예쁩니다. 기장이 그렇게 긴 편은 아닌데 그렇다고 그렇게 짧지도 않아서 바지에 넣어 입으면 핏도 예쁘게 나옵니다. 가격도 저렴하고!! 흔하지 않은 디자인이라서 너무 마음에 듭니다. 고민하지마시고 이거 사세요!! 다음에는 치마에도 입고 나가렵니다~~!! 흥해라흥!!고고씽!!!
sonjisu07**|좋아여 치마나 바지 다 잘 어울리궁! 단점이 있다면 가슴있는 분들은 진짜 쫄티 됩니다ㅋㅋ큐ㅠ 편하게 잘 입을수 있어용
swon57**|신상 뜨자마자 눈에 띄어서 사야겠다싶었는데 색이 너무 다 이뻐서 고민하다가 다크네이비 샀는데 화면이랑 똑같아요 색깔 !! 길이는 엉덩이 반정도 가리는거같아요 ㅋㅋ 얇은 재질 남방이고 지금 날씨에 티 위에 입으면 이뻐요 잘입으께요~~
toffjfml1**|생각했던 것 처럼 특이해서 좋아요!!배송이 늦은만큼 많이 기다렸는데 4월 말부터 입으면 딱 좋을거 같아요팔 부분이 비치니까 더 여성스럽고 좋아요^^
nabi**|엉덩이 너무 크지도 않고 길이도 적당히 발목덮고여유있게 딱 맞는 편이에요고무 매듭 안 지어도 될것같아요좀 금방 늘어날것같긴해요 늘어나면 그때 써야겠어요피부닿는 안쪽이 좀 까슬거려요
thunder39**|바지 너무 이뻐용 !!   더운 여름날에 자주 입을거 같아요 ㅎㅎ
gyun04**|학교 다닐 때 편하게 입으려고 샀는데 너무 좋은 거 같아요!밝은 그린 색이 아니라 조금 딥한 그린색이라서 매치하기도 쉬워요!하의에 흰색 치마나 흰색 바지 입으니까 더 이뻐 보여요!저는 청자켓이랑 매치해봤는데 위에 가디건을 걸쳐도 예쁠 거 같아요!포니테일 머리하고 이 옷 입고 다니니까 다들 시원해보인다고 하더라구요!소매가 제 팔길이에 비해 짧긴 한데 9부 기장이라서 그렇게 짧지는 않아서 더 스타일리쉬해보이는 거 같아요!색은 딱 사진 색이라고 보시면 될 거 같아요!
pq20**|색깔부터 너무 예쁜 치마예요!기장도 엄청짧지도않고 밑단컷팅이예쁘게 되어있는 치마입니다상의에 아무거나 입어도 어울릴고같아용
sohui88**|제가투피스 덕후라 이쁜투피스찾고잇엇는데 딱인거같아요 베이지는 좀비칠까봐 분홍색삿는데 이뻐요 사이즈도 갠찮고 전 상의를 집어넣으면 얇으니까 집어넣은 모양이그대러보여서 빼고입어요 빼고입어도 갠찮은거같아요
jasmin19**|생각보다 빳빳한(?) 재질이에요! 그래서 저는 오히려 더 좋았어여!! 바람불어도 엄첟 날리는 쉬폰재질은 아니어서 큰 바람에도 조금 덜 날리는 느낌? 근데 주름이 잡히다가 말았는지 드문드문 주름이 하나도 없이 빳빳한 부분이 있네요....아쉽...
21542765**|치마랑 블라우스를 세트로 입으려고 삿는데..ㅎㅎㅎ치마가 생각보다 더 타이트해서 다이어트 하고 입어야겟어여 ㅎㅎㅎㅎㅎㅎㅎㅎ 그래도 예뻐서 만족합니다 ㅎㅎ
21542765**|셔츠랑 원피스가 붙어잇으니 얇은옷이라고 생각햇어야하는데 미처 생각을 못하고..ㅎㅎㅎ 입어보니 기장도 괜찮고.. 무난합니다 ㅎㅎㅎ
21542765**|모델분이 입은 사진보고 너무 이뻐보여서 핑크. 블랙 2가지색을 다 샀는데 마음에 들어요 ㅎㅎㅎ블랙에 더 예뻐서 치마까지 세트로 구입.ㅎㅎㅎㅎ예쁜옷 많이 파세요 ㅎㅎㅎ
65481754**|정말 무난하게 입고다닐 수 있고 소재가 얇아서 여름밤에 살짝 걸칠 수 있게 디자인 됐어요! 추천추천~~^^
65481754**|진심 너무 이뻐요~~ 아이보리 색상은 약간 비치긴 하지만 기장도 적당하고 팔 소매가 너무 헐렁하지도 않게 디자인 돼서 편하게 입을 수 있을거 같네용 감사해여~~^^
yukari**|진짜 핵쫀쫀 스커트에요!!! 사서 몇번 입었는데 또 요즘 날씨가 추워져서 못 입고 있는게 아쉬울정도에요...!! 따뜻해지면 여름까지 쭉쭉 입고 다닐려구요! 잘 입을게용!!
yukari**|봄 가디건 필요해서 샀는데 맘에 들어요~~ 부담없이 가볍게 입을 수 있는 기본 스타일이에요~!! 살때 냄새 날까봐 좀 걱정 했는데 냄새도 안나도 괜찮았어요!
yukari**|옷 산지 좀 지났는데 잘 입구 있어요! 셔츠 입는 걸 좋아해서 샀는데 맘에 들어요~~ 가격 대비 괜찮은거 같아요! 엄마랑 같이 입는데 엄마도 맘에 든다고 하더라구요~ 다만 단추 뺄때 실들이 너무 많이 걸려요ㅜㅠㅜ 단추구멍 정리한다고 했는데도 항상 벗을때 걸리더라구요...;;;
yukari**|배송 빨라서 너무 좋았어요! 다음주 여행 갈때 입으려고 샀는데 맘에 들어요~~ 다만 목 부분이 좀 좁게 늦겨 지더라구요... 벗을때 불편해요ㅜㅜㅜ 그거 말고는 괜찮더라구요~~ 허리 고무도 쫀쫀 하구여ㅋㅋㅋㅋ 잘 입을게용^^
ksm92**|가디건 색상이 블루라 조금 상상이안되었지만 색이 너무너무 이쁘게 잘나온거 같아요!! 요즘 날씨에 딱 입기 좋아요~ 감사합니다~~
ksm92**|정말 데일리바지로 아주~~ 잘 입고있어용!! 배송이 늦긴했지만 사이즈도 딱 맞고 매치하기도 아주 좋아요~ 감사합니다!
44440917**|사실 이 블라우스 살까말까 정말 많이 고민 하고 샀었는데 지금은 사길 잘 한 것 같아용 ㅎㅎ처음에 물품받고 패턴보고 약간 반품할까 생각했는데 입으니까 이뻐용ㅋㅋ사기전에 블랙말고 베이지 색사려구 했는데 다팔려서 샀는데 맘에 듭니당 안에 다비치는게 걱정이 됐는데 막상입으면 그렇게 거슬릴정도는 아닌것같구요 (비치긴 합니다)모델분이 입었을때 소매부분도 길이가 안맞아 보여서  걱정많이 했는데 실제로도 뭔가 길이가 완전 맞지는 않지만 거슬릴 정도는 아닙니당엄청얇아용!!여름에 입어도 될정도 ㅋㅋ근데 신축성이 하나도 없어서 입을때 살짝 불안했어요 ㅋㅋ사진으론 부해보이는데 실제로 보면 저것보다는 여리여리(?)해보여용
44440917**|여름 티라 그런지 비치는거는 감수하고 샀구용티 자체가 얇아서 그런지 목부분이 한번 빨고 나면 늘어날 것 같은것 같아용 ㅠㅠ 그부분은 조금 아쉽네용그래도 입었을때 골반 정도 골반 밑?까지 적당한 길이 (키크신분들에겐 짧을 수도 ㅜㅜ)여서 치마든지 바지든지 넣어입기 적당할 것 같아용 !!  주문할때는 몰랐는데 자세히 보니까 무늬같은  것도 있어용(이상한거 하니고 그냥 패턴 같은느낌이에용)  하지만 신경 쓸 정도는 아닙니당!! 티안나용
86258097**|색이 너무 이뻐서 한번 보자마자 바로 결제 한거 같아요 올해의 컬러라 그런지 한눈에 들어오고 벨트고 너무 귀여워서 치미랑 입으면 엄청 귀여워요
86258097**|어디에든 어울려서 자주 입고 더녀요 가격도 그렇고 너무 좋아요 머스타드 색이지만 사진 보다 어두워서 엄청 화려하지도 않아서 입기 편한거 같아요
eotjd**|배송이 너무느렸음ㅜㅜ 3.28일예약판매라서 감안하고 산거지만 4.4일 저녁에왔음ㅜㅜ 거의 3주만에 받아보는거였으나 다른 후기중에서도 밑에 옆단이 뜯어졌다는 후기가 있었는데 저도 제주도에서 딱한번 입었는데 숙소에 와보니 밑부분 옆단이 뜯어져있었어요 세탁소에 바로 수선맡기긴했는데 원피스 이쁘고 여름에도 입을수있을것같은데 이렇게 재질이 약해서 이번시즌만 입고 버려야할것같아요ㅜㅜ
csy45**|멜티 플라워 스폰롱 원피스 블랙색상 구매했습니다.꽃 원피스는 처음이라 걱정많이했는데 무난해서 자주 입을 수 있을거 같아요~
gksthf17**|바지가 너무 맘에들어요고고싱 바지는 언제나 입어도 이쁜거같아요길이도 적당하고 신축성이 좋아서 입고나서도 편한거 같아요
tp060**|인터넷에서 바지사면 스판이 없어서 너무 불편했는데 이 바지는 색도 예쁘게 빠졌고 스판도 엄청 좋아서 완전 편해요!
jskem02**|사이즈보고 작게 나온거같아서 M사이즈가 작으면 어쩌나 했는데 신축성은 갑이네요 ㅎㅎ 편하게 입었습니다 쫀쫀해서 좋은데 바지 끝부분이 딱 달라붙진 않았어요 ㄷ약간 붕 떴어요 ㅜ!
tp060**|진짜 가디건 치고 화려한 느낌이었는데 그래서 더 예쁘고 고급스러워 보였어요! 진짜 보기에도 예쁘지만 입는게 더 예뻐요~
jskem02**|재질 너무 보드러워욤!!!ㅜ후앙 신축성은 좋고 시원하긴한데 아이보리 색상은 비침이 있어서 주의하셔야 할 거 같아요! 배송도 빠르고 오늘도 만족함니다^ㅡ^ㅎㅎ!
leesuj9**|싸길래 하나만 사봤는데 좋은것 같아요! 금방 늘어날 것 같긴하지만 900원이니 만족합니다 ㅎㅎㅎㅎ
leesuj9**|사이즈 작을줄알고 걱정했는데ㅠㅠㅠㅠㅠ아주 잘맞습니다..!평소 26정도 입습니다ㅎㅎ 살짝 스판기 있어서 허벅지쪽은 딱 달라붙는데도 전혀 안불편해요. 밑위가 딱 적당해서 (어떤 바지는 입으면 골반도 좁아보이고 한데) 핏이 예뻐요. 색감은 오른쪽 사진이 더 비슷한것같아요. 딱 진청느낌? 완전 만족합니다:)
tp060**|블랙 예쁘고 질도 부드럽고 다 잘어울려서 입기편해요 ~~그냥 입어도 예쁘고 역시 믿고 사는 고고싱!!
yeahjin1**|생각보다 많이 큰 느낌이고 제질은 그럭저럭
bumha05**|기본티를 찾다가 베이직이라고 해서 산건데.. 너무 큰거 아닌가요...ㅋ 아무리 오버핏이 유행이라 해도 이건 좀... 넣어서 입지 않으면 못입을것같아요 반품하려다가 남자친구에게 핏이 딱이라서 그냥 주려고요 자기 옷 사줘서 고맙다고 좋아하길래..ㅋㅋ 길이가 엄청 길어요! 오버핏 티셔츠 원하시는 분들에게만 추천합니다~
io**|애매한 날씨에 뭘 입을지 고민했는데 이제는 이 가디건으로 고민해결! 어디에나 잘 어울리고 이뽀요ㅠㅠ 좀 커서 놀랐는데 엉덩이도 가려주고 해서 저는 너무너무 만족했습니다! 돈만 있다면 다른 색도 구매하고싶어요~~!! 저는 구매하고 다음날에 바로 배송 올 만큼 빨랐어요!! 진짜 열일하는 고고싱분들 감사합니다ㅠㅠㅠㅜ
io**|처음 봤을 때는 색이 흰색이 아니라 많이 누런색이여서 실망했어요! 근데 입고나니깐 흰색으로 보이더라고요! 봄나들이로 딱 입으려고 샀는데 제 자신에게 칭찬해주고 싶어요! 저렴하고 싼티도 안나서 정말 좋은 것 같아요! 후기보면서 고민하고 계신분들은 이제 고민 끝하시고 결제하세요!! 강추입니다!!!!!!
ahl05**|밑단 컷팅도 너무 예쁘고 엉덩이, 허벅지 스판기도 너무 좋아요~! 요즘 같은 계절에 입기 딱 좋습니다~
26451169**|색은 사진보다 약간 탁하지만 저는 오히려 그래서 더 맘에 들었어요. 너무 흰기가 많이도는 핑크면 입을때 살짝 부담스러울거같아서요.편하고 예뻐요!! 다만 입었을때 허벅지 라인이 너무 옆으로 퍼져서 치마가 커보이는 감이 있어요. 구매하실때 참고하시면 좋을거같아요
ahl05**|여름에 입으려고 미리 장만한건데너무 짧지도 그렇다고 길지도 않은 띡 적당한 길이고무난하게 예쁩니다!
26451169**|깔끔하고 아무데나 매치하기도 좋아요. 마감부분도 깔끔해요!!다만 사진보다는 옷이 약간 더 얇아서 비치니까 구매하실때 참고하세요~
26451169**|길이도 적당하고 스판기도 살짝 있어서 활동할때 편해요. 살짝 두께가 얇아서 여름에 입기에 좋을거같아요!!
ahl05**|화면에서 보는 것과 같이 디자인은 비슷합니다.품도 루즈하면서 예뻐요~그런데.. 생각 했던 것보다 길이가 좀.. 길어요ㅜㅜ
26451169**|진짜 엄청 예뻐요. 꽃무늬들어간 시스루 블라우스 너무 입고싶었는데 다른데서 입어봐도 무늬가 너무 촌스럽고 안어율렸는데 이건 진짜 무난하고 예뻐요.게다가 가격도 저렴해서 최고예요!!
26451169**|치마바지라 너무 편하고 앞부분이 꽃잎처럼 되어 있어서 너무 예뻐요.다만 생각보다 허벅지 부분이 옆으로 너무 넓게퍼져서 핏이 약간 펑퍼짐해 보이는 감은 있어요.
ahl05**|부드럽고 어느정도 낭창낭창하게 떨어지는 이쁜핏입니다!나중에 다른 색으로 몇 개 더 사려구요~
80894385**|오 가볍고 얇고 봄-초여름 에 입을 수 있는 집업이에요~제가 찾던거라 만족합니다 :) 냄새가 좀 나서 일단 빨고 입어야해요
80894385**|얇고 좋아요~ 목이 엄청 답답하지도 읺구요!! 회색 반팔티 없어서 샀는데 만족합니다~~*^^*
ekgpdi05**|이뻐요오 ~~색이 라벤더라서 너무 예뻐요! 그런데 박사한 스타일이어서 키 큰 분에게는 괜찮을 것 같은데 조금 작은 분에게는 크다 느끼실 수도 있을 것 같아요.. 얇은 편이라 늦봄까지도 계속 입을 수 있을 것 같아요ㅎㅎ
chlwjdw**|이런 스타일의 가디건이 갖고 싶어서 구매하게 되었는데 진짜 예뻐요!!!!핑크색도 딱 화면처럼 인디핑크 색이에요앞 뒤가 언발이라 더 예쁜듯고민된다면 무조건 사세요!!!!!!!!!!!!
sprn**|완전 쫀쫀하고 이쁘게 핏 되서 최고에요..!! 블랙이랑 흰색 주문했는데 또 사러갑니다~~☺
gsy**|밝은색 코트 입고싶어서 주문 햇어요!간절기때 입으면 딱 좋을만큼 그리 두껍지도 얇지도 않아서 좋긴한데갑자기 날씨가 또 더워졋네요 ㅠㅠ 더 더워지기 전에 이것만 입고 다녀야겟어요!!! 길이도 길어서 편하구 디자인도 무난하니 갠찬아용 ㅎㅎ 다만 구김이 좀 잇다는게 아숩 ㅠㅠ
ekaql04**|처음으로 가디건을 사봤습니다 진쩌 기대 이상이고 이쁘게 잘 입고있습니다 후회 절때 안해요!단점이 있다면 소매가 좀 커요
kiulp1**|진짜 봄에 입기 딱 ! 좋아용 ㅠㅠㅠ 청바지에 입어도 이쁘구 그냥 아무거나 입어도 넘 잘어울려서 됴아용 ㅎㅎ
kiulp1**|키가 작아서 항상 바지 수선했었는데 이건 기장이 딱 맞아서 넘 좋아았어용 ㅜ 바지도 잘 늘어나서 진짜 편해용
wkaodjs**|바지진짜 너무 짧아요... 제 다리가 엄청나게 긴편 아닌데 그냥 비율이좋다인데 무릎에서발목까지해서 그 중간이에요....키 153인데........너무짧아서 어쩌면 좋을지.. 교환어떻게하나요?
ekwjd35**|흠.....뒤부분이 이거 뭐죠..?확인 안하고 보내시나요....?조금이면 감안하고 그냥 입는데 이건 .. 어떻게 해야할지 ..?
4413816**|예쁜데 진짜 많이 비쳐서 신경 쓰여요 ㅠㅠ
wjy01**|편하고 니트 짜임도 좋고 가격에 비해 좋은거 같아요 보기보다 얇지 않아서 봄에 셔츠에 이거 하나만 입어도 될듯해요
jhh03**|제가 팔이 짧아서 두번 접어입으니깐 엄청 이쁘고 아방해요 !블랙이랑 핑크 삿는데 베이지랑 화이트도 사려구여 좀 얇은데 그래서 더 좋은거같아요 봄가을 딱이에여 겨울엔 안에 이너티 입으면 될거같구 근데 얇아서 그런가 핑크색상이라 나시 안입었는데 자세히보니 비치더라구요.. 암튼 짱!! 배송은 빨랐는데 배송준비기간이..ㅎ
cdb66**|품도 너무 낙낙하지않고 길이도 적당하고 괜찮은거같아요 옵션이 아이보리로 되있는데 블랙으로 구매했었거든요?색이 블랙이라서 괜찮았단거같아요 어깨 선이 좀 넓어보일수도있는 어깨선이에요저처검 체격 좀 있으신분들은 꼭 산다면 어두운계열옷을 추천합니다!
shinee05**|빠르게 후기 남겨요! 어제 낮에 도착해서 받았어요!이런 디자인의 치마가 갖고싶었는데 잘 산거 같아요!뒷밴딩이라 평소m입는 제게도 잘 맞았어요!예쁘기도 예뻐요!검정이라 무난하게 잘 입을 수 있을 것 같아요!고민하시는 분들, 사면 예쁘게 코디 가능할 거에요!
753665385**|저는 무난하게 화이트샀는데요 사실 사진보면서 어깨가 엄청 넓어보일까봐 걱정 많이 하면서 샀는데 전혀!!하나도 안넓어보이고 두깨도 두껍지않아서 맘에드네요~봄에 입고다니기 딱 좋을것같아요~
753665385**|블랙코트가없어 찾던중에 저렴하고 이쁜 코트발견!너무 덤벙하지않고 사이즈 괜찮은것같아요~ㅎㅎ완전 맘에듭니당
hm0107**|기본템이니 많이 쟁여놔두 좋겟어요 편해요
hm0107**|키166인데 L사이즈 시켰는데 딱 맞네요좋아요
hm0107**|몇번입어봤는데 진짜 편해요!! 이뿌기도하지만 데일리로 입기에 짱
hm0107**|저렴해서 학생분들 많이 쟁여놓아두 될거같네요
hm0107**|가성비 좋아서 여러장 더 사야겟어요 ㅎㅎ
hm0107**|가성비 굿 좋아요 ^^
lovely65**|1. 사진은 아이보리에 연핑크 꽃 같지만 실제는 베이지에 탁한 핑크색 꽃2. 162 기준 종아리 중간정도 길이, 속치마는 무릎 위3. 서있을 땐 괜찮은데 앉으면 가슴 확 벌어짐 4. 가슴 큰 사람은 가슴 받침같다는 말 이해가 감..5. 살짝 부해보이는데 뚱뚱해 보이진않음 6. 상체 마른편인데 끈? 겨드랑이 쪽은 꽉 잡아줌
mom**|예전에 한 번 구매했었던 양말 재구매 했어요! 쫀쫀하고 잘 안늘어나서 너무 좋았어요 검정색이랑 오트밀색 구매했는데 사실 검정색은 잘 안신지만 가끔씩 꼭 필요할 때가 있어서 사뒀어요. 그리고 개인적으로 발목이 긴 양말은 흰색이 부담스럽다고 생각해서 오트밀색으로 샀어용 오트밀색 너무 예쁜 거 같아요!
dbswjd74**|진짜 역대급으로 맘에 듬ㅠㅠ이 핏으로 다른 색깔로 판다면 다살고임ㅠㅠㅠ진짜 말라보이고 대박
mom**|보자마자 맘에 들어서 샀어요 포인트 리본이 귀여워요 그리고 진짜 너무너무 부드럽고 입었을 때 말라보이는 핏이에요 제 키에는 짧은 편인데 뭔가 딱 예쁘게 짧아서 마음에 들어요 꽃구경 갈 때 입고 가려고용
mom**|프린팅이 마음에 들어서 구매했어요! 입으면 뭔가 되게 부드럽고 포근한 느낌이 들어요. 근데 뭔가 머리카락이나 먼지 같은 게 잘 붙어요ㅜㅜ 그리고 잘 늘어날 것 같은 느낌..이라 조심조심 하려고요. 그래도 품도 넉넉하고 뒷모습도 예뻐서 아무때나 편하게 입고 있어요. 날씨 따뜻해지면 반바지랑 입어도 예쁠 것 같아요.
yerin2**|생각보다 손잡이부분이 조금 짧아서 약~간 불편한데 익숙해지면 괜찮아질거같아요 디자인은 진짜 예뻐요!  책이랑 이것저것 많이 넣어서 다닐때는 편할거같아요 맘에 듭니다 잘 산거같ㅇ아요♡
yerin2**|노란색옷이 많아서 연한초록색샀는데 진짜 짱예뻐요 보들보들하고 적당한 두께감때문에 폭신폭신하고 봄에 입으면 딱이에요! 배송도 진짜 빨랐고 잘입겠습니다!!
yerin2**|사이즈를 잘못체크해서ㅠ 저한테는 너무 큰거같아서  사촌동생줬는데 입은거보니까 예뻤어요 잘늘어나고 가벼워서 좋대요
yerin2**|생각보다 살짝 오버핏이긴한데 그래도 예뻐요요즘 날씨가 다시 추워져서 이거만 입고나가면 딱일거같아요~배송도 이틀만에 오고!! 맘에 듭니당 ♡
mom**|길이도 적당하고 품도 적당히 넉넉해서 편해요 핏도 여리여리해서 예뻐요! 맨 살에 닿으면 조금 까끌까끌한 것 같기도 하지만 그렇게 심하진 않아요. 그리고 생각보다 많이 파여서 안에 나시나 티를 받쳐 입어야 할 것 같아요. 반폴라티 같이 입어도 예쁠 것 같아요. 이 가격에 이 정도면 아주 만족스러워요 잘 입을게요
hg54**|생각했던거보다 훨~~씬 박시했어요 그리고 핑크도 생각했던거 보다 핫핑크??색이었어요! 그냥 편하게 입고 다니기 좋을거 같아요!!
hg54**|사진에 생각했던거 보다 조금 더 누랬어요! 근데 편하게 입고 다니기 정말 좋은거 같고 여름에 자주 입을거 같아요
siya**|너무 예쁜데 팔 안쪽부분이 쫌 짧더라구요 오래기다려서 받은 옷인만큼 예쁘고 잘 입고 있어요!!
hg54**|요즘 입기 딱 좋은거 같아요!! 생각했던 모양 그대로이고 편하게 입기 너무 좋아요!! 많이 파세요:)
hg54**|사진이랑 정말 똑같이 생겼어요! 그냥 학교 갈때나 잠깐 나갈 때 편하게 입기 정말 좋은 옷인거 같아요!!
hg54**|바지 생각보다 너무 맘에 들고 특히 많이 짧지 않아서 제일 좋아요!!근데 단추 구멍 원래 막혀서 오는건가요??이건 그냥 제가 뚫었어요~쇼핑몰에서 바지 잘 안사는데 진짜 맘에 들어요!
hg54**|치마가 생각보다는 컸는데 디자인이나 색같은거는 마음에 들어요!!조금 짧긴한데 마음에 들고 자주 입을거같아요~
tlqjf90**|털이 송송 튀어나온 천이에요입체적이라서 좋아요등에 고무줄로 되어 있어서 잘 잡아줘요이 천에 튀어나온 털이 잘 뽑히는게 약간 아쉬워요조심해서 입어야겠어요지퍼는 없어요 길이도 딱 모델정도로 오고안감이 있어서 맘에들어요잘 입을게요
dhtnwjd9**|블랙 구매했어요편하게 쓰려고 구매했는데 잘 쓸것같아요-뒤에 포인트가 있어서 더 예쁘네요~
dhtnwjd9**|블랙구매했어요허리 밴딩이라 편하구요 편합니다.근데 기장이 짧아요 이건 감안하고 산건데한번 세탁기 돌렸더니 바지가 더 짧아졌어요빨수록 짧아지면 곧 반바지가 되겠네요ㅎ...그냥 이거 사느니 돈 더주고 다른바지 구매하세요...
dhtnwjd9**|화이트구매했어요생각보다 얇더라구요목부분이 빨면 늘어나더라구요지난번에 여기서 다른 흰티산거는 아직도 잘입고있는데 이옷은 한철입고 버려야할것같아욥...
zhddl**|왕이쁘다능 재질상 부드러운 촉감은 아니지만 너무 거칠어서 몸이 따갑거나 그런건 전혀없어요가슴부분도 심하게 파이지도 않고 적당해서 맘에들고유니크하면서도 여성스러워서 괜츈햐용
wsxdf1**|무슨 색으로 살지 계속 고민했었는데 블랙으로 사기 잘한거 같아요~^^ 여름에 이쁘게 잘 입고 다니겠습니다~
wsxdf1**|옷이 좀 커요..ㅜ 그게 좀 아쉽지만 바지나 치마입을때 입으면 잘 어울릴거 같네요~ 이쁘게 잘입겠습니다~
wsxdf1**|편하게 입기에는 좋을거같아요~ 바지나 치마에도 어울릴거 같구 별로 크지않아서 좋네요^^이쁘게 잘입을게요~
wsxdf1**|가죽냄새가 좀 심하긴 했지만 물건도 많이 들어가고 어느옷이든 다 어울렸습니다^^이쁘게 잘 사용할게요~
oye**|사이즈가 좀 다양햇으면 하는 아쉬움이 있긴했지만 그래도 나름 데일리로 끼기에 이뻐용!! 배송도 빨리와서 좋앗음
oye**|정말 베이직한 양말ㅎㅎ 그래도 내가 원하던 길이여서 맘에들엇음 다음엔 오트밀로 구매해야징~!!
oye**|무난하고 이뻣어요 말그대로 데일리로 쓰기 좋은 볼캡!! 다른색도 구매할까 고민중이에요!!!ㅎㅎ 짱이뻐
oye**|베이지 살까 블랙살까 고민 되게 많이 했었는데 베이지도 나름 이뻐용ㅎㅎ 멜빵 잘못입으면 뚱뚱해보일까봐 걱정햇는데 보기 싫을 정도는 아니어서 만족스러웟음!!
oye**|길이 조절 되는게 제일 맘에 들었어요!! 그리구 얇아서 여름에도 편하게 입을거 같음 디자인도 이쁘고 길이도 짱
