zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
lsy30**|봄가을에 입기 딱 좋을 것 같아요. 생각보다 얇지도 않고 좋아요! 오자마자 입어본거라 조금 구겨져서 오긴 했느데 어차피 빨아서 입을거니까 전체적인거만 보세용 색도 진짜 예뻐요 진짜 딸기우유 느낌이에요ㅋㅋ 밑에 있는 치마랑 같이 입으려고 산거였는데 잘 산듯해요ㅎㅎ
438290038**|옷 핏도 예쁘고 사이즈도 44 기준 적당함. 여리여리하고 이쁜데색이 다름.. 개인적으로 네이비 안어울리고 네이비 너무 싫어하는데 ㅠㅠㅠ 색상도 블랙 사진도 블랙으로 나와있음.. 그냥 네이비색임.. 반품 하고 싶은데 귀찮고 옷은 예버서 그냥 입음
shinee05**|평소에 m입는데 예전에 고고싱바지를 m으로 샀다가 작았던 기억이 있어서 이번엔 l로 샀어요!허리부분이 조금 크긴한데 작은거보단 나아서 괜찮아요!엄~청 큰게 아니고 조금 큰거에요!허리띠하면 될 정도니 사이즈고르실 때 참고하세요!그리고 배송은 일욜배송으로 빠르게 받아봐서 넘나 행복...❤️색상은 연청색이구, 기장은 길어서 줄이려구요!신축성은 없지만 한 치수 크게 산 덕에 편해요!허벅지는 거의 알맞게 맞지만 앉았다 일어나는것도 편해요!
grace2**|살랑살랑하고 이뻐요 손목부분이 특히 너무 여성스럽고 좀 화려해 보여요 손목 부분이 튿어져서 너무 슬프지만...ㅠㅠ
qwe57**|좋아요 ㅋㅋㅋ사이즈도 ㄱㅊ고..이쁘고 핏도 다 좋음 괜찮아여 ㅋㅋㅋ좋아요 ㅋㅋㅋ사이즈도 ㄱㅊ고..이쁘고 핏도 다 좋음 괜찮아여 ㅋㅋㅋ
lks37**|생각보다 더 만족스러웠어요 색상도 예쁜 초록색이구 대부분이 엄청 박시해서 오히려 더 부해보이는 티가 많은데 이건 핏도 적당하고 청바지에도 그냥 바지나 치마에도 넘 잘어울릴거같아요!! 매우매우 좋습니당
lwp10**|허리가 밴딩이라 입고 벗을 때 편하고 발목 드러나는 기장을 찾고 있었는데 제가 찾던 기장이라 너무 마음에 들어여 잘 입을게욤
jimj**|네이비 색상 구매했는데 좋아요! 배송도 빠르고! 옷도 괜찮아요! 잠옷으로 입으려고 샀는데 깔별로 사도 괜찮았을거같네요!
jimj**|한 여름에 입기는 좀 더울수도 있는 재질같아요! 전 더위를 안타서 늘 여름에도 긴팔입고다니는데 이건 딱 봄까지만 괜찮을거같아요!
jimj**|아이보리 색상 구매했는데 이뻐요! 근데 핑크도 사고싶네요.. 꽃이 좀 다른 느낌이 들거같아서 핑크도 예쁠거같아요! 근데 아이보리색상에 꽃도 괜찮고... 암튼 예뻐요!
jimj**|화면으로 보는것보디 이뻐요! 소매 고무줄 부분은 첨 입어봤는데 안불편하고 괜찮더라구요. 생각보다 배송도 빠른편이었고 여름에 입기 더운 재질이 아니라서 좋아요! 여러모로 만족스럽습니다!
56884915**|검은색 반팔티 사고싶었는데  맘에 들어요~ 두깨는 너무 얇지 않고 적당하고요 핏도 딱 맘에 들어요~
56884915**|좀 얇은 반팔티인데요 핏은 적당한 루즈핏에 면도 괜찮은것 같다고 세일하고 있어서 샀는데 여름에 입기 딱좋은것 같아요~
56884915**|최근에 살이좀 쪄서 스몰이 맞을까 안맞을까 걱정 했거든요현재 몸무게 51 전후 왔다 갔다 하는데요 허리부분이나 허벅지 부분 딱 적당한것 같고요 핏이 너무 예뻐서 요즘 이것만 입어요~
