hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
yuoh9547**|검은색후기^.^완전이뻐완전이뻐요 ㅎㅎ간편하게 들고다니기좋은것같아요사길잘햇어요 완전추천 ㅎㅎ전 흰색도 살까생각중이에요^.^
chi21**|쿨링스키니음...쿨링 스키니 추천합니다^-^스키니 재질은 잘 늘어나야 이쁘거든요뻣뻣한건 아주 마른 사람이 입지 않는 이상은발목과 종아리가 두꺼워 보이는데이 스키니는 잘 늘어나구 해서 입기 편하네요하지만!!중간중간에 찢어진 포인트를 조심해야 해요 ㅠ발을 함부로 쑥 넣다간 확찢어 질 수 가 있어요..ㅜㅠ덜렁대는 사람은 피하는게 좋아요!!!색갈도 괜찮구 찢어진 부분도 간지나구, 질도 정말 좋아요^0^고고싱에서 바지 2번째로 사는데 둘다 맘에 듭니다^^쿨링스키니 추천 합니다!위의 사진과 색상 똑같습니다
yuoh9547**|이쁘네요^.^완전이뻐요!^.^쫌얇긴해도 시원하고 편한것같아요색깔도 사진이랑완전같구 이뻐요ㅎㅎ
torryw**|빨간색후기전 빨간색으루 삿써여무료배송기간에 기거 하나 주문햇는데배송도 2일만에오구 5500원짜리 한개주문햇는데바비펫새로들어온다구 사은품도 주시더라구요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 이거 약간 끈이 느슨해진다고해야대나 약간 풀림...근데 싸니까 ㅋㅋㅋㅋ전만족해여적립금넣어주세요
chi21**|구슬 팔찌배송은 휴가 덕분에 2주일 넘게 걸렷지만 그래도 휴가였으니까....;;일단 구슬 팔찌 색은 사진과 같은데요사진으론 정말 이쁜데 실제로는 좀 별론것 같네요...;저는 청록색으로 샀는데구슬은 늘어나는 머리끈 같은 걸루 되있어서통통하신 분도 걱정 없이 쉽게 낄 수 있는 아이템 인것 같습니다.저는 평소에도 착용하고 다니고 싶었는데비치웨어 아이템이라 그런지정말 비치웨어에만 착용해야 할것같네요...;
amji**|후기!돈이엄써서 살짝고민햇지만!질럿써여ㅎ.ㅎ그래두 색도이쁘고완전맘에들어요>ㅁ<근데쫌그런게...스판기가진짜별로업는것가타여....ㅠ-ㅠ제가 평소25입으면 딱맞는데 살짝작은감이있네여....;;그래도 입다보면 늘어나겠죠?
jihyun00**|프랜드백팩!!!프랜드백팩 빨간색 . 이거 보고 망설임도 없이 샀는데....입고때문에 배송 완젼 느렸는데 배송해주시고나서 하루만에 왔네요!!무슨 안전밸트처럼 허리띠 같은거 있는데 그거는 뒤로 넘겨서 쓰면 될거같구..생각보다 가방 완젼 커요!이스트백보다 더 큰듯..ㄷㄷㄷ;;그래도 이뻐요!
양인아|이뻐요~~최고예요~*원래 사용후기 잘안남기는데 여기 후기 없길래 남겨봐여 ^^저는 20대 초반 대학생인데요,,, 무도수 렌즈도 가끔껴요너무 컬러풀한 색은 안끼고 검정이랑 브라운 계통의 제품을 주로 착용하는데,,이제품 그래픽사이즈도 크고 안전할것 같아서 샀어요착용감이랑 너무 좋구요검은색 써클이라 눈이 또렷해보이고 좋아요~잠든눈을 또렷하게 ㅋ적극 추천입니다
ssh54**|감동의 물결이 좌르륵ㅠ_ㅠ넘넘 예뻐서 감동의 눈물이 콸콸 나오네요!!전 회색을 샀는데, 색깔도 예쁘고 별로 불편함도 없고 딱!딱! 좋아요!!!!다만 짧은게 문제지만 요즘은 이렇게 입으니까 상관없고 치마가 예쁘니까용서가 다 되욧!!!정말 예뻐요!! 감동이 좌르르륵!!!!
only1**|하늘핫팬츠 솔직 후기음 처음 상자 뜯고 봤을땐 색이 너무달라서 당황스러웠어요너무 180도 달라서....위에 사진색이 더 이쁘긴한데요음... 실제 색상도 나쁘진 않아요모양은 넘 이쁜데전 허벅이 넘 두꺼븐가 보네요그리 너덜거리진 않아요 (모델님 다리 완전 얇으신듯요)1개는 색떄문에 별 뺐구요하나는 바지가 그리 너덜거리지 않아서 뺐어요
kja7**|"이뻐옅!!!실망하면 어쩔까하고 기다렸는데 대박 이쁘내여!!티 재질(?)도 좋더라고요!!프린트도 너무 이쁘게 되있고요!!바지에 넣어 입으면 이쁘더라구영>ㅁ<""전 대만족이에염ㅋㅋㅋㅋㅋㅋ글구 BB랑 망고매직 브라이트닝 마스크도 잘받았습니다 ㅋㅋ처음에 양말없어서 깜놀 했지만이런 흐믓한것들이 있네염 잘쓸께요!!ㅋ"
송수인|이뻐여!!주말이 겹쳐서 그런지 배송이 쫌 늦어지길래 짜증났었는데받아서 보는순간 진짜 그런마음 싹 사라지구넘 좋았어여 ㅋㅋㅋㅋ네이비240 샀는데 딱맞구 조아여다른분이 신발이 밑바닥이 딱딱하다그래서걱정 많이 햇엇는데 ㅠ 별로 딱딱하지두 않구 갠찮았어여궆도 높구여 ㅋㅋ 색도 안묻어나구 발도 작아보이면서귀여워보이고여 어쨌든 신발 맘에 들어서 좋습니다고고싱 조아요~! ♥
dbsdk10**|...동수티사이즈가 너무 크네요 ㅠㅡㅠ
girl52**|역시~좀 많이 크지만 큰게 간지인거 같아요~ ㅋ입기 좋고 ~ 티 자체가 정말 이쁜거같아요~많이들 사가요~ 만족할 거예요~!
alwlsw**|마음에 들ㅇ요~~사진이랑 똑같구요 ^.^바다갈떄 하면포인트도되고 이쁠것같네요
홍지은|맘에들어요 ㅋㅋㅋㅋ딱 처음에 열엇는데 색상이 너무 예뻣어여 ㅋㅋㅋ참고로 저느 분홍색 샀어요 !생각외로 크긴햇지만 코디잘하고하면정말 이쁠것같아요 ! 특이하고 ㅋㅋㅋㅋ배송도 엄청 빨라용 ! 하루만에 왔어여ㅋㅋㅋㅋㅋㅋㅋ가방이 특이하고 흔하지 않은 디자인이라 너무 예쁠거가타용 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ !!암튼 만족입니당
sksgml38**|!!!!!!!!!!!슈프림 카라티 네이비로 샀습니다!배송을 하루 걸려서 왔구요^^빨리와서 참 좋았습니다.같이 껴준 사은품도 잘 받았고~ 유용하게 잘 쓸거 같습니다.티는 컴퓨터에서 본거랑 비슷하구요.팔이 작으면 어떡하나 했는데 넉넉하진 않지만 그래도 괜찮았습니다,천도 좋았구요! 그렇게 새냄새도 나지 않아서 좋았습니다만족합니다
최영란|이빠 ㅋㅋㅋ렌즈를 많이 쓰는건아닌데..적게는 1년에 한번 구매를 꼭 하는타입인데..인터넷 구매는 처음이에요..^^뜨는 느낌 전혀 없어여 ㅋ소프트한 느낌암튼 첫후기는 호감!!!또 살 기회되면 들릴께요~
김이지|이뻐요~**이뻐요~~**착용감도 만족스럽고 .. 장시간 착용에도 좋은것 같아요한가지 아쉬운점은 도수를 못넣는게 아쉽네요 ,,좋은렌즈 많이 업데이트 해주세요^^
eun18**|우히힝오늘 택배가 와서 즐거운 마음으로 풀어보니까 정말 이쁘더라구요ㅎㅎㅎㅎ근데 모델분이 마르신것지는 모르겠지만 허리,길이가 쫌 크고 허벅지랑 딱맞더라구요ㅎㅎㅎㅎ근데 완존 이뻣어요ㅎㅎㅎ이스키니 사시는분들 크게사셔야 될것같아요 히히히근데 디자인이 맘에들어서 ㅎㅎㅎㅎ
오정림|음..ㅎㅎ 이뻐요음.. 사진이랑 색깔이 쪼끔 다른거같은데ㅋㅋ진짜색깔이 더 예뻐요ㅋㅋ근데..................................진짜 쫌 작게나온듯..ㅡㅡ허벅지 완전 꽉껴요ㅠㅠ그래도 이쁘니깐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
dulleyes2**|블랙후기제일 무난한것 같은 블랙으로 구입했어요 ㅋ브라운이랑 블랙이랑 고민했는데 , 가지고있는 가방중에 브라운이 좀 많아서 ;방금 받았는데요. 생각보다 깔끔하고 이쁜것같아요 ~그리고 반짝거리는것 같은것같은데.. 원래 이런건지?수술장식도 이쁘구 ㅋ 별하나 뺀건 배송이 좀 늦어서 ㅎㄷㄷ;
rudtn12**|우왕굿배송은이틀전에왔는대이제 후기올립니당 ㅋ_ㅋ!1정말이쁘더라구요크기도크고 제가찾던가방입니다근대정말흔하더라구요ㅠ.ㅠ그래도배송도빨랏고 가방이도이쁘고하니만족합니다
rhdwltn**|마음에듬생각보다컸지만 괜찮아요첨에냄새때문에..^^
spspdk**|생각보다 많이크네요!위아래길이보단 폈을대 옆길이가많이길어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도입으면티안나염 약간가오리같기두하구 ㅋ.ㅋ그래도 괜차늠
spspdk**|갈색이뻐여~ 길이조절도돼고 갈색이 맘에너무듬 , >_
spspdk**|싼티안남!!!!!!4500원이긴하지만.. 요즘다 막 버껴지고 그런 ㅜㅜㅜㅜㅜㅜㅜㅜ재질인가했는데품질좋네여!
정예솔|뒷태가이뻐여이건여 정말이뿌구영 ㅋ 그레이사고싶엇는데 품절이라 블루삿는데블루도 이뻐여!! 근데 뒷태가 정말이뻐여 ㅠㅠ별다섯개!!!!!!!!!!!!!!!!!
정예솔|힌색이랑 초록색~제동생 흰색주고 전 초록색햇는디용좀커용 ㅋ근데 이뻐용!@!@! 세수안하고나갈때 유용하다는..ㅋㅋㅋ
정예솔|앞머리없는분들 기르고잇는분들근데 보는거랑달리 조금 제가하면 티가나네용 ㅋㅋ많이 ㅋㅋ근데 기름기가 정말...ㅋㅋㅋㅋㅋㅋ 로젠택배 아저씨 친절하시네요 학교에잇어서전화보류햇는데 문자가왓더라구요 친절하게 ㅋ앞머리 기름기땜에 별세게 이유는 오직하나 기름기 ㅎㅎ제가못쓰는건가용 ㅋ 앞머리 기름없애는거엄나여?
신유리|좋아요 ㅎㅎ배송도 되게 좋았어요^^ 학교가있는 사이에 택배아저씨가 문자까지 넣어주셨더라구요~택배아저씨 친절해서 훈훈했어요 ㅋㅋㅋㅋㅋㅋㅋ사이즈가 허리만 조금 크긴 하지만 좋아요 ㅎㅎ 뒤에 주머니에 있는 프린팅은 고무? 비슷한걸로 되어있는것 같고..사진이랑 거의 비슷한데 사진에서는 색이 좀더 연하게 나온것 같아요. 많이 진하진 않지만(연하긴 해요)사진보다는 덜 한것 같아요. ㅎㅎ 그래도 이뻐요. 엄마께서도 만족하시더라구요.근데 양말이 안왔어요 ㅠㅠ 하나만 사서 그런가..ㅠㅠ 양말 기대하구 있었는데!다운로드 무료이용권은 잘 받았습니다. 바지 이쁘게 입을게요.사실분들은 그냥 사셔도 좋아요! 인터넷에서 사는거 별로 안좋아했었는데 정말 이쁘네요!
sy45684**|좋아요조금 컷지만, 무난하게 난방에다 걸쳐 입어도 이쁘구요,그냥 반바지에다 입어도 괜찮은 것 같아요, 추천이요 !
정지희|너무 편해요신발사고 2틀인가? 3일걸려서 와씁니다>ㅡ<아직 신어보질 않아서 잘 모르겠지만손으로 들엇을때 너무너무너무 가볍구딱보기에도 어떤옷과도 잘어울릴것가튼 그럼 내맘에 쏙드는 신발이예요 ㅋㅋㅋㅋㅋ역시 고고싱처음사보지만 맘에확드는앞으로 자주 애용할게요!!
gao**|[고고싱김송아후기]리버스티(화이트): )
dlqnsrj**|사용후기용와..이렇게이쁜옷처음봣어요ㅠ^ㅠ진짜이쁘네여안에 나시 하나입고입으니까 진짜ㅋㅋㅋ여신?이따로없어요정말이쁘고요!!헤헤진짜20일입고예정이말딱맞는거같아요ㅋㅋ이렇게이쁜옷안시켜서야안시키면안되요정말가격도중학생인저한테딱맞구요ㅎㅎ와진짜이뻐요ㅋㅋ!~고민중이신분들은꼭사시길바라구요~~포토후기는ㅜㅜ디카가업어서못하네요죄송합니다!!
zxzx15**|대박 이뻐요!! ㅎㅎ사진하고 완전 똑같아요 ㅋㅋㅋㅋㅋ다만 냄새가 쫌 심해요 ㅠㅠㅠㅠ
myb13**|애나멜 장지갑(블랙)후기!!맘에듭니다 !! 장지갑처음사봤는데요 ㅎㅎ!!친구들도 장지갑생각했던거보단 조금작다구하구요그렇게크진않아요 ~! 길이로는 그냥적당하구요 옆으로가조금 넓어요 ㅎㅎ..!! 애나멜이여서그런지 깔끔하구요!속도 다른색깔에비해 차이도별로없어요 ! 지문이잘묻더라구요..손을깨끗히씻고 ! 지갑은 들고다니셔야할것같습니다 !배송도 하루만에왔어요 ㅎㅎ! 다른분들은 카드넣는곳이 작다고하시는데전 만족합니다 !! 지폐도 구겨지지않고 ! 손에들고다니기도 반지갑처럼두껍지않고얇고 ! 이쁘고 ㅎㅎ.!! 만족합니다 ^^!!
gyrud78**|이쁘네요배송도빠르고 만족
dkrlclsr**|사진과실물이달.................라요,?사진으로봣을땐 이뻤던거같은데 주문해서 보니깐 진짜별로드라구요,,?엄마도 이런걸사냐고ㅠㅠ 윽 생긴것에비에 가격도비싸구 그렇게 핏도 안나고오음 .. 이쁘진안하요 그냥 쓰고다니려구요ㅠㅠ조금은 실망햇어요!!! ..저 가방사고 나서 상품후기쓰려고 드러오니깐 잉쁜가방업대트즁이라네요 흑..ㅠㅠ차라리그냥 좀더 기다렷다 살껄그랫나ㅏ뵤유
ssh54**|후기방금 잘못써서;;;;찍찍이로 되어있고 진짜 굽이 6cm이에요!!색깔도 완전 예뻐요 처음에 큰줄알았는데 알고 보니까 맞아요^^암튼 완전 좋음!!
ssh54**|후기>ㅁ스니커즈힐 후기에요!! 완전 예쁨ㅎㅎㅎ사진도 같이 올릴께요!!옆에서 보는 모습이에요!! 완전예쁘죠!!!그리고 다른 옆에서 본 모습이에요
tkfkdv**|블랙완전 간지나여 ㅋㅋ블랙삿는대 배송늦은거뺴고는냄새도안나고 이쁘게 쓸게여망설이신다면 구매 ㄱㄱ
tkfkdv**|네이비흐....... 배송이5일걸린것 뺴고는 대만족!!!옷이쁘게 잘입을게여망설이시는분 꼭 사세여!!!!
jy05**|후기!!완전 기여워요ㅋㅋㅋ근대 프린트한게 좀 까질꺼같기두해요ㅠㅠ근대 진짜 독특해서조아요ㅋㅋㅋㅋ
jy05**|후기후기너무 하늘하늘해서편하지만 계단올라갈때 쫌 조심하셔야될듯,,,,
dldmsrkdg**|ㅎㅎ완죤맘에드네용 ㅎㅎ여것도마찬가지롱 ㅎ지갑과함께구매햇던아이인데용 ㅎ역시색상은 분홍색으로구매했는뎅 ㅎ완젼이쁜것잇죵 ㅎ완젼 이안에 많이들어갈듯 ㅎㅎ 정말 크드라구요 어딜갈때나 놀러갈때 들고다니기딱좋은것잇죵 ㅎㅎ!!완젼이뻐용 ㅎㅎㅎㅎㅎㅎㅎ
dldmsrkdg**|보자마자맘에쏙드네용 ㅎㅎㅎ고고싱에서여러번옷을주문했지만 지갑같은경우는요번에첫구매였거든용 ㅎ근뎅맘에쏙드는것잇죵 ㅎㅎ 화면상이랑 실제랑정말똑같아용 ㅎ믿으셔도되용 100%ㅎㅎ정말 색깔도이쁘구용 ㅎ전분홍색으로구매했어용 ㅎㅎ~~완죤 실용성도좋을것같구용 ㅎㅎ 아무데서나 가지고다녀도괜찮을아이인것같아용 ㅎ고고싱에선정말이쁜게많은것같아용 ㅎㅎ
petl**|괜찮네요기대보단별로네요쫌싸구려같아요그래도이뻐요흰색인데 추천해요
fp06**|힝힝 나름 이쁘네요이뻐서 좋았어요!! 나름 나염도 들어가있고근데 입으면 허벅지 부분이 너무 들어나서 ㅠㅠ그거때문에 별하나 빼요
fp06**|블루 샀어요워싱냄새? 아무튼 냄새 완전 심해요 ㅠㅠㅠㅠㅠ블루로 샀는데....모델언냐가 아니라서 모델언냐 처럼 저런 핏은 기대도 안했지만쫌 커요 (156이에요!!)ㅠㅠㅠㅠ 너무 후줄근해 보인다고 해야하나요...블루도 사진속 블루 색깔이 아니라서 마음에 안들었구요 ㅠㅠㅠ그래서 별 세개 드려요.
한은별|착용후기!!!!!!!!!!!!!!!!!!!!착용해서 찍었는데 완전 이쁘구요!!!!!!!!!!!!!!!!!!!!!!!!!!저 두개 샀는데 더 사고싶음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅋㅋ눈 완전커보여서 진짜좋아요 ㅋㅋㅋㅋㅋㅋㅋ다들 사도 후회안할제품?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ막이래 ㅋㅋㅋㅋㅋㅋ
권은희|이뻐요기대 그이상 고고아이 :)체험단 한다는데,, 체험단까지 기다릴 자신이 없ㅇㅓ서 급한 마음에 먼저 질렀어요~ ㅎ평소에 렌즈 매니아라,보관함이랑 리뉴 같은건 다있어서요 렌즈만 구매 하기 있더라구요 그래서 그걸로 저렴하게 샀구요상품후기가 ,,, 여기에 남겨지네요???;;그래서 여기에다 남겨요 ㅋㅋ배송: ★★★★★ 말할것도 없이 엄청 빨랐구요 ,,품질 ★★★★★ 보통 그이상? 정도 되는것 같아요 처음에는 차던 렌즈랑 달라서 조금 눈과 다른 느낌이 들었는데리뉴로 다시 세척후 착용하니까 딱 맞아요 .훌라현상같은건 찾아볼수 없구요,,,타 사이트에서 저렴하게 파는거 누가 상품후기 ㅋ훌라현상이 있어서 눈이 숨을 쉴수 있어서 좋아요~~ 이렇게 남겨놨던데 ㅋㅋㅋ 훌라현상이 과연좋을까요?? ,,,,,,, 아무튼 이건 훌라현상없구요디자인 ★★★★★ 너무 튀지않는 컬러라 자연스럽고,, 제가 갈색빛이 약간 도는 눈이라 제눈에 이쁜 렌즈인걸 알고 바로 구매했어요^^ 케이스 이뻐욤가격 ★★★★ 약간은 비싸죠,.. 샌드위치 공법?? 이라 렌즈 사이에 염료를 넣었다죠?,, 눈을 위해,, 그런거 감안하면적당한 가격이라 생각해요 ㅋ 가격은 후회안함사은품 ★★★★★ 빵빵하네요 ㅋㅋ 렌즈시켰는데 화장품 샘플도 3개나 주고,,, 쿠폰도 주고 근데 전 파일다운 쿠폰은 잘안쓰는뎁 ,,, 어쨌든,, 화장품은 고맙~ 렌즈 보존액이랑 렌즈 케이스는 ,,, 렌즈만 구매했으니까 없는거 당연하고요 ^^ 그런데 집게랑,, 렌즈보관함은 주셨더라구요 ,, 감사 ㅎㅎ음,,이렇게 해서 평점 100점 만점에,, 90점짜리 렌즈 ^^
wngk16**|블랙후기!!ㅋㅋ블랙시켯는데 화면이랑 똑같고 이뻐요!!그리고 가죽도 엄청부드러워요...근데 가죽냄새가 쫌나네요~ㅠㅠ베란다에 몇일 걸어노면 괜차나 지겟죠뭐......냄새 빼곤 진짜 만족!!!!!ㅋㅋㅋㅋ
ygh**|[스카이] 후기:)8월5일에주문해서, 8월 21일쯤에받았습니다 -0-배송휴가시즌에 주문해서그런지 배송은 정말 느렸어요상품은 잘왔습니다.시계하나밖에 주문안했는데도사은품으로 양말이랑 카드랑 무료다운쿠폰까지 주셨네요사은품이랑 상품은 정말맘에들어요 ^ㅁ^사진은 못올리지만;위에 나와있는 사진이랑 비슷해요맨위에 좀 진한 핑크색, 중간에 스카이, 밑은 밝은 노랑편안하구요 되게 이뻐요 >ㅁ<날짜,몇시몇분몇초까지 나와있구요밤에는 불켜서시간확인할수도있어요스톱워치기능도있구 좋아요 ㅎ아근데 제꺼는 뜯었을때 유리에 좀 기스가 있더라구요그래도 전체적으로 이쁘고 티나는건 아니니까요 ^-^여하튼 제가격에 잘 산거같아요배송때문에 -★했구요 상품자체는 정말 맘에들어요사은품이랑 서비스도 좋구요 ㅎ
한라냥|완젼달라보여요!!!!많이보이거든요ㅠㅠ근데 요아이꼈더니 제눈에 딱맞구요!! 동자가 커보이구요머리색이 갈색이라 갈색주문했더니 너무잘어울린데요배송도 정말 하루만에와서 다음날 바로끼고나갔어요제가 렌즈처음이라 부담스러울줄 알았는데너무이쁘고 눈에 불편함도 없네요오픈준비중인 바비펫도 기대 듬뿍 되요 ^^사은품 팩이랑 비비 ,, 화장솜 잘받았구요 팩도 좋은것 같아요
이상희|설레임슈즈!신발보자마자 귀엽당~~~~~~~~~~~~~ ㅠㅠ 뉴뉴 울었음빨간색이 있엇으면 좋았겠네 하는 아쉬움이 조금 남지만신발은 맘에드니 패스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고민말고 지르시길
dkgkdmd1**|다크브라운샀어요!다크브라운샀는데요~안하고하는건 좀작은데하고하니까 더커보이고 이쁘더라구여!!..ㅎ완전대만족!!고고싱짱이예요>_<..이번이두번째인데ㅋ감사합니닷~!!
thwjd14**|꺄-역싀♡기다린보람이잇네효!!><징짜징짜귀여워용
황효선|앙이뽀다ㅋㅋㅋㅋ블랙화이트샀는데요제가 150이거든요ㅎ ㄱ굳뎅이 거의 덮어용ㅋㅋ팔길이도 딱!!이구 핏도 오~조쿠배송은 어제 오후 1시??쯤에 주문했는데 오늘 학교갔다오니까 와있넹용ㅋㅋㅋㅋ별 다섯개★★★★★
라랑|ㅋㅋㅋ쏙드러용저한테 정말 잘어울리는 색깔인거같아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우히히히히히ㅣ히히ㅣ제가 눈이 작아서 좀더 커보이고 싶엇는데 눈도 커보이고 색도 이쁘고 별*100000000000무한마음에 쏙들어요!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이물감 없고 착용감도 좋아요 ㅋㅋㅋㅋ한쪽만 착용하고 찍었어요 ~ ㅎ
ide051**|"굳dd대ㅋ만ㅋ족ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아진짜 이거 오늘까지안오면 어뜩하지색깔은 화면하고 똑같을까?너무 크진 않을까?하고 고민 많이 했는데ㅋㅋㅋㅋ이거 보자마자 그런기분 싸악 사라짐ㅋㅋㅋㅋㅋ일단 배송은 택배아저씨가 친절해서 좋았구ㅋㅋㅋㅋㅋㅋ색깔은 화면하구 싱크로율100%구크기는 내가 원하던 정말 작지도 너무 크지도 않은 크기ㅋㅋㅋㅋㅋ진심 너무 예쁨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ그런데 단점이 딱하나 있는데 냄새가 너무 심함ㅜㅜㅜㅜㅜㅜㅜ상자에서 뜯자마자 풍기는 새거냄새ㅋㅋㅋㅋㅋㅋㅋㅋ오빠한테 이거 괜찮냐고 물어봤는데 갑자기 얼굴이 완전썩창으로 변하더니ㅋㅋㅋㅋ오빠왈 ""가방에 본드칠했냐?""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅜ쨋든 냄새만 빼면 완전 강추!!!!!!!!!!!!!!!!!!!!!!!ㅋㅋㅋㅋㅋㅋ"
youri95**|만족만족대만족(검정)정말만족하고있답니다^*^검정색으로 주문해놓고 갈색으로 살껄 하고 되게후회많이했었는데요막상 받아보니 검정색도 좋아요~가격도 요기 고고싱이 가장 저렴한거같아요 다른곳은 만오천원넘고 그러는데도 많은데요기는 목~금 엔 배송비도 안받으니까 되게저렴하게사서 더좋았어요
김민주|좋아~~~사지말라고했는데ㅋㅋㅋㅋㅋㅋㅋ엄마 몰래샀어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그런데 정말 잘산것같아요~~~~눈도 편안하고 안낀것같아요~내눈 너무 이뻐진것같아요~~히 히 히 엄마몰래 돈모아서 또살거에여~~ㅋㅋ고고싱 언니들 이쁜랜즈 많이 보여주세요 ㅎ ㅣ ㅎ ㅣㅎ ㅣ
ha**|배송짱!배송 너무 빨라서 좋았구요!받아보니 바지가 너무 이쁘네요ㅜ.ㅜ뭘살까 하다가 보고 한눈에 반했다는......받아보니 정말..역시ㅠㅠㅠㅠㅠㅠㅠ너므이뻐용
차미경|완젼이뻐여~ㅋㅋ완젼 완소템인것같아요착용감도 좋구요 음 무엇보다 제 머리가 브라운톤이라브라운으로 샀는데요 ㅎㅎ너무 잘어울리는 것같아요~ 사진으로 봤을때별루 인거같았는데 착용하니 완젼이뻐여 ㅎ친구들한테도 마니 알려줘야 겠써요~언니들 친절 전화상담도 감사하구요~
최인아|정말 예뻐요~*월요일 오후에 입금시켰는데 화요일 오후에 도착했어요24시간만에 도착,,배송 빨라서 좋았구요렌즈 박스랑 ,, 렌즈병도 핑크색 고고아이,, 깔끔하고 이뻐요~렌즈 박스안에 렌즈 보관통이랑 집게 있어요렌즈 병 딸때 가위로 은색부분을 뒤집는다는 느낌으로따시면 잘 뽑혀요ㅎㅎ10000원짜리 렌즈는 렌즈 가쪽에 투명색 테라고 해야되나 그게 너무 두꺼워서제가 끼면 투명색이 거슬렸거든요 ,,, 눈도 1~2시간 끼면 아프고 충열되고요 ㅎㅎ써클렌즈도 끼면 개눈되고ㅠㅠ근데 이건 택배 오자마자 뜯어서 껴밨는데착용한 느낌도 좋고 별다섯개 맞네요!!ㅎㅎ
ha**|맘에 쏙드는!배송 너무 빨라서 좋았어요!회색 이랑 와인 색 둘중에 고민고민 하다와인색 샀는데 너무 이쁘네용ㅎㅎ후회없는 선택!
ha**|너무맘에들어요~너무 밋밋해 보이지 않을까 걱정했는데입어보니 너무 이쁘네요ㅠ.ㅠ정말 목걸이랑 팔찌랑 코디하면 정말 이쁠듯..너무 얇아서..별한개뺏어요ㅜ.ㅜ아무튼 강추!
pow19**|완전만족!!!언제 오나계속 기다렸는데 드디어 오늘 왔어요오자마자 바로 신고 나갔죠.아근데 사이즈 딱맞게 신었는데 발이안들어가는거에요.ㅠㅠ첨에 뚜둑 하면서 뜯어지는소리도 낫다는;;;근데 좀 신고있으니깐 늘어나서그런지몰라도 좀 신기 편하네요근데 걸어다닐때 발뒤꿈치랑 엄지발가락....힘드네요 ㅠㅠㅋㅋㅋ그래도 신발 가볍구 귀엽고 맘에들어요예쁘데요><완전 대만족이에요.ㅎㅎ
gmldms31**|후기!ㅋㅋㅋ예뻐요 예뻐그냥 밑에 아무거나입어도 괜춘한듯^,~사길정말잘햇어요팔길이 긴것도 갠춘!!!잇힝
ehfkakd**|후기!사이즈가작아서교환하긴햇지만나름괜찮앗던거같아요!ㅎㅎㅎ모니터상이랑색깔이달라서별하나뺄께요!
ehfkakd**|흰색후기!라인도쩔구이쁜거같아요!추천!!!!!!!!!!!!
ehfkakd**|맘에드러요!생각햇던거보다맘에들었어요! ㅎㅎㅎㅎ
ehfkakd**|이뻐요!배송쫌늦긴햇지만예뻐서별다섯개예요!ㅋㅋㅋ
arin**|이뻐이뻐ㅋ동생한테빛진게잇어성ㅜㅜ 싼옷이나사줘야겟땅.. 하면서둘러보고있엇는데 마침!! 싸고이쁜이옷이 짜쟌~ 하고 나타나서이옷이당첨됐다능ㅋㅋ택배와서 동생님에게이옷드렸더니 좋아했어용이쁘다고ㅎ이옷사도후회없을듯ㅎㅎ
