hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
chldofl**|오잉또잉저는 글씨가 빨강색일줄알았는데 다홍색?이더라구요 ㅎㅎ그건....제가 유심히 보지 않은 죄고 ㅠㅠ옷을 폈을때 뭔가 넓고 짧다는 생각이 들었는데 입으면 이뿔것같아요 ㅎㅎ주문폭주인데도 하루만에 배송이와서 좋았구요 사은품도 맘에 들었어욯ㅎ역시 !!!고고싱♡
thddus64**|bbbㅠㅠㅠㅠㅠ으흐네이비삿는데요이뻐요절대싸보이거나그렇지안구요심플해서너무이쁜거가텨요유ㅠ그리고요기사ㅇ표꺼옷푸ㅁ질대박이에요ㅠㅠ그래서맨날시내가서도이상표만찾도다녀요ㅋㅋㅋㅋㅋ이쁘게입어야ㅑ지욤ㅇㅎ
zksvy**|...?4일만에왔어요ㅎㅎ 저 돌청들어간 스키니는 처음이였는데 나름 만족해요ㅎㅎ제가 저주받은 하비만 아니였다면;;; 여튼!! 사진이랑 똑같구 스판끼가 대박이에요완젼 편하달까? 그리구 사이즈는 정사이즈 같아요그럼 잘입을께요^ㅡ^
thddus64**|!!~ㅎ스판쩔구용그렇게많이ㄸㅜㅇ뚱하지않으시면한치수작게사시는게좋을거가탸요~ㅎㅎ저도한치수적게삿더니딱맞어요!이쁘ㅡ요~
thddus64**|ㅠ우와대박진쨔!!ㅠㅠ배송진짜빨랏어요~제가전주살아서그럴수두잇는뎅우오.. 빨간색일단목도잘안들어나게생겻구요넉넉해서박스티로입으시면진쨔이쁘실거~ㅎㅎ그리도돌청 연청 검은색 반배기 아무거나입어도진짜이뻐요ㅠㅠㅠ아무한감동이욧~별다섯개흐흐고민중이라면바로지르쎄염ㅎ
wltnre**|좋아요일단 좀 작구요뚜껑열자마자 냄새를 맡았는데사람들말대로 사과향이 정말 좋아요사길잘한거 같아요 만족해요
tofha40**|인디언 맨투맨음,,배송이너무 늦엇어요 ㅠㅠ 일주일넘게 기다린거같아요ㅠ그만큼 인기잇는거겟죠?? ㅎㅎ근데 이옷 흔한가봐요 지나가다 똑같은옷 5명봣어여(남자도잇엇다는...;;)그래도 이쁘네요 ^^오래입을꺼같아요근데 가운데 레터링이 딱딱해염ㅠ,ㅠ 불편해여그래서 별4개~
mj3**|굿굿!!!!!진짜이쁘네요...굿굿^_^*굿....말그대로굿........이쁘고~~~신축성이아주 죽여주네요..쫙쫙ㅋㅋ아주고민하지말고 그냥빨리사세요.......ㅎㅎ진짜잘산듯.......후회없습니다ㅋㅋ이쁘기도이쁘고ㅋㅋ~암튼!!!!괜찮네요~~ㅎㅎ배송도빠르고요~~~~~좋습니다!
psh28**|후기이뻐요~ㅎㅎ내목이 굵어서인가?줄이 ㅃ짧은거 같기도하고..ㅋㅋㅋ진짜 이뻐요!!은색샀는뎋ㅎ금색도 이쁠듯 담에사야짐ㅎㅎ
psh28**|비비안중지갑 연보라~완전이뻐요><><반해쬬용ㅎㅋㅎㅋ연보라색깔 약간만 더연하면 이쁠테지만그래도 이뻐욤!
