kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
ekqls87**|평소에 치마를 안입는데 할인하길래 그냥 한번 싸니까 사보자하고 샀는데 되게 만족해요ㅠㅠ 너무예뻐요 여름빼고는 다 입을 수 있을꺼같아요 고고싱옷은 항상 실망스럽지가않아요 앞으로 계속 고고싱 애용해야겠어요❤❣
glgl67**|무슨색살까 하다가 안흔할거같은 클래식카키로 구매했어용 인기많아서 늦게올줄 알았는데 이틀만에 왔습니당 도착하자마자 입어봤는데 완전 보들보들하구 여자여자하고 도톰하구 이뻐요 ㅜㅜ 리본이 따로오더라구용 리본도 제대로 못끼는 똥손임을 다시한번알게되었어요 ㅎ 팔기장이 손 가릴정도여서 접어입으면 리얼 귀엽고 이쁘고 다합니다 그리구 제가 좀마른편인데 가슴도 약간커보이는거같기도하고..ㅎㅎ 진짜 맘에들어요 ㅋㅋㅋㅋㅋ강추에여 여러분~~♡
qorkdud36**|월요일날입금하구 바로 다음날 받았어요ㅠ완전 칼배송ㅠㅠㅠㅠ처음 옷받구 되게 옷이 잘 구겨지는편이구여 ! 제가 통통한 편이라 치마살때 고민하는데이치마는 되게 잘산것 같아요 ~ 키가 164정도인데길이도 알맞고 날씬해보여요 고민하시분 꼭사세욤 !
dudgml7799**|후기에서 길다고해서 많이길줄알앗는데 생각햇던것보다 안길어요ㅋㅋㅋㅋ 키가작은데 긴코트를좋아하긴하는데 길이만족해요ㅋㅋㅋㅋㅋ 조금 부직포?? 같은느낌이 입으면 부직부직이런느낌이나긴하는데 괜찮아요!! ㅋㅋㅋㅋㅋ 저는 완전맘에들고 좋아요 얼굴환해보이고 좋아요ㅋㅋㅋㅋ
mkup90**|압착되고 모아주는 느낌이예요~어깨가 조금 아플 것 같기도하고약간 숨이 막힐 수도 있을 것 같긴하지만...원취지대로 잘 착용해보도록 할께요~
osm200**|촉감깡패!! 올리브구입했는데 네이비가 더 탐나네요..그래도 예뻐요ㅛ 단추끼고 뺄때마다 실밥에 엉키긴하는데 이정도는 감수해야죠..ㅎ 그래도 품도 적당하고 길이도 예쁘고 좋은 남방!
xoxo12**|오래 걸릴 줄 알았는데 의외로 빨리 왔어요 17일날 출고해서 다음날 바로 받았어요 후기들 보면 마감처리가 잘 안 됐다는 말이 많았는데 그런 거 없이 아주 깔끔해요 길이도 적당하고 잘 입겠습니다
mkup90**|압착되는 느낌,,,어깨가 조금 아플 것 같긴하지만 잘 착용해 보겠습니다~
ekdns09**|이거 진짜 이뻐요 안그래도 헤어밴드 하나 사야되서 딱 사고 오자마자 머리에다 해봤더니 진짜 생각의외로 진짜 너무너무 이뻐요 다른색깔로 또 사고싶어요 근데 그레이 색깔도 정말 이쁘고요 진짜 추천할게요!!
osm200**|프리인데....다 입어가는데 골반때문에 자크가 잠그기 힘들어요.... 골반있는분은 비추...저는 이거 입고 골반은 어쩔수 없으니 살을 조금만 더 빼기로 결심했어요...환불은 아깝고 조금만 노력하면 입을수 있을것같아요...
i3e**|원래 배송이 빨리 왔어야 했지만 재고가 없었으므로 늦었어요 ㅠㅠㅠ 그래도 너무 좋아요! 착용해보니 핏이 예뻤고 약간 고급스러워 보여서 좋았어요
