sru**|남색 솔직 후기!!- 키, 몸무게 161-착용사이즈-착용후느낌은?(좋은점/나쁜점)사실 저 진짜 니트같은거 특히 싼 니트는 쳐다도안보는데 인기폭발이여서 봣는데 후기랑 좋길래 하나만 사봣는데 진짜좋은거같아요....9000원도안되는 가격에는 진짜짱! 근데 너무 주문량이많다고 해서 거의 한달되서..받앗어여ㅠㅠ..그래서좀 화나긴햇는데 정말후회안해요!!흰색도 살까생각중입니당
thfk8**|예쁘긴함- 키, 몸무게 158 4x-착용사이즈 26-착용후느낌은?(좋은점/나쁜점)핏은 정말예뻐요 근데 신축성이 너무 없어서 다리 구부리기 힘들어요그리고 바지길이가 살짝짧고 먼지가 엄청 달라붙어서 테이프로 한번 없애줬어요
totory**|흰색- 키, 몸무게161/47-착용사이즈-착용후느낌은?(좋은점/나쁜점)흰색샀는데 이쁜거 같아요!ㅎㅎ흰색이 입고가 늦게되서 좀 많이 받긴했지만..ㅠㅠ목은 정말 쫀쫀하고 입고 벗을 때 조금 불편하긴 한데그렇게 힘든건 아니구요ㅎㅎ반폴라라 그런지 다른 것들보다 좀더 따듯한거같구색도 이쁘고 잘 산거 같아요:)
totory**|좋아요!- 키, 몸무게161/47-착용사이즈-착용후느낌은?(좋은점/나쁜점)저는 핑크 샀는데 진짜 이쁜 핑크인거같아요!!봄이랑 진짜 잘 어울리는ㅎㅎ2합이라서 그런지 얇기는 정말 얇아요..ㅎㅎ3합 니트가 좋아서 봄에 입으려고 샀는데 진짜 잘 산거같구분홍색 진짜 이뻐요!!ㅎㅎ
b2stgoo**|@후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)고민 많이 했는데 사기 잘한거같애요^^
rkgusg**|짱이쁨- 키, 몸무게167 5-완전 제 키랑 비슷하신분은엉덩이 거의가려지고 얇긴한데 안비춰요 가격대비짱짱인듯
yno86**|연청 27- 키, 몸무게 168/53-착용사이즈27-착용후느낌은?(좋은점/나쁜점)연청인데 생각보다 색깔은 짙어요 코팅도 잘되있고 그보다 핏감이랑 쫀쫀함이 아쥬 좋아요..❤️ 사이즈는 정사이즈로 사는걸 추천드립니당
b2stgoo**|후기후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)진짜 이뻐요~~~~ 역시 모델이 입은 색으로 사길 잘한것 같아욯ㅎㅎㅎ
b2stgoo**|후기~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)진짜 좋아요///진짜 스키니 입은 것 갔달까ㅋㅋㅋㅋㅋㅋ
hyn94**|후기- 키, 몸무게168-착용사이즈-착용후느낌은?(좋은점/나쁜점)이제 봄 되면 니트 많이 입을거 같은데그냥은 밋밋할꺼 같아서 주문했어여!근데 귀엽곸ㅋㅋ포인트도 되니 좋은거 같아용원래 같이 주문시킨 나그랑니트랑 같이 입을려고 했는데ㅠ.ㅠ 4월초에 입고 된다고 그래서 다른 니트랑 입으면서기다렷다가 입어야 될 판ㅋ큐ㅠ그래도 넥카라 자체는 이뻐용 b
kys55**|후기- 키, 몸무게 :165-착용사이즈-착용후느낌은?(좋은점/나쁜점)브라운색상샀는데 사진이랑 비슷해요!배송은 다른 쇼핑몰보다는 좀 기다렸지만이뻐요! 다들이쁘다고 햇어여ㅋㅋㅋㅋ근데 보풀이 좀 잘생기더라구요..ㅠㅠㅠㅠ그리고 지퍼가 잘안올라가여 ㅠㅠㅠㅠㅠㅠㅠ근데그냥 교환하기 귀차나서입고잇어여그래두 전체적으로 맘에들어요
hyn94**|후기용- 키, 몸무게168-착용사이즈27-착용후느낌은?(좋은점/나쁜점)찢어진건 처음 사봐서 후덜덜했는데다행히 잘 맞네옄ㅋㅋㅋ처음 입을 땐 발목 부분에서 들어가기 힘들었는데그래도 스판이랔ㅋㅋ 다행히 맞네영 !.!정사이즈로 주문했고 헤짐도 너무 이뻐요 ㅠ.ㅠ...잘입을게염
ska99**|중청 후기- 키, 몸무게168-착용사이즈L-착용후느낌은?(좋은점/나쁜점)입기 쫌 힘들었는데 예뻐서 좋아여
hyn94**|검정 후기- 키, 몸무게168-착용사이즈-착용후느낌은?(좋은점/나쁜점)스판이라 너무 쫀쫀하고 좋아여!!!기본으로 검정 샀는데 다른것도 살까 고민중이에영.키가 큰데 길이도 적당해서 좋아영다만 키 작으신 분들은 좀 길듯?ㅠㅠㅋㅋ
