momocher**|이 슬랙스가 허리가 작게 나왔다는 소식을 듣고 바로 구매했습니다☺️평소 슬랙스를 구매하면 다 허리가 커서 접어 입어야했는데 이건 진짜 제 허리에 딱 맞춘듯 너무 좋아용천국슬랙스라는 이름대로 적절한 스판끼에 착용감도 편하고 기장도 크롭기장이라 별도의 수선도 필요없어요대신 허리가 작게 나온 만큼 힙도 좀 작게 나왔네요 다른 부분들은 다 저스트로 잘 맞는데 비해 골반 쪽만 유독 딱 맞아요ㅋㅋ 끼는 정도는 아니라 스판끼가 있어서 몇 번 입으면 늘어날 거 같아 괜찮네요전 S사이즈로 구매했는데 평소 하의 44사이즈 입으시는 분들에겐 여유있는 슬랙스핏 나올거고 저처럼 하의 55사이즈 입으시는 분들에겐 슬림핏으로 예쁘게 떨어져요(165/46 평소 스키니 26사이즈 저스트로 맞아요)전 애초에 제 허리에 딱 맞는 슬림핏 슬랙스를 원했던지라 너무너무 맘에 들어요ㅋㅋㅋ대신에 약간의 불편감을 얘기하자면 구김이 잘 생겨요 그리고 스판끼가 있어 좋은데 무릎발사의 위험도 좀 따르네요 이 두 가지만 제외하면 제가 소유하고 있는 슬랙스들 중에선 최고에요ㅋㅋ품절되기 전에 다들 꼭 사세용ㅋㅋㅋ#) 두께감은 봄~초여름까지 입기 딱 좋습니다 한 여름에 입기엔 살짝 두께감 있어요
hj01**|길이도 딱맞고 크기도 괜찮은거 같아요! 실물이 더 갑입니다ㅠㅠㅠ!봄에 딱어울리는 니트 같아요ㅠㅠㅠ 멜빵으로 레이어드해서 입어도 어울려요!스트라이프인게 너무 마음에 들고 좀 마르신분들이 입으면 귀여워보일거같아요근데 팔부분이 조금 길어서 손까지 오긴 하더라구요 좀 크신분들이 입어야적당할듯해요!
dmsco06**|진짜 딱 입는순간 여리여리 청순 동시에 폭팔해요 오늘입어도 막 않춥고 봄에 는 원피스나 치마에 입으면 진짜 존예 에요 팔이 너무 마음에들어요
miff**|이쁩니당!! 옷입고 포인트줄때 좋은거같아요 ㅎㅎㅎ골지무늬가 티가많이안나는거같아도 있는거랑없는거랑은 다르네요 !!전혀밋밋하지도않고 훨씬이뻐요~~
miff**|모양도 색도 너무이뻐서 샀어요!!!근데 카키색은 처음사봐서 잘 안쓰게될까봐 한편으로걱정했는데잘만쓰고있습니다 ㅋㅋㅋㅋ색이 칙칙하지도않고 이뻐요크기도 원하던크기에요 너무작지도 크지도않은!!잘쓸게요 ㅎㅎ
miff**|상체보다 하체에 살이많은..편입니당 ㅎㅎ평소 27~28정도 입어요넘편하고좋아요!재질도 이제 날풀리는데입기좋은재질이고요 ㅎㅎ다만 바지뒤이달린 택?이 따갑네요ㅠ.ㅠ그점만아니면!! 이가격에 좋은바지산거같아요 ㅎㅎㅎ잘입겠습니당
miff**|목이 길어서 좋아요!! 그리고 잘 안늘어날것같이생겼어요 ㅋㅋㅋㅋ골지무늬인게 은근이뻐요 ㅎㅎ아무무늬없는것보다요~가격도싸게잘샀습니당ㅎㅎ잘신을게요
eanm**|완전 내가 좋아하는핏 댓글보고 크게나왓다그래서 s시켰는데 진짜 딱이였어요 진짜 짱ㅎㅎㅎㅎ 아너무이뻐 ㅜㅜ봄느낌이야 ㅜㅜㅜ너무이뻐여 ㅜㅜㅜ
fullmoon98**|베이직한 느씸의 스코트가 필요했는데 잘 산것같아요! 편하고 어떤옷이랑 입어도 잘어울려요! 면이라서 좀 구김이 있기는 하지만 그거빼고는 아직 단점을 찾지 못했어요!
fullmoon98**|하늘하늘한 느낌이예요. 겉에다가 청자켓을입어도 얘쁘고 가디건을입어도 얘쁘고 니트조끼입으면 더예뻐요!! 추천
