tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
oqldr**|흐음 생각했던것보다 훨씬 길었어요 제 키가 164인데 무릎위 3센치 느낌? 생각보다 진짜 길더라구요 ㅋㅋ 그리고 소재가 조금 얇아가지고 봄날에 입기 좋을거같아요 가을엔 입으면 추울느낌 그리고 이 원피스 위에는 아무것도 안입는게 더 예쁜거같고 입어봤자 가디건 입는게 좋을거 같아요
oqldr**|생각했던거 보다 색상이 탁해서 살짝 흠칫했지만 그렇게 탁하진 않은거 같아요. 통이 조금 넓어서 잘못입으면 조금 부해보일수도 있으니깐 잘 입어야할거 같아요 ㅋㅋㅋ 그리고 이거 끈이 조금 흘러내리는 느낌이 살짝있는데 가격생각해서 그러면 무난한거 같아요
jessica98**|단독으로 입기에도 괜찮고 안에 받쳐입고 입기에도 괜찮고 전반적으로 예쁜것 같아요. 핏도 평소에 박시한걸 좋아하는 저에게는 너무 마음에 들었습니다ㅎㅎ이쁘게 잘 입고 다닐께요!
skbur1**|예뻐요 가격대비 짱!!! 무난하면서도 저렴해서 좋아요 ㅎㅎㅎ 머스타드색샀는데 애들이 다 예쁘대요~~~ 제가 봐도 그런듯해요~~^^ 전에 50자 안넘겨서 적립금 못받았는데 다시 적습니다 주세요!
5817702**|기본으로 딱 좋아요. 깔끔하구요. 대신 스판끼가 정말 없어서 입을때 너무 힘들지만 입고나면 살을 꽉 잡아주는 거 같아요. 아쉬운 점은 오늘 여기서 같이 산 가방이랑 같이 코디하고 나갔는데 가방에 이염됬어요..
skbur1**|완전 예뻐요!!!가격대비 짱짱맨이에요~~~가격이 조금만 저렴했으면 하는 맘도 있지만그래도 추천합니다~~~ 전에 50자 안넘겨서적립금이 안들어왔네요 다시 적을테니 꼭 주세요^^*
skbur1**|아직 안신어봤지만~~ 좋은것같아요다른 사이트랑 같은 신발인데 가격차이가 심하더라구요가격대비 짱짱맨~~♡♡♡♡♡꼭 구매하셰용♡♡♡이건 진짜 안사면 후회하십니다~~~^^*
skbur1**|앗 라임은 실수였어요 ㅠㅠ검정색이랑 같이 샀는데 집앞 시장갈때나 입어야할듯해요약간 할미색? 칙칙한 느낌이라 추천은 안드릴게요근데 옷라인은 좋아여
skbur1**|생각보다 많이 파여있고 좀 큽니다다행히 냄새는 안나지만 좀 얇아요~~~근데 안에 그냥 입기에는 나뿌지않아요한개쯤 마련하시는것도..^^;;
skbur1**|목부분이 조금 작은느낌이에요안에 셔츠랑 같이 입어서 그런가 좀 그렇네요근데 이 가격이면 뭐 그냥 입어야쥬전체적인 비쥬얼은 나쀼지않습니다아~~~
skbur1**|한개 더 구매하려고 들어왔다가 ㅎㅎ 리뷰적어요s살까 m살까 고민하다가 s구매했는데진짜 날씬해보이고 좋네요 다만 처음 왔을때냄새나서 세탁기 돌렸더니 물이빠져서같이 돌린 잠옷이 ... ㅠㅠ 무튼 옷은 만족!
elenak**|색상을 여러개 고민하다 결국 눈에 가장 먼저 띄었던 핑크야로우를 주문했어요!!시골집에 어울릴만한 색이 오면 어쩌나 걱정했는데..색감 진짜 넘나 예뻐요 ㅜㅜ!!그리고 목 주변의 레이스 때문에 더 여성여성하고 봄봄한 느낌이 강조되는것 같아요~청바지랑도 괜찮고 저는 청치마나 흰색 반바지랑도 코디했는데 모두 너무 잘 어울렸어요!!
1789360058052412**|처음에 청자캣이 딱 배송이 와서 입어봤을때 핏이 약간 커서 놀랐는데 소매를 모델님 사진처럼 접고나니까 너무 이쁘더라구요! 그리고 치마나 바지 아무 옷에다 입어도 잘어울려서 너무 좋았어요 잘 입을게용 감사합니다~
jessica98**|하체가 뚱뚱한 편이라 와이드팬츠를 자주 즐겨입는 편인데요. 허벅지 때문에 L사이즈로 샀는데 한 치수 작은 M을 샀어도 괜찮았을듯 싶네요. 허벅지도 충분히 남고 좋은데 아무래도 L이여서 그런지 밑단쪽이 제가 생각했던것 보다 너무 크네요ㅠㅠ(사진상으로는 별로 안커보이지만) 어쨌든 잘 입겠습니다!
elenak**|키가 165cm인데 후기에 제 키정도 되시는 분들이 많이 없어서 기장때문에 많이 고민을 했는데.. 그래도 후기도 좋고 원피스가 예뻐서 결국 구매 했어요!걱정했던대로 기장이 살짝 짧긴 하지만 못입을 정도는 아니었구요!다만 앞 전체가 단추로 되어있어 치마 밑단이 벌어지면 너무 짧아지기 때문에 저는 재일 아래 부분을 살짝 바느질 해서 입고 있어요!마른편이여서 그냥 입으면 살짝 부해보이지만 허리끈을 사용하면 너무 예쁜핏이 나온답니다!디자인자체도 너무 예뻐서 아이보리 니트나 가디건과 함께 코디해도 너무 예뻐요!!키 큰 분들도 예쁘지만 160cm이하인 분들에게 더더 잘 어울릴갓 같은 원피스랍니다 :)
go32**|베이지색인데 약간연핑크색이지만 색깔도이쁘고 옷이너무예뻐서 맘에들어요 근데 단추단실이 약해서 떨어질까봐 걱정되네요 많이입고다니겟습니당
audqh30**|생각보다 실망이커요 재질자체가 제가 입고다니는 맨투맨 재질이아니라 완전 얇아요 안에 나시를 입고 맨투맨을 입었는데도 무슨 속옷입었는지 다보이네요 그래도 목에 달포인트가 이뻐서 샀어요 이너로 입기에는 좋습니다 다만 이것만 입기에는 무리가...
1789360058052412**|처음에는 사이즈가 작거나 클까봐 되게되게 걱정을 되게 많이 했는데 딱 맞아서 너무좋았고 길이도 적당하고 진짜 이뻐요♡ 잘 입겠습니당
audqh30**|박시합니다 저번에 타이트한거 샀다가 반품하고 박시한걸로 샀는데 너무 박시해요 팔부분이 조금만 작아지면 완벽할거같아요 그래도 이뻐요 유용하게 입고있습니다 라이더 하나쯤은 가지고 있는게 좋은거같아요 없으신분들 이번기회에 장만 기기
audqh30**|저한텐 딱맞아요 살짝 헐렁하게 입고싶은감은 없지않아 있었지만 좋아용 베이지색 샀는데 입자마자 봄이 왔다는걸 말해주는 느낌이에요 여자여자스러운거 사고싶어서 샀는데 확실히 옷은 여자여자스럽네요 제가 아니여서 문제가 됐지만 봄되면 한번 입고 나갈거에요~~
qkqh70**|아진짜로 후회하나도 안해요 너무이뻐요 제가 딱 원하는 핏이고 길이도 적당해요!!제가 158인데 엉덩이도 가려주고 예뻐요 색하고 디자인 너무이뻐요
elenak**|기본으로 입기 너무 좋은 니트인것 같아요 :)청바지나 검은 스키니와 함께 입으면 예쁘고 무난하게 입을 수 있구요!!저는 고고싱에서 파는 원피스랑도 같이 입었는데 너무 예뻤어요~제가 마른편이라서 옷을 잘못입으면 헐렁헐렁 해 보이는 니트가 많은데 이건 그렇지 않아 너무 좋았네요!!코트나 자켓 등과 코디하기도 너무 쉬워서 요즘 정말 많이 입고 다니고 있어어요!!데일리하게 입을 니트를 원하신다면 완전 강추합니다!!!
audqh30**|오늘 학교갈때 입고 나갔습니다 무난하게 좋아요 제질도 제가 딱 좋아하는 빳빳한? 그런 재질 생각한대로여서 맘에들어요 검은색도 이쁜데 흰색도 탐나네요 흰색은 봄에 입기 딱 좋을듯 검은색은 아무데나 입어도 이쁩니당 포켓옆에 빨간 라벨 포인트 짱
86334176**|배송은 빨랐어요 모자 달려 있는게 독특해보여서 구매하게 되었어요 가격대비 약간 아쉬운 점은 번쩍거리는 소재라는 점이 아쉽네요 팔은 길고 기장은 적당하고 얇아서 봄에 입기 좋아요 꾸밀때 말고 후리하게 입을때 입으면 좋을 꺼 같아요
audqh30**|제가 이번에 산 옷들중에 제일 맘에 듭니다 리본 완전 여리여리해보여요 나중에 날씨 풀리면 겉옷없이 입을거에요 진짜 인생템입니다 너무 이뻐요 근데 리본밑에 파인거 신경써야해요 잘못하면 다보여요 그래도 이쁘니까 자주입을게용 벌써 자주입고있어욯ㅎㅎㅎ
elenak**|고고싱에서 이번에 옷 4개나 구입했는데요~그중에 이 가디건이 가장 마음에 들어요^^!!흰색이 부담스러워서 고민을 많이 했는데 고민한 시간이 아까울 만큼 예쁘네요!!핏은 모델분이 입은것처럼 많이 박시한 핏이구요!소매를 크게 접어서 입으면 훨씬 더 귀엽게 입을수 있어요 :)제 키가 165인데 엉덩이 반(?)정도 오는 기장이구요!저보다 키 작으신분들이 입으면 훨씬 더 귀여우실것 같아요~색상이나 어깨라인 떨어지는 것때문에 스키니와 함께 입으면 여리여리~ 한 여성 느낌도 낼 수 있었어요ㅋㅋ!!!어째든 저는 완전 만족스럽습니다!!
minhee55**|편안하게 입을수있어서 좋구요 근데 사진에서 보기와 다르게 진짜 엄청크더라구요 그래도잘입고있지만요...이정도가격선이면!!! 저한텐뭐 감사히잘입겠습니다♡
m0928hy**|이거 진ㅊㅏ이쁘구 ㅈ여리여리해보여요 꼭 사보세요! 진짜마르신분들 되게 여리여리하게 잘어울릴거같아요!!!!!고고시 역시 최고에용 검정색 별로일줄알았는데이뻐용
ds**|처음에 받고 생각보다 두툼해서 좋았어요 피팅용으로 더 저렴하게 구입하고 평소에 이런 니트 갖고싶었는데 다행히 싼 가격에 올라와서 좋았어요
audqh30**|검은기본티에 입을라고 샀는데 맘에들어요 ㅠ 뷔스티에 첫 도전에 무난한거 하나 샀는데 성공적이에요 이것만 입어도 신경쓴듯 안쓴듯 이쁩니다ㅜㅜㅜ 뷔스티에 사랑해요 자주 입을거같아요 고민하시는분들 없겠지만 혹시 있다면 당장 구매하세요
ds**|생각보다 얇아요! 그런데 색깔이랑 가격은 너무 마음에 들어요 나중에 더 날씨가 풀리면 많이 입을것 같고 단추가 귀여워요ㅠ
ds**|단가라 티 구입할려고 했는데 목폴라라서 그런지 따뜻하고 안에 입기도 좋은것 같아요 봄에는 이거 한장만 입어도 될 것 같아요!
audqh30**|생각보다 바지가 짧아요 키크신분들은 한번더 생각해보시길 추천합니다 밑단 잘린건 되게 자연스럽고 이뻐요 길이가 조금 아쉽긴 하지만 그래도 이쁘니까 잘입을게용 아 무엇보다 스판 쩔어요 진심 레깅스처럼 쭉쭉 늘어나고 대박 편해요 잘입을게용
minhee55**|바지완전이퍼요 무난함 굿!!! 다음에 또사려구요 다리가얇아보이기카지해서 완전좋아요ㅎㅎㅎ 근데 바지가 조금안더길엏으면좋겠는 바램이...ㅎㅎ
