tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
sjk0721**|초록색하나사고싶어서 고민하던중 고고싱에 신상떠서 바로 찜해두고 기다리고있었어용헤헤헤 너무예쁘구 맘에듭니다짱짱!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
sjk0721**|기본티가 없어서 샀는데 너무예쁜거 말이됩니까ㅜㅠㅠㅠㅠ 비침심할까봐 걱정했는데 거의업ㄱ어욬ㅋㅋㅋㅋㅋㅋ 짱좋아!!! 역시믿고사는고고쓍
goazhd**|같이 산니트랑 입어봤는데 완전 꿀조합이네요!ㅎㅎㅎ다른 상의랑 입어도 다 잘어울릴것같고 말그대로 쫀쫀해요. 다른스키니는 너무 딱 붙어서 벗고나면 쉬원하다 생각들정도로 답답한 감이 있는데 이건 그렇지않네요. 발목도 살짝여유있어서 입고벗을때 편해요
sh64**|진짜 엄청 기대 했는데 기대 한만큼 이뻐요 !!배송도 이틀만에 왔어요 !!!좀 만 더 따뜻해 지면 입고 다닐거에요 ㅎㅎㅎ다만 저는 키가 작아서 좀 기네요 ㅠㅠ
sh64**|옷 진짜 이뻐요 !!!옷 재질도 좋고 아무 옷이나 잘 어울려서 밖에 나갈 때 편하게 입기 좋아요 !또 따뜻해서 이것만 입고 다녀도 괜찮아요마음에 듭니다!!
65757290**|완전 편하고 좋네요
goazhd**|가격도 완전착하고!! 봄에 입기 딱@@좋을것같아서 바로구매했어요ㅎㅎ받아보니 적당한 두께랑 길이도 괜찮네요ㅎ한번빨고나니 맨살에 입어도 따끔하거나 한것도 없어요! 나중에 다른색도 하나더 사야겠단 생각이드네용ㅎㅎㅎ가을에 입어도 너무 이쁠것같은 아이에요!
65757290**|스판이있어 편하고얍아서 여름까지입어도 손색없네요 ㅋㅋㅋ
zxc43**|라이더자켓 찾고잇엇눈데 가격도 제일 싸고 길이도 적당해서 고고싱에서 사게됐어요!!!! 골반 정도에 딸 걸쳐서 넘 예쁘고 좋은거 같아요 생각보다 얇아서 지금부터 긴팔입을 수 잇는 계절까지 쭉 입으려구옇ㅎㅎ 22일이 입고 예정일인쥴 알앗는데 24일이라고 해서 배송은 좀 기다렷지만 그만큼 좋고 기대 많이 햇네요 ㅎㅎㅎㅎㅎ 고민하지마시구 다들 사시길~~~~
wldwldg**|움짤처럼 바지 정말 잘 늘어나요ㅋㅋㅋ신축성이 좋은 바지라 입으면 정말 편하고 좋아요!그리고 배송도 엄청 빨리 왔어요~~~
parksulbi**|이거말구 다른것도 하나 샀는데 부분배송왓네요ㅠㅠㅠ암튼!! 입어봤는데 완전 편하고 허리도 딱 맞고 이뻐요!!스판 굳굳!!! 그리고 길이가 조금 짧은데 이미 예상하고 있어서 갠찮아옇ㅎㅎㅎ잘입을게용~~~~~
wldwldg**|집 앞에 나갈때 바지 찾았는데ㅋㅋㅋ이 바지 너무 좋아요! 펑퍼짐하지도 않고,가격도 착해서 좋아요! 그리고 배송도 빨랐어요~
wldwldg**|반지는 사진으로 보기에 이뻐서 구매했는데실제로 봐도 너무 이뻐요! 그리고 컷팅도 다양하고색상도 여러가지라 너무 좋아요ㅠㅠ 그리고 배송도 엄청 빨랐어요!
wldwldg**|배송이 엄청 빨라서 좋았어요!!그리고 무난한 티를 찾고 있었는데 가격도 착하고질도 그냥 면티가 아니라 더 좋은 제품 같아요~~
wldwldg**|무난한 티가 필요해서 구매했는데, 배송도 빠르고 가격도 너무 착한거 같아요!그리고 질도 그냥 면이 아니라 조금은 달라서 좋아요~
min7**|면티가 아니라 냉장고 바지?같은 재질이라서여름에 입어도 시원할 거 같아요.기본 무난한 티에요.소매가 긴게 마음에 들어요.
wldwldg**|양말가격이 너무 싸고 좋아요!!!!배송도 빨리왔어요ㅋㅋㅋ 블랙은 무난한 색상이라 어느 옷에나 잘 어울릴 거 같아요~~
min7**|어.. 상품을 자세히 안봐서 그런지가오리핏인걸 받고 나서야 알았어요.일자핏을 좋아하는데ㅠㅠ제 실수이니 감안하고.. 색이나 디자인 자체는 예뻐요.그냥 입는 거 보다 걸치듯이? 입는게 더 예쁜 듯해요.
wldwldg**|배송이 빨라서 고고싱 너무 좋아요!양말도 색도 촌스러운 그레이가 아니라 어느 옷에나 잘 어울릴거 같아요ㅎㅎㅎ그리고 양말 가격 너무 싸고 좋아요!
wkg**|처음에 입었을때 어깨 부분이 커보였는데 나중에는 괜찮아보였어요! 팔 부분은 길어서 접고 있었구요~ 먼지가 잘 붙는 재질인거 같지만 전 만족합니다!
wldwldg**|양말 너무 이뻐요ㅎㅎㅎ배송도 빨리 왔고, 색상은 무난한 색상으로 샀는데요,촌스럽지도 않은 오트밀 색이라 좋아요ㅎㅎㅎ
min7**|처음엔 안 맞으면 어쩔까 했는데..넉넉하게 잘 맞아요.제가 보통 27입는데 사이즈 참고 하세요.밑단에 프릴이 상큼하게 보이게 해요.
wldwldg**|배송도 빠르고 좋아요!!재질도 면보다는 시원한 재질이라여름에 시원할거 같아요ㅎㅎㅎ길이도 많이 길지 않아서 바지 속이나 치마 속에 넣기 좋아요~
min7**|청바지가 커서 벨트하려고 샀는데예뻐서 그냥 코디로도 자주 할 거 같아요.기본 무난한 벨트인데, 그래서 오히려 여러 옷에 다 잘어울려서 좋아요.
ysys3**|첫 슬랙스라서 걱정했는데 잘 샀어요!진짜 딱 제사이즈... 힙이랑 허벅지가 좀 굵은편이라 바지를 사면 항상 허리가 남았는데 진짜 딱! 맞아서 놀랬어요..품도 적당히 널널하고 모양도 이쁘네용 사진으로 봤을때 살짝 부츠컷인줄 알았는데 실물은 그런느낌이 전혀 안나네요!생각보다 스판기가 막 짱짱하진 않아요. 근데 편하긴 편해요~막 입고다닐수있을것 같은 느낌재질은 부들부들해서 좋고! 딱 봄, 가을용 두께인거같아요. 여름에 입긴 덥고 겨울에 입긴 추울것같네요. 근데 먼지가 좀 많이 묻을거같은..ㅋㅋㅋㅋㅋㅋㅋ 위에티도 고고싱에서 산거에요! ㅋㅋㅋ 저렇게 기본 맨투맨부터 셔츠, 블라우스까지 어떤 상의랑도 잘 매치할 수 있을 것 같네용! 잘입겠습니다^0^
wlgp19**|이건 정말 짱입니다, 올자수여서 진짜 퀄리티대박ㅠㅠ 처음나왓을때부터 사려고하다가 이번에 샀는데 정말후회안합니당 꼭사세요 정말사세요 진짜사세요
ysys3**|딱! 귀여운 기본 맨투맨이에요~요즘 유행대로 소매가 좀 넒고, 길고, 품이 크고..사진처럼 프린팅된 글씨 색깔이 예뻐서 좋았어요. 밋밋한 흰색에 딱 적당하게 포인트가 되는듯!재질은 좀 얇은데 막 비치진 않아요. 보통의 흰티 정도..? 속옷 실루엣이 살짝 드러나고, 짙은색 속옷을 입으면 좀 색이 비칠것 같은 정도에요. 기본 맨투맨으로 잘 입고 다닐것 같네용!
wlgp19**|발목부분이 너무 짧은아이ㅠㅠ 발목이 너무 훤히 보여서 주위에서 바지 작은거아니냐고 물어봐용,,그래도 바지는 쫀쫀하게 잘 늘어납니당 ㅠㅠ
wlgp19**|무난해요 옷재질이 정말 조금 특이하긴한데 안에 검은 목폴라??같은거 입고 목걸이하며 짱이뿝니다ㅜㅜ 사길잘한거같아용 아이보리 완전추천함다
eghan**|색깔은약간탁한분홍으로맘에드는데생각외로옷이좀짧아요아래바지입으면앞쪽이그자크잠그는것보다위에있어요그래도잘챙겨입을것같아요
bed3**|소라색 기분 좋은 날 가디건 구입했습니다~~~~옷이름처럼 기분 좋은 옷이에요 ㅎㅎㅎㅇ소매가 포인트인것 같아요 ㅎㅎ소매 포인트랑 진주 단추가 매우매우 예뻐요~~그리고 매우 부드럽고 포근해요! 나중에 보푸라기는 일어날 거 같기도 한데 현재까지는 너무너무 부드럽고 포근하고 만족스러워요~~~배송기다려서ㅠ받은 보람이 있어요^^
gmlwns46**|컬러는 너무 예쁜데 제 키에는 조금 짧네요ㅠㅠㅠ 그래도 치마나 롱한 기장의 아우터를 입으면 티 안나서 자주 입고 있어요!!
gmlwns46**|통통한데도 널널하게 잘 맞았어요! 청자켓이나 라이더 안에 입으면 이뻐요 ㅎㅎㅎㅎ싼맛에 산거였는데 잘 샀습니다!!ㅎㅎ
atectr**|하늘하늘하고 너무 예뻐요 ㅠ ㅠ 걸을 때마다 우아하게 펼쳐지고 ㅋㅋ 천 느낌이 정말 좋네요! 속치마도 무릎정도로 와서 적당한 길이라 만족스럽습니다. 예쁘게 잘 입을게요!
110746115**|굿
gbtjs92**|쨍한 레드~ 가디건 !!!처음 보자마자 색깔에 반해서 망설임 없이 구매했어요실제로 받았을 때 색깔이 더 예뻐요크기는 넉넉한 가디건은 아니지만 봄에 가볍게 입기 좋은^.^*
gbtjs92**|화이트 기본 긴발티는 필수템!길이도 크기도 맘에 들고 비침도 덜하고어느옷이든 다 받쳐입을 수 있는 만능 화이트 긴팔티 ㅋㅋ엄청 자주 입을듯해요
gbtjs92**|기본 블랙티가 필요해서 보던 중에 가격도 착하고후기도 좋아서 구매했어요!일단 소재가 맘에 들었구, 금방 늘어나거나 그런 걱정은 없어요가격대비 굳굳
gbtjs92**|라임색깔 니트는 보자마자 한눈에 반해버려서 구매했어요 ㅋㅋㅋ저거 입을 때마다 사람들이 예쁘다고 합니다루즈핏이여서 아방이지만 그만큼 여리한 느낌도 있어요
gbtjs92**|색상보고 반해서 구매했어요!!ㅎㅎ채크남방 눈여겨 보다가 바로 장바구니로~검은치마나, 청치마에 넣어서 입어도 예뻐요!!모델처럼 흰티입고 걸쳐입어도 예쁩니다
qhdms99**|☆포토후기 1등!!☆ 기본템으로 하나쯤 가지고있기 좋을 것 같아서 구매했어요! 생각보다 많이 얇더라구요! 근데 나쁘지 않아요ㅎㅎ 그리구 좀 작아 보였는데 입었더니 괜찮더라구용ㅎㅎ 날씨 더 따뜻해지면 봄코트 안에다가 입기 좋을 것 같아요~~ 자주 입을 것 같은 기본템 입니당!! 그런데 체구가 좀 크시거나 그런 분들은 좀 작으실 수도 있을 것 같아요!! 참고하세용~
youngja00**|아무대나 코디하기 좋으네요~ 아직 추워서 안에다가 입고 있지만 날씨좋은날에 입으면 깔끔하게 괜찮을듯합니다 색깔별로 3장 샀어요 가격도 굿!!
owo1**|이거 엄청 편하고 너무 귀여워요...끙_끙♥♥신발이 엄청 푹신푹신해서 무리없이 신고 다닐수 있을거 같아요ㅎㅎㅎㅎ바지 치마 다 어울려ㅕ요!!!
100655309**|약간 허리가 끼는감이 있지만 살빼야죠,, 오자마자 색감이너무 이뻐서 놀랐답니당 핏도 딱 떨어지고 진짜 너무 이쁨ㅜㅜ꼭사세요ㅜㅜㅜ 후회없답니당ㅇ
owo1**|너무 귀엽고 예쁩니다..!!!!크기도 적당하고 손이 자주갈거 같아요ㅎㅎㅎㅎ가격도 좋고 품질도 좋네요!! 잘쓸게요♥♥♥♥
leegr40**|학교다니면서 책넣고다니려고 샀는데 딱이에요ㅜㅜㅜ 책많이넣어도 공간있고 디자인도 이쁘고 완전 혜자템! 아이보리라서 약간 떼탈거 같긴한데 빨면되죠! ㅎㅎ
as640640**|저만 물 빠짐 있는 건가요..? 이거 입고 아이보리색 가방을 맸는데 가방에 물빠짐ㅠㅠㅠ 이거 꼭 한 번 빨아서 입으세요 그리고 옷 마무리가 되게 별로예요.. 실밥도 나와있고... 하지만 옷 자체는 예뻐오!!
psg16**|그냥 바지에 아무렇게나 입기 좋은 무지 흰티에요 깔끔하게 떨어지는 핏이여서 아무에게나 잘 어울릴듯 저는 청바지를 자주 입어서 흰색으로 샀는데 이쁘네요
psg16**|생각보다 널널하네요 그냥 안에 무지 흰티 입고 입어도 이쁘고 나시에 가디건만 입어도 이뻐요 사진이랑 실물이랑 비슷하네요
as640640**|기본 면티인데 팔 부분이 너무 매력적이라서 샀어요! 원피스에 입으면 정말 예쁜데 생각보다 목 부분이 너무 잘 늘어나요ㅠㅠㅠ 그리고 먼지도 너무 잘붙어염...
psg16**|사이즈가 생각보다 작네요 ㅎㅎ 간단하게 들고 다니기 편할거 같아요 알바다닐때 가방에 적당하게 짐 들고 가기 편해서 좋아요
as640640**|기본 면티인데 팔 부분이 너무 매력적이라서 샀어요! 원피스에 입으면 정말 예쁜데 생각보다 목 부분이 너무 잘 늘어나요ㅠㅠㅠ
1702207150048004**|배송도 일찍 오고 가방도 넘 이뻐용 생각했던 것보다 가방이 커서 당황했지만 수납공간도 널널하고 오히려 더 잘샀다고 생각했어요 이런가격에 이정도 컬리티면 엄청 좋은것 같네요 자주 쇼핑몰을 이용해야겠다는 생각이 들었습니다^^
as640640**|가격대비 질 진짜 괜찮아요ㅠㅠ 몇 번 입었다고 목 늘어진 재질도 아니고 색도 예쁩니다... 가격 맞춰서 산 거 치곤 너무 잘사서 벽치면서 우는중..
36662812**|옷색이 사진색상과 동일하고근데 소매가 좀길어서 저는 한번접어서 입어요!! 가디간길이가 엉덩이 윗부분까지와서핏도 예쁘고 입으면 너무 예뻐요!!
hn237**|포토후기 1등!!좀 고민하다가 그냥 질러버렷는데요 ㅎㅎㅎㅎ 일단 두께감은 얇아요!봄 니트에요 딱! 이것도뭐 ㅎㅎㅎ 무난하게 입기 좋은거같아요잘입고 다닐게요 만족합니다!
tnals39**|산지는좀오래됬지만 최근에입어서 지금올려요 배송은일단 좀늦게왔고요 재질은 보들보들 하고 리본줄은좀 긴거같아요 전체적으로밨을때 여리여리하니 예뻐요
hn237**|청자켓 정말 사고싶었는데 어깨가 넓은편이라 어깨깡패될까바 입어보고 사고싶어서 인터넷으로 못사구오프라인에선 맘에드는게 없어서 못사구있다가이번에 고고싱에서 질러버렷는데요!! 전 너무 만족합니당사진이 색은 좀 다르게나온거같아요ㅋㅋㅋㅋㅋ정말 커요 박시해요!오히려 어때선이 완전아래까지ㅜ내려와잇어서ㅠ어깨도 안넓어보이고 ㅎㅎ엉덩이도 덮여서 너무좋네요ㅜㅠ 근데 소매도 너무길어요접어입어야항거같아요 냄새가 좀 나는데 걸어둿다가 냄새빠지면 입고나가려구요!
hsy967**|멜빵 바지랑 같이 입었는데 귀엽다고 잘 어울린다고 하네요~~ 핏도 이쁘고 정말 마음에 들어요 날이 더 따뜻해지면 바지하나랑 코디해도 손색이 없을정도로 이쁘고 마음에들어요!! 강추에요 정말
hyeonji6**|방이 너무 더러워서 색칠한건 양해부탁드려요ㅠㅠ네이비랑 아이보리 다 구매했는데 둘 다 괜찮아요ㅋㅋㅋ바지보다는 치마랑 입었을때가 더 예쁜거같구요밑에 그냥 기본 까만치마만 있어도 둘 다 어울려요스판끼가 없어서 입을때 리본 풀었다 맸다 해야 하는건 좀 불편하지만 니트안에도 입을수있고 좋아요^^
newstar**|이뻐용ㅋㅋㅋㅋㅋㅋ 옷핏이 좀더 컸으면 좋았겠지만 나름 만족스러워용ㅋㅋㅋ 여름에도 입기 좋을것 같궁ㅋㅋㅋㅋ 이쁘게 입을께욤ㅎㅎㅎ
newstar**|그냥 깔끔하고 포인트로 해주기도 적당하고 괜찮은거 같아요ㅋㅋㅋㅋㅋ 그래도 싼티가 나긴하더라구요ㅠㅠㅠ 한번찼는데 자국같은거도 좀 많이나고 그래도 그냥싼맛에 괜찮게쓸거같네용~
newstar**|밝은 노란색 계열을 생각했는데 좀 어둡고 핏도 넉넉할 줄 알았는데 좀 아쉬워요ㅠㅠㅠ 원래 이런 옷이였는데 티 몇개 구매하느라 그냥 막샀더니 그런가바염 그래도 옷 자체는 이뻐옄ㅋㅋㅋㅋㅋㅋㅋ
sinhye1**|옷 딱 뜯었을때 원래 아이보리느낌 날 줄 알았는데 베이지느낌이 더 강해서 놀랬어용 사진으로 봤을땐 되게 아이보리색같았었는뎅 그래도 베이지느낌이 나도 옷자체가 이뻐서 만족했습니당~ 후기보니까 정전기가 심하다는 말이 많았는데 저는 그렇게 많이 느끼지 못했습니당 옷 넘나 이뻐용 고민하시는분들 꼭 사세요!ㅎㅎ
newstar**|그냥 깔끔해요ㅋㅋㅋㅋ 속에 뭐 받쳐입을게 필요해서 가격도 저렴하기두 하구 해서 구매했는데 재질도 괜찮구 예쁜거같아욤ㅋㅋㅋㅋ
newstar**|후기가 단추도 너무느슨하고 생각보다별로라그래서 살지말지 고민했는데 진짜잘산거 같아욬ㅋㅋㅋㅋㅋㅋㅋ 너무이뻐옄ㅋㅋㅋㅋㅋㅋㅋㅋ 단추도짱짱하구 진짜 바지나 치마나 다 잘어울리는거같아서 완전만족해욤ㅋㅋㅋㅋㅋ
paula**|다크블루 색이 너무 예뻐서 기대했는데 기대한만큼 좋았어요! 배송도 빠르고 물건도 맘에 들어요 처음 산 옷인데 앞으로도 많이 살것 같아요!
in**|제가 평소에 M 사이즈를 입는데 피팅한 사진 보면 허벅지가 딱 맞고 종아리 부분은 널널해요! 되게 반팔티 같이 얇아요 여름에 입어도 될 것 같은 두께..? 아무튼 싼 값에 산건 좋네요 잘 입겠습니다❤
gyswl0**|다른쇼핑몰은 다른옷과같이시키면 그옷이 품절되면나중에 같이 몰아서 주는데 고고싱은 부분배송해주셔서 정말 좋았구요!옷에서 좀 그 쇠냄새? 같은게 나는거 같았는데말리구 입으면 괜찮을거 같아요 ~~ 옷이 이뻐서 만족해요 ㅎㅎ!!
woongbe**|흘러내리는 소재가 아니어서 좋았어요. 이런 옷은 소재가 찰랑찰랑해서 한두번 빨고 입으면 거의 못입을 옷이라고 생각을 하면서 사는데 이건 가벼우면서도 탄탄한 느낌이 있어요
woongbe**|생각보다 더 박시하고 생각보다 더 얇아요. 아주 얇은건 아니구 흰색이었으면 안에 옷이 비쳤겠다 싶을 정도의 두께에요. 빳빳하게 두꺼울줄 알았는데 그건 아니네요.
towpow**|샀돈 것들 중에서 제일제일제일 맘에 들었음! 품이 좀 크긴 했지만, 제가 좋아하는 류의 핏이기도 하고 박시하고 귀여움! 키 작으신 분들 사면 잘 어울릴 듯합니다 ㅎㅎ 지금 날씨에 딱 어울려요~
jej11**|체구가 작아서 약간 큰 감이 있는데 봄에 입기 좋고 이뻐요❗❗
woongbe**|옷이 참 귀여워요. 단추 잠글때 좀 뻑뻑한 감이 있는데 뭐 그정도 쯤이야 별 문제 안되구요.짜리몽땅한 니트일까 싶었는데 짜리몽땅하지도 않고 길이감 딱 예쁘게 골반에서 끝나요 사랑스럽네요옷이
towpow**|S살까 하다가 그냥 샀는데 좀 끼네요 ㅎㅎ 사실 저는 s도 m도 아닌 과도기에 있는 몸매라서 예상했지만 헤헤 살을 좀 더 빼서 편하게 입어야할듯 ㅎㅎ 근데 스판끼는 별로 없어요
woongbe**|정말 딱 기본 블라우스고 너무 길지도 않고 너무 짧지도 않아서 좋습니다. 엉덩이 절반정도를 덮는 기장이에요.무엇보다 소재가 낭창낭창해서 여름에 입어도 시원할 것 같습니다.
towpow**|길이는 길었지만 팔기장은 잘 맞았고 원래 앞뒤 구분이 없나요? 어쨌든 편하게 잘 입을 수 있을 거 같아요. 안에 입거나 그냥 기본 단가라로 입거나 그냥 이쁨~
towpow**|생각보다 너무 커서 놀랬지만 제가 너무 작다는걸 까먹었네요. 어제남자친구가 자기한테 맞을거 같다고 달라네요 헤헤^-^ 할튼 무진장 컸고 저는 작았습니다! 가격 대비 질은 좋아요
uiouio23**|너무이쁘고 너무좋아요 진짜좋아요 근데좀짧음그래도괜차노아요이뻐요
uiouio23**|진짜이뻐요!!!!!!너무이뻐요ㅠㅠㅠㅠ 사길잘한거같아요 기장도줄일수잇어서 딱좋은듯
uiouio23**|너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요너무이뻐요
heee03**|너무 예뻐요ㅠㅠㅠㅠ고고싱에서 산 바지 중 가장 잘 샀다고 생각하는 바지입니다. 색깔도 오묘하니 예쁘고 핏도 예뻐요!! 발목도 잘 붙는 편인데 개인적으로는 밑단 접어입는게 더 예쁜 것 같아요.전 평소에 26~27사이즈 바지 입는데 이 바지는 26시켰더니 딱 맞아요! 스판도 좋아서 걸어다니는데 불편함도 없고 상의 넣어입기도 좋은 것 같아요.무엇보다 제가 가지고 있지 않은 색상이라 무척 만족스럽습니다!! 개인적으로 고고싱 바지 중 가장 예쁘다고 생각해요ㅎㅎ전 161cm에 50~51kg이고 뱃살이 좀 있는 편입니다ㅋㅋㅋ고르실 때 참고하시라고 올려요
dbfla51**|예 제가 요즘 살빼서 다리살이 빠져서 옷사야되서 구매를했눈데 ! 이옷은 스판끼도 널널해요 ! (종아리부분쪽이 특히 ! )앉기도 편하고 솔직히 새옷이라서 인터넷에서 사는거라서 좀 주저한점도 있었지만 너무이뿌구여 ❤롱업된 청바지 찾으시면 추천해요 ! 롤업도 어중간하게 된것보단 좀 눈에띄게 된 옷이 핏도 이쁘잖아요 ㅎㅎ평상시에 자주 애용하기에도 좋은 핏과 스타일과 색상 ! 어떤옷에든 잘어울려요 !정말덩말 추천해요
skyhj8**|생각보다는 많이 파였는데 위에 가디건이나 니트 입으면 괜찮을 것 같아요ㅎㅎ 길이도 너무 짧지 않아서 좋아요ㅎㅎ 블라우스같은 식으로 다 단추라서 밑에가 쫌 갈라져요ㅎㅎ
dbfla51**|예 ~ 입금한지 바로다음날 배송시작되고 하룬가 이틀만에 바로 받았구요 색상산택도 잘한거 같아요 스프라이트도 솔직히 끌렸지만 요즘 너무 흔하잖아요 ! 그래서 차콜 선택했는데 왠열 너무이쁘구여 제가 숏컷이라서 뭘 입어야 할지 잘 모르겠었는데 이옷입으면 딱인거 같아요 ㅁ너무이뻐요
leegr40**|색이완전고급져요ㅎㅎㅎ 촉감도 부들부들하니 좋고 막 엄청 무난하지도않아서 검정치마에도 잘 어울리구 청바지에도 잘 어울리고 이뻐요!! 고민하지말고 바로사도 후회는 없어요ㅋㅋㅋ
shgmlwn**|실제로 보면 더 예쁘고 정말 무난무난하게 입기 좋은 아이템이라고 생각합니당~ 아직 반팔입을 날씨는 아니라서 밖에 입고 나가보진 못했지만 여름이 가까워지면 예쁘게 입을 수 있을 것 같아여~
shgmlwn**|다른 색깔이 다 품절되서 그레이 샀어요ㅠㅠㅠㅠㅠ 생각보다 얇아서 봄에 입기 딱 좋을 것 같아요 그리고 저한테 길이는 넉넉했습니다.
skyhj8**|롱 원피스가 사고 싶었는데 키가 작아서 안 어울릴까봐 고민을 많이 했던 제품인데 옷 산 것 중에서 제일 만족해요ㅎㅎ 꾸민것 같으면서도 편하게 입은 것 같아서 데일리로 너무 좋아요ㅎㅎ
shgmlwn**|평소 44시켜서 S 시켰는데 요즘 살이 좀 쪘는지 좀 뻑뻑하게 들어갔어요 ㅠㅠㅠㅠㅠ 여기서 살 더 찌면 못 입을 듯 합니다 그래도 색상 자체나 길이나 핏 같은 건 너무 예뻐요! 추천합니당!
skyhj8**|검은색이랑 베이지 색 중에 고민하닥 둘 다 샀어요ㅎㅎ검은색이랑은 또 다른 느낌이에요ㅎㅎ 디자인은 같은데 색이 밝고 어두워서입으면 다른 옷 같아요ㅎㅎ
shgmlwn**|아직 한번밖에 못 입어봤는데 일단 안쪽에 바지가 같이 붙여져 있어서 편했어요~ 길이도 적당하고 저한테 딱 맞아서 좋았습니당~~~
skyhj8**|예뻐요ㅎㅎ 봄에 입기 딱 좋은 그런 두께에요~~그리고 소매가 너무 예뻐요ㅎㅎ 벨트 있는 줄 알고 샀는데없어도 예뻐요ㅎㅎ
ruby**|목 부분이 꽂혀서 샀는데 튀지도 않게 예쁜 것 같아요! 지금같이 조금 쌀쌀한 날씨에도 딱 적당하고 좋아요ㅎㅎ 잘 입겠습니다:)
gmlrud3**|니트 원피스 하나 구입하고 싶어서 이곳저곳 찾다가 고고싱에서 보자마자 바로 구입했어요~~ 검은색이라 어느 옷이랑 코디를 해도 너무 잘어울려요!!! 길이도 저한테 무릎 위까지 와서 짧지도 않고 넘나 마음에 듭니다ㅎㅎ 그리구 너무 편해요 강추!!
deglro10**|원래 사이즈 에스입는데 후기에서 엄청 마른거아니면 에스사지말라고 해서 엠삿는데 완전 만족!! 허리도 딱맞고 제일 걱정했던게 길이인데 길이도 딱 예쁘게 적당해요! 고민하시는 분들 바로지르세요!! 강추!!
ieeu3**|색도 이쁘고 치마 입을 때 신으면 정말 귀욤귀욤한게 이뻐여!!!
sm71**|예뿝니다ㅎㅎ근데 전체적으로 낮은편이에요!!챙도 좀 짧고 그래도 통이 안커서 좋아요!! 쌩얼용으로는 힘들거같아욬ㅋ
sm71**|팔통 크구요 마감이 절개면이라 말려올라가는게 좀 있네여 그래도 가격대비 질 좋아요ㅎㅎ 색깔은 생각보다 진해요! 생각보다 더 짧아서 갈비뼈도 보일듯ㅋㅋㅋ 뱃살 관리 잘해야겠어요...ㅋㅋㅋㅋㅋㅋ 긴스키니에도 짧은바지에도 잘어울려용ㅎㅎ
zoo11**|생각보다 실망. 165기준 엄청나게 짧고요. 그렇게 엄청난 스판이 아니라서 생각보다 불편합니다ㅠㅠ 밑단에 애매하게 잘라놔서 더 그런듯... 환불 귀찮아서 그냥 집에서 편하게 입고있어요ㅋㅋㅋ
rlatmf05**|가성비 좋아보여서 사고싶었건 레알루즈가디건이 품절이라 못샀는데 버젼2나와서 바로 구매했습니다ㅎㅎ 기대하길 잘한것같아요 잘 입겠습니다 ㅎㅎ 사진은 올리고싶은데 안올려지네요 ㅜㅜ
rlatmf05**|가성비 좋아보여서 사고싶었건 레알루즈가디건이 품절이라 못샀는데 버젼2나와서 바로 구매했습니다ㅎㅎ 기대하길 잘한것같아요 잘 입겠습니다 ㅎㅎ 사진은 올리고싶은데 안올려지네요 ㅜㅜ
dustmd17**|크림샤워 샀어요 배송 빠르고 옷이 두껍고 좋아여 사진 그대로구여 완전 하얀 화이트가아니라 크림색??이어서 따뜻해보이고 좋아여
dustmd17**|배송 빨랐구요 보통 m 입는데 다들 크다해서 s시켰더니 딱 맞네여 옷은 진짜 비닐..?? 매끈한재질이구 엄청얇아여 여름에입을듯
dustmd17**|파스텔 핑크로 시켰는데 배송도  빠르고 옷도 괜찮네여 분홍색 이상한거 많은데 이 분홍은 사진그대로 색깔인거같아여 좋아여
46999666**|블라우스나 원피스 위에 입으려고 구매했어요! 길이는 무릎 위여서 적당하고 은근 두꺼워서 따뜻해요. 4월에는 블라우스에 이 니트원피스 하나만 입고 밖에 나가도 될정도! 색도 예쁘고 디자인도 괜찮아요.
dustmd17**|입고 지연됐는데 배송도 따로 보내줘서 좋았어여 옷은 생각보다 뻣뻣? 하구 근데 이뻐서 맘에 들어요스트라이프가 덜 무난하고 괜찮은거같아여
384376188**|진짜 이뻐요사세요고민하지말고이쁩니다어주아주아주아주이주!가격도 저렴좋음 근데 실밥 처리 잘 아됨ㅇ이잉끝ㅇ
384376188**|키가165인데 크기 품 좋음그리고 옷 제질도 좋음옷이 진짜 커서 88도 가능할듯단점 어깨선이 아래에 임ㅅ어서 떡대커보임
384376188**|키가 165ㄴ데 기장이 짧아서 손올리면 배 보임 어깨선도 아래에이썽서 떡대 터보여요 ㅠ근데 웃 자체는 이븜 사진이랑 똑같
wjdals8**|오버핏이라서  맘에 들어요  블랙이라서 무난하게 입을수 있을거 같아서  샀는데 코디 신경을 크게 안 써도 될거 같아서 좋아요ㅋㅋ
wjdals8**|입었는데 핏이 너무 예뻐요  밑단 접어올린 길이도 너무 짧지않아서 괜찮아요  데일리 아이템이 될거 같아요 맨투맨이랑 같이 입어도 예쁠거 같아요
jeong9**|이뻐요 색도이쁘고 생각보다 도톰하네요무난하니 이뻐서 자주입을수있을거같아요고민하고 계시다면 고민말고 지르셔요ㅎㅎ
