yes1**|이거 진짜 좋아여 !! 기본으로 편하게 입을 티 찾다가 가격은 살짝 있는듯싶으나 소재가 좋은거같아 블랙이랑 화이트랑 두개 구매했어요 블랙이랑 머큐리스커트? 랑 같니 매치해서 입어봤었는데 치마 안에 넣어서 입기도 편하고 다른 티보다 비침없고 많이 얇은 그런게 아니라서 목도 안 늘어날거같고 좋아요 아무옷에나 매치가능해서 요즘 잘 입고 다닙니다
yes1**|이거 진짜 좋아여 !! 기본으로 편하게 입을 티 찾다가 가격은 살짝 있는듯싶으나 소재가 좋은거같아 블랙이랑 화이트랑 두개 구매했어요 화이트는 크게 비침없고 너무 좋네요 물론 속옷은 흰색을 입어야하지만 다른 티보다 비침없고 많이 얇은 그런게 아니라서 목도 안 늘어날거같고 좋아요 아무옷에나 매치가능해서 요즘 잘 입고 다닙니다
okc030**|아무데나 받쳐입기 좋은 기본티구요 이 가격에 이 정도의 퀄리티 아주 만족합니다 부드럽기도해서 여름 내내 정말 잘 입고 다닐 것 같아요!!
yes1**|고고싱에 와서 오랜만에 구매했어요 여름에 입을 나시가 사고싶어서 신상할인할때 바로 샀네요 머스타드랑 블랙이랑 고민하다가 블랙으로 샀어요 무난하게 입으려고 저는 평소 55사이즈를 입는데 품도 낙낙하게 크고 길이도 적당하네요 안에 뭐 이너같은거 입으면 더 좋을거같아요 저는 가슴이 없어서 안에 나시속옷같은거 입고 입으려고요 헤헤 소재도 시원한게 잘산거같네요 잘 입을께요
sycho**|제일 기대했던 옷인데ㅠㅠ 한번 세탁하니까 옷이 줄어들어 못입게되었어요ㅠㅠ 한번도 못입고ㅠㅠ 애기들 줘야겠어요ㅜㅜ
thgml1**|놀러가기위해 사서 입었는데 깔끔하고 두께도 적당하고 예쁜거같아용ㅎㅎ 화이트라 아무거나 같이 입어도 구굿!! 추천해용
okc030**|색상이 누런끼가 좀 돌아서 살짝 당황했는데 가방 크기랑 모양이 제가 원하던 사이즈라서 만족합니다 편하게 메고 다닐 수 있어서 좋아요
dlalsk25**|생각했던것보다 크고 아기자기 해서 놀랐어요.오고 나서 너무 예뻐서 거울 앞에서 가방을 매고 한참 동안 있었어요. 다음에 기회가 된다면 이번엔 화이트로 사볼까해요
vvwinw**|집에 벨트가 잇기는 한데 요즘 오링 벨트가 유행이기도 하고 무난하게 잘 이용될 것 같아서 구매햇어요 ! 아직 착용은 안 해봣는데 예쁠 거 같아서 기대 돼요
vvwinw**|왜 인기가 많은지 알 것 같은 바지에요 색깔 고민하다가 진청으로 삿는데 집에 잇는 바지와 너무 비슷해서 색깔 선택은 미스 ㅜㅜ 색 자체는 예뻐요 ! 막 예쁘다기 보다는 그냥 무난해서 손이 자주 갈 거 같아요
vvwinw**|다른 옷 결제하기 전 우연히 발견하고 첫눈에 반해 한치의 망설임도 없이 주문을 한 옷인데 생각보단 실망이에요 ㅜㅜ 우선 길이가 너무 짧네요 그리고 모델분처럼 여리한 핏 낼려면 되게 날씬해야 할 것 같고 바스트가 잇으신 분들은 고민 좀 해봐야 할 듯요 반품할까 생각햇는데 배송비도 아깝고 이 가격에 이정도면 뭐 만족할려고요 색깔은 예쁘네요
52646216**|저렴한 가격에 질 좋은 옷 산거같아서 매우 좋아요~~~약간 찰랑거리는 소재인줄 알고 구매했는데 면소재에 달라붙는 느낌이더라구 그 나름대로 이쁘고 소재좋아서 만족합니당
52646216**|화면이랑 색상 그대로구 진짜 린넨소재라 입자마진 시원해요ㅎㅎㅎ이쁘고 만족합니당 약간 박시한 느낌도 나서 반바지랑 입으면 넘나 예뻐요 진짜 가격대비 최고입니당
boya12**|아이보리살까 네이비 살까 네이비 샀는데너무 마음에 들어서 아이보리까지 질러버렸어요 ㅎㅎ디자인도 맘에 들고 가성비도 좋은데같은 디자인에 색상만 다른데 두개가 사이즈가 미묘하게 달라요....아이보리가 목이나 팔목이 더 좁아서 살짝 불편하네요스판기가 없어서 입고 벗을때 살짝 힘들어요 ㅠ네이비는 안그런데
boya12**|여름에 더운데 에어컨 바람이 빵빵하니 얇고 긴 바지가 필요해서 샀어요재질이 조금 싼티나긴 하지만 시원하네요요즘 편하게 자주 입고 다녀요
thdus63**|진짜 딱 원하던 스타일이예요ㅠㅜㅠ헤짐도 너무 이쁘구 색도 완전 하얀색이 아니구 아이보리여서 더 이뻐여 좀 짧은감이 잇지만 너무 맘에 들어여ㅎㅎ
thdus63**|너무 이뻐여~박시하고 목부분도 많이 짱짱하고 좋아용~
thdus63**|너무 이뻐여~박시하고 목부분도 많이 짱짱하고 좋아용~
dms95**|채도낮은 보라색인줄 알았는데 소라색에 더 가까운 색이에요!보라색을 원했던지라 살짝 실망하긴했는데 옷 퀄리티나 재질,디자인이마음에 들어서 그냥 입으려고합니다!ㅎㅎ 적립금 부탁드려요~!
hyo62**|인터넷으로 바지 잘 안사는 편인데 이건 너무 편안하고 딱 맞아요!! 요새 살쪄서 맞는 바지가 별로 없었는데 적당히 잘 가려주고 핏이 예뻐서 자주 입어요 ㅎㅎㅎㅎ 인기 있는건 다 이유가 있어요!!><
kgr05**|뷔스티에 조끼 정말 좋아하는데 망고가 너므 귀여워서 샀어요 안에 검은 티랑 입어도 예뻐용!! 여름에 보기에도 시원한것 같아서 너므 좋아용!
kgr05**|단정하게 입기 좋아용!!친구들도 흰 치마랑 입으니까 다들 이쁘다고 해 줬어용색깔도 괜찮았어용!! 소매가 길어도 소제가 그렇게 덥지않아서 괜찮았어용!
kgr05**|등이 밴딩이여서 정말 편해용!아마 뷔스티에 원피스 중에서는 젤 편할것 같아용옆에 지퍼있어서 불편할줄알았는데 그것도 불편하지 않아서 좋았어요~
kgr05**|남색테니스 스커트가 없어서 이번에 사게 되었어용!!위에 기본티랑 깔끔하게 입기 좋아용 여름내내 잘 입을것 같아용~~
rtyu79**|팔쪽이 약간짧아서 제 팔뚝살이 좀 들어나긴하지만 이뻐요!! 무난하고 베이직한 디자인으로 추천추천!! 핑크색도 이쁘게 잘빠졌네욯
dms95**|생각하던 재질보다 많이 얇아서 처음에는 놀랐어요 ㅠㅠ그치만 여름에 입기에는 딱인듯해요! 얇지만 비침이 하나도 없고통기성이 뛰어납니당 소매나 허리부분 목부분도 쫀쫀합니당!무난해서 어느 하의에나 잘 어울릴것같아요!
rtyu79**|이건정말..최고에요!! 이런 뷔스티에 디자인 원피스 처음 입어보는데 정말 라인이이뻐요..!! 거기에 끈쪽에 길이 조절해주는게있어서 더 감동.. 넘나좋았어요!! 고도깅 많이  ㅍㅏ세요~~
rtyu79**|나름 무난무난 이뻐여!! 재질이 쫌 얇긴하지만 이정도면 가격대비 만족해요ㅎㅎ검은색이라서 여기저기 잘들고 다녀요! 많이파세요!!
rtyu79**|사이즈가 프리라서 그런지 들어가긴하는데 쫌 끼인다고 해야되나? 그런느낌이있네요ㅠㅠㅠ 제품자체는 너무 이쁜데 제가 살을 쫌 빼고 입어야할것같아요 그래도 추천!!
rtyu79**|이거진짜조녜..이뻐요 사이즈도 딱맞고 길이도 좋아요!!진짜 후회안해요!! 근데 약간 벨트가 헐렁하긴 하지만 괜찮아요!!
giho10**|너무이쁘게잘입고있어요 진짜 인생옷될거같아요 이옷노란색도있는데 그것도너무잘입고있고 청반바지에도어울리고 테니스치마에도 어울리고 다잘어울리는거같아서 맘에들어요
mimin**|진짜 핏이 너무 이뻐요 ㅎㅎㅎ 아주 잘 구매 한것 같고 친구들이 다들 어디서 삿냐고 난리 들이에요 ㅎㅎ 짱 선택 잘한것 같아요 ㅎㅎ 고고싱은 역시 실망이 없네요 항상 옷이 맘에 들어요 감사해요 지금 이치마 살려고 고민 하고 계신분들은 얼른 사시는기 조아요 ㅎ잘 삿고 후회 안하실꺼에요 ㅎㅎ 강추에요~
thfdk**|이 옷 이번여름 저의 최애템♡ 진짜 뒷프린트가 너무 예뻐서 맘에 쏙들고 길이도 하의 안에 넣어 입을때도 괜찮고 그냥 꺼내입을때도 옷끝이 후즐근하게 늘어지지 않아서 좋아요 그리고 빨래했는데도 프린팅된거 안벗겨지고 잘남아있고 검정색이여서 여름에 속옷같은거 비칠 걱정안할수있어서 짱 좋아여 걍 옷 너무예뻐요
425090892**|역시 쫀쫀! 어디 안에 입기도 딱 좋고 많이들 구매하셔서 궁금했는데 입어보니까 알았어요!살에 닿는 느낌도 너무너무 좋아요❤️블루와 검정 화이트 세가지 구매했는데 정말 후회없습니당
425090892**|역시 쫀쫀! 어디 안에 입기도 딱 좋고그냥 하나만 입어도 깔끔합니다!사람들이 왜 이렇게 많이 구매하는지 궁금했는데입어보니까 알았어요!살에 닿는 느낌도 너무너무 좋아요❤️블루와 검정 화이트 세가지 구매했는데 정말 후회없습니당특히나 블랙은 뭔가 더 깔끔하고 좋아서 하나더 구매합니다
425090892**|역시 쫀쫀! 어디 안에 입기도 딱 좋고그냥 하나만 입어도 깔끔합니다!사람들이 왜 이렇게 많이 구매하는지 궁금했는데입어보니까 알았어요!살에 닿는 느낌도 너무너무 좋아요❤️블루와 검정 화이트 세가지 구매했는데 정말 후회없습니당
425090892**|역시 쫀쫀! 어디 안에 입기도 딱 좋고그냥 하나만 입어도 깔끔합니다!사람들이 왜 이렇게 많이 구매하는지 궁금했는데입어보니까 알았어요!살에 닿는 느낌도 너무너무 좋아요❤️
425090892**|뒷모습이 이뻐서 장만했는데앞모습보고도 심쿵!!장미를 워낙 좋아하기도 하는데 조금 이상하면 어쩌지 하고 샀는데이게 왠일!!! 완전 마음에 들어요! 기장이 골반 밑으로 조금 내려와서반바지 입을때는 앞을 살짝 넣어입는데! 좋더라구요!
425090892**|데일리로 입기 딱!너무 멋부린것같지 않고 신경안쓴것 같지않고무지티만 입기 지겨워졌을때 입으면 딱이더라구용~검은색과 같이 구매했어요! 번갈아 입어도 딱일듯하네요❤️
425090892**|데일리로 입기 딱!너무 멋부린것같지 않고 신경안쓴것 같지않고무지티만 입기 지겨워졌을때 입으면 딱이더라구용~검은색과 같이 구매했어요! 번갈아 입어도 딱일듯하네요❤️
425090892**|데일리로 입기 딱!너무 멋부린것같지 않고 신경안쓴것 같지않고무지티만 입기 지겨워졌을때 입으면 딱이더라구용~가장마음에 드는건 빨래해도 늘어나거나 쭈글거리지 않아요! 완전강추입니다
425090892**|데일리로 입기 딱!너무 멋부린것같지 않고 신경안쓴것 같지않고무지티만 입기 지겨워졌을때 입으면 딱이더라구용~가장마음에 드는건 빨래해도 늘어나거나 쭈글거리지 않아요! 완전강추입니다
425090892**|여름에 티만 입기 그래서 고민하다가 구입했어요!좀 살이 많아 보일까봐 걱정했는데 입고나서 보니 단추를 다채워도, 풀러도 다 괜찮더라고요데일리로 입기 딱좋아요
425090892**|구엥 다리에 살이많아서 고민고민하다가검은색 반바지가 필요한김에 하나 구입했어요!!흰티에 입을때도 색 있는티에 입을 때도 너무 괜찮았어요!!완전강추입니당
cawn**|모델입은거랑 색깔완전똑같고 엄청엄청예뻐여 살까말까 고민하지말고 그냥 무조건사세요!!진짜 후회안해여 꼭 사세요 !!
wlsgml1234**|색상을 핑크와 아이보리 중에서 고민 많이했는데 아이보리잘산거같아요 !!깔끔하고이뻐요 어깨선이 잘처리되어있어서 여성스러워요 이가격처럼 안보이고 퀄리티가 좋은거같아요 이번에 산거중에 젤예뻐요 !!!
wlsgml1234**|후기가 너무이쁘다고 하길레 샀는데 진짜귀염지고 이뻐요 손끝에 묶는것도 너무귀여워요 근데 키크신분들은 이거하나만은 못입을거같아요 ㅜㅜ그리고 목부분이너무작아서 입을때 좀힘들어요 근데 옷이진짜 귀엽고이뻐요!!
dlsdud92**|골반꺼진 괜찮은데 허리가 좀 커서 같이 산 밸트랑 입었어요 엄마두 이쁘다고 칭찬하구 속바지로 되어있어서 벨트를 매면 좀 불편하네옹
dlsdud92**|아주 길고 커욬ㅋㅋㅋ 잘만하면 남자친구랑 커플티해도 될거같아요 남녀공용같은 느낌...? 같이 산 치마랑 입으니까 아주예뻐영ㅎㅎ
dlsdud92**|딱 좋아요 ㅎㅎㅎ 조금 아쉬운게 있다면 구멍 두개정도 더 뚫려 있음 좋겠어요 ㅠㅠ... 제 몸이 좀 마른편이라서 커가지구 구멍하나 뚫었어요
1925041364408836**|ㅣ
52608050**|바지가 예뻐요 너무너무 진짜 별루 기대안했는데 이쁘고 다른데서도 바지 몇개샀는데 여기가 진짜 갑 ㄹㅇ추천 팩트폭력 짱짱 앞으로도 이용할게욯ㅎㅎ
52608050**|이번에 산것중에 진짜 제일맘에 들었어요!! 길이도 딱 좋아요 복숭아뼈까지올라오고 그리고 바지가 진짜진짜 편해요!!!! 강추!!
52608050**|이뻐요!! 길이도 맘에들고 안두껍고 좋은거 같아요 옷과 열심히 이뿌게 잘입을게요 감사합니당 요호호호호호ㅗ홓홓
52608050**|그냥 싼맛에 사야지 했는데 오,,싼맛이아라 좋았어요!! 그냥 사본거에 개이득!! 감사히 쓰겠습니다와아아ㅏ아아아ㅏ아아
gustjs94**|뒤에 혼자 스스로 묶어야 한다는 것이 조금 불편하여 묶는게 힘들긴 하지만 그래도 색깔도 예쁘고 무엇보다 여리여리한 느낌을 받을 수 있어서 좋음
gustjs94**|생각했던거와 달리 색상도 예쁘고 정말 핏이 맘에 듭니다!!!!처음에 살짝 입는 것이 불편했는데.. 알고보니 제가 살이..흑ㅠㅠ그래도 만족하며 잘입고있습니다~
rladbfl12**|제가딱 찾던 크기의 가방이예요ㅋㅋ워낙 큰가방을좋아하긴하는데키가작은편이라 너무큰건 쫌 부담스러운데 이건 너무작지도크지도않아서ㅎㅎ딱입니다❤ㅎㅎ끈도 얇지않아서 어깨도안아파요ㅋㅋ그리고 지퍼도 달려있어서 넘나좋습니다ㅋㅋ그리고 제일좋은건 혜자스러운가격❤
tnals47**|클거라고 예상하긴했지만 이정도일줄은 몰랐는데 덩치커보이는게 아닌 여리여리하게 박시해요!! 기장감은 핫팬츠입으면 안보일정도??
tnals47**|엉덩이가 큰편이어서 엉덩이 부분이 딱붙는데 바지밑단통이 생각보다 더 넓네영 그래도 작업복같은 느낌일줄알았는데 생각보다 예뻐요ㅎㅎ 아 그리구 길이를 제일 짧은거로 해도 좀 길어요;;
ppya**|튜브탑이 입어보니까 생각보다 엄청 쫀쫀해서 딱 달라붙어서 내려갈 걱정이 없겠더라구요ㅋㅋㅋㅋ처음입어본다고 괜한걱정했음... 끈이 있는 속옷을 입으려면 블랙색상을 착용하거나 끈없는 속옷을 입는게 예쁠것 같았어요. 저같은 경우는 튜브탑이 딱 붙으니까 쪼금 불편하기도해서 고고싱에서 함께 구매한 이지스판 나시 검정색 착용하고 원피스 입기도 했는데, 그래도 편하고 예쁘고 괜찮더라구요~ 이 원피스 입고 예쁘다는 소리 여러번 들어서 기분좋았어요. 하늘하늘하고 바람도 잘통해서 시원하고 예쁩니다!!
ppya**|흘러내림 방지 고무가 있어서 덧신이 쫀쫀하게 발에 잘 고정되는 것 같아요. 날씨가 더워지고 발에도 땀이 차니까 양말신기가 너무 답답했는데 이런 덧신 신고다니니까 딱 좋더라구요. 다른 색상도 다음에 살까 싶어요! 추천합니당.
gksdkdus**|흰색살지 검정살지 고민했는데 검정도 되게 깔끔하니 예뻐요!싼가격이라 별 기대안했는데 질도 생각보다 괜찮고 기대이상입니당 검정바지에 입었더니 더 예쁜거 같아용 앞으로도 예쁘고 좋은 옷들 많이 올려주세용 고고싱 단골고객될게요
gksdkdus**|진짜 싼가격이라 별기대안했는데 재질도 괜찮고 아무바지에 입어도 예뻐요!이제 이옷 즐겨입게 될 것 같아용  앞으로도 고고싱많이 이용할테니 좋고 예쁜옷들 많이 올려주세요!!
tlso2**|이 반팔티는 정말 사야합니다 가격이 저렴해서 기대 안하고 그냥 팔요해서 삿는데재질이 가격에비해 너무 좋아요 색도 진짜 이쁘고 비침없고 너무 편하고 좋아용
tlso2**|제가 원래 베이비돌 원피스 좋아하는데 그래서 고고싱에서 배이이비돌 원피스 2개나 삿어요 진짜 너무 이쁘고 재가 키가 작은데 무릎 까지 안와서 길이도 딱좋아요 생각보다 위쪽이 넉넉하지 안아서 딱붙지만 오히려 더 날씬해 보이는것 같아요 암튼 진짜 귀엽고 이뻐요
tlso2**|이거 진짜 이뻐요 ㅠㅠㅠ 일단 바지 통이 크게나와서 다 입을수 잇을것같아요 그런데 가슴 쪽이 딱 맞아서 반품할까 생각했는데 그냥 참고 입을려고요 .. 디자인이 너무 이뻐서 진짜 전체적으로 이뻐요
tlso2**|가방 진심이뻐요 ㅠㅠㅠ 검은색 사고싶었는데 품절되서 못삿어요제가 원래 원하는색 품절 되면 안사는데 이 가방은 딱 제가원하는 스타일이여서 그냥 아이보리 삿는데 진짜 제가 원햇던거 에요 디자인도 깔끔하고 끈도 얇지않아서 좋고 가격대비에도 좋은것같아요 !!!
slim03**|음~ 생각했던거랑 완전 똑같진 않지만 가격대비에 엄청 잘산거같아요 개성있고 매우 맘에 드네요 조금 입고 나가기전에 살짝 부담스럽지 않나했는데 막상 입고 나가니까 실내보단 채광에 엄청 이쁘더라구요 너무 만족 합니다 굿굿
dusdk585**|핸드폰 카메라가 고장나서 포토후기는 못남기지민 정말만족했어요! 색상이 너무이뻣어용 이쁘게입을께요 감사합니다-
ahune**|별로 뱃살 보정 효과는 없는거같아용 ㅎㅎ 그냥 나시 입어야할 때 입어주면일반 나시보다는 보정효과가 있으니 부담없이 입을 수 있는 정도네요~
boram1**|요새 롱치마에 끌려서 쇼핑몰 다 둘러보고 있었는데 고고싱이 젤 저렴하고 후기도 좋은거같아서 구매해봤어요! 오자마자 입어봤을때도 예뻤는데 놀러갈때 청자켓이랑 입으니까 너무 예쁘더라구요ㅎㅎ 코디도 쉽게할수있어서 좋은거같아요 근데 허리가 밴딩이라 편하긴한데 앉아있다 일어나면 밴딩이 배위로 올라오는게 없지않아있어요ㅠㅎ 그래도 다리를 가려주니까 컴플렉스 신경안쓰여서 좋아요! 고민하시는분들 지르세용 강추합니다 :)
jyezs51**|포토후기 2등!! 와이드 팬츠 처음으로 도전해봤는데 너무 마음에 들어요! 더워서 바지를 잘 안입는데 이건 얇은 린넨 재질이라 시원하더라고요! 그거때문에 팬티가 쪼오금 비치긴 하는데 별로 티는 안나요ㅎㅎ 허리는 평소에 27입는데 딱 맞았어요 가격대비 짱인거 같습니당ㅎㅎㅎㅎ
