wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
parkyj**|ㅋㅋ가방 넘 이뻐요~ 사진은 끈이 좀 짧게나왔지만 늘리면돼요ㅎㅎ색감도 짱 맘에들구~ 저런 네모난 가방은없었는데 이제 생겨서 좋아요ㅎㅎ
pmin10**|음..가격은 매우 만족이지만색상이..음..으흠..하하하일단 베이지는 괜찮아요!그냥 일반 베이집니다 좀 어둡다고 하면 어두울 수도 있겠네요근데 버건디가 ..음자두색?자주색?자색고구마?팥죽색?음..진짜 와인색이라고 할게요.어쨌든 버건디보다 진짜 레드 와인색이어서 진한 빨강=버건디라고 생각하시는 분들과 그걸 기대하는 분들은 비추드리겠습니다..그래도 괜찮아요!입다보니 익숙해졌습니다!그러니까 그냥만족입니다..하핫
parkyj**|원래 여러가지 코디할것을 생각하고 구입한제품이에요~~생각보다 많이 루즈해서 놀랐어용ㅋ 핏은 넘넘이쁘구요~ 여러가지 받쳐입기 좋은 제품이에요~~~^^
parkyj**|첨에봤을때 구겨져서와서 딱 봤을때 망했다고생각했어요ㅋㅋㅋ근데 어차피 구겨진거는 펴지니까 저는 안좋은점으로 보진않아요 근데 목티라 목이 조금 답답한 면이 없진않았어요 그래도 입어보니까 핏이 딱이쁘더라구요~~짱~^^ 만족
pmin10**|우선 가격은 매우 만조크 흡조크하구여ㅋㅋ네이비는 고고싱꺼랑 색깔 똑같구요카키도 색깔이 똑같지만 좀 회색?빛이 납니다원래 그런 색으로 나와 있지만요ㅎ저는 키가 작은데도 팔이 전혀 길지 않았어요!이건 키작녀용인듯 합니다160넘는 분들이 입으시면 칠팔부쯤 될 거 같아요어쨌든 만족!
parkyj**|핏이 딱 이뻐요~~평소에 눈여겨보다가 살까말까했었어요 ㅋㅋ세일해서 구입했는데 딱 루즈한게 제가 원하던 핏이에요 색감도 맘에들구 전체적으로 대만족이에요^^
parkyj**|ㅋㅋ이런 맨투맨이 없었는데 마침 세일하길래 샀어요 딱 첨봤을때 길이가 되~게 길더라구여ㅋㅋ치마 안에 넣어서 입는게 젤 이뻐요~~^^
qhfka**|배송이조금은늦은감이있지만  기다린만큼  배로좋아서  완전행복제가 얼굴 까만편인데  블랙이라고민했지만   워낙블랙큰옷좋아는저라 포기할수가없어서   바로주문ㅋㅋㅋ옷이생각보다얇지않아서  지금입좋은듯싶고집에있을때 편입을수 싶네요   완전맘에듭니다ㅋㅋ앞으로 여기쇼핑몰에서  옷 왕창구매될듯
qhfka**|안경은 제가생각했던게아니지만   그래두생얼일때  마트갈때쓰기좋겄습니다
dbsk17**|요즘 또 머스타드 색에 빠져서 핑크랑 블랙만 사려다가 결국 이색도 사버렸네요..ㅎㅎ 너무 자주 입는듯 요즘ㅎㅎ 그정도로 너무 예뻐요...ㅠ 잘입을게요ㅎㅎ
