qkrwldms83**|공휴일걸쳐서 주문해서 늦게 올줄알았는데 2일만에 왔어요 고고싱이 배송 빠르다고 했는데 이정도일줄은 몰랐네요 그리고 처음에 색보고 좀 달라서 실망했는데 자연광 받으니까 사진이랑 비슷해서 만족했어요!! 살집이 있는편이라 롱원피스는 처음 도전해봤는데 엄마가 봐도 맘에 든다고 해서 잘산거같아요~ 겨드랑이부분이랑 허리 고무줄 부분이 살때문에 쪼이긴하는데 입으니까 날씬해보여서 좋고 팔부부도 하늘하늘해서 좋아요!
eunji35**|저렴하게 잘 산거 같아요~ 코디하기도 무난하고 질감도 좋고 싼티도 전혀 안나요~추천합니다!!
kang99**|배송은 늦었지만 그래도  3주정도 기다린 보람이 있네요  사이즈 걱정됬지만 잘 맞고 정말 이뻐요 고민 하지 마시고 들 바로 사세요 ㅋ 진짜 이뻐요
skqlcl**|너무 잘맞아요~~이쁘고 편해요!!
seulgi7**|화면상의 색상보다는 밝은거같아요. 화면처럼 살짝 어두운 인디핑크+파스텔? 느낌보다는 조금 더 밝은느김입니다. 그래도 봄에 잘 입을 수 있는 니트에요. 하얀 주름스커트랑 입으면 예쁠거 같습니닷
724530860**|여리여리 예뻐요!!
51702501**|디테일도 예쁘고 전부 다 좋은데 아쉬운게 있다면 안에 속 치마가 짧아요ㅠㅠ 근데 옷이 너무 예뻐서 그냥 입고 다니고 있어요 지금 같은 날씨에 트렌치 코트랑 입으면 진짜 너무 예뻐요!!
zoco00**|제가 하체비만이라 m시켰는데 너무너무 크네요 ㅠㅠㅠ허리가 너무커용 ㅠㅠㅠㅠ 디자인은 괜찮긴해요 ㅎㅎㅎㅎㅎ
krcam0**|보자마자 파랑색이 너무예뻐서 바로 겟햇는데 여름에 입그 딱이에요 ㅎㅎ 재질이 싸구려재질이아니고 시원한쟞ㄹ인데다가 색감이 너무 예뻐요 !!
krcam0**|친구랑 같이사서 두개삿는데 완전 짱 예빠요 라이더 치고 가격이 싸서 별기대안하고 잇엇는데 이가격에 이렇게 예빠 디자인과 퀄리티가 대박이에요 ㅎㅎㅎㅎ
