wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
hyemee77**|코코아 색상도 샀는데 핑크랑 코코아랑 둘다 색감이 진짜 예쁘게 뽑힌것 같아요!! 어깨선이 살짝 밑으로 내려와서 여리여리한 느낌도 나고 소매가 여유있는 디자인이라 가끔씩 손목이 보이면 굉장히 날씬해 보이는 효과가 있는것 같아요~  만족만족^^
retrake**|제가 제일기대했던 니트인데요색깔이 막. 나핑크야!!!를외치는색이아니고약간톤다운되서 좋았구요근데목이ㅋㅋㅋㅋ제목이 많이두꺼운가봐요ㅎㅎ목이졸리는감이ㅋㅋㅋ입다보면 늘어나겠죠색도이쁘고 팔도넓어서여리여리해보이고그냥너무좋아요
hyemee77**|같은 아이템을 다른 색으로도 하나 샀는데 둘 다 너무 맘에 들어요. 맘같아선 색깔별로 다 쟁여두고 싶은 아이템입니다!! 소매도 너무 허벌렁하지 않게 여유있어서 편하구 폴라도 부들부들해서 따가운 느낌이 전혀 없어요 오래오래 입고 싶은 니트에요~
mami79**|생각보다 핏이 잘 살아서 진짜 좋았어요. 붉은 색을 사고 싶었는데 다 품절되서 울며 겨자먹기로 네이비를 샀는데 훨씬 잘 산것같아요ㅋㅋ 팔이 좀 짧은 것같긴 한데 거 큰걸 사면 길이가 너무 길어질 것 같네요 이 사이즈가 저한테는 좋은 것 같네요ㅋㅋ 추천합니다!
tlsgkdnjs1**|이쁘고 가격도 싸고 좋은데 재질만 바꾸면 완벽할꺼같아용..... 하루입었는데 보풀 장난아니고..그래도 이뻐용ㅎㅎ 모델언니가 입으신거처럼 와인색 니트에 입으면 정말 이뻐요!!!! 평소 내추럴하게 입으시는 분들한테도 추천 드려요ㅎㅎㅎ
hyemee77**|적당한 길이감의 치마를 찾고 있어서 이 치마를 주문했어요~ 색감도 예쁘고 텍스처도 너무 맘에 드는 아이템이에요. 근데 허리 부분이 튿어진 제품이 배송되서 좀 아쉽네요 ㅠㅠ 환불 받으려구 게시판에 글도 남겼는데 답글이 안달리고 있어서 난감하네요 ㅠㅠ
skgmlsp11**|이 바지를 굉장히 오래기다렸는데 기다린보람이있는거같아요!배송이 늦게와서 좀 화났었는데 친절한 상담과 이바지를 입어보니 다풀리더라구요바지가 되게 쫀쫀한데 늘어나서 착용감도 너무좋고 바지를 입으면 청바지를 입은게 아닌 좀 붙는 트레이닝복?을 입은느낌이라 활동도 되게쉽게할수있어 굉장히 좋은거같아요!인생바지가 될듯한 느낌적인느낌(^ 3^) 다음에도 애용하겠습니다~
retrake**|어깨깡패인저에게는.... 어깨때문에 브이넥을주문했으나ㅎㅎ어개넓어보이는건어쩔수없네요니트인데뭐...당연한거죠근데 다른니트보다 좀더 어깨가넓어보이는것같아요ㅠㅠㅠㅠㅠ하지만 그것빼곤완전만족합니다색도이쁘고좋아여
ksu80**|세일 할 때 주문해서 받았는데 팔통이 커서 놀랬는데 그래도 입어보려고 했는데 몸이 좀 작은 저한테는 많이 컸어요 그래도 나름 따뜻해서 집 앞 갈때 입는 정도로 입고 있어요 기대 하고 있지 않았는데 걱정했던 그대로 큰건 맞는거 같아요ㅠㅠ 슬퍼지는☆ 주머니도 실로 막아져 있어서 당황했지만 뜯었어요 하하 그래도 키 좀 크신 분들은 입으면 예쁠 것 같아요 키작은게 서럽네요 엉엉
tkfkd22**|루즈핏에 길이감도 딱 좋고 파란색이 약간 보랏빛이 돌아서 ~~~오묘하면서 너무 예쁜 색이에요!!!!!!너무 예쁘고 핏감도 좋아서 다른식도 구매하고 싶어요!!!!~~너무너무 맘에들어요~~~~~~~강추입니다 ㅎㅎㅎㅎㅎ
tlsgkdnjs1**|이거 입으면 진짜 말라보이고 허리도 홀쭉해지고 진짜 짱인거같인거같아요 쫄티나 원피스 입을때진짜 좋은거같아요 허리나 뱃살 있으신분들 이거 입으시면 정말 좋아요 가격도 착하고 입으면 핏도 이쁘고 믿고 사보세요 여러분 !!!!!!ㅎㅎ
zjvmfaks**|이거완전이뻐요'ㅜㅜㅜ!!!!!!따뜻하고 괜춘!!!!!!!!!!!!!쫌 크지만 그래도 박시함으로 입어요!!!!!!!!!!!!!!!!!'ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ완젼 감사합니다 고고싱!!!!!!
retrake**|제가 최근에 살이빠지면서 31입다가 용기내어28로주문해봤는데핏도그냥 너무예쁘고ㅠㅠ스판끼장난아니여서 완전편해요!많은분들이 한치수크게사라하셔서더크게살까고민많이했는데굳이크게안사셔도. 스판짱짱합니다정말 인생바지가됬어용!!!
tkfkd22**|오버핏에 캐주얼하게 입어도 예쁘고 후드티나 청바지에도 너무 잘어울리는 디자인인고 같아요 ㅠㅠ!!!너무 튀지 않은 체크무늬가 너무 무난하지 않으면서 아무데에나 잘어울리는 편한 디자인인거 같아요 ㅠ!!!너무너무 예뻐요!!~~~!!!
tlsgkdnjs1**|진짜 이거 싸고 이뻐용 아무옷에 코디해도 이쁘고 늘어나지도안고 핏도 이뻐요 강추!!!!!!믿어보고 사세요 여러분 짱입니다테니스 치마에 입어도 이쁘고 코트에 입어도 진짜 너무 이뻐요 가격도 싸고 품질도 좋고 옷도 이쁘고 정말
rjawjdtne**|진짜이뻐요! 고고싱에서산 체크테니스랑 같이 입었는데 완전 여자여자..ㅎㅎ 비치는건 적당하구 안에 나시랑 입으면 괜찮아요! 좀 얇긴한데 그게 더 이쁜거같아욯ㅎㅎ 잘입고다니고 있습니다♥ 그리고 진짜 완전 베리 하얘요...쌩하양..
dlalsgml56**|길이도제가원했던것처럼 길어서 되게좋았어요!그리고 의외로 따뜻한것같고요 근데 컷팅이 되어있어서그런지 다풀려서 관리하는게조금힘들었지만 그래도 너무좋아요!이가격에 이코트 구입할수있다는게 너무좋은것같아요굿굴 넘나 좋은것
retrake**|아진짜ㅠㅠ너무이뽀요ㅠㅠㅠㅠㅠ이렇게이쁜아이를 싼가격에사서너무좋네요이거들고나가니까 친구들이 예쁘다고 칭찬해줬어요ㅎㅎ물론클러치백이예쁘다고...ㅎㅎ그냥예쁘다는생각밖에안듭니다◎▽◎사려는분들 고민하지마시고 얼른사세요!!
rjawjdtne**|블루색 진짜이뻐요 생각보다길이가좀 짧긴한데 그래도 이쁘게 잘입고있습니다♥ 조아요조아요! 챠콜으누검은색 예상했는대 그보단 좀 파란빛 도는 회색?이에요! 목있는데가 잘안늘어나서 화장하기 전에 입어야대여..ㅎ 처음에 얼굴찍혀서 당황
yehel**|올리브그린 보자마자 색깔이 너무 이뻐서 소리질렀어요ㅠㅠ엉엉 고고싱에서 산 니트중에서 제일 맘에 든달까 색깔이 정말 내스타일 어쩜이리 니트를 잘 만들까요 겨자색도 샀는데 겨자색도 너무 이뻐서 또 다른 색 주문하려구요ㅎㅎㅎㅎ그럼 이만 전 주문하러 갑니당♡
yehel**|너무 이뻐요 엉엉어유ㅠㅠㅠㅠ핏도 딱 제 스타일이고 길이도 딱 제 스타일ㅠㅠㅠㅠ올리브 그린도 샀는데 너무 맘에 들어서 또 다른색으로 사려구요!생각보다 많이 얇지 않아서 좋았어요 꺅! 봄에도 입을수 있을꺼 같아서 맘에 들어용 그럼 전 또 다른 색 사러 2000
yehel**|이뻐요ㅠㅠㅠㅠ엉엉엉 근데 지퍼부분이 많이 까칠하고 잘 안올라가요ㅠㅠㅠ 지퍼가 잘 쭈글쭈글해지고 주머니에 손 집어 넣으면 주머리가 튀어나올달까.. 그게 좀 맘에 안들긴 하지만 이쁜건 사실이에요 물론 엄청 추울땐 못 입고 나가지만 정말 맘에 들어요♡♡
wldnjs**|그레이랑 소라랑 고민했는데 마침 그레이가 품절이되서 기쁜마음으로 소라색을 구매했어요!상세컷안보고 모델컷보고 구매했는데 생각보다 소라색 색이 살짝 어두워서 놀랐지만 그래도 이뻤어용진짜진짜 가볍고 배송도 당일로 오고 좋았어요~좀 아쉬운건 길이가 짧다는거.. 알고는있었지만 생각보다 짧아서 좀만 더 길었으면 좋았을거같아용
yehel**|생각보다 좀 커서 당황했지만 그래도 이뻐요! 근데 또 생각보다 얇아서 당황했지만 그래도 이뻐요! 많이 안추울때 입고 나가면 은근 따뜻해요ㅎㅎㅎ160이상이신분이 입으면 좀 팔부분이 짧을거같아요!그래도 이가격에 산거 만족합니다♡♡
wldnjs**|가오리핏이라서 입었을때 핏이 이뻤어용3단쭈리기모라서 엄청 두꺼운줄 알았는데 그렇게 두껍진않고 그냥 일반 기모맨투맨 두께였어용색깔도 확 튀는 핑크색상이 아니어서 아무때나 편하게 입기에 좋은거 같아용 가격대비 알맞은 상품같아요!
dmsdud99**|핑크색이...약간 제가 원하는 핑크색이 아닌 ㅠㅠ??약간 연한 핑크색이라 해야하나.. 베이지에 살짝 가까운??색만 조금 더 진했더라면 더더더더이뻤을 것 같아요 ㅎㅎ두께는 얇지도 않고 그렇다고 두꺼운 것도 아닌?? 살짝아주살짝 도톰해요!! 상의포인트로 입으면 너무 이쁘더라구요
gmk10**|후기쓰자쓰자했는데 포토로쓰려했는데 급하게쓴다고 글만쓰네요! 넘나예쁨ㅠㅠㅠㅠㅠ뚱뚱해서걱정했는데 완전널널하고 박시해서좋아욤ㅁ 막입어도예쁜옷임!! 감사합니다♡ 앞으로도 자주 이용할거에요! 옥 매일와서보고있답니다 번창하시고! 아맞다 빠른배송이라 더 감동먹었어요ㅠㅠ 밤에넣었는데 다음날보내지더니 그다음날왔어요!! 기대안했는데 빨리와서더좋았던옷이네요! 베이지랑 와임색샀는데 베이지가더예뻐욘ㄴ 감사해뇽
gksrlf**|온지 좀 됬는대 지금이나마 쓰네요ㅜㅜ실제루 너무너무이뿨요 연그레이색에 더 끌려서 연그레이 샀는대 진짜 실물깡패ㄷㄷㄷ♥진짜 항공점퍼중 제일 이쁜듯해요ㅜㅜㅎ..하지만 단점은 팔이좀 크다는것...입으면 안큰대 실제로 보면커요ㅎㅎㅎ그래도 박시해보이니 굿!!
lowoon03**|색깔이나 디자인은 마음에드는데 생각보다 루즈핏은아니고 보풀도일어나고 하루만에 때탄거처럼 까맣게됫어용ㅠㅠ 옷도얇고 히트텍필수ㅠㅠㅠㅠㅠ길이도쫌짧으네용.... 그래도만족스럽기는해요 색깔이나디자인은예뻐요오옹!!!!
heewon68**|여행하면서 입을 반바지가 필요했는데 마침 있어서 구매했어요~길이도 딱 적당하고 다리도 얇아 보이네요!무엇보다도 뒤가 고무줄로 되어있어서 편합니다.너무 편해서 여행중에 가장 많이 입었어요~~여름되면 다시 구입할 예정입니다 ㅎㅎ배송도 빨라구요~모든게 다 만족스럽습니다!
byl06**|이 제품을 볼 때마다 품절이라고 적혀있길래 살 마음이 없었는데 모델분께서 입으신거보고 예쁘네 하고 사봤는데 역시 품절 대란이 일어날만 하네요.목도 아주 짱짱하고 보풀도 잘 안생기고 옷이 너무 좋아요!!다른 색상도 구매해 봐야겠어요~
christar**|터틀넥 니트가 없어서 계속 살라구 했는데 이뻐여베이지색이 제일 인기가 많은 것같아서 구매했는데 정말 만족해여넣어서 입어도 예쁘고 그냥 빼서 입어도 예뻐여다음번에는 다른 색상도 구매 해 보고 싶어요!!입었을 때 포근한 느낌이 좋아요..잠깐 집에서 입었을 때는 땀까지 흘렸어요안 사면 후회해요
lowoon03**|롱코트 좋아용!!!!!!!!! 길이가 딱 찾고잇던 코트길이고ㅎㅎㅎㅎㅎ쪼끔얇긴한데 겨울에는 옷 껴입고하니깐 괜춘해요ㅋㅋ 색깔도 평소에 없던 카키색 이라서 완전만족만족ㅎㅎㅎㅎ 가격도싸고 좋너욤 평소에맨날이거만입고다녀욬ㅋㅋ추천추천
byl06**|이 제품과 비슷한 흰색의 무스탕을 샀는데 너무 마음에 들어서 무스탕을 이걸로 한번 더! 구매를 했는데요, 역시 넘나 좋은 것^^ㅋㅋㅋㅋ두께도 두꺼워서 겨울에 추위를 탈 걱정이 없어요. 올해 겨울에도 또 다른 무스탕 나오면 또 살 예정이랍니다~
gmlwns46**|요새 브이넥 니트에 빠져서 여기저기 살펴보고있었는데 고고싱 브이넥 니트가 가격도 싸고 핏도 괜찮아보여서 한번 구매해봤어요!!! 막 존예존예 이런건 아닌데 어디에나 입기 좋고 기본아이템으로 잘 구매했다고 생각합니당ㅎㅎ 통통분들한테도 핏 괜찮아요
chldbfk**|처음보자마자 너무사고싶어서 벼르다 결제했어요. 근데 주문이많아서 생각보다 너무 오래걸렸어요ㅠㅠ  배송지연보상금 받았어요ㅋㅋㅋㅋ  진짜색깔이너무이뻐요.칙칙하기 쉬운겨울에 포인트되는아이템이에요!! 품새도 예쁘고 ㅎㅎ 감사합니다~~~
pym08**|이쁘고 생각보다 질도 좋아용!!!!!!!!!근데 별로 뚱뚱한편도아닌데 입고 벗을때 안늘어나서 불편하고그냥 입고있을때도 팔부분이 애매해서 불편해요 ㅠㅠㅠㅠ그런 부분이 좀 아쉬운고같아영. 그래도 잘입고 다닐께용!!!봄에 이쁘겝을슈있으러각타영
lhj6418**|처음에 업데이트 됬을 때 사려다가 안샀는데 그 때 바로 살걸그랬나봐요ㅠㅜ 남색이랑 고민하다 브라운으로 샀어요 너무 예뻐요 잘 산 것 같아요! 원피스나 바지나 스커트나 다 코디해서 입어도 무난하게 예쁘고요 되게 자주입어서 너무 잘 산 것 같아요
christar**|흰색 목도리를 사고 싶어서 계속 찾다가 칼라하찌 목도리를 사게 됬어요!진짜 따뜻하고 코트랑 같이 코디해서 입어도 예뻐여..무엇보다도 코트에 뭐 뭍는걸 신경 많이쓰는데 잘안뭍더라구요다른 목도리들은 많이 뭍는데..다음번에는 와인색이나 검정색 구매하고 싶어여..비싼 만큼 제 값을 해여
byl06**|스노우박시 양털무스탕 색상이 진짜 너무 새하얘서 겨울이랑 너무 잘 맞는 것 같아요. 겨울만 되면 이 옷만 찾게 되는데요ㅎㅎ 이 무스탕과 비슷한 제품이 있길래 그것도 샀어요! 정말 고고싱 무스탕은 다른 무스탕과 차원이 다르네요. 자주 이용해야겠어요~
whro23**|목부분이 길어서 처음에 놀라긴했는데, 한번 더 접으니까 예뻤어요 ㅎㅎ 색깔도 괜찮고 무엇보다 촉감이 너무 부드러워서 기분이 좋았어요~ 또 두께도 있어서 따뜻하게 한겨울 잘 날수있을거같네요 옷 예쁘니까 고민없이 사셔도 될거같아요! 많이 파세요~
tjdmsgkr**|배송속도도 나쁘지 않았고싸고 저렴하게 잘 산거같아서 기분이좋네요 ㅎㅎ오늘 명절인데 입고 왔어요깔끔해서 보기 좋은거같아요안에 이제 제대로 이쁘게 어울리는 옷을 사야겟네요 *^^*잘 입을게요 ㅎㅎㅎㅎㅎㅎ앞으로도 애용하게씁니당 ~
ky968**|고고싱에서 니트 많이 사봤었는ㄴ데 이제까지 산 니트중에 제일 저아요.... 한3년전엔가 여기서 터틀니트샀었었는데 목부분이 계속닿고 까끌거려서 ㅠㅠ 한번입어보고 아직까지 방치중이라 이거 살때도 엄청엄청 고민했거든요...근데 입어보고 진짜 고민 싹... 진심이거 가격에비해서 품질갑인듯..니트 짜임이 팔목 부분에서 달라지는거도 너무 맘에들어요 ! 핏도 너무이쁘고 목입구부분도 커서 넘따뜻해서 목도리 따로안해도 좋고 ☆별다섯개☆ 다른색도 겁나 구비해놓고 시픔.. 봄오니까 참고 고고싱에서 다른거 지르러 갑니당ㅎㅎㅎ
whro23**|가격이 저렴해서 품질보다는 디자인을 선택했는데, 품질도 디자인 둘다 만족하게된 상품이예요~고민 많이 해쓴ㄴ데 상품후기보니까 고민 말고사라고하던데, 그래서 사보니까 정말 좋았어요, 그래서 저도 꼭 사라는말 하고싶네용 ㅎㅎ 안에 따뜻한 니트입고 입으시면 데일리하게 입으실수있어용 한겨울, 겨울, 초봄까지용 ㅎㅎ
christar**|예전부터 와인색 슬랙스가 사고 싶었는데 이번 기회에 사게되서 너무 좋아여ㅎㅎ생각보다 색도 예쁘고 핏도 자연스럽더라구요!많이 팔린 이유가 있는 것 같아여ㅕ계속 사야지 했는데 이제라도 사서 다행이예요ㅜㅠ진짜 포카 슬랙스는 인생탬이예여ㅜㅠ검정색이랑 와인색 있는데 색깔별로 다 소장하고 싶어요
lhj6418**|이런 모양의 치마 찾다가 고고싱에서 보이길래 샀어요! 핏도 예쁘고 어떻게 코디해서 입어도 예뻐요~~! 카키색도 너무 예뻐서 카키색이랑 검은색이랑 고민하다가 검은색이 더 다양하게 코디해서 입을 수 있을 것 같아 검은색으러 샀어요! 카키색도 입고싶어요
yyy24**|포즈가 좀 그런데요. 코트때문에 덩치가 커보이는 효과가 잇는고같아요어깨가좀 커보이는 효과도 있고 소매가좀 길어서 좀 접어입어야겠어요 이쁘네요 한겨울에 막껴입기 좋은것같아요!!!!!!!저 바지도 고고싱에서 산건데잘입고있습니다
lhj6418**|하얀색 단색 원피스 사고싶었는데 예전에 재고가 없다해서 못샀는데 이번에 샀어요! 단품으로도 입어도 예쁜데 니트나 니트조끼랑 레이어드해서 입어도 예뻐요! 전 단품보다 니트조끼나 니트에 같이해서 더 자주입어요 핏도 폭이 넓은데 예뻐요 잘입을게요
tpdus60**|생각보다 얇은편이에요! 얇아서 안에 검정색이너를 받쳐입지않으면 사이사이로 안이 비쳐요 ㅠㅠ 브라운으로 주문했는데 색상은 이쁩니다 챠콜로도 하나 더 구매하고 싶어요ㅋㅋㅋ재질은 까실까실한 재질아니라서 좋아요! 부드럽습니당!!
