wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
stu0914**|겨울에입을니트가없어서 구매하게됬는데 진짜너무이뻐요ㅠㅜ  키가작아서 걱정했는데 길이랑 팔길이도 괜찮았고 목도덮어주니깐 따뜻해요! 색깔도너무이쁘고 보들보들하니 좋아요ㅠ 코트랑 입으면 완전이쁠듯해요 감사합니다잘입고다닐게요
1743624655858893**|프리사이즈가 없어서 L 사이즈 시켰는데 그렇게 크지 않고 잘 맞았어요. 옷이 조금 얇은 감이 있지만 그래도 나름 예쁘네요. 제 키가 너무 작아서ㅋㅋㅋㅋㅋㅠㅠ 치마가 길긴하지만 그거나름대로 예뻐요!! 배송도 빠르게 온것 같구요. 여기옷들이 예쁘네요.
1743624655858893**|원래 바지는 27입어서 검정m 사이즈 시켰는데 잘 맞았어요. 슬렉스가 얇긴한데ㅋㅋㅋ그래도 나름 예쁘네요. 제 키가 너무 작아서ㅋㅋㅋㅋㅋㅠㅠ 길이를 좀 수선해서 입으면 더 예쁠것 같아요. 배송도 빠르게 온것 같구요. 여기옷들이 예쁘네요.
thcks**|당일발송에 있는 상품이라 금방 오겠거니 해서 2개 주문했는데 왠걸.... 목요일 오전에 입금했는데 수요일에 받았네요..화요일에 입으려 했는데 결국 입지 못한게 아쉽네요전체적으로 딱 가격에 비해 괜찮은 편이구요 그냥 다음엔 빨리좀 배송되었으면 좋겠네요
jiji5**|겨울에 따뜻하게 잘입었어요. 재질도 보드러웠고 진한 검정색 사고 싶었던 저에게 딱 안성맞춤 바지 였어요 .먼지가 좀 붙긴한데 저한테 딱맞았고 편했습니다. 기모의 질이 좋아요.핏도 괜찮았어요. 이번 겨울에 이 바지를 다른 바지보다 자주 입게되더라구요 ㅎㅎ
crazy9**|배송빠릅니다.바느질좋습니다.단추도 단단히달려있구요.품도넉넉하고 길이도엉덩이가려주는길이라좋습니다.골덴소재라보풀같은건 안일어날꺼같아ㅅㅓ오래입을수있을꺼같네요.누빔이라 따뜻하구요.품이넉넉해안에껴입기도좋을꺼같네요.세일해서 이가격에 득템한거같습니다.
singer13**|포토후기1등입니다!!!사진보고맘에들어서구입했는데 정말 마음에 들어요ㅎ기장이 생각보다 더 짧고 브이넥부분박음질이 조금 아쉬웠지만 가격대비만족해요ㅎㅎ 저건코디대충해서그런거고정말예쁘게코디하면 좋을듯해요~고고싱자주애용할게요
wlslz4**|검정코트사야돼서 둘러보다가 고민고민끝에 사게됐어요! 뜯어보니 어중간한길이같아서 좀불안해찌만 입어보니꾸 저생각 날려버려야도ㅑ요ㅎㅎㅎㅎ 개이뻐요 길이도딱이쁘고 품도 어깨도 재질은나쁘지않구요! 구김이좀있고용배송은일요일오전에입금해서 수요일오후에왔구요 클렌징티슈감사해요~~ 지금살가말가고민하시는분들 사시죠ㄱㄱ 후회절대안하실꺼에요ㅎ.ㅎ
crazy9**|배송빠르구요.양말너무귀여워요ㅎㅎㅎ배송상태도좋구요ㅎㅎ목길이도적당하고봄가을에 신고다니기딱좋은거같습니다.ㅎㅎ사은품으로 클렌징티슈도주시고배송질문에늘친절히상담해주시고좋습니다.ㅎ앞으로꾸준히이용할꺼같아요.ㅎ
lsj48**|세일을 하다보니까 배송이 느리더라구요ㅜㅜ 택배왔는데 서비스로 클렌징 티슈도 주셔서 좋아요^0^ 에어코트 원단이라서 그런지 일반 코트에 비해 너무 가벼워서 깜짝놀랐어요!! 두께도 두껍고 안에 누빔으로 처리를 해놓아서 따뜻하게 잘 입을수 있을거 같아요! 모델과 10cm가 차이가 나는 바람에 길이가 매우 길어졌지만 색도 마음에 들고 너무 부하지도 않아서 좋은것 같아요ㅎㅎ 뒤에서 봐도 어깨나 허리라인이 자연스러워서 부담스럽지도 않아요!! 오래 입을수 있을거 같아서 너무 마음에 들어요>-<
wndbs1**|"저한텐 가슴부분이 살짝 작지만 만족해여!실밥도 안나와있고 단추처리도 깔끔하고...키163인 저한텐 좀 짧은 감이 없잖아 있지만 긴거보단 나을것같네요!여덟색깔 베이직니트랑 같이입으려고 동시에 주문했는데 잘 어울리더라고요!어깨도넓어보이지않고...제가 치마를 잘 안입지만 이건 마음에 드네요 ""촌스럽진 않지만 때와 장소를 잘 가려서 입어야 욕 안먹을듯한 이 극강의 심플함....""이러면서 구매했거든요ㅋㅋㅋㅋㅋㅋㅋ원피스도 치마도 이거밖에 없는데 누구 결혼식이나 특별한 날에만 입으려구요.이쁩니당~~"
crazy9**|배송빠르구요.바느질 좋습니다.뚜꺼운편이아니라 봄가을에입기좋을꺼같습니다.캐쥬얼하구요.소매나 목이 골덴이라 포인트대서좋은거같아요.팔통이나 옷품도넉넉하니좋습니다.세일가격에완전득템한거같습니다.ㅎㅎㅎ
wndbs1**|요즘 날씨에 입기엠 좀 춥지만 소재도 얇은 비닐이 아니라 두꺼운 비닐?이라 고급스럽구 손목도 특이하고 목부분이 제가 원하는 스타일이라 정말 마음에 들었어요!거의 반값 할인 받아서 샀는데 대만족이에요.와펜 포인트도 튀고 지퍼 색깔땜에 튈거 같은데 카키색이라 생각보다 무난해보여요.블랙 사려 했다가 너무 어둡고 칙칙할까봐 카키샀는데 그러길 잘 한거 같네요.엄마는 날라리같다고 싫어하시지만 전 신경안씀;;ㅋㅋ던 손목부분을 잡고 다녀서 어깨가 그리 부해보이진 않다만 뒷모습은 부해보이네요.지퍼가 뻑뻑해서 잘 안 잠기는데 이쁘니까...^^털이 옷에 안붙고 안떨어지는게 가장 놀라웠어요!ㅋㅋㅋ고고싱에서 산 무스탕은 막 떨어졌는데 이건 하나도 안떨어지더라구여~~!!짱짱.....밑단도 깔끔하고 실밥나와있는 곳 없어서 만족합니다~~길이는 키163인 제무릎 위에 왔어요!모델분이랑 얼추 비슷해요!사진 투척!!
zz912228**|따뜻하고 좋아요~~~블루 색깔은 다른색보단 유니크하고 귀여워서 구매했음다화면이랑 색이랑은 딱 똑같고요 어디든 잘어울릴것 같아요ㅋㅋ옷이 부들부들하고 따뜻해서 자주 손이 갈것같슴당주머니에 손넣으면 더따뜻해여ㅋㅋ잘 입겠습니다
zz912228**|따뜻해욥ㄱㄲㅋㅋㅋ와 따뜻하고갠적으로 고고싱에 올라와있는 아노락제품들중에이게 젤 이쁘다생각했는데 틀리지않은것같슴다따뜻한데 귀엽고요 근데 단독으로 입긴 좋은데아우터를 머입지..하는 고민이 들어요ㅋㅋㅋ뭐가됐든 진짜추천!
codus51**|제가팔이긴편인데 그냥 보통분들이입으면 딱 알맞은길이일거같네요 저한텐 소매굉장히짧다능...ㅠ 그래도 전체적인기장은 적당히길어서 바지안에입어넣을수있어요 특이한게 팔부분 니트짜임이 단조롭지않고 물결모양이라고하나? 포인트짜임이있어서 특이하고좋아요ㅋㅋㅋ 실도 보라색 흰색 회색이 섞여서 심심하지않은 색이네요~ 소매가짧아서 별하나뺄게요ㅠ
zz912228**|따뜻하고 부드러워요ㅠㅠ 키작은 저도 사이즈 딱좋고요캥거루 주머니가 귀엽고요ㅋㅋㅋ아이거 깔별로다 갖고 있어도 좋을것같네여츄리닝도 바지도 그냥 다 무난하게 어울릴것같네여좋아요 추천합니당
codus51**|니트두개구매했는데요 두께도 나름두껍고 보들보들하고 길이도적당하네요 제가 팔이 긴편이라서 왠만한티는 거의 딱맞는길이엿는데 이건다행히 짧은느낌없어서 좋아요ㅠ 색깔도 흔하지않아서좋고 꽈배기가 여성스러운느낌을 더해줘서 좋아요ㅏㅎㅎ
zz912228**|따뜻하고요 부들부들한데 핏은 잘 잡혀서 갠춘합니당근데 오오 엄청 커욥ㅋㅋㅋㅋㅋ소매는 접어서 입어야겠고큰후드나 집업같은거 받쳐입고 낙낙하거나 후리한 느낌으로 입는게좋을것같아여~안에 안주머니 있는것도 실용성 있고 좋습니당
wnah**|베이지색이 이뻐보여서 샀어요. 소매가 넓어서 팔이 여리여리해 보이는 것 같은 효과가 있어요. 핏 또한 부해보이지않고 이쁜 것 같아요. 고민하시는 분들에게 좋은 가역에 빨리 구매하시라고 말하고 싶네요. 다음에도 다른 상품 구매하러 올게요.
hbor**|배송도 생각보다 빨랐구요~제가 사이즈가 많이큰편이라 사이즈 걱정많이했는데~사이즈도 그렇게 퉁퉁해보이지않아서 좋았습니다 그이고 완전마음에 드는건 색상이랑 재질이 짱짱이였어용가격이 많이 저렴하다보니 재질걱정이랑 색상이 너무 싸보일까봐걱정했눈데 짱짱!!!! 너무너무 좋아용 ㅎㅎㅎ다음에 롱코트 구매해보렵니당 ㅎㅎㅎㄹㄹㄹㄹㄹㄹ
wnah**|평소 눈여겨보던 상품인데 할인된 가격으로 구매해서 좋았어요. 확실히 딱 가격만큼 하는것 같아요. 얇긴 하지만 디자인도 이쁘고 핏도 이뻐서 날씨 좀 풀리는 초봄이나 봄부터 착용하면 될 것 같아요. 먼지가 잘 붙는 재질이에요. 다음에도 다른 상품 구매할게요.
xmasg**|평소에 스키니 27입고 나머지 일반 바지들도 m사이즈를 입어서 사이즈 선택할 때 진짜 고민 많이 했어요ㅠㅠ근데 다른 분들 후기 보니까 허리가 엄청 크게 나왔다고해서 안맞으면 교환해야지 하는 생각으로 스몰 시켰는데 입어보니 오히려 허리가 컸어요 ㅎㅎ허벅지나 종아리는 제가 원하던 핏이 나왔구요! 색도 이뻐서 이렇게 싼 가격에 구매한게 신기해요ㅎㅎ잘 입을게요!
wndbs1**|생각보다 얇아서 지금은 못입지만 주름져 있는거랑 밑단과 전체적인 핏이 정말 맘에 들어요~허리가 좀크고 신툭성 제로랑 실잡처리 제대로 안돼있는건 조금 아쉽지만 그래두 원함 핏니나놔서 넘넘 좋구요,돈아쌉지않은 구매엿어요!처음으로 슬랙스 사 보는데 앞으로 이 슬랙스 애용할 듯;;ㅎㅎ봄이랑 가을에 입으실분들에겐 강력추천해요!!망설일 필요 없슴다!!사이즈만 잘 선택하면 인생템이 될거에요!!고고싱 사이즈가 좀 작은거 같아서L로 시켰는데 잘했네요!M시켰으묜 불편했을 거에요.세탁기로 2번 빨았는데도 이상 없네요ㅎㅎ 블루는 좀 튈 거 같아섴ㅋ이정도면 후회없는 쇼핑이었네요!굿 초이스~!
ydu75**|정말 정말 핑크색을 사고 싶었는데 이번 기회에 사게 되었네요! 우선 저렴한 가격에 눈이 가고 색깔에 눈이 가는 옷 입니다 필이 꽂혀서 핑크를 사게 되었어요 색깔이 정말 예뻐요 정말 마음에 듭니다! 후회하지 않으실 겁니다! 단점은 길이가 좀 짧은 정도 밖에 없어요
ydu75**|맨투맨이 필요해서 사게 되었는데요 저는 파스텔 블루와 와인을 구매했습니다 파스텔 블루는 제가 파란색 계열을 좋아해서 사게 되었고 와인은 그냥 필이 꽂혀서 사게 되었어요 재질이 부드럽고 입을 때 따뜻해서 만족합니나! 또 박음질도 깔끔해요!
jenniferk**|도톰하고이뻐여♡♡♡♡♡ 어디든입어도 이쁘구ㅋㅋㅋㅋㅋㅋ목도삶닥옹ㄹ라와서이뻐여 안에뭐껴입으면진짜따뜻할거같애요~겨자색은 거의 머스타드으응색이라고 보시면대여~~~~피으색을 아식아뜯어밧는데 생각보다 진한핑크네여~
lse30**|사진보고 이뻐서 샀는데 혹시라도 안어울릴까봐 걱정 많이 했는데 정말 너무 예뻐서 좋았어요 ㅎㅎ 키가 너무 작아서 많이 길지않을싸 했는데 길이감도 딱 좋고 싼 값이지만 너무 예쁜거 같아요 ㅎㅎ 안에 입은 옷도 고고싱에서 구매한 제품인데 코트랑 입어도 잘어울려요 ~~
kimehe**|일단두꺼워서굉장히좋았습니다그리고배송도고고싱이라서3일내에오고사은품도듵어있어서좋았습니다다만아쉬운점이있다면옷자체가보풀이생기는옷이라그런지몇번입지않았는데도보풀이생겨서아쉬웠습니다그리고제키가158인데길이는무릎정도까지왔습니다핏은옷이두꺼워서그런지좀뜨?는편이라생각한것보다별로였지만무난하게코디하고입을수있어괜춘았습니다
ydu75**|가격에 비해서 품질이 매우 좋아요!! 사진처럼 색깔도 아주 예쁘게 나왔습니다 저는 검정과 핑크를 시켰는데요 다만 단점이 있다면 길이가 좀 짧다는 정도 밖에 없어요 매우 저렴하게 사서 정말 만족하고 있습니다! 정말 사시면 후회하지 않으실 거에요! 강추합니다!
g262**|네이비로 샀구요 배송은 빨리 온듯해요~~안 쪽에 약간 실밥이 정리가 안되서 오긴 했지만뭐, 그건 제가 정리하면 되..는거니까요.옷은 예뻐요~~!!!기모도 들어가 있어서 따숩기도 하고용앞에 있는 지퍼 올려입으면 나름 귀엽게도 보일 수 있고내리면 캐주얼 하게 보일 수도 있고..좋으네용~~~
g262**|배송은 빨리 왔구요~~깔끔한 거 좋아하는 타입이라..보자마자 샀어용~~ *_*딱, 취향저격!기모가 없어서.. 얇긴 하지만 그래도 뭐,예쁘니까..ㅋㅋㅋ그리고 기본템이라 어디에든 잘 어울려서 넘나 좋은것~~ 흐흐ㅋㅋㅋㅋㅋㅋ 잘 입을께요~~!♡
dpdl**|이거 완전 이뻐요!!길이도 딱 제가 원하던 길이에요 딱 무릎까지오는거같아요.(키 166).윗부분이 펑퍼짐하지않아서 뚱뚱해보이지는 절대 않고요,오히려 더 키도커보이고 날씬해보이는거같아요.그리고 생각보다 밑부분이 라인이 잡혀잇어서 훨신 더 이뻐요.추천합니다!!!
wjstpals9809**|배송이 진짜 딱시키고 1일만에 왔어요.진짜 배송빠른데 고고싱쪽에서 장문의 편지도 들어있었고 클렌징 티슈도 들어있더라구요^^패딩 딱 보자마자 화면상이랑 똑같아서 실망같은거 없었고 바로 다음날 입고 나갔다죠!!(저처럼 키가 작으신분들은 많이 커보여요 ㅎㅎ )약간의 솜뭉치같은거랑 실밥이 나와있긴했지만 나름 가격대로 치면 만족합니다~^^앞으로 고고싱 이용 많이 할께요~♥
ydu75**|예전부터 오버롤 팬츠를 갖고 싶었는데 저희 동네에 있는 가게나 지하 상가에 가도 마음에 드는 옷이 없었어요 하지만 고고싱에서 이번에 할인 가격으로 매우 저렴하게 구매하게 되었습니다! 골덴이라 따뜻하고 가격대비 정말 만족합니다! 사시면 후회하시지 않을거에요!
ydu75**|생각보다 코팅이 좀 많이 반짝거렸어요.. 또 대체적으로 박음질이 깔끔하지 않더라구요.. 사진에 보시면 주머니를 뒤집어 봤는데 실이 풀어져 있구요 기대를 했지만 돈이 좀 아까웠습니다.. 다음부터는 상품 꼼꼼히 검수해주시길 바랄게요! 감사합니다
bbono**|아 ... 반전이예요 완전 ㅋㅋ옷이 엄청나에 옆이 틑어져있어요 ㅋㅋㅋ 저는 그래서 재봉틀로 드르륵 드르륵 박았습니다 ㅋㅋㅋㅋ이거 안에 민소매 안입으면 큰일 나는 옷입이다 ㅋㅋㅋ거의 가슴 밑까지 좀 오바해서 터져있어요 잘 보고 사시욧 ㅋ
bbono**|하 역시 니트는 이쁜데 제 몸이 안이쁘다는걸 알았네요색도 정말 이쁘구요~ 옷 기장도 딱 이뻐요 하지만 입으면 떡대가 장난 아니게 부각 되어 보인다는건 염두 하시고 사시는게 좋을 것 같아욧 저는 사서 한번 입고 옷장행입니다 ㅜㅜㅜ 속상해요 매우
bbono**|사진 보고 반해서 바로 장바구니에 넣자마자 구매 했어요 ~색도 엄청 이쁘고 길이도 적당하게 오나전 마음에 들어요일주일에 한번은 무조건 입고 나가네요 골댄 소재라 따뜻하고 엄청 좋아요맘에 들어요 정말 좋아요 떡대도 가려주고 정말 좋아욧 ㅋ
pul39**|음..세일해서 기대하고샀는데 세일이라 일부러그런건가ㅜㅠㅠ일부로는아닐테고.. 제꺼만이상이있는건가요?코트입고놀이공원갔는데 놀이공원에서 기구타려고 안쪽주머니에 핸드폰이랑 카드넣어놨는데 놀이기구 타고 나와서 핸드폰꺼내려고 주머니에 손 집어넣으니까 핸드폰이랑 카드가 사라져서 엄청당황했었어요..알고보니 안쪽주머니가 찢어져서 코트아예안쪽으로 핸드폰이랑 카드가빠져있더라구요ㅜㅠㅠ 사진에 빨간색으로 동그라미 해놨어요! 이미 입고나와서 환불해달라하기도그렇고.. 어쩔수가없었어요 일단 제키가158인데 팔은 조금 길었어요 손바닥덮는정도? 그리고 기장은무릎정도까지왔던거같아요 음.. 안쪽주머니가 제껏만그런거같긴한데 팔길이는 줄여입으려고하고있어요 그리고 누빔이라서 매우매우 따뜻했어요! 놀이공원이 아무래도 산쪽에지은거라 추울거같았는데 별로안추웠어요 그거 빼고 좋은거같긴해요
dmd89**|토요일날 입금해서 수요일날 받앗구요.연휴땜에 그런지 택배 보내신날은 일요일인데 오늘 왓어요ㅠㅠ 무튼 받자마자 입어봣는데 생각보다 바지길이가 너무 짧아서 당황햇어요..ㅎ 제가 키가 작아서 항상 바지 길이가 길어서 접어입고 그랫엇는데 이거는 짧더라구요. 구매하실때 길이 잘보고 하셔야겟어요 ㅠ 근데 짧은거 제외하고는 너무 맘에들어요! 핏도 이쁘게 잘 나왓고 무엇보다 편해서 좋아요! 저렴한 가격에 이정도면 잘나온것 같아요^^
younjung34**|인스타에도 올렸어요>< 일단 너므 옙허요 ㅋㅋ 기장이 조금 짧나..싶었지만 그래도 하고 다니기엔 괜찮아요~! 디자인도 맘에 들고요. 색상도 사진 그대로 라서 제가 가지고 있는 코트들에 다 어울리구요! 일단 목도리가 귀야워염ㅋㅋ 고고싱 감사합니당~!
younjung34**|택배받을때의 설레임과 기쁜 마음으로 잘 받았어요! 일단 무게는 일반 패딩과 같이 중간 무게이구요! 그치만 밖에 입고 나갔더니 꽤 따뜻했어요 ㅎㅎ 기장도 힙선까지 딱 가려주고, 주머니도 많아서 음악들으면서 걷는데 딱 좋았어요. 고고싱 자주 이용할게욤:))
pjh84**|코트 처음받아봤을때 너무 가벼워서 얇을까봐 걱정했는데 전혀 안얇아요!두껍고 가격대비 진짜 진짜 괜찮은것같아요~!! 원래 코트는 인터넷으로 주문안했는데 롱코트만있어서 좀 딱 맞는 코트 찾다가 구매했습니다 가격대비 진짜 만족해요 배송도 만족합니다!
j7040**|머리묶을때 원래는 제머리로 묶곤 했엇는데 너무 시간도 오래걸리고해서 이번에 이거 사봤는데 색깔도 제 머리색이랑 비슷하고 이뻐요ㅎㅎ 오프라인매장에 파는건 머리카락이 좀 끊긴것도 있었는데 이건 깔끔하게 잘되어있네요ㅎㅎ 배송도 빠르고 좋아요~
eversun12**|진그레이색상 구매했습니다~ 무난한 색인만큼 어디에 입든 너무 잘어울려서 너무너무 만족하고 있습니다! 색상도 사진이랑 거의 똑같아요! 간단하게 데일리룩으로 정말 좋은것 같아요!!~ 앞으로 고고싱 애용하려구요ㅎㅎ 봄도 기대가되용
younjung34**|ㅎㅎ 안녕하세요^^ 이런 후기 처음 남겨보네요~!일단 코트는 정상배송기간으로 잘 받았어요>< 딱 입는 순간 가볍고 재질도 괜찮더라구요!밖에 입고나갔는데 따뜻하기까지 해요!ㅋㅋ제가 하체비만이라 기장도 좀 길었으면 좋겠다 생각했는데 딱 무릎정도까지 오구요~! 주머니도 깊고 안감도 포근합니당ㅇ0ㅇ저렴한 가격에 좋은 상품으로 주셔서 감사합니다♥고고싱 GoGoSing 많이 애용할게요!
j7040**|배송도 빠르고 반지 너무이쁘네요ㅎㅎ친구랑 우정링처럼 하려고 두개샀는데 포장도 잘되있고 너무이뻐요~~ 고고싱 너무 친절하고 직접 글도써서보내주시고 처음주문해봤는데 대만족이네요ㅎㅎ 옷도 이쁘게 잘입을게요ㅎㅎ 고고싱대박!!!!
thdchf**|색도 너무너무 예쁘고 길이도 너무 좋은데  사실 저처럼 통통족은 정말 뱃살이 없어야지  핏이 예쁠거같아요  정말 모든게 맘에드는데 뱃살부각이 너무 심해요ㅜ사실 뱃살부각은 제탓이긴 하지만용 ㅠㅠ진짜 뱃살 없으신 분들은 꼭!!!사세요 두번 세번 네번사세용 완전 만족
thdchf**|마침  가방이 필요해서 무엇을 살까 고민하다가친구도 이곳에서 샀다고 하길래 저도 한번 고고싱에 들어와서봤는데요! 정말 딱오자마자 정말 너무너무 예쁘고 사람들이 들고 다니는 디자인과는 달라 차별성이 있어서 너무너무 맘에들고 좋았어용! 자주 애용할게용
ahfr**|목도리가지고싶어서 샀는데 생각보다 좋아서 후기남겨요!!그리고 완전커요.. 제 키넘어요ㄷㄷ 완전 제스타일!!!^^*
chomi**|제가 집주소를 실수로 잘못적어서 택배받기 정말힘들엇지만 그래도 제실수라ㅜㅜ고고싱에서 이번에처음으로 옷시켜봣는데 정말좋아요!!! 진짜이옷 보자마자 반해서 않살수가없었어요! 엄마엄청 졸라서 힘들게 삿으니깐 이쁘게잘입을께요 감사합니당~~
yelim06**|디자인도 예쁘고 완전 크고 두껍고 따뜻해요 담요로 사용해도 될듯.색도 예뻐요. 한 겨울에 이거 했더니 목부분이 더워 죽는줄 알았어요. 그 로고 부분이 자수처럼 되어 있는게 아니라 스티커라서 조금 아쉬웠어요. 그냥 잘 떼어지는 스티커더라구요. 이점  빼고는 만족합니다^^
thankyou**|카키색에 이어 아이보리도 구매했습니다..ㅋ.ㅋ핏과재질에 너무 만족한 나머지.. 남자친구도 이쁘다고 하고 너무 좋아요 안에 양털이라 너무 부드럽고 핏도 오버핏으로 이쁘고 근데 카키에비해 아이보리는 부해보이는 느낌이 있네여.. 감안하세요 ㅋㅋ 블랙도잇으면 살텐데 아쉬워요.
thankyou**|이건 진짜 개대박 .. 안이 양털이라고해서 구매해봤는데 정말 진짜 고고싱에서 맘에든 옷 탑3 순위에 들어갑니다. 카키색 고민하고 구매했는데 너무 만족스러워요. 접어서 입으면 손목에 양털이있어서 여성스럽기도하구요. 하나 더 구매할 생각입니다.
thankyou**|세일하길래 반신반의로 하나 구매했는데 털도 너무 부드럽고 만족스럽습니다. ㅎㅎ 남자친구가 방울이 호두같다고...ㅋㅋㅋ한 번 하고 나갔는데 귀여운맛에 쓰는것같아요. 따듯한것도 있고.. 울집고양이가 정말 좋아합니다..ㅋㅋ자꾸 갖고놀아서 미치겠어요. 구매하세여!
myjin62**|재질은 피아노 건반 카펫같은 약간 삣빳한? 재질이에요 흐물흐물하지 않고 힘있는. 그렇다고 따갑거나 그러진않아요~생각보다 가로로 넓어서 좋았구요.어두운 네이비코트에 하니 잘어울렸어요초록체크목도리 안그래도 사려했는데 좋은 가격에 사서 좋네요다만 배송은 무지 느렸다는거!
wofud**|원래는 그레이 주문했었는데 너무 늦어서 코코아로 바꿨어요ㅜㅜㅜ 그래도 코코아도 이뻐요 색이 너무 진하지도 않고 딱 이쁩니당. 근데 엄마가 맘에 들어하셔서 엄마 드렸어요... ... ㅋㅋㅋㅋㅋㅋ 다음에 다른색으로 더 살게용 많이 파세요~
thankyou**|검정색 구매했어요!! 브라운은 너무 튈거같아서 블랙으로 했는데 선택 정말 잘한것같아요. 핏도 넉넉하니 이쁘고 길이도 적당하고 좋아요. 다만 염색을 한건지 손이 자꾸 검정으로 물들어서 한번 입고 드라이 맡겼어요! 털이랑 실이 옷에 붙어서 ㅠㅠ 드라이 하고 입으심녀 좋을거에요!!
qhsgml4**|오 저 검은색 샀는데 진짜 예뻐요 생각보다 두껍고? 근데 밑에가 약간 퍼져있다해야대나 그래서 빼서 입으면 진짜 이상해요 넣어서 입으면 예쁜 핏나와요~ 검은색이랑 아이보리 고민했는데 전 검은색사서 잘 산거 같아요~~ 이제 입기 좋을날씨예요!
qhsgml4**|음 팔통이 다들 크다해서 얼마나크겠어하고 크게 신경 안썼거든요?? 근데 진짜 커요 ㅋㅋㅋㅋ단추푸르면 너무 커서 당황할정도로 진짜커요 근데 색감자체나 핏같은건 좋아요! 제가 원래 박시하게 입는거 좋아해서 그럴수도있고 할튼 만족해요~
myjin62**|퍼도 너무 별로고 입었는데 너무 크더라구요.안그래도 키도 큰편이고 덩치도 있는편인데 입고 뒤돌아 봤더니어깨도 너무 넓어보이고..안그래도 어깨 넓은편인데패딩치고도 더 넓어보여서 못입겠더라구요아무리 싸도 안입을거같아서 환불합니다ㅜㅜ
sso21**|옷사고 배송올때부터 옷재질상태가 그냥그랬는데,아직 드라이도안시키고 빨지도않고 두번밖에안입었는데 보풀 엄청나네요..그냥 이가격에 산걸로 만족해야겠어요
sdhk**|바지새이랑 라인이 너무마음에 들어서 역시고고싱!!감사해요ㅠㅠ
qoalswl79**|대박 제 마음에 쏙 든 아이템이에요 후기에서 목이 조금 많이 조인다고 해서 걱정을 했는데 그럴 필요 없을 것 갗아요 그리고 밑에 하의를 제가 이 옷을 치마랑 같이 입은 적이 있는데 그때 안에 재질 떄문인가 치마에 보풀 같은게 좀 묻어서 떨어지질 않더라구요 그래서 착용하실 때 얇은 티랑 같이 입어주시면 더 예쁠 것 같아요
ndb**|이뻐요 진짜!
qoalswl79**|아이보리색 니트를 찾고 있었는데 마침 고고싱에서 예쁜 니트를 발견해서 여러가지 제품 비교해보다가 하나 구매했어요 좀 얇은 것 치고는 많이 만족합니다. 얇아서 안에 셔츠나 뭐 이런 거 입고 같이 입으시면 좋을 것 같아요 색상도 아이보리 보다는 조금 더 밝은 색이라서 저는 아주 만족스러웠어요!!
dlwltn8**|이거 생각보다귀여워요!!!!! 좀  박시하면서 특이한색찾다가 구매한건데 이뻐요!!!!!!제가 처음으로 포토후기남기네요 고고싱은 가끔배송 지연되서 늦ㄱ는거 빼고 거의 맘에 드는편이에요 앞으로도 계속 고고싱 이용할 예정이에용ㅋㅋㅋ
kul**|화이트.그레이.챠콜 이렇게 3가지 색상 니트 구입했는데 챠콜이 제일이뻐요!!! 화이트 아우터없이 입어도 이쁠거같아요. 딱맞을까봐 걱정했는데 어느정도 여유있는편이라서 마음에 들었어요.그레이랑 챠콜은 딱 그색깔들이고 화이트는 화이트에 아이보리 약~간 섞인색 같아요.마음에 들어요!
tndus6**|클러치백 하나 사고 싶었든데 오늘이어야 사보네요 크기도 적당하구 작지도읺고 크지도않아서 보통 여성들이 가지고 다니기 손에 착착 붙네요^^ 디자인도 심플하고 튀지도않고 가볍게 소품 넣고 다니기 좋네요~ 가방은 처음 사보는데 다음에도 이쁜거 있으면 사야겠어요^^
tndus6**|굳굳 저번에 한번 검정바지 필요해서 샀는데 요번에도 또 구매했어요 다시구매할만큼 입기 편하고 맘에 쏙 들어요^^ 스판이 장난아니라 쭉쭉 잘늘어나고 계속 입다보면 많이 늘어나있는게 단점입니다.ㅜㅜ 가격도 저렴하고 괜찮은것같아요 배송받는데 너무 오래걸려서 고생했지만 상품은 맘에드네요~강추합니다
kul**|색상은 마음에 들어요. 넉넉하게 입을줄알았는데 입어보니까 생각보다 딱맞아요 ㅋㅋㅋ 그리고 제가 팔이긴건지 팔도 짧더라고요.. 세탁하면 더 짧아질까봐 걱정이에요    아우터 안에 입어도 이뻐요! 고고싱에서 니트는 처음 사보는데 꽤 괜찮았어요
camuglo**|너무 귀여워서 니트조끼랑 같이 매치해서 입으면 이쁠 거 같아서 구매했는데 와인색 너무 이쁩니다 ㅠㅠㅠㅠㅠ 가격도 착하고 봄까지 되게 자주 입을 거 같아요! 고고싱에서의 구매 대부분 항상 만족입니다! 이쁘게 잘 입고 다닐께요~~~~~~~
camuglo**|요 녀석 때문에 배송이 조금 느려지긴 했지만 이름부터 베이직니트라 어떻게 매치해도 잘 입을 거 같아요! 봄까지 쭉~~~~~~~ 입을 수 있을 거 같습니다! 가격도 착하고 ㅠㅠㅠ 구매 완전 대만족입니다! ㅎ.ㅎ 다른 색상도 많은데 구매해야겠어욜!
camuglo**|코트인데 가격이 너무 착해서 구입했는데.. 받아보고 나니 이건 뭐 퀄리티도 대박입니다ㅠㅠㅠㅠ 고고싱 코트 알아줘야할 것 같아요! 챠콜로 구매했는데 다른 색깔도 탐나네용~~~~~~~~~~ 색깔 고민했었는데 이쁩니다! 어떻게 매치해도 이쁠 거 같아요!
