760366330840784**|친구와 같이 트윈룩으로 구매했습니당~~끈도 다양한곳에해도 되서 너무 좋았습니다 너무만족해요!
765391846**|너무 이뻐요ㅠㅠ ♡신상 업뎃된거 보고 바로 샀는데 너무 맘에 들어요ㅠ 길이도 적당하고 가슴쪽이 많이 파이지도 않고 여성스러워서 더 맘에 들어요!! 찰랑찰랑해서 더 이뻐요♡ 주위에서도 옷 이쁘다고 많이 해주고 어디서 샀냐고 물어보더라고요ㅎㅎ 여러분 고민하지 마시고 사세요 완전 이뻐요 완전 추천합니다 고고싱 짱♡
goswo4**|치마 자체는 되게 예뻐요! 근데 위에 같이 입을만한 옷을 찾기가 힘들더라구요 그리고 조금 통통하시면 입기 힘드실 것 같아요 언니가 입어보고 좀 낀다 그러더라구요.. 치마는 예뻐요! 저한테는 그닥 안 어울렸습니다...^ ㅠㅠ ^
yyyyyd10**|생각보다 더 품도 넉넉하고 색도 진짜 딱 화이트고 좋아요!! 입고 지연 떠서 같이 시킨 다른 옷들에 비해 늦게 받긴 했는데 그만큼 무난하게 자주 입을 수 있을 것 같아요ㅎㅎ 잘 입겠습니다!!
azzz**|완전 까끌까끌한 여름 니트일 줄 알았는데 부드러운 니트라서 밖에 입고 나가야 더울지 안 더울지 알 것 같아요, 넥라인이 짱짱해서 오히려 여름에 땀 날까봐 걱정이에요.. 옷 자체는 깜끔하고 괜찮습니다.
azzz**|여름에 시원하고 입고 다닐려고 샀어요~ 기장이 생각보다 짧아서 배까지 오는 치마가 아니면 넣기 힘들 것 같지만 상품은 만족합니다. 눈에 띄지는 않지만 옷에서 단추 닿는 부분에 뿌옇게 묻은 것 같이 있어서 한번 세탁해야 할 것 같아요.
codmsrla05**|잠그는 부분이 고장나서 교환 요청했어요!근데 받아서 보니 하트가 넘 큰 편도 아니고 넘 화려한 것도 아니라서 평소에 데일리루 무난무난하게 쓰실 수 있을 것 같아요! 발찌로도 쓸 수 있다니 ㄹㅇ ㄱㅇㄷ입니당
codmsrla05**|제가 그렇게 덩치도 있는 편도 아닌데 왜 저한테 딱 맞을까요?ㅎ뭔가 색상도 그렇고 집에서 입는옷 같고 핏도 넘 딱 맞아서 예쁘지않고뭔가 월드컵 같구 그래요,,ㅎㅅㅎ 그래도ㅇㅣ건 저한테만 그런것일수 있으니까,,참고하세용
codmsrla05**|쫀쫀하게 달라붙는게 진짜 마음에 들어요!ㅎㅎ허리두 딱 맞구용! 그렇게 짧지두 않고 재질도 괜찮아요!그렇지만 앉으면 좀 끼어요^^살집있으시면 그거 고려해볼만한 사항인듯 싶습니다,,,ㅜㅜ
codmsrla05**|되게 뭐랄까 긴바지를 잘라놓은 느낌,,? 뭔가 아래 찢어진 부분이 별루에오,,,,ㅎㅎ그래도 하이라서 굉장히 편하구용 길이도 적당해용딱 저만 살빼면 다리라인도 예쁘게 잘 빠질 것 같다는 생각이 드네용!
kej27**|엄청 얇아요 밝은색 입으면 안에 좀 비칠거 같기두 해요 여름에 입기 좋구 스판기도 있어서 입기 편해요 후기가 많이 없어서 고민했는데 잘산거같아요!
kej27**|이런 단가라티 하나 갖고 싶었는데 마침 고고싱에서 팔더라구요 색깔 고민을 엄청 했어요 고민하다가 무난한 베이지로 샀는데 목도 엄청 짱짱하구 너무 예뻐요
hss040**|상체통통이라 사이즈 고민많이하다가 m으로!!원래29도입는데 이사이즈도 갠찮네여 디자인도 이쁘고 만족
hss040**|결혼식때문에 배송빠른걸로 샀는데 만족해여! 제가좀 상체뚱뚱이라 팔쪽이 낄까봐걱정했는데 딱맞고 근디 고무밴드가 슬쩍슬쩍 위로올라와서 부담스러워보이는데 계속내리면갠찮아옄ㅋㅋ 가격도착하고 하나정도 가지고있어도 좋네옹
785995999**|어이 없네요 ㅋㅋㅋㅋ 배송전 전화달라고 코멘트도 달고 했는데 배송완료라뇨 ㅋㅋㅋㅋ  그시간에 집에있었고 심지어 그시간에 친구가 와서 딱아는데 오지도 않았어요 ;;배송 완료라고 구라치지말고 오늘 안주시면 반품 해주세요;;
thgml12**|모델분이 너무 이쁘시고 해서 저한데 어울리지 않을까봐 걱정을 많이 하고 이런 스타일에 도전하는 김에 주문에서 입어봣는데 진짜 맘에들어요
good94**|요 가격에 이런 퀄 자켓 실화인가요....?ㅋㅋㅋㅋㅋㅋㅋ 가격 진짜 너무너무 저렴한데 원단도 싸구려느낌은 아니고 핏도 넉넉하면서 부하지는 않은...? 딱 고 중간쯤에 있어서 약간 각을 잡는 날에 걸쳐주면 정적이고 차분한 코디 될 거같아서 마음에 들어요. 반바지나 치마에도 잘 매칭되고요! 이제는 날이 더워져서 입을 수는 없지만 가성비 짱이구 약간 쌀쌀할 때 걸치고 댕기면 최고일 것같습니닿ㅎ
good94**|제가 살이 찐걸까요ㅋㅋㅋㅋㅋ 아~주 쪼끔 바지가 딱맞기는 하는데 바지가 엄청 타이트해서 다리에 살들 꽉 잡아주는 느낌이구 하이웨스트 핏이라 다리가 길어보여서 좋아요^^**ㅋㅋ 더워지면 입기는 좀 힘들 것같구 간절기에서 약간 쌀쌀할 시즌에 백방으로 활용해서 입을 수 있겠어요. 예쁘게 꾸며입을 때도 암때나 편하게 입을 옷 집을 때도 쉽게 손이 갈 것같은 예쁜 바지입니다!
jiwon31**|온리고고싱린넨투피스 반팔 버전으로 연베이지 컬러 F사이즈 구매했습니당ㅎㅎ 제가 생각했던 것보다 옷이 많이 얇은 재질이었어요~ 옷이 빳빳한 느낌은 아예 안 든다고 보시면 되요! 재질이 얇아서 주름도 너무 잘 지네요ㅠㅠ 그게 좀 아쉬웠지만 옷 자체는 너무 예뻐요! 예쁘게 입겠습니당
good94**|사이즈도 적절하고 통풍도 잘돼서 여름내내 입고다닐 수 있을 것같아요~! 셔츠는 다른 면바지랑 매칭하기에도 너무 좋고 제가 또 숏기장을 선호해서 기장도 맘에 쏙들어요!! 아 컬러도 진짜 찐한 브라운컬러가 저렴해보이지 않아서 가성비 최고예요 역시 항상 만족스럽습니당
shoot10**|2주 넘게 걸려서 받은 상품인데 우선 제 키에 바지 길이감 적당하고 핏도 괜찮아요 코디 귀찮을때 편하게 입을 수 있는데요 문제는 가슴쪽이 진짜 엄청 파였다는것.......가슴골 다보여요 그래서 안에 나시 꼭 입어줘야 합니다 ㅠㅠ 그리고 유일하게 가슴쪽에 채우는 단추 하나 있는데 처음 옷 착용했을때 똑 떨어져 버렸네요 아쉬운대로 제가 바느질해서 다시 달아놓고 있어요 그냥 싼맛에 사입기 좋은 옷인것 같아용
neworld9**|모델언니들 입은거 보고 박시하게 입을수있겠다해서 샀는데 오!!!! 너~무 박시하네요 ㅎㅎ 팔길이는 괜찮은데 전체 옷길이가 허벅지 반을 가려요ㅜㅠ 이거 입은거보고 남자친구가 자기옷 입은거냐구.. 그래서 남치니한테 입으라고 줬어요! 그래도 가격도 착하고 재질도 굳이구영~ 커플룩으로도 괜찮을거같아요^^
52926648**|1장에 4900원이라고해서 그럼 디자인은 안이쁘겟지 품질도 안좋겠지라고 생각햇는데 정말 오산이엇어요! 싼데 프린팅도 이쁘고 사이즈도잘맞아서너무좋앗어요!
52926648**|빨간색이라 눈에도 잘띄고 좋앗어요 배송도 빠르고 글씨도 이쁘고 약간 박스느낌으로 돼잇어서 청반바지에 입으면 예쁠것같아요 잘입을게요!♡
