wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
wjdal**|배송도 빨랐고 상품도 너무 마음에들어요 가격이 저렴해서 두개나 구매했는데 진짜 잘한거 같아요 가격대비에 너무 만족스러운 제품이예요 데일리로도 가능하고 편하게 입을수도있을만큼 만족스럽네요
aimee09**|제키에 맞는 바지 진짜 없거든요?그래서 맨날 기장 돈주고 자르고 했는데이건 레알루 줄일필요 하나도 없음니다!!!게다가 발목도 보이구요글고 신축성 너무좋다고 하셨르데 거짓말안치고 짱 좋습니다이바지 가성비 갑이에용ㅎㅎㅎㅈ색도안빠지고 세탁후에도 문제없어욧!!하나 장만하세용그리고 쇼핑몰에서 바지사면 안맞을까 허리클까길이 길까 못샀는데 고고싱 후드티도 짱맘에들길래바지 장만했는데 쵴오!!!!!!네요담에도 고고싱에서 바지살래용♡♡♡
tkgkrsus12**|봄가을 버전 보고 이쁘다고 생각했는데 겨울용 나와서 따뜻하게 입을 수 있어서 좋아요!! 핏도 너무 이쁘고 질도 좋은 것 같네요~~ 지금 날씨에는 좀 많이 추울것 같지만..ㅎㅎ 잘 입겠습니다!!
wjdal**|접은거랑 안접은거랑 두개 올렸는데 전 둘다 나쁘지 않앗던거 같아요 허벅지때문에 26을 입어서 똑같이 주문했는데 허벅지는 괜찮는데 허리가 너무 커서 바지가 질질내려가서 여행내내 불편한점이 없지않았어요 저처럼 허벅지가 좀 튼실하다하시는 분들은 참고 하시면 좋으실거같아요
wjdal**|배송도 너무 빨랏고 기대인헸던 상품이었는데 너무 만족스럽네요 이번쇼핑대만족이라고 할만큼 모든제품들이 마음에 들고 가격도 저렴해서 재질이 별로 일거라고 생각햇는데 너무 따뜻해서 놀랐어요
wjdal**|가격대비에 정말 만족하는 코트입니다! 이번 겨울에 너무 추워서 코트살생각도 안하고 무엇보다도 마음에 드는 코트가 없어서 매번 고민했엇는데 이번에 소매쪽도 너무 마음에들고 의외로 따뜻해서 놀랏어요 다른색도 구매하고 싶은 생각이 있을정도로 너무 만족스럽네요!
eunbee19**|기대를 많이 하던 상품이였는데 실제로 보니 더 예쁩니당생각보다 옷 얇기가 도톰해서 따뜻합니다 ㅎㅎ다만 단추가 진주로 되어있는데 떨어질 것 같아 조심히 입으려구요!
704161597**|치마 너무 예뻐요 기본템 필요해서 검은색 구매했는데 질도 좋아요. 다른 치마도 여기거 구매해야겠어요
704161597**|기대안하고 샀는데 진짜 꼭 사세요. 니트 촉감이 부드럽고 색도 너무 예쁩니다. 다른 색깔로 더 사려구요. 이거 오래 팔아주세요!!!!!
hayan10**|입을때 모델언니가 입은 핏 그대로 나오고 키가 157인데 길이도 딱 이쁘네요 정말 잘 입을게요ㅜㅜ!
anyeew**|치마는 처음사보는데 어울릴지 짧지는않을지 고민 정말 많이 히고 샀습니다!! 제가 키가있는편인데 그렇게 짧지도 않고 밴딩이 탱탱해서 라인도 잘 잡아줍니다ㅎㅎㅎ 후회없는 선택이었습니다 이 후기를 보고 조금이나마 고민을 덜었으면 합니다ㅎㅎㅎ
hayan10**|재질이 다른코트들과는 다르게 볼 때는 가디건재질 같은데 입으면 가디건보다는 좀 무거운 느낌ㄷ이 드네요 그래도 핏은 이쁘고 두께도 적당합니다 잘 입을게요~~~
aaa29**|살짝 굽고 있고 너무 이쁜데 뭐가 많이 묻어서 왔어요.. 딱 열었으때 나무? 박스부스러기? 같은것도 많이 떨어져있고..ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 사이즈교환때문에 기다린 시간이 있어서 그냥 신지만 너무 아쉽고 속상하네요.... 그리고 일반 사이즈보다 조금 커요! 230신으시면 225시키시는게 좋을거 같아요!
dbcwla**|가디건진짜 너무이뻐요!! 단추모양이 진짜이쁘네용 ㅎㅎ 그레이 색상이 이뻐보여서 늦게 입고된다는데도 주문해서 기다렸는데 기다린보람있어요 청바지에도 치마에도 이쁠거같아용
hayan10**|키가 157에 몸무게가 45 인데 길이도 3센치 정도 길고 통도 5통정도 되는 것 같아요 핏이나 가성비는 좋은데 마른사람에게는 통이 좀 크네요 그래도 만족 합니다~
117456688907040**|너무 얇아서 걱정했는데 그래도 그만큼 따뜻해서 좋고 펴상시생활할때 편하게입을수 있어서 좋은것같다. 앞으로 고고싱에서만 시켜야할것같다. 이
ksj45**|좋아요 ㅋㅋㅋ 옆부분이 약간 길어서 애매하긴한데스판도 조금 부족하긴허지만가격생각하면 부드럽고 좋네요
ksj45**|생각보다 엄청 짱짱해요 ㅋㅋㅋㅋ스판이 별로 없어서막 엄청 편하진 않아요사이즈 선택할수있었으면 좋았을텐데
ksj45**|길이가 좀 긴 양말을 찾았는데가격도 싸고 너무 좋아요고무도 짱짱해서 쉽게 안늘어날듯해욬ㅋ
ksj45**|블랙보다 스킨 색상이 더 이쁜거같아요모양도 잘 잡아주고 좋습니다가격만큼 하는거같아요 ㅋㅋㅋ
ksj45**|뽕이 너무 많지도않고 적지도 않고적당하게 있는거 같아요 ㅋㅋㅋ딱 가격만큼 해요 좋네요 ㅋㅋ
ksj45**|좋아요 뽕도 엄청 넉넉하고 디자인이나 색도 이뻐요근데 생각보다 이쁘게 모아주진 않아요 ㅋㅋㅋ
92044639**|색깔이 딱 봄에입기ㅜ좋은색깔이네요 봄이 빨리 왔으며뉴좋겠어요 !! 잘 입을께요 !!!!!!
92044639**|연청 색깔 너무이뻐요 !! 지굼 날씨에 입기에는 조금 추울꺼같네요 그리고 허리가 안커서 너무 좋아요 !! 빨리 봄이왔으면 ㅎㅎ
92044639**|빨간색깔 니트 갔고 싶었는데 촌스러운 느낌에 빨간색이아니라 이쁜 빨간색 리였어요 너무좋아요 !! ㅎㅎ 잘입을께용
jyh38**|발볼이 좁은 칼발이라 조금 헐렁하지만 진짜 너무 예뻐요. 원래 사이즈보다 한 사이즈 크게 샀는데 그렇게 크진 않구요 너무 예뻐서 치마 입고 신으면 되게 예쁠 것 같아요 감사합니다
minjung63**|길이는 딱 좋고,신축성 나쁘지 않은데 생각보다 작게 나온것같아서 구매하실때 잘 보고 구매하시면 좋을것같아요!
minjung63**|진짜 편하고 신축성 장난아니에용 인생바지입니다 키 작으신분들은 딱 맞게입을수있을정도에 길이에요!
minjung63**|그냥하나 포인트주기에 딱 좋은것 같아용 발목살이 많으면 조금 살이 튀어나올수있는점주의 하세용!
wjdms**|연보라랑 같이 삿는데 배송도 빠르고 핏이랑 재질이랑 두께랑 다  만족스러워요 편하게 입을수 잇을거 같애요 추천해요!!
wjdms**|배송도 빨랐고 연보라 삿는데 진짜 색깔이 똑같아서 좋았어요ㅎㅎ 핏도 아방하니 귀엽고 두께도 적당하고 모자도 크고 다 좋아여!!!
h955**|평소 250 신는데 저는 잘 맞아요~ 신발도 편하구요!! 편하고 무난하게 잘 신을 것 같아요~ 감사합니닿ㅎㅎ
h955**|예뻐요!! 깔끔한 치마랑 입으면 더 예쁠 것 같아요 진주가 포인트네용ㅎㅎ 그런데 단추 구멍이 좀 넓은게 하나 있어서 진주가 자꾸 빠지네요..ㅠㅠ 그래도 예뻐서 그냥 입을게용~
world45**|일할때 검정 옷필요해서맨날 입는데 완전 좋아요!잘 늘어나지도 않아요폴라가 반폴라여서 목 답답하지도 않아요너무 만족스러워서 다른색상도 살려구요 ㅎㅎ
db**|생각했었던 것 보다 얇고 길이도 짧네요ㅠ 패턴도 차콜이라그런지 티가 많이난다고 해야하나..ㅠ
db**|길이랑 핏 다 맘에들어요~ 근ㄷㅔ 허리가 좀 많이 커서 벨트 매야할 것 같아요ㅠㅠ 재질도 맘에듭니당
db**|귀여워요~~~~예상했던 대로 박시하지않고 딱 맞는 핏이네요 다만 니트냄새가 좀 나서 빨아입어야할듯
db**|색감이나 재질은 맘에 드는데 역시 이름값 때문인지 진짜 박시하네요ㅠㅠ  품이 너무커서 아쉬워요ㅠ
hyoyoon01**|되게 두꺼워요. 치마에 넣어서 입으려했는데 두껍다는 점을 유의해야할 것 같아요. 그래도 따뜻해요 ㅎㅎ
hyoyoon01**|이거 진짜 편해요!!저번에도 삿엇는데 많이 빨면 흐물흐물해져서 솔직히 1년이상은 못입지만, 가격이 싸니까 ㅎㅎ 다시 사면 될것같아요
ansd**|배송 넘 빨라서 좋아요 ! 집에 와서 바로 입었는데 골반쯤에서 걸리긴하지만 입어보니 넘예쁜거 있죠ㅜㅜ 저에게는 짧긴하지만 입고 다닐만은 한거같은데요?
ansd**|와...배송 완전 빠른거 같아요! 제가 원하는 핏이에용 사세요 다들❤️❤️❤️
hang56**|제가 산 옷들 중에 가장 예쁘다고 생각한 옷이네요! 다리도 얇아보이게 만들어주고 일단 색이 너무 예쁩니다
hang56**|모델 언니처럼 여리여리 귀여운 느낌 안날줄 알았는데 나네요! 이런 재질의 니트 너무 귀여워서 좋아요!
sgh78**|니트 색감도 좋고 핏도 이뻐요!! 얇을줄 알았는데 따뜻해요~!!배송도 빨리오고 가격때 비해 질도 괜찮아욤ㅁ
sgh78**|코트가 싸서 걱정했는데 핏도 이쁘고 질도 괜찮은것같아요!! 깔끔하고 배송도 빨라서 좋았어요!!
sgh78**|싸서 걱정했는데 예뻐요!! 치마바지라 편하고 배송도 빨리오고 완전 좋아요 ㅠㅠㅠ 쇼핑몰 자주 써야할것같아요!!
twtwlo**|생각했던거랑 좀... 달라요... 재질이 저렴해 보여요... 색상은 화면에서 보는 것처럼 이구요
twtwlo**|맘에 들어요. 딱 제가 찾던 스타일 이에요. 다만 길이가 좀 짧아요. 바지랑 입기보다 원피스랑 입으면 이쁠거 같아요.
twtwlo**|생각했던것보다 색이 어두워요. 그래도 리본이 있어서 귀여운 느낌이 나는 것 같아요. 잘입을께요
twtwlo**|색상이 생각했던 거랑 조금 다르기는 하지만 예쁘네요. 봄에 입기 참 좋을거 같아요. 신축성은 보통이에요
twtwlo**|신축성 진짜 좋아요~~~~ 얇지도 두껍지도 않아서 너무 마음에 들어요. 색갈도 아주 딱 맘에 들어요
sgh78**|니트가 도톰하고 질감도 좋아요 겨울에 입기 괜찮은것겉아요! 색감도 사진이랑 똑같아요 배송도 빨리오고 좋은것같습니다!! 자주 이용해야할것같아요!!
twtwlo**|바지 너무 예쁘네요~~ 기모가 아닌걸 시켜서 지금 입기에는 얇지만 좀 날씨가 풀리면 예쁘게 입을깨요~
ujk09**|블랙은 아직 안신어봤는데 뭐.. 흰색이랑 똑같을거같아요 흰색은 흘러내림없었어요 기본양말으로 신기도 너무 좋았어요~
ujk09**|처음에 입었을때 품이 너무커서 좀 당황하긴했는데 그래도 그렇게 못봐줄정도도 아니고 보다보니까 예쁜거같아요 만족만족♡ 약간 무거운감이있고 팔쪽부분찍은건데 엄청 반들반들해서 지금까지 코트들이랑 다른느낌이여서 새로웠어요ㅎㅎㅎ
mj3sun**|화이트가 사진의 화이트보다는 약간 파란끼?섞인 그런 하얀양말이네요! 역시 무지 화이트와 검정은 ㅠㅠ진리죠 감사합니다 잘신을게요 길이도 적당하게 조절가능하고 다음에도 옷살때 양말같이 살게요 히힣
ujk09**|옷이 너무 귀여워요 밝은 베이지색상인거같고 후드달린게 진짜 제일 귀여워요ㅋㅋㅋ 목쪽에 단추도있는데 딱히 잠구진않을거같아요 조금 타이트ㅎㅎ
mj3sun**|요즘 많이들 입는 체크자켓! 유행따라가는 건 싫었는데 옷이 넘 활용도많구 이뻐서 사버렸어욬ㅋㅋㅋ그러니까 유행이 온거겠죠?ㅎㅎ 품은 살짝 크고 핏은 아주 마음이듭니다. 캐주얼룩.학생룩.직장룩(?)다 소화가능하게 무난한 자켓인데다가 체크가 이쁜체크여서 좋아요 타 사이트와 비교해도 가격도 저렴한편입니다 ㅎㅎ 이쁜거 가져와주는 고고싱 항상 감사해요!
ujk09**|진짜 옷이 너무 보들보들해서 받았을때 기분이 너무 좋았어요ㅎㅎ 다음에는 검정색으로 사고싶은데 목부분이 타이트한감이 없지않아 있어서 조금은 불편해요ㅜㅜ
564564764**|제 키는 164인데 백육십 L사이즈가 품절되서 그냥 기장을 백칠십으로 샀는데 별로 안긴것같아요 잘 늘어나고 기모적당히 있고 좋아요
564564764**|제가 산 바지중에 제일 맘에 들어요 그런데 제가 하비라 그런지 살짝 짧은 느낌은 있는데 입다보니 그렇게 신경쓰이진 않더라구요 예뻐요 추천드립니당
ujk09**|생각했던 핏보다는 조금 아쉬웠어요ㅜㅜ 그래도 작지않은키인데도 긴편이라서 마음에 쏙들어요ㅎㅎ!!
ujk09**|목쪽 폴라가 답답하지않고 물결무늬가 예뻐서 자꾸 손이가게되더라구요@^@ 요즘날씨에는 터무니없이 추워서 패딩이랑 같이입어요..ㅜㅜ
45216058**|양말이 무지 촘촘하고 이쁩니다 길이도 적당해서 치마에 어울려요 지금은 추워서 검정스타킹신지만 봄에는 자주자주 신을것같네요
45216058**|진짜 너무너무이쁘고 사진으로 봤을때보다 진주도 촘촘하게 잘 붙어있고 무엇보다 어떤 옷에입어도 이뻐서 행복해요!! 아이보리색도 나오면 좋을것같아요!!
2072634416300685**|아무옷이나 잘 어울리는 가방이에요 학원다닐때 애용했는데 어깨끈이 두꺼워서 어깨두 별로 안 아프고 좋아요 !!
705646609**|검은치마중 편한치마에 예쁜 디자인인 치마를 찾고 있었는데 가격도 저렴하고 평도 좋길래 한번 사봤습니다. 배송은 말할 것도 없이 정말 빠르게 왔고 한번 입어보았습니다. 네.. 제가 키가 작은편이지만 살집이 있는 편이라서 M사이즈를 샀는데 편하긴 진짜 편해요. 근데 앉으실때 조심하셔야 할거 같아요. 치마가 좀 짧아서 앉을때 어.. 아슬아슬해요.. 제 살의 문제일 수도 있지만여..ㅠㅠ 그리고 부분부분 박음질이 좀.. 하하... 그래도 저렴한 가격에 이정도 디자인이라면 저는 충분히 입고 다닐 것 같습니다!
tkdlepffl1**|저는 원래 운동화 사이즈도 230인데 그대로 230 시켰는데 나름 잘 맞는 것 같아요! 아직 신고 나가본 적은 없지만 이쁜 것 같아요~! 발이 아픈지는 신고 나가봐야 알 것 같아요 냄새가 좀 나지만 그래도 괜찮아요! 굽은 제가 높은 굽을 그리 안 좋아해서 제 기준으론 쪼끔 높지만 그래도 싸게 잘 산 것 같아용!!
705646609**|로퍼를 사고싶어서 어떤 로퍼를 살까하면서 찾다가 한눈에 반해 바로 질러버렸습니다. 사실 신발을 오프라인이 아닌 온라인에서 구매하기 참 애매한 문제점이 바로 사이즈였어요. 그래서 리뷰를 확인해봤는데 정사이즈라고 다들 하셔서 제 원래 신발사이즈인 235를 주문해서 신어보았는데 딱 맞아요 딱!!! 양말신고 신어도 봤는데 그냥 내발에 맞춘듯이 딱 맞아요!! 굽이 4cm라 있는듯 없는듯 해서 발이 편하기도 하고 제가 발볼이 넓은편인데 발볼이 아프거나 하진 않았어요. 근데 조금 단점이라고 하면 끝부분 박음질이 살짝 떠있는 것도 있고 그.. 애나멜 냄새라 해야하나 가죽 냄새라 해야하나.. 그 신발냄새가 많이 나더라구여.. 하루종일 냄새가 안빠져..... 그래도 저렴한 가격에 이정도 퀄리티라면 저는 만족합니다! 잘 신을게요!
pkm20**|너무예뻐요 어떤 옷에 입어도 다 잘어울리고, 진짜 너무이뻐요ㅠㅠ 종아리가 특히 이쁜거같아요 한겨울에 입기엔 춥긴해도 진짜 이쁩니다
705646609**|23일날 주문해서 24일날 받았습니다! 배송이 정말 빠르고 신속하게 보내주셔서 기다림없이 바로 받을 수 있었습니다! 가방은 핸드백 사이즈로 들고다니기 딱 좋은 사이즈고 박음질도 잘 되어있고 리본.... 리본!!!!!!!!정말... 예쁩니다... 세상....ㅠ 취향저격당했어요.. 리본이 심지어 탈부착도 되니 더 좋습니다! 지퍼가 뻑뻑하지 않고 부드럽게 잘 닫히고 열려요 그리고 포장도 잘 되서 오고 생각보다 공간이 있어서 제가 평소에 잘 들고다니는 물건들을 넣고 다니기 딱 적당한 크기라서 좋습니다! (새거라서 새 냄새가 나지만... 이건 금방 빠지니까여..) 저는 추천! 두번 추천드립니다!
lahj05**|배송이 하루만에 와서 깜짝 놀랐어요 고고싱은 배송이 정말 빠른 것 같아요후기에 한번 물빨래 하고 입으라길래 물빨래 했는데 하길 잘했어요 물빠짐이 정말 심하더라구요 길이는 170으로 해서 조금 길지만 접어입으면 괜찮아요 이가격대에 정말 잘 산 것 같습니다
psy95**|길이가 진짜 줄이지 않아도되서 너무 좋아요.스판기가 너무 좋아서 입고 다니기 너무 편해요.
psy95**|도톰해서 지금입어도 좋아요. 옷감촉이 부드러워서 입었을때 느낌이 좋아요!길이가 많이 짧지는 않아서 잘 입고 다닐 수 있을 것 같아요.
psy95**|두께도 도톰해서 지금 입기 되게좋아요! 면도 보드럽고 쫀쫀해서 가볍게 잘 입고다녀요. 너무 좋아서 한개 더 구매했어요!
cvbn5**|사이즈 크게 입고싶어서 엑스라지시켰는데 기장도 길어젔네요ㅎㅎ기장은 짤라서 입을려고 짜르는데 손에 물들었어요그래서 빨려고 담가놯는데... 물들었네요 조심하세요 엄청 심해요 장난아니에요..
thehddl**|와 털 진짜 많이날리네요 ... 옷은이쁜대 털때문에 진짜 고생했네요
ko32**|목까지 올라오는 폴라니트를 사고싶어서 샀는데너무너무 좋아요 ㅎㅎㅎ 목부분 완전 따뜻하고 색상도 아무 바지에나 입어도 좋고요 리뷰가 4000개가 넘는 이유를 알겠네요 ! 여러분 사세요ㅠㅜㅜㅜ가격도 짱짱
pooh42**|목부분 너무 입구가 좁아서 진짜 소두이신분들만 쏘옥 들어가고나올거같네요.한두번 입으면 목부분 다 뜯어질것같습니다.. 싼티나는 재질이라 가격대비 만족스럽진않습니다~
ko32**|롱패딩만 입고 다녀서 숏패딩을 사고싶었는데 싸게 고고싱에서 샀어요 빵빵한데 구겨짐이있어요 그래도 예쁩니다 !!잘입고 다닐게용 ♥
zzizz**|치마랑 같이 구입했습니다 사이즈 낙낙하고 너무 편해요 제가 좋아하는 스웨이즈 제질이라 바로 질렀습니다
ko32**|저에게 딱 맞는 바지가 쇼핑몰에서 찾기어려웠는데리뷰를 많이 보고 샀는데 저한테 딱 맞는 일자바지여서 좋았어요 ! 허리도 많이 크지도 않았는데 색이 화면이랑 다르네요 어두워요 그래고 잘 입고 있습니당 키작으신분들 사세요ㅠㅠ
zzizz**|세일이라 모델분이 코디하신대로 다 샀어요 가격대비 너무 이쁘고 결혼식에 입고갈 예정입니다 사이즈도 낙낙해요
ko32**|가격이 싸서 많이 얇고 별로일것같다고 생각했는데 가격에 비해 너무 좋았고 봄 가을에 입기 좋은것같아요! 베이지 색상이어서 많이 비치지도 않았어요 ㅎㅎ여러분 사세요 꼭 ~!~
sarah15**|가격대비 정말 고퀄인 니트입니다!!!!가격과 재질 그리고 배송까지 정말 마음에 들었던 니트였어요!!또 흔하지 않은 색이라 그런지 더욱 더 마음에 들었습니다!다른 색으로 또 구매할 계획이에요❤️❤️
jominhui1**|진짜 예뻐요ㅜㅜ 팔이 좀 긴데 접어 입어두 예쁘구 전체 길이는 딱맞아요! 색도 예쁘구 소재두 너무 좋네용ㅎㅎ 다른색도 쟁겨놓을까 고민즁..ㅎ
sarah15**|진짜 저렴한 가격으로 이렇게 고퀄리티의 니트를 구매할 수 있어서 행복했습니다!우선 재질도 좋은것 같고 디자인도 마음에 들었어요!흔하디 흔한 니트같지 않아 더욱 마음에 들었습니다또한 배송도 정말 빨리 온 덕분에 두배로 더 기뻤어요❤️❤️다른 색의 니트도 더 구매하고싶네요
www678**|소재가 얇아서 ㅠㅠ 날씨가 풀리게 되면 잘 입고 다닐 수 있을 거 같아요! 가디건 하고 같이 입어야 더 이뻐 보이는 거 같아요! ^^
www678**|은근 두껍고! 여리 여리 느낌이 팍팍 납니다! 치마랑 같이 입으면 더욱 이뻐요 ㅠㅠ 항상 이쁜 옷 입고해 주셔서 감사 합니다!
www678**|겨울에 꼭 있어야 되는 기본 옷! 가격 대비 제품 품질도 정말 좋고 니트 조끼랑 같이 입으면 더 이뻐요!
chiop**|옷이 너무구겨져서 와서 아쉽지만 대체로 만족입니다. 색깔도 맘에들도 조금더 박시했으면하는 아쉬움이 있네요ㅠ
www678**|이쁘게 입고 있어요! 가격 대비 제품 품질도 정말 좋고 너무 이뻐요 ㅠㅠ 항상 이쁜 옷 입고해 주셔서 정말 감사 합니다! ㅎㅎ
chiop**|검은색입어보니 너무조아서 차콜로 또 구매했어요ㅎㅎ 니트안에입어도 되고 그냥입어도 이뻐요 만족입니당
alswl15**|이쁘고좋아여ㅎㅎ너무 얇아서 레이어드해서 입어야할듯 봄되면 기본으로 걸치고다니기 좋을거같애여ㅋ.ㅋ
dltmf71**|위에 블라우스랑 코디한게넘이뻐서 같이 구매했어요~화이트도 끌렸지만 무난한 블랙으로 겟핏은 좀 다른지만 스판좋고 허벅지는 잡아줘서 좋아요
dltmf71**|신상뜨자마자 봤는데눈에 아른아른 거려서위에 블라우스랑 세트로 구매..생각했던 핏이랑은 다른지만(모델이 다르니..)이 정도면 만족해요~빨리 날씨풀리면 입고 나가고싶네요
jusubin12**|즁말이쁜뎅.. 길이감이 쫌 짧은감이있네요..그런점이 아쉽지만 싸고이쁘게 잘샀어욯ㅎ~~~~~~
jusubin12**|커서 저같은 뚠뚠이도 옷이 이쁘게 맞네연ㅎㅎ청자켓 사고싶었는데 여기서 싸게득템하고갑니다~~~~
jusubin12**|즁말 바지가 늘어나는건 인정인데.. 그 동시에 다리를 잡아주는 느낌이 1도없어서 좀 아쉬워요ㅠ진짜 찢어진 청바지 같은거는 커팅을 좀더 위에해줬으면 좋겠어요ㅠ다리가짧앗ㅓㅠ
yikim05**|없던 골반까지 만들어주면서 라인이 딱잡히게 이쁘게 핏이 사는것같아요즘 거의 매일 입고있어요❤️
jusubin12**|아;;;ㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋ 진짜 여라분 그냥입으시지마시고 빨고입으셔야해요!!(따로세탁해야됨) 물빠짐덕에 양말이랑 옷이랑 피해입었네요;;물빠짐있다고 써놓는 센스가 없네요 고고싱엫ㅎㅅㅎ
khi37**|양털집업 인디핑크색 샀습니다! 일단 핏이 진짜진짜 예뻐요! 그리고 진짜 두꺼워서 세상 놀랐어요.양털 후드티도 샀는데 마시멜로우양털옷은 진짜 가격대비 굳인 것 같아요! 편하게 입기 좋고 진짜 모든 걸 떠나서 따뜻해요...!!
khi37**|이 양털후드티 너무너무 귀여워요! 입으면 나 귀여워하고 뽑내는 느낌ㅎㅎㅎㅎㅎ그리고 중요한 건 진짜 도톰해요...털이 얇게 들어간 줄 알았는데 저거 입고 패딩입으면 약간 둔해지고 걸어다니면 얼굴은 추운데 몸은 더워져요ㅋㅋㅋㅋ진짜 가격대비 굿입니다~
jtkfkd3**|숏패딩이 갖고싶어서 찾던 중 고고싱 숏패딩이 예뻐보여서 구매했는데 정말 예쁘네요 생각보다 두꺼웠고요 앞으로도 고고싱 많이 이용할게요다들 고민하지말고 사세요 ~~
saea19**|진짜 완전 만족해요 입자마자 진짜 이쁜거 같아요 ㅎㅎ 봄에 많이 입을거 같아요 완전 만족해요 ㅎㅎ
saea19**|하얀색 운동화랑 입으면 이쁠거 같아서 샀어요 근데 역시나 짧아서 밑에 반바지 입고 입으면 캐쥬얼하면서 여성스러워서 좋아요
saea19**|진짜 치마랑 입으면 이쁠거 같아요ㅎㅎ 빨간이랑 핑크랑 진짜 잘어울립니다 봄되면 많이 입을거 같아요
why2**|완전 짱 이쁘고 따수워요~~!!꼭꼭 사세요bb색깔은 사진에서 보이시는 거랑 같고 연청 바지랑 콜라보해서 입으면 짱예뻐요~~그리고 다른 니트에 비해 도톰해서 죻아요>< 완전 강추합니다:)
why2**|겨울에 하나만 입기는 추워요~얇아서 봄이나 초여름에 는 그냥 입어도 되구요,겨울에는 안에 서츠나 목폴라랑 같이 입으면 좋을것 같아요~사이즈 딱 맞고 팔부분이 살짝길어서 한번 접어서 입어야되요~데일리로 입기 무난하고 예쁩니당:-)
a67**|레이어해서 입으면 이쁠거같아서 구매했는데 정말 이뻐요 ㅎㅎ 니트랑 같이입어도 이쁘고 이거 하나만 입어도 여성스럽고 이쁠거같네요
a67**|싸게 9천원가격이라 싼맛에 사서 입어보자하는 마음으로 구매하였는데 정말 싼티 안나요 많이 고급스러워보이는건 아니지만 한 5만원짜리정도로 보여요ㅎㅎ
jjho12**|사진으로 보시면 디자인은 진짜 여성여성완전 공주풍ㅋㅋㅋㅋ제가 처음 도전해요..엄마가 이걸로 사라고 하셔서 한번쯤은 사보고싶어서 사게 되었네용..단점이라면 블라우스가 힘이없어서 주름이 잘생겨요ㅠ오자마자 입어본거라;세탁하고 다림질하고 입고 다니세용!! 거리에서 이옷입고 다니는 사람들 마주치는거 아닐까 모르겠네요ㅋㅋ인기가많아서..ㅠ다들 이뿌게 입고 다니세용ㅎㅎ
jjho12**|사진으로는 이쁜색상을 못담지만...뭔가 화려하면서도 무난무난한 색상이라 너무 맘에들어요ㅎㅎ리본이 힘이없어서 이쁘게 고정이 안되지만...ㅠㅠ방법이있겠지요..철사라도 넣어야할까요ㅋㅋㅋ무튼 빨리 봄이왔으면 좋겠어요ㅎㅎ빨리입고 나가고 싶네요
qhfkaqhfk**|집에 스키니밖에 없어서 일자핏 샀는데 제 다리가 두꺼워서 모델핏은 안나오지만 색도 이쁘고 되게 편해요! 청바지는 사계절내내 입으니까 데일리로 애용할거같아요~~
qhfkaqhfk**|봄에 입으려고 샀는데 정말 이뻐요!! 가격이 저렴해서 큰 기대없었는데 생각 이상으로 더 이쁘고 잘만들었네요! 저는 블랙샀는데 아이보리도 이쁠거같아요ㅠㅠ
zzkyh93**|제가 사고싶엇던 색이랑 핏이여서 보자마자 바로 주문했어요! 당일배송이라 그런지 배송이 엄청 빨라서 좋았고 입어보자마자 생각보다 품안? 이 좀 많이 커서 놀랬어요!ㅋㅋㅋㅋㅋ 울이 40%퍼나 있어서 그런지 엄청 따뜻해서 좋았고 바지랑 입어도 이쁘지만 이코트는 개인적으로 치마랑 입는게 더 이쁜거같아요!! 그리고 코트가 조녜여서 그런가 색상별로 다 사고싶네용 많이파세요!!
h2k11**|핸드메이드라서 가격치고 되게 고급져보여요 !!!!!! 입고 갔는데 친구들도 예쁘다고 칭찬해주고 만족입니다 !!! 근데 저처럼 키가 좀 작으신 분 들은 살짝 고민해주세요 ㅎㅎ 그래도 굿 !!!!!!!
h2k11**|가격이 생각보다 너무 싸서 살까 말까 고민 많이 했는데 완전 예뻐요 !!!! 다만 길이가 너무 짧아서 아쉽긴 하지만 .. 그리고 가슴 큰 분들은 더 부각대보여서 좀 신중해야할거같아요ㅠㅠ 그래도 가격치곤 재질도 좋고 만족합니다 !!
548068251**|입어봤는데요 ㅠㅠㅠ완전이쁘고 사진찍을때엄청이뿌게나와요 첨으로 사봤는데 아주 잘산거같아용!!!!! 완전추총!+
maximu**|저같은 경우는 발볼이 넓어서 구두는 235 운동화는 230인데 간혹 이렇게 발볼좁게 나온 구두의 경우는 240도 가는경우가 있더라구요 이 신발은 그래서 교환해서 240으로 바꿨어요 디쟌이 이뻐서 맘에 들어요!!
maximu**|일단 여리여리해보이고 여성스럽고 진짜 예쁜거같아용 색감도 딱 차분한 느낌이라서 예쁜거같아요 올림머리로 하면 좀더 밝게 여성스럽게 연출되능거같아용
maximu**|사실 사진상으로 베이지가 예뻐서 구매하려다가 무난한건 블랙이다 싶어서 구매했어요 처음에는 각이 잡혀있어서 한번 빨았더니 자연스럽게 떨어지네요 길이감도 좋고 예뻐용
maximu**|사실 브라운을 사고싶었는데 품절이라서 옐로우를 구입했어요 그치만 짱예쁘네용ㅋㅋㅋ 좀 독특한 매력이 있어요 이런거 많이 들어왔음 좋겠네용
