wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
138280953**|일자핏바지한번입어보고싶어서시켰어요.진청인데그렇게많이진한편이아니어서너무좋았어요ㅎㅎ기모들어서따뜻하고안감이너무부드러워요사길잘한거같아요그리고s랑m이랑고민진짜많이했는데m샀으면많이헐렁했을거예요선택잘한거같아요ㅎ다음번에는중청도한번사보고싶어요같은걸로요.옷질도가격에비해너무좋은거같아요좋은사이트는알게되서너무좋고앞으로자주시킬거같습니다다른분들도살지말지고민이시라면그냥사세요후회안하실거예요좋은상품감사합니다다음에또제품사면후기남길게요
bsd**|블랙이라 무난하게 입을 수 있을 것 같아요~~~~s랑 m이랑 길이 차이는 크지 않고 허리 차이만 있는 느낌이에요~! 어디든 코디할 수 있는 베이직 아이템입니다ㅎㅎ 질도 좋고 길이도 적당해요~!
alswjd**|색깔이 조금 초록빛이 나더라구요 베이지+올리브 느낌? 167인 저한테는 무릎 중간쯤 옵니당. 목폴라부분 접으면 말리는게 조금 심하더라구요. 그래도 이뻐요~~맘에 듭니당.
alswjd**|딱 이쁜 베이지 색이구요. 167인 저한테는 엉덩이 다 덮을정도로 롱한 기장이어서 좋았습니당. 모자쓰기에는 좀 불편하구요. 입을때 어깨~팔 부분이 조금 끼는것 말고는 다 좋아요.
alswjd**|브라운을 시켰는데 생각보다 어두워서 당황했구요. 계속 쓰다보니 흐물흐물해져셔 각이 잘 안잡히네요. 재질은 부드러운 편이고, 앞뒤 구분없이 쓸 수 있어서 편해요. 귀염귀염하니 좋아용.
leb4**|오래 기다려서 받았어요 너무너무 색깔도 이뿌고 좋아요 색깔은 사진 그대로에요 고민하시는 분들 빨리빨리 구매하세요~
jhj1206**|세일할 때 사서 그런지 가격도 저렴하고 퀄리티는 말할필요도 없이 굿!입니다. 완전 짱 좋아요!!!!!따뜻하구 디자인도 이쁘고 틈 잡을 곳 없이 떡볶이코트~~ 역시 고고싱은 언제나 실망하게 만들지않네요ㅎㅎ 지금 고민하시는 하시는분들은 제 후기보고 무조건 바로구매 누르세요^^^절대로 후회하지 않아요♡♡♡♡♡♡♡♡♡
kes9905**|거의 업뎃되자마자 구매한거 같은데 배송은 이틀 걸렸어요! 사진이랑 똑같아요 생각보다 커서 두껍거나 큰 책 넣어도 부담 없을 거 같아요 끈도 튼튼하고 메거나 들거나 선택할 수 있어서 좋아요ㅎㅎ
dawoon12**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
dawoon12**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
